verb,lemma
was,be
wrote,write
born,bear
attended,attend
worked,work
including,include
taught,teach
moved,move
lived,live
based,base
Treading,tread
called,call
consisted,consist
took,take
includes,include
serialized,serialize
believed,believe
be,be
published,publish
oversaw,oversee
coinciding,coincide
went,go
serve,serve
assassinated,assassinate
graduated,graduate
received,receive
appointed,appoint
became,become
Visiting,visit
developed,develop
served,serve
moving,move
played,play
Begin,begin
According,accord
approved,approve
stockpiled,stockpile
serving,serve
occurred,occur
ran,run
opening,open
reached,reach
tied,tie
edged,edge
fell,fall
withdrew,withdraw
fed,feed
trying,try
eliminate,eliminate
leading,lead
won,win
remains,remain
submitted,submit
could,could
respond,respond
set,set
promoting,promote
conduct,conduct
avert,avert
expand,expand
were,be
clashed,clash
involve,involve
refused,refuse
send,send
criticised,criticise
act,act
left,leave
appeared,appear
muster,muster
continuing,continue
dealing,deal
forcing,force
undertaking,undertake
favouring,favour
demanded,demand
meeting,meet
discuss,discuss
put,put
retired,retire
is,be
arrange,arrange
rein,rein
Aidid,Aidid
resolved,resolve
fighting,fight
unseat,unseat
asked,ask
resign,resign
offered,offer
establish,establish
run,run
had,have
remained,remain
would,would
rejected,reject
suspended,suspend
becoming,become
denied,deny
raised,raise
converted,convert
speaking,speak
developing,develop
creating,create
supported,support
stressed,stress
participated,participate
awarded,award
died,die
having,have
been,be
admitted,admit
held,hold
led,lead
buried,bury
observances,observance
listen,listen
have,have
belonging,belong
Born,bear
completed,complete
said,say
helped,help
sell,sell
introduced,introduce
abandoned,abandon
acknowledged,acknowledge
has,have
asserted,assert
travelled,travel
visiting,visit
declared,declare
assigned,assign
rising,rise
failing,fail
following,follow
elected,elect
considered,consider
killed,kill
found,find
initiate,initiate
credited,credit
encouraging,encourage
improve,improve
gave,give
tried,try
raise,raise
attempted,attempt
centralised,centralise
abolishing,abolish
began,begin
initiated,initiate
weakened,weaken
abolished,abolish
experienced,experience
Following,follow
revoked,revoke
resulted,result
Described,describe
engineering,engineer
cited,cite
belonged,belong
categorised,categorise
accused,accuse
added,add
described,describe
noted,note
preferred,prefer
playing,play
influenced,influence
attending,attend
met,meet
known,know
inducted,induct
training,train
founding,found
arranged,arrange
going,go
lead,lead
marrying,marry
remaining,remain
unmentioned,unmentione
swept,sweep
affirmed,affirm
married,marry
spent,spend
ensuing,ensue
travelling,travel
emerged,emerge
founded,found
followed,follow
lacked,lack
required,require
turned,turn
wandered,wander
stopping,stop
returned,return
leaving,leave
working,work
renewed,renew
joined,join
enlist,enlist
disallowed,disallow
according,accord
stopped,stop
arrested,arrest
electing,elect
mentor,mentor
co,co
-,-
author,author
filed,file
seeking,seek
claimed,claim
maintains,maintain
contains,contain
dates,date
graduating,graduate
surrounding,surround
listed,list
studying,study
lasted,last
jailed,jail
banned,ban
forced,force
go,go
avoid,avoid
printing,print
opposing,oppose
sending,send
involved,involve
wanted,want
raising,raise
describing,describe
move,move
dressing,dress
overseeing,oversee
work,work
researching,research
writing,write
organise,organise
decided,decide
place,place
organising,organise
rose,rise
named,name
helping,help
establishing,establish
transferred,transfer
assumed,assume
defected,defect
losing,lose
supporting,support
end,end
winning,win
promoted,promote
lost,lose
made,make
damaged,damage
sought,seek
expressed,express
chosen,choose
did,do
want,want
ostracise,ostracise
declined,decline
telling,tell
replaced,replace
preparing,prepare
sworn,swear
entered,enter
defeating,defeat
burned,burn
killing,kill
carried,carry
returning,return
demolished,demolish
making,make
planned,plan
orchestrated,orchestrate
spread,spread
inflamed,inflame
stated,state
driven,drive
included,include
Summarising,summarise
premeditated,premeditate
imposed,impose
issued,issue
patrol,patrol
prevent,prevent
escalating,escalate
being,be
prevented,prevent
meet,meet
living,live
announced,announce
reversed,reverse
taken,take
intervene,intervene
continued,continue
debated,debate
happening,happen
handled,handle
regarding,regard
reopened,reopen
related,relate
established,establish
look,look
investigate,investigate
questioned,question
presented,present
finding,find
prosecuted,prosecute
examined,examine
asking,ask
closed,close
accepting,accept
stalled,stall
accepted,accept
dissolved,dissolve
displaced,displace
succeeded,succeed
advancing,advance
profited,profit
receiving,receive
swore,swear
framed,frame
shifted,shift
curtailed,curtail
entrenched,entrench
dropped,drop
staged,stage
ordered,order
provided,provide
demolish,demolish
deepened,deepen
consulted,consult
informed,inform
retained,retain
released,release
possessed,possess
attract,attract
distanced,distance
reaching,reach
leave,leave
barred,bar
entering,enter
formed,form
admit,admit
saw,see
lifted,lift
invited,invite
intensified,intensify
revive,revive
allow,allow
invoke,invoke
authored,author
discussing,discuss
argued,argue
circulated,circulate
resulting,result
favoured,favour
reducing,reduce
₹17,₹17
signed,sign
built,build
recharge,recharge
depleted,deplete
regained,regain
modified,modify
increased,increase
become,become
growing,grow
irrigated,irrigate
intended,intend
recorded,record
pointed,point
manufacturing,manufacture
finished,finish
bringing,bring
changed,change
impacting,impact
expanded,expand
separated,separate
rationed,ration
fit,fit
ended,end
benefited,benefit
stabilised,stabilise
surrounds,surround
averaged,average
industrialised,industrialise
accelerate,accelerate
topped,top
doing,do
ranked,rank
measuring,measure
used,use
counter,counter
obtain,obtain
make,make
underweight,underweight
putting,put
immunisation,immunisation
change,change
showed,show
benefit,benefit
limited,limit
contained,contain
wear,wear
gifted,gift
maintain,maintain
cause,cause
nominate,nominate
identify,identify
projected,project
protecting,protect
campaigning,campaign
allowing,allow
reach,reach
repeat,repeat
form,form
resigned,resign
voted,vote
focused,focus
created,create
bring,bring
downplay,downplay
centered,center
shift,shift
assisted,assist
cost,cost
addressed,address
doubled,double
win,win
performed,perform
drew,draw
say,say
constituted,constitute
announcing,announce
comply,comply
can,can
represent,represent
vacated,vacate
renamed,rename
launched,launch
split,split
started,start
targeted,target
Highlighting,highlight
counted,count
contested,contest
fought,fight
securing,secure
linked,link
resigning,resign
lacking,lack
passed,pass
enact,enact
increasing,increase
replacing,replace
centralising,centralise
filling,fill
improving,improve
slowing,slow
affected,affect
criticising,criticise
functioning,function
governing,govern
repealed,repeal
titled,title
ensuring,ensure
are,be
building,build
provide,provide
boosting,boost
compared,compare
deemed,deem
scrap,scrap
reorganise,reorganise
attacked,attack
existing,exist
hold,hold
account,account
captured,capture
point,point
intimidate,intimidate
undermining,undermine
characterised,characterise
curbing,curb
liberalised,liberalise
proposed,propose
hire,hire
fire,fire
affiliated,affiliate
underlying,underlie
dedicated,dedicate
decreased,decrease
Spending,spend
lowered,lower
reduced,reduce
deregulated,deregulate
encourage,encourage
manufacture,manufacture
turning,turn
capture,capture
allowed,allow
acquire,acquire
conducting,conduct
owned,own
faced,face
lapse,lapse
subsumed,subsume
demonetised,demonetise
indices,indice
sparked,spark
exchange,exchange
grew,grow
attributed,attribute
increase,increase
downgraded,downgrade
signalling,signal
suffer,suffer
curb,curb
accompanied,accompany
emphasising,emphasise
represented,represent
assist,assist
aimed,aim
controlling,control
merged,merge
viewed,view
suggested,suggest
funded,fund
requires,require
covered,cover
might,may
insure,insure
emphasised,emphasise
eliminating,eliminate
constructing,construct
use,use
build,build
plans,plan
construct,construct
getting,get
constructed,construct
lagged,lag
averted,avert
opposed,oppose
alleged,allege
celebrate,celebrate
defended,defend
associated,associate
injured,injure
triggered,trigger
seen,see
visited,visit
handed,hand
give,give
visit,visit
feature,feature
do,do
preceding,precede
Make,make
mended,mend
ranging,range
sensing,sense
congratulated,congratulate
further,further
summits,summit
promised,promise
expected,expect
strengthen,strengthen
ratified,ratify
Look,look
instituted,institute
directing,direct
prioritised,prioritise
deteriorated,deteriorate
pledged,pledge
honoured,honour
adjusted,adjust
write,write
constraining,constrain
deal,deal
Buddhist,buddhist
legalise,legalise
negotiated,negotiate
begun,begin
agreed,agree
abrogated,abrogate
responded,respond
labelled,label
conducted,conduct
exaggerated,exaggerate
supposed,suppose
engaged,engage
disputed,dispute
reported,report
referred,refer
naming,name
allotted,allot
removed,remove
diluted,dilute
requiring,require
protected,protect
proceed,proceed
reconstitute,reconstitute
protect,protect
relaxed,relax
create,create
should,should
rely,rely
inform,inform
welcomed,welcome
preceded,precede
fearing,fear
freezing,freeze
citing,cite
leaked,leak
consummated,consummate
kept,keep
interact,interact
ironed,iron
sleeved,sleeve
embroidered,embroider
wore,wear
containing,contain
refers,refer
explain,explain
reassure,reassure
aligned,align
take,take
relied,rely
continues,continue
adopted,adopt
continue,continue
draw,draw
dose,dose
totalling,total
donated,donate
help,help
clean,clean
assuming,assume
garnered,garner
educating,educate
auctioning,auction
urged,urge
will,will
designated,designate
organised,organise
participate,participate
rating,rate
updated,update
receive,receive
polled,poll
rated,rate
tracked,track
done,do
featured,feature
unveiled,unveil
pioneering,pioneer
championing,champion
conferred,confer
accelerating,accelerate
fostering,foster
furthering,further
displayed,display
hosted,host
providing,provide
using,use
teach,teach
elevating,elevate
dominated,dominate
starring,star
shown,show
starred,star
covers,cover
portraying,portray
wants,want
charts,chart
include,include
Premiered,premiere
appear,appear
trekked,trek
talked,talk
shot,shoot
broadcast,broadcast
hosting,host
face,face
•,•
devote,devote
attend,attend
belongs,belong
aired,air
maintained,maintain
broadcasting,broadcast
featuring,feature
sponsored,sponsor
running,run
celebrated,celebrate
taking,take
spending,spend
complained,complain
subjected,subject
remove,remove
suffered,suffer
sleeping,sleep
Tupac,tupac
ʃəˈkʊər/,ʃəˈkʊər/
addressing,address
plagued,plague
relocated,relocate
pursue,pursue
introducing,introduce
achieved,achieve
agreeing,agree
sign,sign
posting,post
abandoning,abandon
certified,certify
drive,drive
murdered,murder
shooting,shoot
selling,sell
sold,sell
executed,execute
failed,fail
explained,explain
know,know
acquitted,acquit
convicted,convict
imprisoned,imprison
apprehended,apprehend
armored,armor
ranking,rank
murdering,murder
overturned,overturn
revealed,reveal
hidden,hide
studied,study
depicting,depict
recall,recall
mix,mix
listened,listen
befriended,befriend
call,call
get,get
connecting,connect
dated,date
recording,record
organized,organize
managed,manage
placed,place
dubbed,dub
debuted,debut
Becoming,become
leaded,lead
Is,be
Stretch,stretch
contributed,contribute
surprised,surprise
lacks,lack
suggesting,suggest
impending,impend
emerge,emerge
incriminate,incriminate
am,be
chased,chase
features,feature
reshaping,reshape
alluding,allude
arriving,arrive
bear,bear
cite,cite
Calls,call
Trapped,trap
depict,depict
reacted,react
's,be
rap,rap
gon,go
tie,tie
addresses,address
remain,remain
arrived,arrive
emphasizes,emphasize
gone,go
tracks,track
labeled,label
carries,carry
Get,get
render,render
chart,chart
Keep,keep
Rated,rate
Pour,pour
produced,produce
produce,produce
live,live
appears,appear
perform,perform
hailed,hail
ranks,rank
setting,set
topping,top
peaked,peak
brought,bring
prioritized,prioritize
specializing,specialize
Walk,walk
disbanded,disband
launch,launch
prioritize,prioritize
release,release
pop,pop
Released,release
Let,let
Ride,ride
trailed,trail
propelled,propel
fired,fire
projects,project
Die,die
lose,lose
traveled,travel
join,join
reputed,repute
belittle,belittle
closing,close
recalled,recall
preempt,preempt
confronted,confront
meant,mean
deescalate,deescalate
flared,flare
paying,pay
obtained,obtain
recruits,recruit
signing,sign
blamed,blame
cementing,cement
dispel,dispel
violating,violate
posted,post
pending,pende
Hit,hit
Em,em
proclaimed,proclaim
threatens,threaten
commented,comment
communicated,communicate
needed,need
hired,hire
edit,edit
discusses,discuss
start,start
seemed,seem
transformed,transform
bore,bear
marking,mark
shows,show
rapping,rap
hit,hit
Do,do
Want,want
written,write
resonate,resonate
plays,play
haunting,haunt
calls,call
cast,cast
assaulted,assault
appraises,appraise
outshone,outshine
forming,form
extended,extend
treated,treat
socialize,socialize
manage,manage
advised,advise
wearing,wear
implicates,implicate
punishing,punish
mentioned,mention
vie,vie
modeled,model
noticing,notice
disregarded,disregard
aged,age
understood,understand
deported,deport
fall,fall
sent,send
shared,share
robbing,rob
extorting,extort
range,range
planning,plan
open,open
annulled,annul
berated,berate
actress,actress
apologized,apologize
dating,date
brutalizing,brutalize
jaywalking,jaywalk
settled,settle
posed,pose
broke,break
picked,pick
discharged,discharge
matched,match
registered,register
stymied,stymie
charged,charge
threw,throw
swung,swing
pleaded,plead
sentenced,sentence
Slated,slate
star,star
assaulting,assault
boasts,boast
beat,beat
celebrating,celebrate
crossing,cross
passing,pass
carrying,carry
struck,strike
firing,fire
distracted,distract
stop,stop
record,record
offset,offset
robbed,rob
resisted,resist
speculated,speculate
checked,check
bandaged,bandage
Convicted,convict
alerted,alert
releasing,release
Shot,shoot
thought,think
mentions,mention
retracted,retract
discovered,discover
forged,forge
supplied,supply
incarcerated,incarcerate
raped,rape
Interviewed,interview
hurt,hurt
accuse,accuse
decried,decry
deferred,defer
boxing,box
spotted,spot
snatch,snatch
headed,head
mounted,mount
pulled,pull
tasked,task
sedated,sedate
pronounced,pronounce
cremated,cremate
recalling,recall
chose,choose
interpret,interpret
smoked,smoke
mixing,mix
interviewed,interview
alleges,allege
confirmed,confirm
indicate,indicate
rappers,rapper
imparted,impart
appraised,appraise
owes,owe
sound,sound
came,come
notes,note
makes,make
elevate,elevate
writes,write
slaying,slay
silenced,silence
captivated,captivate
perceiving,perceive
downsizing,downsize
cheapens,cheapen
concedes,concede
adds,add
conceded,concede
disappointed,disappoint
inspired,inspire
return,return
think,think
lives,live
classmate,classmate
honored,honor
aspire,aspire
enhance,enhance
essay,essay
performing,perform
opened,open
narrates,narrate
nominated,nominate
earning,earn
cosponsored,cosponsor
cover,cover
Calling,call
assessed,assess
walking,walk
helps,help
Tracing,trace
discussed,discuss
Gone,go
resurrecting,resurrect
calling,call
traced,trace
evolved,evolve
identified,identify
unify,unify
Live,live
explains,explain
confounding,confound
altered,alter
see,see
bearing,bear
does,do
Wanted,want
filming,film
directed,direct
Give,give
sorting,sort
averaging,average
coming,come
irking,irk
drawing,draw
arrive,arrive
explored,explore
reshaped,reshape
crafting,craft
given,give
top,top
wins,win
culminated,culminate
marked,mark
integrated,integrate
aborted,abort
causes,cause
detach,detach
divorced,divorce
sang,sing
rekindled,rekindle
singing,singe
enrolled,enrol
paid,pay
consisting,consist
Wondering,wonder
Feeling,feel
Thank,thank
Call,call
follow,follow
grown,grow
disorienting,disorient
pay,pay
changing,change
conceive,conceive
Hits,hit
touring,tour
catches,catch
heard,hear
got,get
considering,consider
cancelling,cancel
persuaded,persuade
Dropping,drop
composing,compose
Happen,happen
prompted,prompt
reconsider,reconsider
spelled,spell
score,score
Was,be
Made,make
Love,love
Signed,sign
Sealed,seal
Delivered,deliver
'm,be
Coming,come
utilizing,utilize
hearing,hear
Expanding,expand
touch,touch
mean,mean
Going,go
cluttered,clutter
Reaching,reach
expire,expire
flowing,flow
dealt,deal
exploring,explore
overdubbing,overdubbe
Are,be
alleviate,alleviate
pigeonholing,pigeonhole
show,show
demonstrated,demonstrate
Living,live
generated,generate
riding,ride
refrain,refrain
facing,face
rallied,rally
embarked,embark
highlighting,highlight
Have,have
Done,do
album,album
'd,'d
like,like
thank,thank
Sprawling,sprawl
fathom,fathom
assimilate,assimilate
regarded,regard
debut,debut
stood,stand
hits,hit
Wish,wish
reflected,reflect
Looking,look
achieving,achieve
composed,compose
toured,tour
Ai,be
Stand,stand
gained,gain
Stay,stay
scheduled,schedule
entitled,entitle
surfaced,surface
Called,call
Say,say
sample,sample
Go,go
Feel,feel
Must,Must
Be,be
Playing,play
Guess,guess
single,single
Ca,can
Help,help
Will,Will
Know,know
remix,remix
Got,got
Feeding,feed
collaborated,collaborate
Come,come
pursuing,pursue
restore,restore
Been,be
sings,sing
offering,offer
appearing,appear
copied,copy
starting,start
filmed,film
Loved,love
paired,pair
Put,put
Inspired,inspire
reflect,reflect
keeping,keep
concerning,concern
earned,earn
Began,begin
may,may
acclaimed,acclaim
produces,produce
determine,determine
attained,attain
programmed,program
skip,skip
Talking,talk
pioneered,pioneer
compete,compete
sounds,sound
opted,opt
dunking,dunk
've,have
barring,bar
come,come
talk,talk
pinpoint,pinpoint
combined,combine
busing,bus
spoke,speak
applied,apply
disclosed,disclose
performs,perform
meaning,mean
begin,begin
feel,feel
turn,turn
honoring,honor
rounded,round
Lives,live
encouraged,encourage
share,share
undergoing,undergo
recognized,recognize
renaming,rename
study,study
crashed,crash
whimsical,whimsical
uses,use
debunk,debunk
caused,cause
departing,depart
perished,perish
describes,describe
combine,combine
ruinas,ruina
que,que
disconcerting,disconcert
cutting,cut
mirroring,mirror
collected,collect
quoted,quote
saying,say
laugh,laugh
marks,mark
says,say
lies,lie
seized,seize
concerned,concern
wears,wear
escaped,escape
restored,restore
wind,wind
happened,happen
promote,promote
Having,have
enabled,enable
dancer,dancer
finishing,finish
1954–57,1954–57
defending,defend
publishing,publish
combining,combine
attracted,attract
Encouraged,encourage
teaching,teach
derived,derive
edited,edit
biting,bite
premiered,premiere
satirizes,satirize
showing,show
devoted,devote
Entitled,entitle
satirising,satirise
occupied,occupy
controlled,control
arising,arise
bought,buy
ignores,ignore
proclaim,proclaim
pounces,pounce
paint,paint
'll,will
states,state
trails,trail
crowned,crown
peg,peg
condemned,condemn
holding,hold
Set,set
try,try
ensued,ensue
regards,regard
translated,translate
freed,free
stayed,stay
adapting,adapt
Collected,collect
Died,die
commissioned,commission
criticise,criticise
protested,protest
resumed,resume
explores,explore
compares,compare
contrasts,contrast
delivered,deliver
premièred,première
acted,act
beaten,beat
analysing,analyse
express,express
screened,screen
criticized,criticize
prove,prove
deserved,deserve
Address,address
transmitted,transmit
fled,flee
victimized,victimize
fictionalized,fictionalize
encountered,encounter
Known,know
cancelled,cancel
protest,protest
beset,beset
attempting,attempt
proselytise,proselytise
asserting,assert
abused,abuse
warned,warn
preach,preach
Forging,forge
opposes,oppose
graze,graze
believes,believe
enable,enable
told,tell
involving,involve
Reviewing,review
ruling,rule
ought,ought
read,read
honouring,honour
enduring,endure
located,locate
enables,enable
stay,stay
engaging,engage
deeming,deem
tweeted,tweet
mark,mark
Essays,essay
decorated,decorate
holds,hold
descended,descend
recounted,recount
fictionalised,fictionalise
staying,stay
aided,aid
relocating,relocate
avoiding,avoid
longlisted,longliste
awarding,award
portrays,portray
crafted,craft
focusing,focus
runs,run
emerging,emerge
provides,provide
deformed,deform
stunted,stunt
expect,expect
abandon,abandon
allegorises,allegorise
Asked,ask
tell,tell
achieve,achieve
retain,retain
referencing,reference
depicted,depict
specified,specify
alluded,allude
Writing,write
Doubling,double
last,last
moves,move
comes,come
answered,answer
condemning,condemn
resembling,resemble
blending,blend
refusing,refuse
recognize,recognize
shares,share
railed,rail
support,support
require,require
cut,cut
brings,bring
ignored,ignore
telephoned,telephone
protesting,protest
stick,stick
replied,reply
shut,shut
arguing,argue
remarked,remark
develop,develop
address,address
wished,wish
collect,collect
monkish,monkish
drink,drink
smoke,smoke
eat,eat
cycles,cycle
keep,keep
spends,spend
uttered,utter
prized,prize
Recognising,recognise
acquired,acquire
publish,publish
works,work
joining,join
assimilated,assimilate
Gordimer,gordimer
shaped,shape
witnessed,witness
raided,raid
confiscating,confiscate
educated,educate
bound,bind
feared,fear
isolated,isolate
mixed,mix
complete,complete
beginning,begin
spurred,spur
Am,be
demand,demand
re,re
examine,examine
replace,replace
censored,censor
determining,determine
sided,side
pointing,point
unbanned,unbanne
reversing,reverse
criticizing,criticize
perceived,perceive
advocated,advocate
hid,hide
aid,aid
testified,testify
