token,label,_id
Ali,ENTITY,Q560307_179
Al'amin,ENTITY,Q560307_180
Mazrui,ENTITY,Q560307_192
(,-,-
24,-,-
February,-,-
1933,-,-
–,-,-
12,-,-
October,-,-
2014,-,-
),-,-
",",-,-
was,REL,Q560307_188
a,-,-
Kenyan,-,-
-,-,-
born,-,-
American,-,-
academic,EVENT,Q560307_189
",",-,-
professor,EVENT,Q560307_190
",",-,-
and,-,-
political,-,-
writer,EVENT,Q560307_191
on,-,-
African,-,-
and,-,-
Islamic,-,-
studies,-,-
",",-,-
and,-,-
North,-,-
-,-,-
South,-,-
relations,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_324
was,-,-
born,EVENT,Q560307_1
in,-,-
Mombasa,-,-
",",-,-
Kenya,-,-
.,-,-
-,-,-
-,-,-
His,ENTITY,Q560307_193
positions,-,-
included,-,-
Director,-,-
of,-,-
the,ENTITY,Q560307_351
Institute,-,-
of,-,-
Global,-,-
Cultural,-,-
Studies,-,-
at,-,-
Binghamton,-,-
University,-,-
in,-,-
Binghamton,-,-
",",-,-
New,-,-
York,-,-
",",-,-
and,-,-
Director,-,-
of,-,-
the,-,-
Center,-,-
for,-,-
Afro,-,-
-,-,-
American,-,-
and,-,-
African,-,-
Studies,-,-
at,-,-
the,-,-
University,-,-
of,-,-
Michigan,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_194
produced,EVENT,Q560307_2
the,-,-
television,-,-
documentary,-,-
series,-,-
The,-,-
Africans,-,-
:,-,-
A,ENTITY,Q560307_348
Triple,-,-
Heritage,-,-
.,-,-
-,-,-
-,-,-
Mazrui,-,-
was,-,-
born,EVENT,Q560307_3
on,-,-
24,-,-
February,-,-
1933,-,-
in,-,-
Mombasa,-,-
",",-,-
Kenya,-,-
Colony,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_253
was,-,-
the,-,-
son,-,-
of,-,-
Al,-,-
-,-,-
Amin,-,-
Bin,-,-
Ali,-,-
Mazrui,-,-
",",-,-
the,-,-
Chief,-,-
Islamic,-,-
Judge,-,-
in,-,-
Kadhi,-,-
courts,-,-
of,-,-
Kenya,-,-
Colony,-,-
.,-,-
-,-,-
-,-,-
His,-,-
father,-,-
was,-,-
also,-,-
a,-,-
scholar,-,-
and,-,-
author,-,-
",",-,-
and,-,-
one,-,-
of,-,-
his,-,-
books,-,-
has,-,-
been,-,-
translated,-,-
into,-,-
English,-,-
by,ENTITY,Q560307_350
Hamza,-,-
Yusuf,-,-
as,-,-
"""",-,-
The,-,-
Content,-,-
of,-,-
Character,-,-
"""",-,-
",",-,-
to,-,-
which,-,-
Ali,ENTITY,Q560307_269
supplied,-,-
a,-,-
foreword,-,-
.,-,-
-,-,-
-,-,-
The,-,-
Mazrui,-,-
family,-,-
was,-,-
a,-,-
historically,-,-
wealthy,-,-
and,-,-
important,-,-
family,-,-
in,-,-
Kenya,-,-
",",-,-
having,-,-
previously,-,-
been,-,-
the,-,-
rulers,-,-
of,-,-
Mombasa,-,-
.,-,-
-,-,-
-,-,-
Ali,ENTITY,Q560307_276
's,-,-
father,-,-
was,-,-
the,-,-
Chief,-,-
Kadhi,-,-
of,-,-
Kenya,-,-
",",-,-
the,-,-
highest,-,-
authority,-,-
on,-,-
Islamic,-,-
law,-,-
.,-,-
-,-,-
-,-,-
-,-,-
Mazrui,-,-
credited,-,-
his,-,-
father,-,-
for,-,-
instilling,-,-
in,-,-
him,ENTITY,Q560307_195
the,-,-
urge,-,-
for,-,-
intellectual,-,-
debate,-,-
",",-,-
as,-,-
his,-,-
father,-,-
not,-,-
only,-,-
participated,-,-
in,-,-
court,-,-
proceedings,-,-
but,-,-
also,-,-
was,-,-
a,-,-
renowned,-,-
pamphleteer,-,-
and,-,-
public,-,-
debater,-,-
.,-,-
-,-,-
-,-,-
-,-,-
Mazrui,ENTITY,Q560307_196
would,-,-
",",-,-
from,-,-
a,-,-
young,-,-
age,-,-
",",-,-
accompany,EVENT,Q560307_4
his,-,-
father,-,-
to,-,-
court,-,-
and,-,-
listen,-,-
in,-,-
on,-,-
his,-,-
political,-,-
and,-,-
moral,-,-
debates,-,-
.,-,-
-,-,-
-,-,-
Mazrui,-,-
initially,-,-
intended,EVENT,Q560307_5
to,-,-
follow,EVENT,Q560307_6
the,-,-
path,-,-
of,-,-
his,ENTITY,Q560307_198
father,-,-
as,-,-
an,-,-
Islamist,-,-
and,-,-
pursue,EVENT,Q560307_197
his,ENTITY,Q560307_199
study,-,-
in,-,-
Al,-,-
-,-,-
Azhar,-,-
University,-,-
in,-,-
Egypt,-,-
.,-,-
-,-,-
-,-,-
Due,-,-
to,-,-
poor,-,-
performance,EVENT,Q560307_9
in,-,-
the,-,-
Cambridge,-,-
School,-,-
Certificate,-,-
examination,-,-
in,-,-
1949,-,-
",",-,-
Mazrui,ENTITY,Q560307_200
was,-,-
refused,EVENT,Q560307_8
entry,EVENT,Q560307_7
to,-,-
Makerere,-,-
College,-,-
(,-,-
now,-,-
Makerere,-,-
University,-,-
),-,-
",",-,-
the,-,-
only,-,-
tertiary,-,-
education,-,-
institute,-,-
in,-,-
East,-,-
Africa,-,-
at,-,-
that,-,-
time,-,-
.,-,-
-,-,-
-,-,-
He,ENTITY,Q560307_201
then,-,-
worked,EVENT,Q560307_10
in,-,-
the,-,-
Mombasa,-,-
Institute,-,-
of,-,-
Muslim,-,-
Education,-,-
(,-,-
now,-,-
Technical,-,-
University,-,-
of,-,-
Mombasa,-,-
),-,-
.,-,-
-,-,-
-,-,-
Mazrui,ENTITY,Q560307_202
attended,EVENT,Q560307_11
primary,-,-
school,-,-
in,-,-
Mombasa,-,-
",",-,-
where,-,-
he,-,-
recalled,EVENT,Q560307_12
having,-,-
learned,EVENT,Q560307_13
English,-,-
specifically,-,-
to,-,-
participate,-,-
in,-,-
formal,-,-
debates,-,-
",",-,-
before,-,-
he,ENTITY,Q560307_203
turned,EVENT,Q560307_14
the,-,-
talent,-,-
to,-,-
writing,-,-
.,-,-
-,-,-
-,-,-
-,-,-
Journalism,-,-
",",-,-
according,-,-
to,-,-
Mazrui,-,-
",",-,-
was,-,-
the,-,-
first,-,-
step,-,-
he,ENTITY,Q560307_204
took,REL,Q560307_15
down,-,-
the,-,-
academic,-,-
road,EVENT,Q560307_414
.,-,-
-,-,-
-,-,-
In,-,-
addition,-,-
to,-,-
English,-,-
",",-,-
Mazrui,ENTITY,Q560307_319
also,-,-
spoke,-,-
Swahili,-,-
and,-,-
Arabic,-,-
.,-,-
-,-,-
-,-,-
After,-,-
getting,REL,Q560307_17
a,-,-
Kenyan,-,-
Government,-,-
scholarship,EVENT,Q560307_16
",",-,-
Mazrui,-,-
furthered,EVENT,Q560307_18
his,-,-
study,EVENT,Q560307_19
and,-,-
obtained,EVENT,Q560307_20
his,-,-
B.A.,EVENT,Q560307_21
with,-,-
Distinction,-,-
from,-,-
Manchester,-,-
University,-,-
in,-,-
Great,-,-
Britain,-,-
in,-,-
1960,-,-
",",-,-
his,ENTITY,Q560307_205
M.A.,EVENT,Q560307_22
from,-,-
Columbia,-,-
University,-,-
in,-,-
New,-,-
York,-,-
in,-,-
1961,-,-
",",-,-
and,-,-
his,-,-
doctorate,EVENT,Q560307_23
(,-,-
DPhil,-,-
),-,-
from,-,-
Oxford,-,-
University,-,-
(,-,-
Nuffield,-,-
College,-,-
),-,-
in,-,-
1966,-,-
.,-,-
-,-,-
