doc,token,sentence,t_id,doc_id,m_id,tag
96770,World,0,1,,,
96770,stocks,0,2,,,
96770,plunge,0,3,,,
96770,on,0,4,,,
96770,fears,0,5,,,
96770,on,0,6,,,
96770,US,0,7,,,
96770,recession,0,8,,,
96770,January,1,9,,,
96770,21,1,10,,,
96770,",",1,11,,,
96770,2008,1,12,,,
96770,But,10,193,,,
96770,analysts,10,194,,,
96770,say,10,195,,,
96770,the,10,196,,,
96770,measure,10,197,,,
96770,may,10,198,,,
96770,not,10,199,,,
96770,be,10,200,,,
96770,able,10,201,,,
96770,to,10,202,,,
96770,prevent,10,203,,,
96770,a,10,204,,,
96770,recession,10,205,,,
96770,-,10,206,,,
96770,defined,10,207,,,
96770,as,10,208,,,
96770,a,10,209,,,
96770,broad,10,210,,,
96770,decline,10,211,,,
96770,in,10,212,,,
96770,a,10,213,,,
96770,nation,10,214,,,
96770,'s,10,215,,,
96770,economy,10,216,,,
96770,over,10,217,,,
96770,a,10,218,,,
96770,period,10,219,,,
96770,of,10,220,,,
96770,at,10,221,,,
96770,least,10,222,,,
96770,six,10,223,,,
96770,months,10,224,,,
96770,.,10,225,,,
96770,U.S.,11,226,,,
96770,markets,11,227,,,
96770,are,11,228,,,
96770,closed,11,229,96770,86,EVENT_MENTION
96770,on,11,230,,,
96770,Monday,11,231,,,
96770,for,11,232,,,
96770,Martin,11,233,,,
96770,Luther,11,234,,,
96770,King,11,235,,,
96770,Jr.,11,236,,,
96770,.,11,237,,,
96770,Day,12,238,,,
96770,",",12,239,,,
96770,a,12,240,,,
96770,national,12,241,,,
96770,holiday,12,242,,,
96770,",",12,243,,,
96770,but,12,244,,,
96770,stock,12,245,,,
96770,futures,12,246,,,
96770,trading,12,247,,,
96770,indicates,12,248,,,
96770,further,12,249,,,
96770,losses,12,250,,,
96770,are,12,251,,,
96770,expected,12,252,,,
96770,when,12,253,,,
96770,markets,12,254,,,
96770,reopen,12,255,96770,90,EVENT_MENTION
96770,Tuesday,12,256,,,
96770,.,12,257,,,
