token,ent,sent
Epistemic,0,0
pollution,0,0
Agents,ENTITY,0
can,0,0
rationally,0,0
choose,0,0
between,0,0
experts,0,0
only,0,0
if,0,0
the,0,0
criteria,0,0
that,0,0
distinguish,0,0
genuine,0,0
experts,0,0
from,0,0
charlatans,0,0
are,0,0
common,0,0
sense,0,0
or,0,0
widely,0,0
known,0,0
:,0,0
if,0,0
agents,ENTITY,0
are,0,0
to,0,0
satisfy,0,0
the,0,0
epistemic,0,0
conditions,0,0
on,0,0
responsibility,0,0
",",0,0
they,ENTITY,0
must,0,0
know,0,0
what,0,0
kinds,0,0
of,0,0
knowledge,0,0
they,ENTITY,0
must,0,0
utilize,0,0
to,0,0
guide,0,0
their,ENTITY,0
selection,0,0
of,0,0
sources,0,0
(,0,0
on,0,0
pain,0,0
of,0,0
infinite,0,0
regress,0,0
),0,0
.,0,0
In,0,1
fact,0,1
",",0,1
many,0,1
",",0,1
if,0,1
not,0,1
all,0,1
",",0,1
the,0,1
markers,0,1
of,0,1
expertise,0,1
identified,0,1
by,0,1
philosophers,0,1
enjoy,0,1
widespread,0,1
recognition,0,1
.,0,1
The,0,2
fact,0,2
that,0,2
these,0,2
criteria,0,2
are,0,2
widely,0,2
known,0,2
",",0,2
however,0,2
",",0,2
offers,0,2
an,0,2
opportunity,0,2
to,0,2
those,0,2
who,0,2
would,0,2
use,0,2
them,0,2
for,0,2
deception,0,2
",",0,2
witting,0,2
or,0,2
unwitting,0,2
.,0,2
Since,0,3
expertise,0,3
must,0,3
be,0,3
assessed,0,3
through,0,3
indirect,0,3
markers,0,3
",",0,3
to,0,3
mimic,0,3
the,0,3
markers,0,3
of,0,3
expertise,0,3
is,0,3
to,0,3
mimic,0,3
expertise,0,3
[,0,3
17,0,3
],0,3
.,0,3
We,0,4
live,0,4
in,0,4
an,0,4
epistemic,0,4
environment,0,4
that,0,4
is,0,4
heavily,0,4
and,0,4
deliberately,0,4
polluted,0,4
by,0,4
agents,0,4
who,0,4
use,0,4
mimicry,0,4
and,0,4
other,0,4
methods,0,4
as,0,4
a,0,4
means,0,4
of,0,4
inflating,0,4
their,0,4
pretense,0,4
to,0,4
expertise,0,4
.,0,4
This,0,5
fact,0,5
",",0,5
together,0,5
with,0,5
the,0,5
fact,0,5
that,0,5
such,0,5
deception,0,5
is,0,5
widely,0,5
known,0,5
to,0,5
occur,0,5
",",0,5
reduces,0,5
ordinary,0,5
people,0,5
’s,0,5
trust,0,5
in,0,5
expert,0,5
authority,0,5
and,0,5
diminishes,0,5
their,0,5
capacity,0,5
to,0,5
distinguish,0,5
reliable,0,5
from,0,5
unreliable,0,5
sources,0,5
.,0,5
For,0,6
instance,0,6
",",0,6
those,0,6
with,0,6
an,0,6
interest,0,6
in,0,6
deceiving,0,6
the,0,6
general,0,6
public,0,6
may,0,6
set,0,6
up,0,6
parallel,0,6
institutions,0,6
that,0,6
ostensibly,0,6
guarantee,0,6
expertise,0,6
",",0,6
taking,0,6
advantage,0,6
of,0,6
the,0,6
ways,0,6
in,0,6
which,0,6
these,0,6
parallel,0,6
institutions,0,6
mimic,0,6
legitimate,0,6
institutions,0,6
to,0,6
ensure,0,6
that,0,6
people,0,6
are,0,6
taken,0,6
in,0,6
.,0,6
There,0,7
are,0,7
some,0,7
egregious,0,7
examples,0,7
of,0,7
this,0,7
practice,0,7
in,0,7
the,0,7
field,0,7
of,0,7
health,0,7
care,0,7
.,0,7
For,0,8
example,0,8
",",0,8
a,0,8
small,0,8
number,0,8
of,0,8
doctors,0,8
set,0,8
up,0,8
the,0,8
American,0,8
College,0,8
of,0,8
Pediatricians,0,8
(,0,8
ACPeds,0,8
),0,8
to,0,8
advocate,0,8
socially,0,8
conservative,0,8
viewpoints,0,8
related,0,8
to,0,8
child,0,8
health,0,8
care,0,8
.,0,8
Such,0,9
an,0,9
organization,0,9
is,0,9
surely,0,9
permissible,0,9
",",0,9
but,0,9
it,0,9
has,0,9
had,0,9
the,0,9
unfortunate,0,9
(,0,9
and,0,9
likely,0,9
intended,0,9
),0,9
effect,0,9
of,0,9
muddying,0,9
debates,0,9
in,0,9
the,0,9
public,0,9
forum,0,9
by,0,9
misleading,0,9
people,0,9
into,0,9
thinking,0,9
that,0,9
the,0,9
college,0,9
speaks,0,9
for,0,9
the,0,9
pediatric,0,9
profession,0,9
at,0,9
large,0,9
.,0,9
Thus,0,10
",",0,10
when,0,10
ACPeds,0,10
issued,0,10
a,0,10
statement,0,10
condemning,0,10
gender,0,10
reassignment,0,10
surgery,0,10
in,0,10
2016,0,10
[,0,10
21,0,10
],0,10
",",0,10
many,0,10
people,0,10
mistook,0,10
the,0,10
organization,0,10
’s,0,10
political,0,10
beliefs,0,10
for,0,10
the,0,10
consensus,0,10
view,0,10
among,0,10
United,0,10
States,0,10
pediatricians,0,10
—,0,10
although,0,10
the,0,10
peak,0,10
body,0,10
for,0,10
pediatric,0,10
workers,0,10
",",0,10
the,0,10
American,0,10
Academy,0,10
of,0,10
Pediatrics,0,10
",",0,10
has,0,10
a,0,10
much,0,10
more,0,10
positive,0,10
view,0,10
of,0,10
gender,0,10
dysphoria,0,10
[,0,10
22,0,10
],0,10
.,0,10
Insofar,0,11
as,0,11
the,0,11
larger,0,11
organization,0,11
",",0,11
with,0,11
a,0,11
broader,0,11
membership,0,11
base,0,11
",",0,11
can,0,11
be,0,11
expected,0,11
to,0,11
reflect,0,11
a,0,11
wider,0,11
range,0,11
of,0,11
expert,0,11
opinions,0,11
and,0,11
a,0,11
higher,0,11
degree,0,11
of,0,11
expertise,0,11
",",0,11
it,0,11
is,0,11
reasonable,0,11
to,0,11
give,0,11
its,0,11
views,0,11
greater,0,11
weight,0,11
than,0,11
those,0,11
of,0,11
the,0,11
smaller,0,11
organization,0,11
.,0,11
When,0,12
ACPeds,0,12
allows,0,12
or,0,12
encourages,0,12
the,0,12
impression,0,12
that,0,12
it,0,12
speaks,0,12
for,0,12
the,0,12
profession,0,12
",",0,12
it,0,12
introduces,0,12
an,0,12
epistemic,0,12
pollutant,0,12
.,0,12
A,0,13
yet,0,13
more,0,13
egregious,0,13
example,0,13
of,0,13
such,0,13
pollution,0,13
involved,0,13
collaborative,0,13
efforts,0,13
by,0,13
pharmaceutical,0,13
companies,0,13
and,0,13
the,0,13
publishing,0,13
giant,0,13
Elsevier,0,13
to,0,13
produce,0,13
publications,0,13
mimicking,0,13
peer,0,13
-,0,13
reviewed,0,13
journals,0,13
in,0,13
the,0,13
interest,0,13
of,0,13
promoting,0,13
the,0,13
companies,0,13
’,0,13
commercial,0,13
products,0,13
[,0,13
23,0,13
],0,13
.,0,13
The,0,14
companies,0,14
hoped,0,14
to,0,14
leverage,0,14
the,0,14
prestige,0,14
of,0,14
Elsevier,0,14
with,0,14
these,0,14
fake,0,14
journals,0,14
to,0,14
endow,0,14
their,0,14
promotional,0,14
“,0,14
research,0,14
”,0,14
with,0,14
an,0,14
air,0,14
of,0,14
reliability,0,14
.,0,14
When,0,15
the,0,15
deceit,0,15
was,0,15
uncovered,0,15
",",0,15
however,0,15
",",0,15
the,0,15
effect,0,15
was,0,15
just,0,15
the,0,15
opposite,0,15
:,0,15
the,0,15
legitimacy,0,15
of,0,15
the,0,15
published,0,15
findings,0,15
was,0,15
not,0,15
enhanced,0,15
through,0,15
their,0,15
publication,0,15
by,0,15
Elsevier,0,15
",",0,15
but,0,15
rather,0,15
the,0,15
legitimacy,0,15
of,0,15
Elsevier,0,15
’s,0,15
publications,0,15
—,0,15
and,0,15
",",0,15
by,0,15
extension,0,15
",",0,15
all,0,15
academic,0,15
journals,0,15
—,0,15
was,0,15
diminished,0,15
through,0,15
their,0,15
dissemination,0,15
of,0,15
deceptive,0,15
and,0,15
commercially,0,15
interested,0,15
research,0,15
.,0,15
More,0,16
recently,0,16
",",0,16
institutions,0,16
of,0,16
academic,0,16
expertise,0,16
have,0,16
been,0,16
subject,0,16
to,0,16
a,0,16
large,0,16
and,0,16
growing,0,16
outbreak,0,16
of,0,16
so,0,16
-,0,16
called,0,16
predatory,0,16
journals,0,16
—,0,16
journals,0,16
that,0,16
will,0,16
publish,0,16
almost,0,16
anything,0,16
for,0,16
a,0,16
fee,0,16
.,0,16
Once,0,17
again,0,17
",",0,17
this,0,17
phenomenon,0,17
has,0,17
the,0,17
effect,0,17
of,0,17
making,0,17
peer,0,17
-,0,17
reviewed,0,17
journals,0,17
appear,0,17
less,0,17
legitimate,0,17
.,0,17
At,0,18
times,0,18
",",0,18
even,0,18
those,0,18
who,0,18
work,0,18
in,0,18
academia,0,18
may,0,18
be,0,18
unsure,0,18
of,0,18
a,0,18
particular,0,18
journal,0,18
’s,0,18
legitimacy,0,18
",",0,18
and,0,18
there,0,18
are,0,18
genuine,0,18
borderline,0,18
cases,0,18
.,0,18
For,0,19
example,0,19
",",0,19
the,0,19
Frontiers,0,19
contingent,0,19
of,0,19
journals,0,19
appears,0,19
legitimate,0,19
—,0,19
at,0,19
least,0,19
to,0,19
me,0,19
—,0,19
despite,0,19
the,0,19
fact,0,19
that,0,19
authors,0,19
are,0,19
expected,0,19
to,0,19
pay,0,19
a,0,19
publication,0,19
fee,0,19
.,0,19
8,0,20
Yet,0,20
some,0,20
Frontiers,0,20
journals,0,20
appear,0,20
to,0,20
have,0,20
engaged,0,20
in,0,20
bad,0,20
behavior,0,20
",",0,20
whether,0,20
for,0,20
profit,0,20
or,0,20
for,0,20
some,0,20
other,0,20
motive,0,20
.,0,20
Frontiers,0,21
in,0,21
Public,0,21
Health,0,21
controversially,0,21
published,0,21
articles,0,21
linking,0,21
vaccines,0,21
and,0,21
autism,0,21
[,0,21
24,0,21
],0,21
and,0,21
questioning,0,21
the,0,21
link,0,21
between,0,21
HIV,0,21
and,0,21
AIDS,0,21
[,0,21
25,0,21
],0,21
.,0,21
Whether,0,22
due,0,22
to,0,22
this,0,22
behavior,0,22
or,0,22
not,0,22
",",0,22
Jeffrey,0,22
Beall,0,22
decided,0,22
to,0,22
add,0,22
the,0,22
publisher,0,22
to,0,22
his,0,22
influential,0,22
(,0,22
but,0,22
now,0,22
sadly,0,22
unavailable,0,22
),0,22
list,0,22
of,0,22
questionable,0,22
journals,0,22
[,0,22
26,0,22
],0,22
.,0,22
The,0,23
controversy,0,23
surrounding,0,23
Beall,0,23
’s,0,23
decision,0,23
indicates,0,23
how,0,23
difficult,0,23
it,0,23
is,0,23
to,0,23
make,0,23
such,0,23
judgments,0,23
—,0,23
even,0,23
for,0,23
professionals,0,23
.,0,23
If,0,24
academics,0,24
with,0,24
expertise,0,24
in,0,24
relevant,0,24
fields,0,24
have,0,24
difficulty,0,24
assessing,0,24
whether,0,24
particular,0,24
journals,0,24
or,0,24
particular,0,24
publishers,0,24
are,0,24
legitimate,0,24
",",0,24
one,0,24
can,0,24
not,0,24
reasonably,0,24
expect,0,24
ordinary,0,24
people,0,24
to,0,24
make,0,24
such,0,24
judgments,0,24
.,0,24
If,0,25
their,0,25
confidence,0,25
in,0,25
scientific,0,25
findings,0,25
is,0,25
lowered,0,25
across,0,25
the,0,25
board,0,25
as,0,25
the,0,25
result,0,25
of,0,25
such,0,25
epistemic,0,25
pollution,0,25
",",0,25
one,0,25
can,0,25
hardly,0,25
blame,0,25
them,0,25
.,0,25
Since,0,26
conflicts,0,26
of,0,26
interest,0,26
are,0,26
a,0,26
reason,0,26
to,0,26
discount,0,26
expertise,0,26
",",0,26
it,0,26
is,0,26
incumbent,0,26
on,0,26
me,0,26
to,0,26
note,0,26
that,0,26
I,0,26
have,0,26
published,0,26
in,0,26
Frontiers,0,26
journals,0,26
on,0,26
several,0,26
occasions,0,26
.,0,26
Epistemic,0,27
pollution,0,27
may,0,27
stem,0,27
not,0,27
only,0,27
from,0,27
counterfeit,0,27
institutions,0,27
of,0,27
knowledge,0,27
production,0,27
but,0,27
also,0,27
from,0,27
bad,0,27
behavior,0,27
by,0,27
legitimate,0,27
institutions,0,27
.,0,27
9,0,28
For,0,28
example,0,28
",",0,28
pollution,0,28
may,0,28
result,0,28
from,0,28
attempts,0,28
to,0,28
game,0,28
the,0,28
systems,0,28
put,0,28
in,0,28
place,0,28
to,0,28
track,0,28
expertise,0,28
.,0,28
Consider,0,29
institutions,0,29
with,0,29
a,0,29
credentialing,0,29
function,0,29
",",0,29
such,0,29
as,0,29
universities,0,29
",",0,29
bar,0,29
associations,0,29
",",0,29
or,0,29
peer,0,29
review,0,29
bodies,0,29
.,0,29
These,0,30
institutions,0,30
do,0,30
not,0,30
exist,0,30
solely,0,30
to,0,30
credential,0,30
experts,0,30
.,0,30
They,0,31
have,0,31
other,0,31
functions,0,31
",",0,31
and,0,31
these,0,31
functions,0,31
may,0,31
come,0,31
into,0,31
conflict,0,31
",",0,31
creating,0,31
pressures,0,31
to,0,31
inflate,0,31
credentials,0,31
.,0,31
For,0,32
example,0,32
",",0,32
universities,0,32
have,0,32
a,0,32
financial,0,32
incentive,0,32
to,0,32
inflate,0,32
the,0,32
expertise,0,32
of,0,32
their,0,32
academic,0,32
staff,0,32
",",0,32
thereby,0,32
increasing,0,32
their,0,32
rankings,0,32
",",0,32
bringing,0,32
in,0,32
grant,0,32
money,0,32
",",0,32
and,0,32
attracting,0,32
students,0,32
.,0,32
Systems,0,33
that,0,33
assess,0,33
expertise,0,33
can,0,33
be,0,33
manipulated,0,33
",",0,33
and,0,33
many,0,33
cases,0,33
of,0,33
such,0,33
manipulation,0,33
exist,0,33
—,0,33
take,0,33
the,0,33
recent,0,33
example,0,33
by,0,33
the,0,33
University,0,33
of,0,33
Malaysia,0,33
",",0,33
which,0,33
attempted,0,33
to,0,33
boost,0,33
metrics,0,33
by,0,33
urging,0,33
its,0,33
faculty,0,33
to,0,33
cite,0,33
one,0,33
another,0,33
[,0,33
28,0,33
],0,33
.,0,33
For,0,34
this,0,34
reason,0,34
",",0,34
institutions,0,34
may,0,34
also,0,34
be,0,34
slow,0,34
to,0,34
investigate,0,34
accusations,0,34
of,0,34
fraud,0,34
",",0,34
and,0,34
they,0,34
may,0,34
try,0,34
to,0,34
keep,0,34
their,0,34
discoveries,0,34
in,0,34
-,0,34
house,0,34
to,0,34
protect,0,34
their,0,34
reputations,0,34
.,0,34
