text,label,sentence
Hackers,0,0
attack,0,0
Church,ENTITY,0
of,ENTITY,0
Scientology,ENTITY,0
website,0,0
Sunday,0,0
",",0,0
January,0,0
20,0,0
",",0,0
2008,0,0
Wikinews,0,0
has,0,0
learned,0,0
that,0,0
according,0,0
to,0,0
an,0,0
Internet,0,0
posting,0,0
made,0,0
just,0,0
over,0,0
24,0,0
hours,0,0
ago,0,0
",",0,0
the,ENTITY,0
Church,ENTITY,0
of,ENTITY,0
Scientology,ENTITY,0
's,ENTITY,0
website,0,0
is,0,0
being,0,0
attacked,0,0
by,0,0
hackers,0,0
",",0,0
causing,0,0
the,0,0
site,0,0
to,0,0
shut,0,0
down,0,0
.,0,0
The,0,1
attack,0,1
was,0,1
launched,0,1
on,0,1
Wednesday,0,1
by,0,1
a,0,1
user,0,1
labelled,0,1
"""",0,1
Anonymous,0,1
"""",0,1
",",0,1
on,0,1
the,0,1
website,0,1
"""",0,1
Insurgency,0,1
Wiki,0,1
"""",0,1
",",0,1
a,0,1
spinoff,0,1
of,0,1
4chan,0,1
.,0,1
The,0,2
"""",0,2
History,0,2
"""",0,2
section,0,2
of,0,2
the,0,2
site,0,2
explains,0,2
",",0,2
in,0,2
a,0,2
satirical,0,2
fashion,0,2
",",0,2
that,0,2
the,0,2
incident,0,2
was,0,2
prompted,0,2
by,0,2
the,ENTITY,2
Church,ENTITY,2
of,ENTITY,2
Scientology,ENTITY,2
's,ENTITY,2
attempts,0,2
to,0,2
remove,0,2
a,0,2
promotional,0,2
video,0,2
featuring,0,2
Scientologist,0,2
Tom,0,2
Cruise,0,2
from,0,2
YouTube,0,2
.,0,2
Though,0,3
YouTube,0,3
is,0,3
complying,0,3
with,0,3
the,ENTITY,3
Church,ENTITY,3
of,ENTITY,3
Scientology,ENTITY,3
's,ENTITY,3
requests,0,3
to,0,3
take,0,3
down,0,3
the,0,3
video,0,3
",",0,3
other,0,3
sites,0,3
such,0,3
as,0,3
Gawker.com,0,3
have,0,3
stated,0,3
that,0,3
they,0,3
will,0,3
keep,0,3
hosting,0,3
the,0,3
video,0,3
.,0,3
"""",0,4
So,0,4
far,0,4
",",0,4
it,0,4
's,0,4
the,0,4
Internet,0,4
:,0,4
1,0,4
",",0,4
Scientology,ENTITY,4
:,0,4
0,0,4
.,0,4
But,0,5
it,0,5
's,0,5
a,0,5
long,0,5
game,0,5
.,0,5
"""",0,6
-,0,6
Matthew,0,6
Ingram,0,6
Writing,0,6
in,0,6
a,0,6
blog,0,6
post,0,6
",",0,6
Matthew,0,6
Ingram,0,6
of,0,6
The,0,6
Globe,0,6
and,0,6
Mail,0,6
