token,ent,sent
Microsoft,ENTITY,0
waits,0,0
for,0,0
death,0,0
of,0,0
Internet,0,0
Explorer,0,0
6,0,0
Tuesday,0,0
",",0,0
March,0,0
8,0,0
",",0,0
2011,0,0
With,0,0
development,0,0
of,0,0
Microsoft,ENTITY,0
's,ENTITY,0
Internet,0,0
Explorer,0,0
9,0,0
(,0,0
IE9,0,0
),0,0
browser,0,0
almost,0,0
complete,0,0
",",0,0
Microsoft,ENTITY,0
announced,0,0
on,0,0
Friday,0,0
that,0,0
it,0,0
is,0,0
time,0,0
for,0,0
IE6,0,0
users,0,0
to,0,0
move,0,0
away,0,0
from,0,0
the,0,0
antiquated,0,0
10,0,0
-,0,0
year,0,0
-,0,0
old,0,0
browser,0,0
.,0,0
Microsoft,ENTITY,1
has,0,1
replaced,0,1
it,0,1
with,0,1
three,0,1
newer,0,1
versions,0,1
.,0,1
On,0,2
a,0,2
new,0,2
website,0,2
",",0,2
"""",0,2
The,0,2
Internet,0,2
Explorer,0,2
6,0,2
Countdown,0,2
"""",0,2
",",0,2
Microsoft,ENTITY,2
has,0,2
launched,0,2
an,0,2
aggressive,0,2
campaign,0,2
to,0,2
persuade,0,2
users,0,2
to,0,2
stop,0,2
using,0,2
IE6,0,2
and,0,2
update,0,2
to,0,2
a,0,2
newer,0,2
IE,0,2
.,0,2
Its,0,3
goal,0,3
is,0,3
to,0,3
decrease,0,3
IE6,0,3
users,0,3
to,0,3
less,0,3
than,0,3
one,0,3
percent,0,3
.,0,3
"""",0,4
[,0,4
Ten,0,4
],0,4
years,0,4
ago,0,4
",",0,4
a,0,4
browser,0,4
was,0,4
born,0,4
.,0,4
Its,0,5
name,0,5
was,0,5
Internet,0,5
Explorer,0,5
6,0,5
.,0,5
Now,0,6
that,0,6
we,0,6
’re,0,6
in,0,6
2011,0,6
",",0,6
in,0,6
an,0,6
era,0,6
of,0,6
modern,0,6
web,0,6
standards,0,6
",",0,6
it,0,6
’s,0,6
time,0,6
to,0,6
say,0,6
goodbye,0,6
",",0,6
"""",0,6
Microsoft,ENTITY,6
says,0,6
on,0,6
"""",0,6
The,0,6
Internet,0,6
Explorer,0,6
6,0,6
Countdown,0,6
"""",0,6
.,0,6
Internet,0,7
Explorer,0,7
's,0,7
market,0,7
share,0,7
is,0,7
slipping,0,7
.,0,7
IE,0,8
's,0,8
various,0,8
versions,0,8
accounted,0,8
for,0,8
70,0,8
percent,0,8
of,0,8
the,0,8
market,0,8
in,0,8
2009,0,8
;,0,8
this,0,8
has,0,8
dropped,0,8
to,0,8
approximately,0,8
56,0,8
percent,0,8
today,0,8
.,0,8
Mozilla,0,9
Firefox,0,9
",",0,9
its,0,9
main,0,9
rival,0,9
",",0,9
has,0,9
been,0,9
actively,0,9
increasing,0,9
its,0,9
market,0,9
share,0,9
while,0,9
the,0,9
recently,0,9
released,0,9
Google,0,9
Chrome,0,9
is,0,9
also,0,9
quickly,0,9
gaining,0,9
users,0,9
.,0,9
PC,0,10
World,0,10
's,0,10
recent,0,10
analysis,0,10
of,0,10
its,0,10
own,0,10
web,0,10
traffic,0,10
statistics,0,10
