token,label,sentence
CHAPTER,O,0
I,O,0
In,O,0
Chancery,O,0
London,O,0
.,O,0
Michaelmas,O,1
term,O,1
lately,O,1
over,O,1
",",O,1
and,O,1
the,O,1
Lord,O,1
Chancellor,O,1
sitting,O,1
in,O,1
Lincoln,O,1
's,O,1
Inn,O,1
Hall,O,1
.,O,1
Implacable,O,2
November,O,2
weather,O,2
.,O,2
As,O,3
much,O,3
mud,O,3
in,O,3
the,O,3
streets,O,3
as,O,3
if,O,3
the,O,3
waters,O,3
had,O,3
but,O,3
newly,O,3
retired,O,3
from,O,3
the,O,3
face,O,3
of,O,3
the,O,3
earth,O,3
",",O,3
and,O,3
it,O,3
would,O,3
not,O,3
be,O,3
wonderful,O,3
to,O,3
meet,O,3
a,O,3
Megalosaurus,O,3
",",O,3
forty,O,3
feet,O,3
long,O,3
or,O,3
so,O,3
",",O,3
waddling,O,3
like,O,3
an,O,3
elephantine,O,3
lizard,O,3
up,O,3
Holborn,O,3
Hill,O,3
.,O,3
Smoke,EVENT,4
lowering,EVENT,4
down,O,4
from,O,4
chimney-pots,O,4
",",O,4
making,O,4
a,O,4
soft,O,4
black,O,4
drizzle,EVENT,4
",",O,4
with,O,4
flakes,O,4
of,O,4
soot,O,4
in,O,4
it,O,4
as,O,4
big,O,4
as,O,4
full-grown,O,4
snowflakes,O,4
--,O,4
gone,O,4
into,O,4
mourning,O,4
",",O,4
one,O,4
might,O,4
imagine,O,4
",",O,4
for,O,4
the,O,4
death,O,4
of,O,4
the,O,4
sun,O,4
.,O,4
Dogs,O,5
",",O,5
undistinguishable,O,5
in,O,5
mire,O,5
.,O,5
Horses,O,6
",",O,6
scarcely,O,6
better,O,6
;,O,6
splashed,O,6
to,O,6
their,O,6
very,O,6
blinkers,O,6
.,O,6
Foot,O,7
passengers,O,7
",",O,7
jostling,EVENT,7
one,O,7
another,O,7
's,O,7
umbrellas,O,7
in,O,7
a,O,7
general,O,7
infection,EVENT,7
of,O,7
ill,O,7
temper,EVENT,7
",",O,7
and,O,7
losing,EVENT,7
their,O,7
foot-hold,O,7
at,O,7
street-corners,O,7
",",O,7
where,O,7
tens,O,7
of,O,7
thousands,O,7
of,O,7
other,O,7
foot,O,7
passengers,O,7
have,O,7
been,O,7
slipping,EVENT,7
and,O,7
sliding,EVENT,7
since,O,7
the,O,7
day,O,7
broke,O,7
(,O,7
if,O,7
this,O,7
day,O,7
ever,O,7
broke,O,7
),O,7
",",O,7
adding,O,7
new,O,7
deposits,EVENT,7
to,O,7
the,O,7
crust,O,7
upon,O,7
crust,O,7
of,O,7
mud,O,7
",",O,7
sticking,EVENT,7
at,O,7
those,O,7
points,O,7
tenaciously,O,7
to,O,7
the,O,7
pavement,O,7
",",O,7
and,O,7
accumulating,EVENT,7
at,O,7
compound,O,7
interest,O,7
.,O,7
Fog,EVENT,8
everywhere,O,8
.,O,8
Fog,EVENT,9
up,O,9
the,O,9
river,O,9
",",O,9
where,O,9
it,O,9
flows,EVENT,9
among,O,9
green,O,9
aits,O,9
and,O,9
meadows,O,9
;,O,9
fog,EVENT,9
down,O,9
the,O,9
river,O,9
",",O,9
where,O,9
it,O,9
rolls,EVENT,9
defiled,O,9
among,O,9
the,O,9
tiers,O,9
of,O,9
shipping,O,9
and,O,9
the,O,9
waterside,O,9
pollutions,O,9
of,O,9
a,O,9
great,O,9
(,O,9
and,O,9
dirty,O,9
),O,9
city,O,9
.,O,9
Fog,EVENT,10
on,O,10
the,O,10
Essex,O,10
marshes,O,10
",",O,10
fog,EVENT,10
on,O,10
the,O,10
Kentish,O,10
heights,O,10
.,O,10
Fog,EVENT,11
creeping,EVENT,11
into,O,11
the,O,11
cabooses,O,11
of,O,11
collier-brigs,O,11
;,O,11
fog,EVENT,11
lying,O,11
out,O,11
on,O,11
the,O,11
yards,O,11
and,O,11
hovering,EVENT,11
in,O,11
the,O,11
rigging,O,11
of,O,11
great,O,11
ships,O,11
;,O,11
