token,label,sentence
The,O,0
had,O,0
long,O,0
devastated,O,0
the,O,0
country,O,0
.,O,0
No,O,1
pestilence,O,1
had,O,1
ever,O,1
been,O,1
so,O,1
fatal,O,1
",",O,1
or,O,1
so,O,1
hideous,O,1
.,O,1
Blood,O,2
was,O,2
its,O,2
Avatar,O,2
and,O,2
its,O,2
seal,O,2
--,O,2
the,O,2
redness,O,2
and,O,2
the,O,2
horror,O,2
of,O,2
blood,O,2
.,O,2
There,O,3
were,O,3
sharp,O,3
pains,O,3
",",O,3
and,O,3
sudden,O,3
dizziness,O,3
",",O,3
and,O,3
then,O,3
profuse,O,3
bleeding,O,3
at,O,3
the,O,3
pores,O,3
",",O,3
with,O,3
dissolution,O,3
.,O,3
The,O,4
scarlet,O,4
stains,O,4
upon,O,4
the,O,4
body,O,4
and,O,4
especially,O,4
upon,O,4
the,O,4
face,O,4
of,O,4
the,O,4
victim,O,4
",",O,4
were,O,4
the,O,4
pest,O,4
ban,O,4
which,O,4
shut,O,4
him,O,4
out,O,4
from,O,4
the,O,4
aid,O,4
and,O,4
from,O,4
the,O,4
sympathy,O,4
of,O,4
his,O,4
fellow-men,O,4
.,O,4
And,O,5
the,O,5
whole,O,5
seizure,O,5
",",O,5
progress,O,5
and,O,5
termination,O,5
of,O,5
the,O,5
disease,O,5
",",O,5
were,O,5
the,O,5
incidents,O,5
of,O,5
half,O,5
an,O,5
hour,O,5
.,O,5
But,O,6
the,O,6
Prince,O,6
Prospero,O,6
was,O,6
happy,O,6
and,O,6
dauntless,O,6
and,O,6
sagacious,O,6
.,O,6
When,O,7
his,O,7
dominions,O,7
were,O,7
half,O,7
depopulated,O,7
",",O,7
he,O,7
summoned,EVENT,7
to,O,7
his,O,7
presence,O,7
a,O,7
thousand,O,7
hale,O,7
and,O,7
light-hearted,O,7
friends,O,7
from,O,7
among,O,7
the,O,7
knights,O,7
and,O,7
dames,O,7
of,O,7
his,O,7
court,O,7
",",O,7
and,O,7
with,O,7
these,O,7
retired,EVENT,7
to,O,7
the,O,7
deep,O,7
seclusion,O,7
of,O,7
one,O,7
of,O,7
his,O,7
castellated,O,7
abbeys,O,7
.,O,7
This,O,8
was,O,8
an,O,8
extensive,O,8
and,O,8
magnificent,O,8
structure,O,8
",",O,8
the,O,8
creation,O,8
of,O,8
the,O,8
prince,O,8
's,O,8
own,O,8
eccentric,O,8
yet,O,8
august,O,8
taste,O,8
.,O,8
A,O,9
strong,O,9
and,O,9
lofty,O,9
wall,O,9
girdled,O,9
it,O,9
in,O,9
.,O,9
This,O,10
wall,O,10
had,O,10
gates,O,10
of,O,10
iron,O,10
.,O,10
The,O,11
courtiers,O,11
",",O,11
having,O,11
entered,EVENT,11
",",O,11
brought,EVENT,11
furnaces,O,11
and,O,11
massy,O,11
hammers,O,11
and,O,11
welded,EVENT,11
the,O,11
bolts,O,11
.,O,11
They,O,12
resolved,EVENT,12
to,O,12
leave,O,12
means,O,12
neither,O,12
of,O,12
ingress,O,12
nor,O,12
egress,O,12
to,O,12
the,O,12
sudden,O,12
impulses,O,12
of,O,12
despair,O,12
or,O,12
of,O,12
frenzy,O,12
from,O,12
