token,label,sentence
Phase,O,0
the,O,0
First,O,0
:,O,0
The,O,0
Maiden,O,0
I,O,0
On,O,0
an,O,0
evening,O,0
in,O,0
the,O,0
latter,O,0
part,O,0
of,O,0
May,O,0
a,O,0
middle-aged,O,0
man,O,0
was,O,0
walking,EVENT,0
homeward,O,0
from,O,0
Shaston,O,0
to,O,0
the,O,0
village,O,0
of,O,0
Marlott,O,0
",",O,0
in,O,0
the,O,0
adjoining,O,0
Vale,O,0
of,O,0
Blakemore,O,0
",",O,0
or,O,0
Blackmoor,O,0
.,O,0
The,O,1
pair,O,1
of,O,1
legs,O,1
that,O,1
carried,O,1
him,O,1
were,O,1
rickety,O,1
",",O,1
and,O,1
there,O,1
was,O,1
a,O,1
bias,O,1
in,O,1
his,O,1
gait,O,1
which,O,1
inclined,EVENT,1
him,O,1
somewhat,O,1
to,O,1
the,O,1
left,O,1
of,O,1
a,O,1
straight,O,1
line,O,1
.,O,1
He,O,2
occasionally,O,2
gave,O,2
a,O,2
smart,O,2
nod,EVENT,2
",",O,2
as,O,2
if,O,2
in,O,2
confirmation,O,2
of,O,2
some,O,2
opinion,O,2
",",O,2
though,O,2
he,O,2
was,O,2
not,O,2
thinking,O,2
of,O,2
anything,O,2
in,O,2
particular,O,2
.,O,2
An,O,3
empty,O,3
egg-basket,O,3
was,O,3
slung,O,3
upon,O,3
his,O,3
arm,O,3
",",O,3
the,O,3
nap,O,3
of,O,3
his,O,3
hat,O,3
was,O,3
ruffled,O,3
",",O,3
a,O,3
patch,O,3
being,O,3
quite,O,3
worn,O,3
away,O,3
at,O,3
its,O,3
brim,O,3
where,O,3
his,O,3
thumb,O,3
came,EVENT,3
in,O,3
taking,EVENT,3
it,O,3
off,O,3
.,O,3
Presently,O,4
he,O,4
was,O,4
met,EVENT,4
by,O,4
an,O,4
elderly,O,4
parson,O,4
astride,O,4
on,O,4
a,O,4
gray,O,4
mare,O,4
",",O,4
who,O,4
",",O,4
as,O,4
he,O,4
rode,EVENT,4
",",O,4
hummed,EVENT,4
a,O,4
wandering,O,4
tune,O,4
.,O,4
said,EVENT,5
the,O,5
man,O,5
with,O,5
the,O,5
basket,O,5
.,O,5
said,EVENT,6
the,O,6
parson,O,6
.,O,6
The,O,7
pedestrian,O,7
",",O,7
after,O,7
another,O,7
pace,O,7
or,O,7
two,O,7
",",O,7
halted,EVENT,7
",",O,7
and,O,7
turned,EVENT,7
round,O,7
.,O,7
said,EVENT,8
the,O,8
parson,O,8
.,O,8
The,O,9
parson,O,9
rode,EVENT,9
a,O,9
step,O,9
or,O,9
two,O,9
nearer,O,9
.,O,9
he,O,10
said,EVENT,10
;,O,10
and,O,10
",",O,10
after,O,10
a,O,10
moment,O,10
's,O,10
hesitation,EVENT,10
:,O,10
concluded,EVENT,10
the,O,10
parson,O,10
",",O,10
decisively,O,10
smacking,EVENT,10
his,O,10
leg,O,10
with,O,10
his,O,10
switch,O,10
",",O,10
said,EVENT,10
Durbeyfield,O,10
.,O,10
The,O,11
clergyman,O,11
explained,EVENT,11
that,O,11
",",O,11
as,O,11
far,O,11
as,O,11
he,O,11
was,O,11
aware,O,11
",",O,11
it,O,11
had,O,11
quite,O,11
died,O,11
out,O,11
of,O,11
knowledge,O,11
",",O,11
and,O,11
could,O,11
hardly,O,11
be,O,11
said,O,11
to,O,11
be,O,11
known,O,11
at,O,11
all,O,11
.,O,11
His,O,12
own,O,12
investigations,EVENT,12
had,O,12
begun,O,12
on,O,12
a,O,12
day,O,12
in,O,12
the,O,12
preceding,O,12
spring,O,12
when,O,12
",",O,12
having,O,12
been,O,12
engaged,O,12
in,O,12
tracing,EVENT,12
the,O,12
vicissitudes,O,12
of,O,12
the,O,12
d'Urberville,O,12
family,O,12
",",O,12
he,O,12
had,O,12
observed,EVENT,12
Durbeyfield,O,12
's,O,12
name,O,12
on,O,12
his,O,12
waggon,O,12
",",O,12
and,O,12
had,O,12
thereupon,O,12
been,O,12
led,O,12
to,O,12
make,O,12
inquiries,O,12
about,O,12
his,O,12
father,O,12
and,O,12
grandfather,O,12
till,O,12
he,O,12
had,O,12
no,O,12
doubt,O,12
on,O,12
the,O,12
subject,O,12
.,O,12
said,EVENT,13
he,O,13
.,O,13
asked,EVENT,14
Durbeyfield,O,14
",",O,14
after,O,14
a,O,14
pause,EVENT,14
.,O,14
Concluding,EVENT,15
thus,O,15
",",O,15
the,O,15
parson,O,15
rode,EVENT,15
on,O,15
his,O,15
way,O,15
",",O,15
with,O,15
doubts,EVENT,15
as,O,15
to,O,15
his,O,15
discretion,O,15
in,O,15
retailing,EVENT,15
this,O,15
curious,O,15
bit,O,15
of,O,15
lore,O,15
.,O,15
When,O,16
he,O,16
was,O,16
gone,EVENT,16
",",O,16
Durbeyfield,O,16
walked,EVENT,16
a,O,16
few,O,16
steps,O,16
in,O,16
a,O,16
profound,O,16
reverie,O,16
",",O,16
and,O,16
then,O,16
sat,EVENT,16
down,O,16
upon,O,16
the,O,16
grassy,O,16
bank,O,16
by,O,16
the,O,16
roadside,O,16
",",O,16
depositing,EVENT,16
his,O,16
basket,O,16
before,O,16
him,O,16
.,O,16
In,O,17
a,O,17
few,O,17
minutes,O,17
a,O,17
youth,O,17
appeared,EVENT,17
in,O,17
the,O,17
distance,O,17
",",O,17
walking,EVENT,17
in,O,17
the,O,17
same,O,17
direction,O,17
as,O,17
that,O,17
which,O,17
had,O,17
been,O,17
pursued,EVENT,17
by,O,17
Durbeyfield,O,17
.,O,17
The,O,18
latter,O,18
",",O,18
on,O,18
seeing,EVENT,18
him,O,18
",",O,18
held,EVENT,18
up,O,18
his,O,18
hand,O,18
",",O,18
and,O,18
the,O,18
lad,O,18
quickened,EVENT,18
his,O,18
pace,O,18
and,O,18
came,EVENT,18
near,O,18
.,O,18
The,O,19
lath-like,O,19
stripling,O,19
frowned,EVENT,19
.,O,19
And,O,20
as,O,20
he,O,20
made,O,20
the,O,20
announcement,EVENT,20
",",O,20
Durbeyfield,O,20
",",O,20
declining,EVENT,20
from,O,20
his,O,20
sitting,O,20
position,O,20
",",O,20
luxuriously,O,20
stretched,EVENT,20
himself,O,20
out,O,20
upon,O,20
the,O,20
bank,O,20
among,O,20
the,O,20
daisies,O,20
.,O,20
The,O,21
lad,O,21
stood,O,21
before,O,21
Durbeyfield,O,21
",",O,21
and,O,21
contemplated,EVENT,21
his,O,21
length,O,21
from,O,21
crown,O,21
to,O,21
toe,O,21
.,O,21
continued,EVENT,22
the,O,22
prostrate,O,22
man,O,22
.,O,22
As,O,23
the,O,23
lad,O,23
stood,O,23
in,O,23
a,O,23
dubious,O,23
attitude,O,23
",",O,23
Durbeyfield,O,23
put,EVENT,23
his,O,23
hand,O,23
in,O,23
his,O,23
pocket,O,23
",",O,23
and,O,23
produced,EVENT,23
a,O,23
shilling,O,23
",",O,23
one,O,23
of,O,23
the,O,23
chronically,O,23
few,O,23
that,O,23
he,O,23
possessed,O,23
.,O,23
This,O,24
made,O,24
a,O,24
difference,O,24
in,O,24
the,O,24
young,O,24
man,O,24
's,O,24
estimate,EVENT,24
of,O,24
the,O,24
position,O,24
.,O,24
