token,label,sentence
I,O,0
am,O,0
a,O,0
rather,O,0
elderly,O,0
man,O,0
.,O,0
The,O,1
nature,O,1
of,O,1
my,O,1
avocations,O,1
for,O,1
the,O,1
last,O,1
thirty,O,1
years,O,1
has,O,1
brought,O,1
me,O,1
into,O,1
more,O,1
than,O,1
ordinary,O,1
contact,O,1
with,O,1
what,O,1
would,O,1
seem,O,1
an,O,1
interesting,O,1
and,O,1
somewhat,O,1
singular,O,1
set,O,1
of,O,1
men,O,1
",",O,1
of,O,1
whom,O,1
as,O,1
yet,O,1
nothing,O,1
that,O,1
I,O,1
know,O,1
of,O,1
has,O,1
ever,O,1
been,O,1
written,O,1
:,O,1
--,O,1
I,O,1
mean,O,1
the,O,1
law-copyists,O,1
or,O,1
scriveners,O,1
.,O,1
I,O,2
have,O,2
known,O,2
very,O,2
many,O,2
of,O,2
them,O,2
",",O,2
professionally,O,2
and,O,2
privately,O,2
",",O,2
and,O,2
if,O,2
I,O,2
pleased,O,2
",",O,2
could,O,2
relate,O,2
divers,O,2
histories,O,2
",",O,2
at,O,2
which,O,2
good-natured,O,2
gentlemen,O,2
might,O,2
smile,O,2
",",O,2
and,O,2
sentimental,O,2
souls,O,2
might,O,2
weep,O,2
.,O,2
But,O,3
I,O,3
waive,O,3
the,O,3
biographies,O,3
of,O,3
all,O,3
other,O,3
scriveners,O,3
for,O,3
a,O,3
few,O,3
passages,O,3
in,O,3
the,O,3
life,O,3
of,O,3
Bartleby,O,3
",",O,3
who,O,3
was,O,3
a,O,3
scrivener,O,3
of,O,3
the,O,3
strangest,O,3
I,O,3
ever,O,3
saw,O,3
or,O,3
heard,O,3
of,O,3
.,O,3
While,O,4
of,O,4
other,O,4
law-copyists,O,4
I,O,4
might,O,4
write,O,4
the,O,4
complete,O,4
life,O,4
",",O,4
of,O,4
Bartleby,O,4
nothing,O,4
of,O,4
that,O,4
sort,O,4
can,O,4
be,O,4
done,O,4
.,O,4
I,O,5
believe,O,5
that,O,5
no,O,5
materials,O,5
exist,O,5
for,O,5
a,O,5
full,O,5
and,O,5
satisfactory,O,5
biography,O,5
of,O,5
this,O,5
man,O,5
.,O,5
It,O,6
is,O,6
an,O,6
irreparable,O,6
loss,O,6
to,O,6
literature,O,6
.,O,6
Bartleby,O,7
was,O,7
one,O,7
of,O,7
those,O,7
beings,O,7
of,O,7
whom,O,7
nothing,O,7
is,O,7
ascertainable,O,7
",",O,7
except,O,7
from,O,7
the,O,7
original,O,7
sources,O,7
",",O,7
and,O,7
in,O,7
his,O,7
case,O,7
those,O,7
are,O,7
very,O,7
small,O,7
.,O,7
What,O,8
my,O,8
own,O,8
astonished,O,8
eyes,O,8
saw,O,8
of,O,8
Bartleby,O,8
",",O,8
_,O,8
that,O,8
_,O,8
is,O,8
all,O,8
I,O,8
know,O,8
of,O,8
him,O,8
",",O,8
except,O,8
",",O,8
indeed,O,8
",",O,8
one,O,8
vague,O,8
report,O,8
which,O,8
will,O,8
appear,O,8
in,O,8
the,O,8
sequel,O,8
.,O,8
Ere,O,9
introducing,O,9
the,O,9
scrivener,O,9
",",O,9
as,O,9
he,O,9
first,O,9
appeared,EVENT,9
to,O,9
me,O,9
",",O,9
it,O,9
is,O,9
fit,O,9
I,O,9
make,O,9
some,O,9
mention,O,9
of,O,9
myself,O,9
",",O,9
my,O,9
_,O,9
employees,O,9
_,O,9
",",O,9
my,O,9
business,O,9
",",O,9
my,O,9
chambers,O,9
",",O,9
and,O,9
general,O,9
surroundings,O,9
;,O,9
because,O,9
some,O,9
such,O,9
description,O,9
is,O,9
indispensable,O,9
to,O,9
an,O,9
adequate,O,9
understanding,O,9
of,O,9
the,O,9
chief,O,9
character,O,9
about,O,9
to,O,9
be,O,9
presented,O,9
.,O,9
Imprimis,O,10
:,O,10
I,O,10
am,O,10
a,O,10
man,O,10
who,O,10
",",O,10
from,O,10
his,O,10
youth,O,10
upwards,O,10
",",O,10
has,O,10
been,O,10
filled,O,10
with,O,10
a,O,10
profound,O,10
conviction,O,10
that,O,10
the,O,10
easiest,O,10
way,O,10
of,O,10
life,O,10
is,O,10
the,O,10
best,O,10
.,O,10
Hence,O,11
",",O,11
though,O,11
I,O,11
belong,O,11
to,O,11
a,O,11
profession,O,11
proverbially,O,11
energetic,O,11
and,O,11
nervous,O,11
",",O,11
even,O,11
to,O,11
turbulence,O,11
",",O,11
at,O,11
times,O,11
",",O,11
yet,O,11
nothing,O,11
of,O,11
that,O,11
sort,O,11
have,O,11
I,O,11
ever,O,11
suffered,O,11
to,O,11
invade,O,11
my,O,11
peace,O,11
.,O,11
I,O,12
am,O,12
one,O,12
of,O,12
those,O,12
unambitious,O,12
lawyers,O,12
who,O,12
never,O,12
addresses,O,12
a,O,12
jury,O,12
",",O,12
or,O,12
in,O,12
any,O,12
way,O,12
draws,O,12
down,O,12
public,O,12
applause,O,12
;,O,12
but,O,12
in,O,12
the,O,12
cool,O,12
tranquility,O,12
of,O,12
a,O,12
snug,O,12
retreat,O,12
",",O,12
do,O,12
a,O,12
snug,O,12
business,O,12
among,O,12
rich,O,12
men,O,12
's,O,12
bonds,O,12
and,O,12
mortgages,O,12
and,O,12
title-deeds,O,12
.,O,12
All,O,13
who,O,13
know,O,13
me,O,13
",",O,13
consider,O,13
me,O,13
an,O,13
eminently,O,13
_,O,13
safe,O,13
_,O,13
man,O,13
.,O,13
The,O,14
late,O,14
John,O,14
Jacob,O,14
Astor,O,14
",",O,14
a,O,14
personage,O,14
little,O,14
given,O,14
to,O,14
poetic,O,14
enthusiasm,O,14
",",O,14
had,O,14
no,O,14
hesitation,O,14
in,O,14
pronouncing,O,14
my,O,14
first,O,14
grand,O,14
point,O,14
to,O,14
be,O,14
prudence,O,14
;,O,14
my,O,14
next,O,14
",",O,14
method,O,14
.,O,14
I,O,15
do,O,15
not,O,15
speak,O,15
it,O,15
in,O,15
vanity,O,15
",",O,15
but,O,15
simply,O,15
record,EVENT,15
the,O,15
fact,O,15
",",O,15
that,O,15
I,O,15
was,O,15
not,O,15
unemployed,O,15
in,O,15
my,O,15
profession,O,15
by,O,15
the,O,15
late,O,15
John,O,15
Jacob,O,15
Astor,O,15
;,O,15
a,O,15
name,O,15
which,O,15
",",O,15
I,O,15
admit,EVENT,15
",",O,15
I,O,15
love,O,15
to,O,15
repeat,O,15
",",O,15
for,O,15
it,O,15
hath,O,15
a,O,15
rounded,O,15
and,O,15
orbicular,O,15
sound,O,15
to,O,15
it,O,15
",",O,15
and,O,15
rings,O,15
like,O,15
unto,O,15
bullion,O,15
.,O,15
I,O,16
will,O,16
freely,O,16
add,EVENT,16
",",O,16
that,O,16
I,O,16
was,O,16
not,O,16
insensible,O,16
to,O,16
the,O,16
late,O,16
John,O,16
Jacob,O,16
Astor,O,16
's,O,16
good,O,16
opinion,O,16
.,O,16
Some,O,17
time,O,17
prior,O,17
to,O,17
the,O,17
period,O,17
at,O,17
which,O,17
this,O,17
little,O,17
history,O,17
begins,O,17
",",O,17
my,O,17
avocations,O,17
had,O,17
been,O,17
largely,O,17
increased,O,17
.,O,17
The,O,18
good,O,18
old,O,18
office,O,18
",",O,18
now,O,18
extinct,O,18
in,O,18
the,O,18
State,O,18
of,O,18
New,O,18
York,O,18
",",O,18
of,O,18
a,O,18
Master,O,18
in,O,18
Chancery,O,18
",",O,18
had,O,18
been,O,18
conferred,EVENT,18
upon,O,18
me,O,18
.,O,18
It,O,19
was,O,19
not,O,19
a,O,19
very,O,19
arduous,O,19
office,O,19
",",O,19
but,O,19
very,O,19
pleasantly,O,19
remunerative,O,19
.,O,19
I,O,20
seldom,O,20
lose,O,20
my,O,20
temper,O,20
;,O,20
much,O,20
more,O,20
seldom,O,20
indulge,O,20
in,O,20
dangerous,O,20
indignation,O,20
at,O,20
wrongs,O,20
and,O,20
outrages,O,20
;,O,20
but,O,20
I,O,20
must,O,20
be,O,20
permitted,O,20
to,O,20
be,O,20
rash,O,20
here,O,20
and,O,20
declare,EVENT,20
",",O,20
that,O,20
I,O,20
consider,O,20
the,O,20
sudden,O,20
and,O,20
violent,O,20
abrogation,EVENT,20
of,O,20
the,O,20
office,O,20
of,O,20
Master,O,20
in,O,20
Chancery,O,20
",",O,20
by,O,20
the,O,20
new,O,20
Constitution,O,20
",",O,20
as,O,20
a,O,20
--,O,20
premature,O,20
act,EVENT,20
;,O,20
inasmuch,O,20
as,O,20
I,O,20
had,O,20
counted,O,20
upon,O,20
a,O,20
life-lease,O,20
of,O,20
the,O,20
profits,O,20
",",O,20
whereas,O,20
I,O,20
only,O,20
received,EVENT,20
those,O,20
of,O,20
a,O,20
few,O,20
short,O,20
years,O,20
.,O,20
But,O,21
this,O,21
is,O,21
by,O,21
the,O,21
way,O,21
.,O,21
My,O,22
chambers,O,22
were,O,22
up,O,22
stairs,O,22
at,O,22
No,O,22
.,O,22
--,O,23
Wall-street,O,23
.,O,23
At,O,24
one,O,24
end,O,24
they,O,24
looked,O,24
upon,O,24
the,O,24
white,O,24
wall,O,24
of,O,24
the,O,24
interior,O,24
of,O,24
a,O,24
spacious,O,24
sky-light,O,24
shaft,O,24
",",O,24
penetrating,O,24
the,O,24
building,O,24
from,O,24
top,O,24
to,O,24
bottom,O,24
.,O,24
This,O,25
view,O,25
might,O,25
have,O,25
been,O,25
considered,O,25
rather,O,25
tame,O,25
than,O,25
otherwise,O,25
",",O,25
deficient,O,25
in,O,25
what,O,25
landscape,O,25
painters,O,25
call,O,25
But,O,25
if,O,25
so,O,25
",",O,25
the,O,25
view,O,25
from,O,25
the,O,25
other,O,25
end,O,25
of,O,25
my,O,25
chambers,O,25
offered,O,25
",",O,25
at,O,25
least,O,25
",",O,25
a,O,25
contrast,O,25
",",O,25
if,O,25
nothing,O,25
more,O,25
.,O,25
In,O,26
that,O,26
direction,O,26
my,O,26
windows,O,26
commanded,O,26
an,O,26
unobstructed,O,26
view,O,26
of,O,26
a,O,26
lofty,O,26
brick,O,26
wall,O,26
",",O,26
black,O,26
by,O,26
age,O,26
and,O,26
everlasting,O,26
shade,O,26
;,O,26
which,O,26
wall,O,26
required,O,26
no,O,26
spy-glass,O,26
to,O,26
bring,O,26
out,O,26
its,O,26
lurking,O,26
beauties,O,26
",",O,26
but,O,26
for,O,26
the,O,26
benefit,O,26
of,O,26
all,O,26
near-sighted,O,26
spectators,O,26
",",O,26
was,O,26
pushed,O,26
up,O,26
to,O,26
within,O,26
ten,O,26
feet,O,26
of,O,26
my,O,26
window,O,26
panes,O,26
.,O,26
Owing,O,27
to,O,27
the,O,27
great,O,27
height,O,27
of,O,27
the,O,27
surrounding,O,27
buildings,O,27
",",O,27
and,O,27
my,O,27
chambers,O,27
being,O,27
on,O,27
the,O,27
second,O,27
floor,O,27
",",O,27
the,O,27
interval,O,27
between,O,27
this,O,27
wall,O,27
and,O,27
mine,O,27
not,O,27
a,O,27
little,O,27
resembled,O,27
a,O,27
huge,O,27
square,O,27
cistern,O,27
.,O,27
At,O,28
the,O,28
period,O,28
just,O,28
preceding,O,28
the,O,28
advent,EVENT,28
of,O,28
Bartleby,O,28
",",O,28
I,O,28
had,O,28
two,O,28
persons,O,28
as,O,28
copyists,O,28
in,O,28
my,O,28
employment,O,28
",",O,28
and,O,28
a,O,28
promising,O,28
lad,O,28
as,O,28
an,O,28
office-boy,O,28
.,O,28
First,O,29
",",O,29
Turkey,O,29
;,O,29
second,O,29
",",O,29
Nippers,O,29
;,O,29
third,O,29
",",O,29
Ginger,O,29
Nut,O,29
.,O,29
These,O,30
may,O,30
seem,O,30
names,O,30
",",O,30
the,O,30
like,O,30
of,O,30
which,O,30
are,O,30
not,O,30
usually,O,30
found,O,30
in,O,30
the,O,30
Directory,O,30
.,O,30
In,O,31
truth,O,31
they,O,31
were,O,31
nicknames,O,31
",",O,31
mutually,O,31
conferred,EVENT,31
upon,O,31
each,O,31
other,O,31
by,O,31
my,O,31
three,O,31
clerks,O,31
",",O,31
and,O,31
were,O,31
deemed,EVENT,31
expressive,O,31
of,O,31
their,O,31
respective,O,31
persons,O,31
or,O,31
characters,O,31
.,O,31
Turkey,O,32
was,O,32
a,O,32
short,O,32
",",O,32
pursy,O,32
Englishman,O,32
of,O,32
about,O,32
my,O,32
own,O,32
age,O,32
",",O,32
that,O,32
is,O,32
",",O,32
somewhere,O,32
not,O,32
far,O,32
from,O,32
sixty,O,32
.,O,32
In,O,33
the,O,33
morning,O,33
",",O,33
one,O,33
might,O,33
say,O,33
",",O,33
his,O,33
face,O,33
was,O,33
of,O,33
a,O,33
fine,O,33
florid,O,33
hue,O,33
",",O,33
but,O,33
after,O,33
twelve,O,33
o'clock,O,33
",",O,33
meridian,O,33
--,O,33
his,O,33
dinner,O,33
hour,O,33
--,O,33
it,O,33
blazed,O,33
like,O,33
a,O,33
grate,O,33
full,O,33
of,O,33
Christmas,O,33
coals,O,33
;,O,33
and,O,33
continued,O,33
blazing,O,33
--,O,33
but,O,33
",",O,33
as,O,33
it,O,33
were,O,33
",",O,33
with,O,33
a,O,33
gradual,O,33
wane,O,33
--,O,33
till,O,33
6,O,33
o'clock,O,33
",",O,33
P.M.,O,33
or,O,33
thereabouts,O,33
",",O,33
after,O,33
which,O,33
I,O,33
saw,O,33
no,O,33
more,O,33
of,O,33
the,O,33
proprietor,O,33
of,O,33
the,O,33
face,O,33
",",O,33
which,O,33
gaining,O,33
its,O,33
meridian,O,33
with,O,33
the,O,33
sun,O,33
",",O,33
seemed,O,33
to,O,33
set,O,33
with,O,33
it,O,33
",",O,33
to,O,33
rise,O,33
",",O,33
culminate,O,33
",",O,33
and,O,33
decline,O,33
the,O,33
following,O,33
day,O,33
",",O,33
with,O,33
the,O,33
like,O,33
regularity,O,33
and,O,33
undiminished,O,33
glory,O,33
.,O,33
There,O,34
are,O,34
many,O,34
singular,O,34
coincidences,O,34
I,O,34
have,O,34
known,O,34
in,O,34
the,O,34
course,O,34
of,O,34
my,O,34
life,O,34
",",O,34
not,O,34
the,O,34
least,O,34
among,O,34
which,O,34
was,O,34
the,O,34
fact,O,34
",",O,34
that,O,34
exactly,O,34
when,O,34
Turkey,O,34
displayed,O,34
his,O,34
fullest,O,34
beams,O,34
from,O,34
his,O,34
red,O,34
and,O,34
radiant,O,34
countenance,O,34
",",O,34
just,O,34
then,O,34
",",O,34
too,O,34
",",O,34
at,O,34
that,O,34
critical,O,34
moment,O,34
",",O,34
began,O,34
the,O,34
daily,O,34
period,O,34
when,O,34
I,O,34
considered,O,34
his,O,34
business,O,34
capacities,O,34
as,O,34
seriously,O,34
disturbed,O,34
for,O,34
the,O,34
remainder,O,34
of,O,34
the,O,34
twenty-four,O,34
hours,O,34
.,O,34
Not,O,35
that,O,35
he,O,35
was,O,35
absolutely,O,35
idle,O,35
",",O,35
or,O,35
averse,O,35
to,O,35
business,O,35
then,O,35
;,O,35
far,O,35
from,O,35
it,O,35
.,O,35
The,O,36
difficulty,O,36
was,O,36
",",O,36
he,O,36
was,O,36
apt,O,36
to,O,36
be,O,36
altogether,O,36
too,O,36
energetic,O,36
.,O,36
There,O,37
was,O,37
a,O,37
strange,O,37
",",O,37
inflamed,O,37
",",O,37
flurried,O,37
",",O,37
flighty,O,37
recklessness,O,37
of,O,37
activity,O,37
about,O,37
him,O,37
.,O,37
He,O,38
would,O,38
be,O,38
incautious,O,38
in,O,38
dipping,O,38
his,O,38
pen,O,38
into,O,38
his,O,38
inkstand,O,38
.,O,38
All,O,39
his,O,39
blots,O,39
upon,O,39
my,O,39
documents,O,39
",",O,39
were,O,39
dropped,O,39
there,O,39
after,O,39
twelve,O,39
o'clock,O,39
",",O,39
meridian,O,39
.,O,39
Indeed,O,40
",",O,40
not,O,40
only,O,40
would,O,40
he,O,40
be,O,40
reckless,O,40
and,O,40
sadly,O,40
given,O,40
to,O,40
making,O,40
blots,O,40
in,O,40
the,O,40
afternoon,O,40
",",O,40
but,O,40
some,O,40
days,O,40
he,O,40
went,O,40
further,O,40
",",O,40
and,O,40
was,O,40
rather,O,40
noisy,O,40
.,O,40
At,O,41
such,O,41
times,O,41
",",O,41
too,O,41
",",O,41
his,O,41
face,O,41
flamed,O,41
with,O,41
augmented,O,41
blazonry,O,41
",",O,41
as,O,41
if,O,41
cannel,O,41
coal,O,41
had,O,41
been,O,41
heaped,O,41
on,O,41
anthracite,O,41
.,O,41
He,O,42
made,O,42
an,O,42
unpleasant,O,42
racket,O,42
with,O,42
his,O,42
chair,O,42
;,O,42
spilled,O,42
his,O,42
sand-box,O,42
;,O,42
in,O,42
mending,O,42
his,O,42
pens,O,42
",",O,42
impatiently,O,42
split,O,42
them,O,42
all,O,42
to,O,42
pieces,O,42
",",O,42
and,O,42
threw,O,42
them,O,42
on,O,42
the,O,42
floor,O,42
in,O,42
a,O,42
sudden,O,42
passion,O,42
;,O,42
stood,O,42
up,O,42
and,O,42
leaned,O,42
over,O,42
his,O,42
table,O,42
",",O,42
boxing,O,42
his,O,42
papers,O,42
about,O,42
in,O,42
a,O,42
most,O,42
indecorous,O,42
manner,O,42
",",O,42
very,O,42
sad,O,42
to,O,42
behold,O,42
in,O,42
an,O,42
elderly,O,42
man,O,42
like,O,42
him,O,42
.,O,42
Nevertheless,O,43
",",O,43
as,O,43
he,O,43
was,O,43
in,O,43
many,O,43
ways,O,43
a,O,43
most,O,43
valuable,O,43
person,O,43
to,O,43
me,O,43
",",O,43
and,O,43
all,O,43
the,O,43
time,O,43
before,O,43
twelve,O,43
o'clock,O,43
",",O,43
meridian,O,43
",",O,43
was,O,43
the,O,43
quickest,O,43
",",O,43
steadiest,O,43
creature,O,43
too,O,43
",",O,43
accomplishing,O,43
a,O,43
great,O,43
deal,O,43
of,O,43
work,O,43
in,O,43
a,O,43
style,O,43
not,O,43
easy,O,43
to,O,43
be,O,43
matched,O,43
--,O,43
for,O,43
these,O,43
reasons,O,43
",",O,43
I,O,43
was,O,43
willing,O,43
to,O,43
overlook,O,43
his,O,43
eccentricities,O,43
",",O,43
though,O,43
indeed,O,43
",",O,43
occasionally,O,43
",",O,43
I,O,43
remonstrated,O,43
with,O,43
him,O,43
.,O,43
I,O,44
did,O,44
this,O,44
very,O,44
gently,O,44
",",O,44
however,O,44
",",O,44
because,O,44
",",O,44
though,O,44
the,O,44
civilest,O,44
",",O,44
nay,O,44
",",O,44
the,O,44
blandest,O,44
and,O,44
most,O,44
reverential,O,44
of,O,44
men,O,44
in,O,44
the,O,44
morning,O,44
",",O,44
yet,O,44
in,O,44
the,O,44
afternoon,O,44
he,O,44
was,O,44
disposed,O,44
",",O,44
upon,O,44
provocation,O,44
",",O,44
to,O,44
be,O,44
slightly,O,44
rash,O,44
with,O,44
his,O,44
tongue,O,44
",",O,44
in,O,44
fact,O,44
",",O,44
insolent,O,44
.,O,44
Now,O,45
",",O,45
valuing,O,45
his,O,45
morning,O,45
services,O,45
as,O,45
I,O,45
did,O,45
",",O,45
and,O,45
resolved,O,45
not,O,45
to,O,45
lose,O,45
them,O,45
;,O,45
yet,O,45
",",O,45
at,O,45
the,O,45
same,O,45
time,O,45
made,O,45
uncomfortable,O,45
by,O,45
