token,label,sentence
PROLOGUE,O,0
IT,O,0
was,O,0
2,O,0
p.m.,O,0
on,O,0
the,O,0
afternoon,O,0
of,O,0
May,O,0
7,O,0
",",O,0
1915,O,0
.,O,0
The,O,1
_,O,1
Lusitania,O,1
_,O,1
had,O,1
been,O,1
struck,EVENT,1
by,O,1
two,O,1
torpedoes,O,1
in,O,1
succession,O,1
and,O,1
was,O,1
sinking,EVENT,1
rapidly,O,1
",",O,1
while,O,1
the,O,1
boats,O,1
were,O,1
being,O,1
launched,EVENT,1
with,O,1
all,O,1
possible,O,1
speed,O,1
.,O,1
The,O,2
women,O,2
and,O,2
children,O,2
were,O,2
being,O,2
lined,EVENT,2
up,O,2
awaiting,EVENT,2
their,O,2
turn,O,2
.,O,2
Some,O,3
still,O,3
clung,EVENT,3
desperately,O,3
to,O,3
husbands,O,3
and,O,3
fathers,O,3
;,O,3
others,O,3
clutched,EVENT,3
their,O,3
children,O,3
closely,O,3
to,O,3
their,O,3
breasts,O,3
.,O,3
One,O,4
girl,O,4
stood,O,4
alone,O,4
",",O,4
slightly,O,4
apart,O,4
from,O,4
the,O,4
rest,O,4
.,O,4
She,O,5
was,O,5
quite,O,5
young,O,5
",",O,5
not,O,5
more,O,5
than,O,5
eighteen,O,5
.,O,5
She,O,6
did,O,6
not,O,6
seem,O,6
afraid,O,6
",",O,6
and,O,6
her,O,6
grave,O,6
",",O,6
steadfast,O,6
eyes,O,6
looked,EVENT,6
straight,O,6
ahead,O,6
.,O,6
“,O,7
I,O,7
beg,O,7
your,O,7
pardon,O,7
.,O,7
”,O,8
A,O,8
man,O,8
’s,O,8
voice,EVENT,8
beside,O,8
her,O,8
made,O,8
her,O,8
start,EVENT,8
and,O,8
turn,EVENT,8
.,O,8
She,O,9
had,O,9
noticed,O,9
the,O,9
speaker,O,9
more,O,9
than,O,9
once,O,9
amongst,O,9
the,O,9
first-class,O,9
passengers,O,9
.,O,9
There,O,10
had,O,10
been,O,10
a,O,10
hint,O,10
of,O,10
mystery,O,10
about,O,10
him,O,10
which,O,10
had,O,10
appealed,EVENT,10
to,O,10
her,O,10
imagination,O,10
.,O,10
He,O,11
spoke,O,11
to,O,11
no,O,11
one,O,11
.,O,11
If,O,12
anyone,O,12
spoke,O,12
to,O,12
him,O,12
he,O,12
was,O,12
quick,O,12
to,O,12
rebuff,O,12
the,O,12
overture,O,12
.,O,12
Also,O,13
he,O,13
had,O,13
a,O,13
nervous,O,13
way,O,13
of,O,13
looking,O,13
over,O,13
his,O,13
shoulder,O,13
with,O,13
a,O,13
swift,O,13
",",O,13
suspicious,O,13
glance,O,13
.,O,13
She,O,14
noticed,EVENT,14
now,O,14
that,O,14
he,O,14
was,O,14
greatly,O,14
agitated,O,14
.,O,14
There,O,15
were,O,15
beads,O,15
of,O,15
perspiration,O,15
on,O,15
his,O,15
brow,O,15
.,O,15
He,O,16
was,O,16
evidently,O,16
in,O,16
a,O,16
state,O,16
of,O,16
overmastering,O,16
fear,O,16
.,O,16
And,O,17
yet,O,17
he,O,17
did,O,17
not,O,17
strike,O,17
her,O,17
as,O,17
the,O,17
kind,O,17
of,O,17
man,O,17
who,O,17
would,O,17
be,O,17
afraid,O,17
to,O,17
meet,O,17
death,O,17
!,O,17
“,O,17
Yes,O,17
?,O,17
”,O,17
Her,O,17
grave,O,17
eyes,O,17
met,EVENT,17
his,O,17
inquiringly,O,17
.,O,17
He,O,18
stood,O,18
looking,EVENT,18
at,O,18
her,O,18
with,O,18
a,O,18
kind,O,18
of,O,18
desperate,O,18
irresolution,O,18
.,O,18
“,O,19
It,O,19
must,O,19
be,O,19
!,O,19
”,O,19
he,O,19
muttered,EVENT,19
to,O,19
himself,O,19
.,O,19
“,O,20
Yes,O,20
--,O,20
it,O,20
is,O,20
the,O,20
only,O,20
way,O,20
.,O,20
”,O,21
Then,O,21
aloud,O,21
he,O,21
said,EVENT,21
abruptly,O,21
:,O,21
“,O,21
You,O,21
are,O,21
an,O,21
American,O,21
?,O,21
”,O,21
“,O,21
Yes,O,21
.,O,21
”,O,22
“,O,22
A,O,22
patriotic,O,22
one,O,22
?,O,22
”,O,22
The,O,22
girl,O,22
flushed,EVENT,22
.,O,22
“,O,23
I,O,23
guess,O,23
you,O,23
’ve,O,23
no,O,23
right,O,23
to,O,23
ask,O,23
such,O,23
a,O,23
thing,O,23
!,O,23
Of,O,23
course,O,23
I,O,23
am,O,23
!,O,23
”,O,23
“,O,23
Do,O,23
n’t,O,23
be,O,23
offended,O,23
.,O,23
You,O,24
would,O,24
n’t,O,24
be,O,24
if,O,24
you,O,24
knew,O,24
how,O,24
much,O,24
there,O,24
was,O,24
at,O,24
stake,O,24
.,O,24
But,O,25
I,O,25
’ve,O,25
got,O,25
to,O,25
trust,O,25
some,O,25
one,O,25
--,O,25
and,O,25
it,O,25
must,O,25
be,O,25
a,O,25
woman,O,25
.,O,25
”,O,26
“,O,26
Why,O,26
?,O,26
”,O,26
“,O,26
Because,O,26
of,O,26
‘,O,26
women,O,26
and,O,26
children,O,26
first,O,26
.,O,26
’”,O,27
He,O,27
looked,EVENT,27
round,O,27
and,O,27
lowered,EVENT,27
his,O,27
voice,O,27
.,O,27
“,O,28
I,O,28
’m,O,28
carrying,O,28
papers,O,28
--,O,28
vitally,O,28
important,O,28
papers,O,28
.,O,28
They,O,29
may,O,29
make,O,29
all,O,29
the,O,29
difference,O,29
to,O,29
the,O,29
Allies,O,29
in,O,29
the,O,29
war,O,29
.,O,29
You,O,30
understand,O,30
?,O,30
These,O,30
papers,O,30
have,O,30
_,O,30
got,O,30
_,O,30
to,O,30
be,O,30
saved,O,30
!,O,30
They,O,30
’ve,O,30
more,O,30
chance,O,30
with,O,30
you,O,30
than,O,30
with,O,30
me,O,30
.,O,30
Will,O,31
you,O,31
take,O,31
them,O,31
?,O,31
”,O,31
The,O,31
girl,O,31
held,EVENT,31
out,O,31
her,O,31
hand,O,31
.,O,31
“,O,32
Wait,O,32
--,O,32
I,O,32
must,O,32
warn,O,32
you,O,32
.,O,32
There,O,33
may,O,33
be,O,33
a,O,33
risk,O,33
--,O,33
if,O,33
I,O,33
’ve,O,33
been,O,33
followed,O,33
.,O,33
I,O,34
do,O,34
n’t,O,34
think,O,34
I,O,34
have,O,34
",",O,34
but,O,34
one,O,34
never,O,34
knows,O,34
.,O,34
If,O,35
so,O,35
",",O,35
there,O,35
will,O,35
be,O,35
danger,O,35
.,O,35
Have,O,36
you,O,36
the,O,36
nerve,O,36
to,O,36
go,O,36
through,O,36
with,O,36
it,O,36
?,O,36
”,O,36
The,O,36
girl,O,36
smiled,EVENT,36
.,O,36
“,O,37
I,O,37
’ll,O,37
go,O,37
through,O,37
with,O,37
it,O,37
all,O,37
right,O,37
.,O,37
And,O,38
I,O,38
’m,O,38
real,O,38
proud,EVENT,38
to,O,38
be,O,38
chosen,EVENT,38
!,O,38
What,O,38
am,O,38
I,O,38
to,O,38
do,O,38
with,O,38
them,O,38
afterwards,O,38
?,O,38
”,O,38
“,O,38
Watch,O,38
the,O,38
newspapers,O,38
!,O,38
I,O,38
’ll,O,38
advertise,O,38
in,O,38
the,O,38
personal,O,38
column,O,38
of,O,38
the,O,38
_,O,38
Times,O,38
_,O,38
",",O,38
beginning,O,38
‘,O,38
Shipmate,O,38
.,O,38
’,O,39
At,O,39
the,O,39
end,O,39
of,O,39
three,O,39
days,O,39
if,O,39
there,O,39
’s,O,39
nothing,O,39
--,O,39
well,O,39
",",O,39
you,O,39
’ll,O,39
know,O,39
I,O,39
’m,O,39
down,O,39
and,O,39
out,O,39
.,O,39
Then,O,40
take,O,40
the,O,40
packet,O,40
to,O,40
the,O,40
American,O,40
Embassy,O,40
",",O,40
and,O,40
deliver,O,40
it,O,40
into,O,40
the,O,40
Ambassador,O,40
’s,O,40
own,O,40
hands,O,40
.,O,40
Is,O,41
that,O,41
clear,O,41
?,O,41
”,O,41
“,O,41
Quite,O,41
clear,O,41
.,O,41
”,O,42
“,O,42
Then,O,42
be,O,42
ready,O,42
--,O,42
I,O,42
’m,O,42
going,O,42
to,O,42
say,O,42
good-bye,O,42
.,O,42
”,O,43
He,O,43
took,EVENT,43
her,O,43
hand,O,43
in,O,43
his,O,43
.,O,43
“,O,44
Good-bye,O,44
.,O,44
Good,O,45
luck,O,45
to,O,45
you,O,45
",",O,45
”,O,45
he,O,45
said,EVENT,45
in,O,45
a,O,45
louder,O,45
tone,O,45
.,O,45
Her,O,46
hand,O,46
closed,EVENT,46
on,O,46
the,O,46
oilskin,O,46
packet,O,46
that,O,46
had,O,46
lain,EVENT,46
in,O,46
his,O,46
palm,O,46
.,O,46
The,O,47
_,O,47
Lusitania,O,47
_,O,47
settled,EVENT,47
with,O,47
a,O,47
more,O,47
decided,O,47
list,EVENT,47
to,O,47
starboard,O,47
.,O,47
In,O,48
answer,EVENT,48
to,O,48
a,O,48
quick,O,48
command,EVENT,48
",",O,48
the,O,48
girl,O,48
went,EVENT,48
forward,O,48
to,O,48
take,O,48
her,O,48
place,O,48
in,O,48
the,O,48
boat,O,48
.,O,48
CHAPTER,O,49
I,O,49
.,O,49
THE,O,50
YOUNG,O,50
ADVENTURERS,O,50
",",O,50
LTD,O,50
.,O,50
“,O,51
TOMMY,O,51
",",O,51
old,O,51
thing,O,51
!,O,51
”,O,51
“,O,51
Tuppence,O,51
",",O,51
old,O,51
bean,O,51
!,O,51
”,O,51
The,O,51
two,O,51
young,O,51
people,O,51
greeted,EVENT,51
each,O,51
other,O,51
affectionately,O,51
",",O,51
and,O,51
momentarily,O,51
blocked,EVENT,51
the,O,51
Dover,O,51
Street,O,51
Tube,O,51
exit,O,51
in,O,51
doing,O,51
so,O,51
.,O,51
The,O,52
adjective,O,52
“,O,52
old,O,52
”,O,52
was,O,52
misleading,O,52
.,O,52
Their,O,53
united,O,53
ages,O,53
would,O,53
certainly,O,53
not,O,53
have,O,53
totalled,O,53
forty-five,O,53
.,O,53
“,O,54
Not,O,54
seen,O,54
you,O,54
for,O,54
simply,O,54
centuries,O,54
",",O,54
”,O,54
continued,EVENT,54
the,O,54
young,O,54
man,O,54
.,O,54
“,O,55
Where,O,55
are,O,55
you,O,55
off,O,55
to,O,55
?,O,55
Come,O,55
and,O,55
chew,O,55
a,O,55
bun,O,55
with,O,55
me,O,55
.,O,55
We,O,56
’re,O,56
getting,O,56
a,O,56
bit,O,56
unpopular,EVENT,56
here,O,56
--,O,56
blocking,EVENT,56
the,O,56
gangway,O,56
as,O,56
it,O,56
were,O,56
.,O,56
Let,O,57
’s,O,57
get,O,57
out,O,57
of,O,57
it,O,57
.,O,57
”,O,58
The,O,58
girl,O,58
assenting,EVENT,58
",",O,58
they,O,58
started,O,58
walking,EVENT,58
down,O,58
Dover,O,58
Street,O,58
towards,O,58
Piccadilly,O,58
.,O,58
“,O,59
Now,O,59
then,O,59
",",O,59
”,O,59
said,EVENT,59
Tommy,O,59
",",O,59
“,O,59
where,O,59
shall,O,59
we,O,59
go,O,59
?,O,59
”,O,59
The,O,59
very,O,59
faint,O,59
anxiety,EVENT,59
which,O,59
underlay,O,59
his,O,59
tone,O,59
did,O,59
not,O,59
escape,O,59
the,O,59
astute,O,59
ears,O,59
of,O,59
Miss,O,59
Prudence,O,59
Cowley,O,59
",",O,59
known,O,59
to,O,59
her,O,59
intimate,O,59
friends,O,59
for,O,59
some,O,59
mysterious,O,59
reason,O,59
as,O,59
“,O,59
Tuppence,O,59
.,O,59
”,O,60
She,O,60
pounced,EVENT,60
at,O,60
once,O,60
.,O,60
“,O,61
Tommy,O,61
",",O,61
you,O,61
’re,O,61
stony,O,61
!,O,61
”,O,61
“,O,61
Not,O,61
a,O,61
bit,O,61
of,O,61
it,O,61
",",O,61
”,O,61
declared,EVENT,61
Tommy,O,61
unconvincingly,O,61
.,O,61
“,O,62
Rolling,O,62
in,O,62
cash,O,62
.,O,62
”,O,63
“,O,63
You,O,63
always,O,63
were,O,63
a,O,63
shocking,O,63
liar,O,63
",",O,63
”,O,63
said,EVENT,63
Tuppence,O,63
severely,O,63
",",O,63
“,O,63
though,O,63
you,O,63
did,O,63
once,O,63
persuade,EVENT,63
Sister,O,63
Greenbank,O,63
that,O,63
the,O,63
doctor,O,63
had,O,63
ordered,EVENT,63
you,O,63
beer,O,63
as,O,63
a,O,63
tonic,O,63
",",O,63
but,O,63
forgotten,EVENT,63
to,O,63
write,O,63
it,O,63
on,O,63
the,O,63
chart,O,63
.,O,63
Do,O,64
you,O,64
remember,O,64
?,O,64
”,O,64
Tommy,O,64
chuckled,EVENT,64
.,O,64
“,O,65
I,O,65
should,O,65
think,O,65
I,O,65
did,O,65
!,O,65
Was,O,65
n’t,O,65
the,O,65
old,O,65
cat,O,65
in,O,65
a,O,65
rage,O,65
when,O,65
she,O,65
found,EVENT,65
out,O,65
?,O,65
Not,O,65
that,O,65
she,O,65
was,O,65
a,O,65
bad,O,65
sort,O,65
really,O,65
",",O,65
old,O,65
Mother,O,65
Greenbank,O,65
!,O,65
Good,O,65
old,O,65
hospital,O,65
--,O,65
demobbed,O,65
like,O,65
everything,O,65
else,O,65
",",O,65
I,O,65
suppose,O,65
?,O,65
”,O,65
Tuppence,O,65
sighed,EVENT,65
.,O,65
“,O,66
Yes,O,66
.,O,66
You,O,67
too,O,67
?,O,67
”,O,67
Tommy,O,67
nodded,EVENT,67
.,O,67
“,O,68
Two,O,68
months,O,68
ago,O,68
.,O,68
”,O,69
“,O,69
Gratuity,O,69
?,O,69
”,O,69
hinted,EVENT,69
Tuppence,O,69
.,O,69
“,O,70
Spent,O,70
.,O,70
”,O,71
“,O,71
Oh,O,71
",",O,71
Tommy,O,71
!,O,71
”,O,71
“,O,71
No,O,71
",",O,71
old,O,71
thing,O,71
",",O,71
not,O,71
in,O,71
riotous,O,71
dissipation,O,71
.,O,71
No,O,72
such,O,72
luck,O,72
!,O,72
The,O,72
cost,O,72
of,O,72
living,O,72
--,O,72
ordinary,O,72
plain,O,72
",",O,72
or,O,72
garden,O,72
living,O,72
nowadays,O,72
is,O,72
",",O,72
I,O,72
assure,EVENT,72
you,O,72
",",O,72
if,O,72
you,O,72
do,O,72
not,O,72
know,O,72
----,O,72
”,O,72
“,O,72
My,O,72
dear,O,72
child,O,72
",",O,72
”,O,72
interrupted,EVENT,72
Tuppence,O,72
",",O,72
“,O,72
there,O,72
is,O,72
nothing,O,72
I,O,72
do,O,72
_,O,72
not,O,72
_,O,72
know,O,72
about,O,72
the,O,72
cost,O,72
of,O,72
living,O,72
.,O,72
Here,O,73
we,O,73
are,O,73
at,O,73
Lyons,O,73
’,O,73
",",O,73
and,O,73
we,O,73
will,O,73
each,O,73
of,O,73
us,O,73
pay,O,73
for,O,73
our,O,73
own,O,73
.,O,73
That,O,74
’s,O,74
it,O,74
!,O,74
”,O,74
And,O,74
Tuppence,O,74
led,EVENT,74
the,O,74
way,O,74
upstairs,O,74
.,O,74
The,O,75
place,O,75
was,O,75
full,O,75
",",O,75
and,O,75
they,O,75
wandered,EVENT,75
about,O,75
looking,EVENT,75
for,O,75
a,O,75
table,O,75
",",O,75
catching,EVENT,75
odds,O,75
and,O,75
ends,O,75
of,O,75
conversation,EVENT,75
as,O,75
they,O,75
did,O,75
so,O,75
.,O,75
“,O,76
And,O,76
--,O,76
do,O,76
you,O,76
know,O,76
",",O,76
she,O,76
sat,EVENT,76
down,O,76
and,O,76
_,O,76
cried,EVENT,76
_,O,76
when,O,76
I,O,76
told,O,76
her,O,76
she,O,76
could,O,76
n’t,O,76
have,O,76
the,O,76
flat,O,76
after,O,76
all,O,76
.,O,76
”,O,77
“,O,77
It,O,77
was,O,77
simply,O,77
a,O,77
_,O,77
bargain,O,77
_,O,77
",",O,77
my,O,77
dear,O,77
!,O,77
Just,O,77
like,O,77
the,O,77
one,O,77
Mabel,O,77
Lewis,O,77
brought,EVENT,77
from,O,77
Paris,O,77
----,O,77
”,O,77
“,O,77
Funny,O,77
scraps,O,77
one,O,77
does,O,77
overhear,O,77
",",O,77
”,O,77
murmured,EVENT,77
Tommy,O,77
.,O,77
“,O,78
I,O,78
passed,EVENT,78
two,O,78
Johnnies,O,78
in,O,78
the,O,78
street,O,78
to-day,O,78
talking,EVENT,78
about,O,78
some,O,78
one,O,78
called,O,78
Jane,O,78
Finn,O,78
.,O,78
Did,O,79
you,O,79
ever,O,79
hear,O,79
such,O,79
a,O,79
name,O,79
?,O,79
”,O,79
But,O,79
at,O,79
that,O,79
moment,O,79
two,O,79
elderly,O,79
ladies,O,79
rose,EVENT,79
and,O,79
collected,EVENT,79
parcels,O,79
",",O,79
and,O,79
Tuppence,O,79
deftly,O,79
ensconced,EVENT,79
herself,O,79
in,O,79
one,O,79
of,O,79
the,O,79
vacant,O,79
seats,O,79
.,O,79
Tommy,O,80
ordered,EVENT,80
tea,O,80
and,O,80
buns,O,80
.,O,80
Tuppence,O,81
ordered,EVENT,81
tea,O,81
and,O,81
buttered,O,81
toast,O,81
.,O,81
“,O,82
And,O,82
mind,O,82
the,O,82
tea,O,82
comes,O,82
in,O,82
separate,O,82
teapots,O,82
",",O,82
”,O,82
she,O,82
added,EVENT,82
severely,O,82
.,O,82
Tommy,O,83
sat,EVENT,83
down,O,83
opposite,O,83
her,O,83
.,O,83
His,O,84
bared,O,84
head,O,84
revealed,O,84
a,O,84
shock,O,84
of,O,84
exquisitely,O,84
slicked-back,O,84
red,O,84
hair,O,84
.,O,84
His,O,85
face,O,85
was,O,85
pleasantly,O,85
ugly,O,85
--,O,85
nondescript,O,85
",",O,85
yet,O,85
unmistakably,O,85
the,O,85
face,O,85
of,O,85
a,O,85
gentleman,O,85
and,O,85
a,O,85
sportsman,O,85
.,O,85
His,O,86
brown,O,86
suit,O,86
was,O,86
well,O,86
cut,O,86
",",O,86
but,O,86
perilously,O,86
near,O,86
the,O,86
end,O,86
of,O,86
its,O,86
tether,O,86
.,O,86
They,O,87
were,O,87
an,O,87
essentially,O,87
modern-looking,O,87
couple,O,87
as,O,87
they,O,87
sat,O,87
there,O,87
.,O,87
Tuppence,O,88
had,O,88
no,O,88
claim,O,88
to,O,88
beauty,O,88
",",O,88
but,O,88
there,O,88
was,O,88
character,O,88
and,O,88
charm,O,88
in,O,88
the,O,88
elfin,O,88
lines,O,88
of,O,88
her,O,88
little,O,88
face,O,88
",",O,88
with,O,88
its,O,88
determined,O,88
chin,O,88
and,O,88
large,O,88
",",O,88
wide-apart,O,88
grey,O,88
eyes,O,88
that,O,88
looked,O,88
mistily,O,88
out,O,88
from,O,88
under,O,88
straight,O,88
",",O,88
black,O,88
brows,O,88
.,O,88
She,O,89
wore,O,89
a,O,89
small,O,89
bright,O,89
green,O,89
toque,O,89
over,O,89
her,O,89
black,O,89
bobbed,O,89
hair,O,89
",",O,89
and,O,89
her,O,89
extremely,O,89
short,O,89
and,O,89
rather,O,89
shabby,O,89
skirt,O,89
revealed,O,89
a,O,89
pair,O,89
of,O,89
uncommonly,O,89
dainty,O,89
ankles,O,89
.,O,89
Her,O,90
appearance,O,90
presented,O,90
a,O,90
valiant,O,90
attempt,O,90
at,O,90
smartness,O,90
.,O,90
The,O,91
tea,O,91
came,EVENT,91
at,O,91
last,O,91
",",O,91
and,O,91
Tuppence,O,91
",",O,91
rousing,EVENT,91
herself,O,91
from,O,91
a,O,91
fit,O,91
of,O,91
meditation,EVENT,91
",",O,91
poured,EVENT,91
it,O,91
out,O,91
.,O,91
“,O,92
Now,O,92
then,O,92
",",O,92
”,O,92
said,EVENT,92
Tommy,O,92
",",O,92
taking,O,92
a,O,92
large,O,92
bite,EVENT,92
of,O,92
bun,O,92
",",O,92
“,O,92
let,O,92
’s,O,92
get,O,92
up-to-date,O,92
.,O,92
Remember,O,93
",",O,93
I,O,93
have,O,93
n’t,O,93
seen,O,93
you,O,93
since,O,93
that,O,93
time,O,93
in,O,93
hospital,O,93
in,O,93
1916,O,93
.,O,93
”,O,94
“,O,94
Very,O,94
well,O,94
.,O,94
”,O,95
Tuppence,O,95
helped,EVENT,95
herself,O,95
liberally,O,95
to,O,95
buttered,O,95
toast,O,95
.,O,95
“,O,96
Abridged,O,96
biography,O,96
of,O,96
Miss,O,96
Prudence,O,96
Cowley,O,96
",",O,96
fifth,O,96
daughter,O,96
of,O,96
Archdeacon,O,96
Cowley,O,96
of,O,96
Little,O,96
Missendell,O,96
",",O,96
Suffolk,O,96
.,O,96
Miss,O,97
Cowley,O,97
left,EVENT,97
the,O,97
delights,O,97
(,O,97
and,O,97
drudgeries,O,97
),O,97
of,O,97
her,O,97
home,O,97
life,O,97
early,O,97
in,O,97
the,O,97
war,O,97
and,O,97
came,EVENT,97
up,O,97
to,O,97
London,O,97
",",O,97
where,O,97
she,O,97
entered,EVENT,97
an,O,97
officers,O,97
’,O,97
hospital,O,97
.,O,97
First,O,98
month,O,98
:,O,98
Washed,O,98
up,O,98
six,O,98
hundred,O,98
and,O,98
forty-eight,O,98
plates,O,98
every,O,98
day,O,98
.,O,98
Second,O,99
month,O,99
:,O,99
Promoted,EVENT,99
to,O,99
drying,O,99
aforesaid,O,99
plates,O,99
.,O,99
Third,O,100
month,O,100
:,O,100
Promoted,EVENT,100
to,O,100
peeling,O,100
potatoes,O,100
.,O,100
Fourth,O,101
month,O,101
:,O,101
Promoted,EVENT,101
to,O,101
cutting,O,101
bread,O,101
and,O,101
butter,O,101
.,O,101
Fifth,O,102
month,O,102
:,O,102
Promoted,EVENT,102
one,O,102
floor,O,102
up,O,102
to,O,102
duties,O,102
of,O,102
wardmaid,O,102
with,O,102
mop,O,102
and,O,102
pail,O,102
.,O,102
Sixth,O,103
month,O,103
:,O,103
Promoted,EVENT,103
to,O,103
waiting,O,103
at,O,103
table,O,103
.,O,103
Seventh,O,104
month,O,104
:,O,104
Pleasing,O,104
appearance,O,104
and,O,104
nice,O,104
manners,O,104
so,O,104
striking,O,104
that,O,104
am,O,104
promoted,EVENT,104
to,O,104
waiting,O,104
on,O,104
the,O,104
Sisters,O,104
!,O,104
Eighth,O,104
month,O,104
:,O,104
Slight,O,104
check,EVENT,104
in,O,104
career,O,104
.,O,104
Sister,O,105
Bond,O,105
ate,EVENT,105
Sister,O,105
Westhaven,O,105
’s,O,105
egg,O,105
!,O,105
Grand,O,105
row,EVENT,105
!,O,105
Wardmaid,O,105
clearly,O,105
to,O,105
blame,O,105
!,O,105
Inattention,O,105
in,O,105
such,O,105
important,O,105
matters,O,105
can,O,105
not,O,105
be,O,105
too,O,105
highly,O,105
censured,O,105
.,O,105
Mop,O,106
and,O,106
pail,O,106
again,O,106
!,O,106
How,O,106
are,O,106
the,O,106
mighty,O,106
fallen,O,106
!,O,106
Ninth,O,106
month,O,106
:,O,106
Promoted,EVENT,106
to,O,106
sweeping,O,106
out,O,106
wards,O,106
",",O,106
where,O,106
I,O,106
found,EVENT,106
a,O,106
friend,O,106
of,O,106
my,O,106
childhood,O,106
in,O,106
Lieutenant,O,106
Thomas,O,106
Beresford,O,106
(,O,106
bow,O,106
",",O,106
Tommy,O,106
!,O,106
),O,106
",",O,106
whom,O,106
I,O,106
had,O,106
not,O,106
seen,O,106
for,O,106
five,O,106
long,O,106
years,O,106
.,O,106
The,O,107
meeting,EVENT,107
was,O,107
affecting,EVENT,107
!,O,107
Tenth,O,107
month,O,107
:,O,107
Reproved,EVENT,107
by,O,107
matron,O,107
for,O,107
visiting,EVENT,107
the,O,107
pictures,O,107
in,O,107
company,O,107
with,O,107
one,O,107
of,O,107
the,O,107
patients,O,107
",",O,107
namely,O,107
:,O,107
the,O,107
aforementioned,O,107
Lieutenant,O,107
Thomas,O,107
Beresford,O,107
.,O,107
Eleventh,O,108
and,O,108
twelfth,O,108
months,O,108
:,O,108
Parlourmaid,O,108
duties,O,108
resumed,EVENT,108
with,O,108
entire,O,108
success,EVENT,108
.,O,108
At,O,109
the,O,109
end,O,109
of,O,109
the,O,109
year,O,109
left,EVENT,109
hospital,O,109
in,O,109
a,O,109
blaze,O,109
of,O,109
glory,O,109
.,O,109
After,O,110
that,O,110
",",O,110
the,O,110
talented,O,110
Miss,O,110
Cowley,O,110
drove,O,110
successively,O,110
a,O,110
trade,O,110
delivery,O,110
van,O,110
",",O,110
a,O,110
motor-lorry,O,110
and,O,110
a,O,110
general,O,110
!,O,110
The,O,110
last,O,110
was,O,110
the,O,110
pleasantest,O,110
.,O,110
He,O,111
was,O,111
quite,O,111
a,O,111
young,O,111
general,O,111
!,O,111
”,O,111
“,O,111
What,O,111
blighter,O,111
was,O,111
that,O,111
?,O,111
”,O,111
inquired,EVENT,111
Tommy,O,111
.,O,111
“,O,112
Perfectly,O,112
sickening,O,112
the,O,112
way,O,112
those,O,112
brass,O,112
hats,O,112
drove,O,112
from,O,112
the,O,112
War,O,112
Office,O,112
to,O,112
the,O,112
_,O,112
Savoy,O,112
_,O,112
",",O,112
and,O,112
from,O,112
the,O,112
_,O,112
Savoy,O,112
_,O,112
to,O,112
the,O,112
War,O,112
Office,O,112
!,O,112
”,O,112
“,O,112
I,O,112
’ve,O,112
forgotten,EVENT,112
his,O,112
name,O,112
now,O,112
",",O,112
”,O,112
confessed,EVENT,112
Tuppence,O,112
.,O,112
“,O,113
To,O,113
resume,EVENT,113
",",O,113
that,O,113
was,O,113
in,O,113
a,O,113
way,O,113
the,O,113
apex,O,113
of,O,113
my,O,113
career,O,113
.,O,113
I,O,114
next,O,114
entered,EVENT,114
a,O,114
Government,O,114
office,O,114
.,O,114
We,O,115
had,O,115
several,O,115
very,O,115
enjoyable,O,115
tea,O,115
parties,O,115
.,O,115
I,O,116
had,O,116
intended,O,116
to,O,116
become,O,116
a,O,116
land,O,116
girl,O,116
",",O,116
a,O,116
postwoman,O,116
",",O,116
and,O,116
a,O,116
bus,O,116
conductress,O,116
by,O,116
way,O,116
of,O,116
rounding,O,116
off,O,116
my,O,116
career,O,116
--,O,116
but,O,116
the,O,116
Armistice,EVENT,116
intervened,EVENT,116
!,O,116
I,O,116
clung,O,116
to,O,116
the,O,116
office,O,116
with,O,116
the,O,116
true,O,116
limpet,O,116
touch,O,116
for,O,116
many,O,116
long,O,116
months,O,116
",",O,116
but,O,116
",",O,116
alas,O,116
",",O,116
I,O,116
was,O,116
combed,EVENT,116
out,O,116
at,O,116
last,O,116
.,O,116
Since,O,117
then,O,117
I,O,117
’ve,O,117
been,O,117
looking,O,117
for,O,117
a,O,117
job,O,117
.,O,117
Now,O,118
then,O,118
--,O,118
your,O,118
turn,O,118
.,O,118
”,O,119
“,O,119
There,O,119
’s,O,119
not,O,119
so,O,119
much,O,119
promotion,O,119
in,O,119
mine,O,119
",",O,119
”,O,119
said,EVENT,119
Tommy,O,119
regretfully,O,119
",",O,119
“,O,119
and,O,119
a,O,119
great,O,119
deal,O,119
less,O,119
variety,O,119
.,O,119
I,O,120
went,EVENT,120
out,O,120
to,O,120
France,O,120
again,O,120
",",O,120
as,O,120
you,O,120
know,O,120
.,O,120
Then,O,121
they,O,121
sent,EVENT,121
me,O,121
to,O,121
Mesopotamia,O,121
