token,label,sentence
CHAPTER,O,0
I,O,0
.,O,0
The,O,1
Coming,EVENT,1
of,O,1
a,O,1
Native,O,1
Son,O,1
The,O,1
Happy,O,1
Family,O,1
",",O,1
waiting,EVENT,1
for,O,1
the,O,1
Sunday,O,1
supper,O,1
call,O,1
",",O,1
were,O,1
grouped,O,1
around,O,1
the,O,1
open,O,1
door,O,1
of,O,1
the,O,1
bunk-house,O,1
",",O,1
gossiping,EVENT,1
idly,O,1
of,O,1
things,O,1
purely,O,1
local,O,1
",",O,1
when,O,1
the,O,1
Old,O,1
Man,O,1
returned,EVENT,1
from,O,1
the,O,1
Stock,O,1
Association,O,1
at,O,1
Helena,O,1
;,O,1
beside,O,1
him,O,1
on,O,1
the,O,1
buggy,O,1
seat,O,1
sat,EVENT,1
a,O,1
stranger,O,1
.,O,1
The,O,2
Old,O,2
Man,O,2
pulled,EVENT,2
up,O,2
at,O,2
the,O,2
bunk-house,O,2
",",O,2
the,O,2
stranger,O,2
sprang,EVENT,2
out,O,2
over,O,2
the,O,2
wheel,O,2
with,O,2
the,O,2
agility,O,2
which,O,2
bespoke,O,2
youthful,O,2
muscles,O,2
",",O,2
and,O,2
the,O,2
Old,O,2
Man,O,2
introduced,EVENT,2
him,O,2
with,O,2
a,O,2
quirk,O,2
of,O,2
the,O,2
lips,O,2
:,O,2
“,O,2
This,O,2
is,O,2
Mr.,O,2
Mig-u-ell,O,2
Rapponi,O,2
",",O,2
boys,O,2
--,O,2
a,O,2
peeler,O,2
straight,O,2
from,O,2
the,O,2
Golden,O,2
Gate,O,2
.,O,2
Throw,O,3
out,O,3
your,O,3
war-bag,O,3
and,O,3
make,O,3
yourself,O,3
to,O,3
home,O,3
",",O,3
Mig-u-ell,O,3
;,O,3
some,O,3
of,O,3
the,O,3
boys,O,3
'll,O,3
show,O,3
you,O,3
where,O,3
to,O,3
bed,O,3
down,O,3
.,O,3
”,O,4
The,O,4
Old,O,4
Man,O,4
drove,EVENT,4
on,O,4
to,O,4
the,O,4
house,O,4
with,O,4
his,O,4
own,O,4
luggage,O,4
",",O,4
and,O,4
Happy,O,4
Jack,O,4
followed,EVENT,4
to,O,4
take,O,4
charge,O,4
of,O,4
the,O,4
team,O,4
;,O,4
but,O,4
the,O,4
remainder,O,4
of,O,4
the,O,4
Happy,O,4
Family,O,4
unobtrusively,O,4
took,O,4
the,O,4
measure,EVENT,4
of,O,4
the,O,4
foreign,O,4
element,O,4
.,O,4
From,O,5
his,O,5
black-and-white,O,5
horsehair,O,5
hatband,O,5
",",O,5
with,O,5
tassels,O,5
that,O,5
swept,O,5
to,O,5
the,O,5
very,O,5
edge,O,5
of,O,5
his,O,5
gray,O,5
hatbrim,O,5
",",O,5
to,O,5
the,O,5
crimson,O,5
silk,O,5
neckerchief,O,5
draped,O,5
over,O,5
the,O,5
pale,O,5
blue,O,5
bosom,O,5
of,O,5
his,O,5
shirt,O,5
;,O,5
from,O,5
the,O,5
beautifully,O,5
stamped,O,5
leather,O,5
cuffs,O,5
",",O,5
down,O,5
to,O,5
the,O,5
exaggerated,O,5
height,O,5
of,O,5
his,O,5
tan,O,5
boot-heels,O,5
",",O,5
their,O,5
critical,O,5
eyes,O,5
swept,O,5
in,O,5
swift,O,5
",",O,5
appraising,O,5
glances,EVENT,5
;,O,5
and,O,5
unanimous,O,5
disapproval,EVENT,5
was,O,5
the,O,5
result,O,5
.,O,5
The,O,6
Happy,O,6
Family,O,6
had,O,6
themselves,O,6
an,O,6
eye,O,6
to,O,6
picturesque,O,6
garb,O,6
upon,O,6
occasion,O,6
",",O,6
but,O,6
this,O,6
passed,EVENT,6
even,O,6
Pink,O,6
's,O,6
love,O,6
of,O,6
display,O,6
.,O,6
“,O,7
He,O,7
's,O,7
some,O,7
gaudy,O,7
to,O,7
look,O,7
at,O,7
",",O,7
”,O,7
Irish,O,7
murmured,EVENT,7
under,O,7
his,O,7
breath,O,7
to,O,7
