token,label,sentence
PART,O,0
ONE,O,0
--,O,0
The,O,0
Old,O,0
Buccaneer,O,0
1,O,0
The,O,0
Old,O,0
Sea-dog,O,0
at,O,0
the,O,0
Admiral,O,0
Benbow,O,0
SQUIRE,O,0
TRELAWNEY,O,0
",",O,0
Dr.,O,0
Livesey,O,0
",",O,0
and,O,0
the,O,0
rest,O,0
of,O,0
these,O,0
gentlemen,O,0
having,O,0
asked,EVENT,0
me,O,0
to,O,0
write,O,0
down,O,0
the,O,0
whole,O,0
particulars,O,0
about,O,0
Treasure,O,0
Island,O,0
",",O,0
from,O,0
the,O,0
beginning,O,0
to,O,0
the,O,0
end,O,0
",",O,0
keeping,O,0
nothing,O,0
back,O,0
but,O,0
the,O,0
bearings,O,0
of,O,0
the,O,0
island,O,0
",",O,0
and,O,0
that,O,0
only,O,0
because,O,0
there,O,0
is,O,0
still,O,0
treasure,O,0
not,O,0
yet,O,0
lifted,O,0
",",O,0
I,O,0
take,EVENT,0
up,O,0
my,O,0
pen,O,0
in,O,0
the,O,0
year,O,0
of,O,0
grace,O,0
17,O,0
__,O,0
and,O,0
go,EVENT,0
back,O,0
to,O,0
the,O,0
time,O,0
when,O,0
my,O,0
father,O,0
kept,O,0
the,O,0
Admiral,O,0
Benbow,O,0
inn,O,0
and,O,0
the,O,0
brown,O,0
old,O,0
seaman,O,0
with,O,0
the,O,0
sabre,O,0
cut,O,0
first,O,0
took,EVENT,0
up,O,0
his,O,0
lodging,O,0
under,O,0
our,O,0
roof,O,0
.,O,0
I,O,1
remember,EVENT,1
him,O,1
as,O,1
if,O,1
it,O,1
were,O,1
yesterday,O,1
",",O,1
as,O,1
he,O,1
came,O,1
plodding,EVENT,1
to,O,1
the,O,1
inn,O,1
door,O,1
",",O,1
his,O,1
sea-chest,O,1
following,EVENT,1
behind,O,1
him,O,1
in,O,1
a,O,1
hand-barrow,O,1
--,O,1
a,O,1
tall,O,1
",",O,1
strong,O,1
",",O,1
heavy,O,1
