token,label,sentence
CHAPTER,O,0
I,O,0
It,O,0
was,O,0
a,O,0
Sunday,O,0
evening,O,0
in,O,0
October,O,0
",",O,0
and,O,0
in,O,0
common,O,0
with,O,0
many,O,0
other,O,0
young,O,0
ladies,O,0
of,O,0
her,O,0
class,O,0
",",O,0
Katharine,O,0
Hilbery,O,0
was,O,0
pouring,EVENT,0
out,O,0
tea,O,0
.,O,0
Perhaps,O,1
a,O,1
fifth,O,1
part,O,1
of,O,1
her,O,1
mind,O,1
was,O,1
thus,O,1
occupied,O,1
",",O,1
and,O,1
the,O,1
remaining,O,1
parts,O,1
leapt,EVENT,1
over,O,1
the,O,1
little,O,1
barrier,O,1
of,O,1
day,O,1
which,O,1
interposed,O,1
between,O,1
Monday,O,1
morning,O,1
and,O,1
this,O,1
rather,O,1
subdued,O,1
moment,O,1
",",O,1
and,O,1
played,EVENT,1
with,O,1
the,O,1
things,O,1
one,O,1
does,O,1
voluntarily,O,1
and,O,1
normally,O,1
in,O,1
the,O,1
daylight,O,1
.,O,1
But,O,2
although,O,2
she,O,2
was,O,2
silent,O,2
",",O,2
she,O,2
was,O,2
evidently,O,2
mistress,O,2
of,O,2
a,O,2
situation,O,2
which,O,2
was,O,2
familiar,O,2
enough,O,2
to,O,2
her,O,2
",",O,2
and,O,2
inclined,O,2
to,O,2
let,O,2
it,O,2
take,O,2
its,O,2
way,O,2
for,O,2
the,O,2
six,O,2
hundredth,O,2
time,O,2
",",O,2
perhaps,O,2
",",O,2
without,O,2
bringing,O,2
into,O,2
play,O,2
any,O,2
of,O,2
her,O,2
unoccupied,O,2
faculties,O,2
.,O,2
A,O,3
single,O,3
glance,O,3
was,O,3
enough,O,3
to,O,3
show,O,3
that,O,3
Mrs.,O,3
Hilbery,O,3
was,O,3
so,O,3
rich,O,3
in,O,3
the,O,3
gifts,O,3
which,O,3
make,O,3
tea-parties,O,3
of,O,3
elderly,O,3
distinguished,O,3
people,O,3
successful,O,3
",",O,3
that,O,3
she,O,3
scarcely,O,3
needed,O,3
any,O,3
help,O,3
from,O,3
her,O,3
daughter,O,3
",",O,3
provided,O,3
that,O,3
the,O,3
tiresome,O,3
business,O,3
of,O,3
teacups,O,3
and,O,3
bread,O,3
and,O,3
butter,O,3
was,O,3
discharged,O,3
for,O,3
her,O,3
.,O,3
Considering,O,4
that,O,4
the,O,4
little,O,4
party,O,4
had,O,4
been,O,4
seated,O,4
round,O,4
the,O,4
tea-table,O,4
for,O,4
less,O,4
than,O,4
twenty,O,4
minutes,O,4
",",O,4
the,O,4
animation,O,4
observable,O,4
on,O,4
their,O,4
faces,O,4
",",O,4
and,O,4
the,O,4
amount,O,4
of,O,4
sound,EVENT,4
they,O,4
were,O,4
producing,O,4
collectively,O,4
",",O,4
were,O,4
very,O,4
creditable,O,4
to,O,4
the,O,4
hostess,O,4
.,O,4
It,O,5
suddenly,O,5
came,EVENT,5
into,O,5
Katharine,O,5
’s,O,5
mind,O,5
that,O,5
if,O,5
some,O,5
one,O,5
opened,O,5
the,O,5
door,O,5
at,O,5
this,O,5
moment,O,5
he,O,5
would,O,5
think,O,5
that,O,5
they,O,5
were,O,5
enjoying,O,5
themselves,O,5
;,O,5
he,O,5
would,O,5
think,O,5
",",O,5
“,O,5
What,O,5
an,O,5
extremely,O,5
nice,O,5
house,O,5
to,O,5
come,O,5
into,O,5
!,O,5
”,O,5
and,O,5
instinctively,O,5
she,O,5
laughed,EVENT,5
",",O,5
and,O,5
said,EVENT,5
something,O,5
to,O,5
increase,EVENT,5
the,O,5
noise,EVENT,5
",",O,5
for,O,5
the,O,5
credit,O,5
of,O,5
the,O,5
house,O,5
presumably,O,5
",",O,5
since,O,5
she,O,5
herself,O,5
had,O,5
not,O,5
been,O,5
feeling,O,5
exhilarated,O,5
.,O,5
At,O,6
the,O,6
very,O,6
same,O,6
moment,O,6
",",O,6
rather,O,6
to,O,6
her,O,6
amusement,EVENT,6
