token,label,sentence
CHAPTER,O,0
I,O,0
There,O,0
was,O,0
no,O,0
possibility,O,0
of,O,0
taking,O,0
a,O,0
walk,O,0
that,O,0
day,O,0
.,O,0
We,O,1
had,O,1
been,O,1
wandering,EVENT,1
",",O,1
indeed,O,1
",",O,1
in,O,1
the,O,1
leafless,O,1
shrubbery,O,1
an,O,1
hour,O,1
in,O,1
the,O,1
morning,O,1
;,O,1
but,O,1
since,O,1
dinner,EVENT,1
(,O,1
Mrs.,O,1
Reed,O,1
",",O,1
when,O,1
there,O,1
was,O,1
no,O,1
company,O,1
",",O,1
dined,O,1
early,O,1
),O,1
the,O,1
cold,O,1
winter,O,1
wind,EVENT,1
had,O,1
brought,EVENT,1
with,O,1
it,O,1
clouds,EVENT,1
so,O,1
sombre,O,1
",",O,1
and,O,1
a,O,1
rain,EVENT,1
so,O,1
penetrating,O,1
",",O,1
that,O,1
further,O,1
out-door,O,1
exercise,O,1
was,O,1
now,O,1
out,O,1
of,O,1
the,O,1
question,O,1
.,O,1
I,O,2
was,O,2
glad,O,2
of,O,2
it,O,2
:,O,2
I,O,2
never,O,2
liked,O,2
long,O,2
walks,O,2
",",O,2
especially,O,2
on,O,2
chilly,O,2
afternoons,O,2
:,O,2
dreadful,O,2
to,O,2
me,O,2
was,O,2
the,O,2
coming,O,2
home,O,2
in,O,2
the,O,2
raw,O,2
twilight,O,2
",",O,2
with,O,2
nipped,O,2
fingers,O,2
and,O,2
toes,O,2
",",O,2
and,O,2
a,O,2
heart,O,2
saddened,O,2
by,O,2
the,O,2
chidings,O,2
of,O,2
Bessie,O,2
",",O,2
the,O,2
nurse,O,2
",",O,2
and,O,2
humbled,O,2
by,O,2
the,O,2
consciousness,O,2
of,O,2
my,O,2
physical,O,2
inferiority,O,2
to,O,2
Eliza,O,2
",",O,2
John,O,2
",",O,2
and,O,2
Georgiana,O,2
Reed,O,2
.,O,2
The,O,3
said,O,3
Eliza,O,3
",",O,3
John,O,3
",",O,3
and,O,3
Georgiana,O,3
were,O,3
now,O,3
clustered,O,3
round,O,3
their,O,3
mama,O,3
in,O,3
the,O,3
drawing-room,O,3
:,O,3
she,O,3
lay,O,3
reclined,O,3
on,O,3
a,O,3
sofa,O,3
by,O,3
the,O,3
fireside,O,3
",",O,3
and,O,3
with,O,3
her,O,3
darlings,O,3
about,O,3
her,O,3
(,O,3
for,O,3
the,O,3
time,O,3
neither,O,3
quarrelling,O,3
nor,O,3
crying,O,3
),O,3
looked,O,3
perfectly,O,3
happy,O,3
.,O,3
Me,O,4
",",O,4
she,O,4
had,O,4
dispensed,EVENT,4
from,O,4
joining,O,4
the,O,4
group,O,4
;,O,4
saying,EVENT,4
",",O,4
I,O,4
asked,EVENT,4
.,O,4
A,O,5
breakfast-room,O,5
adjoined,O,5
the,O,5
drawing-room,O,5
",",O,5
I,O,5
slipped,EVENT,5
in,O,5
there,O,5
.,O,5
It,O,6
contained,O,6
a,O,6
bookcase,O,6
:,O,6
I,O,6
soon,O,6
possessed,EVENT,6
myself,O,6
of,O,6
a,O,6
volume,O,6
",",O,6
taking,O,6
care,EVENT,6
that,O,6
it,O,6
should,O,6
be,O,6
one,O,6
stored,O,6
with,O,6
pictures,O,6
.,O,6
I,O,7
mounted,EVENT,7
into,O,7
the,O,7
window,O,7
-,O,7
seat,O,7
:,O,7
gathering,EVENT,7
up,O,7
my,O,7
feet,O,7
",",O,7
I,O,7
sat,EVENT,7
cross-legged,O,7
",",O,7
like,O,7
a,O,7
Turk,O,7
;,O,7
and,O,7
",",O,7
having,O,7
drawn,EVENT,7
the,O,7
red,O,7
moreen,O,7
curtain,O,7
nearly,O,7
close,O,7
",",O,7
I,O,7
was,O,7
shrined,O,7
in,O,7
double,O,7
retirement,O,7
.,O,7
Folds,O,8
of,O,8
scarlet,O,8
drapery,O,8
shut,O,8
in,O,8
my,O,8
view,O,8
to,O,8
the,O,8
right,O,8
hand,O,8
;,O,8
