token,label,sentence
May,O,0
7th,O,0
.,O,0
--,O,1
I,O,1
love,O,1
my,O,1
garden,O,1
.,O,1
I,O,2
am,O,2
writing,EVENT,2
in,O,2
it,O,2
now,O,2
in,O,2
the,O,2
late,O,2
afternoon,O,2
loveliness,O,2
",",O,2
much,O,2
interrupted,EVENT,2
by,O,2
the,O,2
mosquitoes,O,2
and,O,2
the,O,2
temptation,EVENT,2
to,O,2
look,O,2
at,O,2
all,O,2
the,O,2
glories,O,2
of,O,2
the,O,2
new,O,2
green,O,2
leaves,O,2
washed,EVENT,2
half,O,2
an,O,2
hour,O,2
ago,O,2
in,O,2
a,O,2
cold,O,2
shower,EVENT,2
.,O,2
Two,O,3
owls,O,3
are,O,3
perched,O,3
near,O,3
me,O,3
",",O,3
and,O,3
are,O,3
carrying,O,3
on,O,3
a,O,3
long,O,3
conversation,EVENT,3
that,O,3
I,O,3
enjoy,EVENT,3
as,O,3
much,O,3
as,O,3
any,O,3
warbling,O,3
of,O,3
nightingales,O,3
.,O,3
The,O,4
gentleman,O,4
owl,O,4
says,EVENT,4
[,O,4
[,O,4
musical,O,4
notes,O,4
occur,O,4
here,O,4
in,O,4
the,O,4
printed,O,4
text,O,4
],O,4
],O,4
",",O,4
and,O,4
she,O,4
answers,EVENT,4
from,O,4
her,O,4
tree,O,4
a,O,4
little,O,4
way,O,4
off,O,4
",",O,4
[,O,4
[,O,4
musical,O,4
notes,O,4
],O,4
],O,4
",",O,4
beautifully,O,4
assenting,EVENT,4
to,O,4
and,O,4
completing,EVENT,4
her,O,4
lord,O,4
’s,O,4
remark,EVENT,4
",",O,4
as,O,4
becomes,O,4
a,O,4
properly,O,4
constructed,O,4
German,O,4
she-owl,O,4
.,O,4
They,O,5
say,O,5
the,O,5
same,O,5
thing,O,5
over,O,5
and,O,5
over,O,5
again,O,5
so,O,5
emphatically,O,5
that,O,5
I,O,5
think,O,5
it,O,5
must,O,5
be,O,5
something,O,5
nasty,O,5
about,O,5
me,O,5
;,O,5
but,O,5
I,O,5
shall,O,5
not,O,5
let,O,5
myself,O,5
be,O,5
frightened,O,5
away,O,5
by,O,5
the,O,5
sarcasm,O,5
of,O,5
owls,O,5
.,O,5
This,O,6
is,O,6
less,O,6
a,O,6
garden,O,6
than,O,6
a,O,6
wilderness,O,6
.,O,6
No,O,7
one,O,7
has,O,7
lived,O,7
in,O,7
the,O,7
house,O,7
",",O,7
much,O,7
less,O,7
in,O,7
the,O,7
garden,O,7
",",O,7
for,O,7
twenty-five,O,7
years,O,7
",",O,7
and,O,7
it,O,7
is,O,7
such,O,7
a,O,7
pretty,O,7
old,O,7
place,O,7
that,O,7
the,O,7
people,O,7
who,O,7
might,O,7
have,O,7
lived,O,7
here,O,7
and,O,7
did,O,7
not,O,7
",",O,7
deliberately,O,7
preferring,O,7
the,O,7
horrors,O,7
of,O,7
a,O,7
flat,O,7
in,O,7
a,O,7
town,O,7
",",O,7
must,O,7
have,O,7
belonged,O,7
to,O,7
that,O,7
vast,O,7
number,O,7
of,O,7
eyeless,O,7
and,O,7
earless,O,7
persons,O,7
of,O,7
whom,O,7
the,O,7
world,O,7
seems,O,7
chiefly,O,7
composed,O,7
.,O,7
Noseless,O,8
too,O,8
",",O,8
though,O,8
it,O,8
does,O,8
not,O,8
sound,O,8
pretty,O,8
;,O,8
but,O,8
the,O,8
greater,O,8
part,O,8
of,O,8
my,O,8
spring,O,8
happiness,O,8
is,O,8
due,O,8
to,O,8
the,O,8
scent,O,8
of,O,8
the,O,8
wet,O,8
earth,O,8
and,O,8
young,O,8
leaves,O,8
.,O,8
I,O,9
am,O,9
always,O,9
happy,O,9
(,O,9
out,O,9
of,O,9
doors,O,9
be,O,9
it,O,9
understood,O,9
",",O,9
for,O,9
indoors,O,9
there,O,9
are,O,9
servants,O,9
and,O,9
furniture,O,9
),O,9
but,O,9
in,O,9
quite,O,9
different,O,9
ways,O,9
",",O,9
and,O,9
my,O,9
spring,O,9
happiness,O,9
bears,O,9
no,O,9
resemblance,O,9
to,O,9
my,O,9
summer,O,9
or,O,9
autumn,O,9
happiness,O,9
",",O,9
though,O,9
it,O,9
is,O,9
not,O,9
more,O,9
intense,O,9
",",O,9
and,O,9
there,O,9
were,O,9
days,O,9
last,O,9
winter,O,9
when,O,9
I,O,9
danced,O,9
for,O,9
sheer,O,9
joy,O,9
out,O,9
in,O,9
my,O,9
frost-bound,O,9
garden,O,9
",",O,9
in,O,9
spite,O,9
of,O,9
my,O,9
years,O,9
and,O,9
children,O,9
.,O,9
But,O,10
I,O,10
did,O,10
it,O,10
behind,O,10
a,O,10
