token,label,sentence
Chapter,O,0
I,O,0
My,O,0
father,O,0
's,O,0
family,O,0
name,O,0
being,O,0
Pirrip,O,0
",",O,0
and,O,0
my,O,0
Christian,O,0
name,O,0
Philip,O,0
",",O,0
my,O,0
infant,O,0
tongue,O,0
could,O,0
make,O,0
of,O,0
both,O,0
names,O,0
nothing,O,0
longer,O,0
or,O,0
more,O,0
explicit,O,0
than,O,0
Pip,O,0
.,O,0
So,O,1
",",O,1
I,O,1
called,O,1
myself,O,1
Pip,O,1
",",O,1
and,O,1
came,O,1
to,O,1
be,O,1
called,O,1
Pip,O,1
.,O,1
I,O,2
give,O,2
Pirrip,O,2
as,O,2
my,O,2
father,O,2
's,O,2
family,O,2
name,O,2
",",O,2
on,O,2
the,O,2
authority,O,2
of,O,2
his,O,2
tombstone,O,2
and,O,2
my,O,2
sister,O,2
",",O,2
--,O,2
Mrs.,O,2
Joe,O,2
Gargery,O,2
",",O,2
who,O,2
married,EVENT,2
the,O,2
blacksmith,O,2
.,O,2
As,O,3
I,O,3
never,O,3
saw,O,3
my,O,3
father,O,3
or,O,3
my,O,3
mother,O,3
",",O,3
and,O,3
never,O,3
saw,O,3
any,O,3
likeness,O,3
of,O,3
either,O,3
of,O,3
them,O,3
(,O,3
for,O,3
their,O,3
days,O,3
were,O,3
long,O,3
before,O,3
the,O,3
days,O,3
of,O,3
photographs,O,3
),O,3
",",O,3
my,O,3
first,O,3
fancies,O,3
regarding,O,3
what,O,3
they,O,3
were,O,3
like,O,3
were,O,3
unreasonably,O,3
derived,O,3
from,O,3
their,O,3
tombstones,O,3
.,O,3
The,O,4
shape,O,4
of,O,4
the,O,4
letters,O,4
on,O,4
my,O,4
father,O,4
's,O,4
",",O,4
gave,O,4
me,O,4
an,O,4
odd,O,4
idea,O,4
that,O,4
he,O,4
was,O,4
a,O,4
square,O,4
",",O,4
stout,O,4
",",O,4
dark,O,4
man,O,4
",",O,4
with,O,4
curly,O,4
black,O,4
hair,O,4
.,O,4
From,O,5
the,O,5
character,O,5
and,O,5
turn,O,5
of,O,5
the,O,5
inscription,O,5
",",O,5
“,O,5
Also,O,5
Georgiana,O,5
Wife,O,5
of,O,5
the,O,5
Above,O,5
",",O,5
”,O,5
I,O,5
drew,O,5
a,O,5
childish,O,5
conclusion,O,5
that,O,5
my,O,5
mother,O,5
was,O,5
freckled,O,5
and,O,5
sickly,O,5
.,O,5
To,O,6
five,O,6
little,O,6
stone,O,6
lozenges,O,6
",",O,6
each,O,6
about,O,6
a,O,6
foot,O,6
and,O,6
a,O,6
half,O,6
long,O,6
",",O,6
which,O,6
were,O,6
arranged,O,6
in,O,6
a,O,6
neat,O,6
row,O,6
beside,O,6
their,O,6
grave,O,6
",",O,6
and,O,6
were,O,6
sacred,O,6
to,O,6
the,O,6
memory,O,6
of,O,6
five,O,6
little,O,6
brothers,O,6
of,O,6
mine,O,6
",",O,6
--,O,6
who,O,6
gave,O,6
up,O,6
trying,O,6
to,O,6
get,O,6
a,O,6
living,O,6
",",O,6
exceedingly,O,6
early,O,6
in,O,6
that,O,6
universal,O,6
struggle,O,6
",",O,6
--,O,6
I,O,6
am,O,6
indebted,O,6
for,O,6
a,O,6
belief,O,6
I,O,6
religiously,O,6
entertained,O,6
that,O,6
they,O,6
had,O,6
all,O,6
been,O,6
born,O,6
on,O,6
their,O,6
backs,O,6
with,O,6
their,O,6
hands,O,6
in,O,6
their,O,6
trousers-pockets,O,6
",",O,6
and,O,6
had,O,6
never,O,6
taken,O,6
them,O,6
out,O,6
in,O,6
this,O,6
state,O,6
of,O,6
existence,O,6
.,O,6
Ours,O,7
was,O,7
the,O,7
marsh,O,7
country,O,7
",",O,7
down,O,7
by,O,7
the,O,7
river,O,7
",",O,7
within,O,7
",",O,7
as,O,7
the,O,7
river,O,7
wound,O,7
",",O,7
twenty,O,7
miles,O,7
of,O,7
the,O,7
sea,O,7
.,O,7
My,O,8
first,O,8
