token,label,sentence
PROLOGUE,O,0
THE,O,0
STORMING,EVENT,0
OF,O,0
SERINGAPATAM,O,0
(,O,0
1799,O,0
),O,0
Extracted,EVENT,0
from,O,0
a,O,0
Family,O,0
Paper,O,0
I,O,0
address,EVENT,0
these,O,0
lines,O,0
--,O,0
written,EVENT,0
in,O,0
India,O,0
--,O,0
to,O,0
my,O,0
relatives,O,0
in,O,0
England,O,0
.,O,0
My,O,1
object,O,1
is,O,1
to,O,1
explain,O,1
the,O,1
motive,O,1
which,O,1
has,O,1
induced,O,1
me,O,1
to,O,1
refuse,EVENT,1
the,O,1
right,O,1
hand,O,1
of,O,1
friendship,O,1
to,O,1
my,O,1
cousin,O,1
",",O,1
John,O,1
Herncastle,O,1
.,O,1
The,O,2
reserve,O,2
which,O,2
I,O,2
have,O,2
hitherto,O,2
maintained,O,2
in,O,2
this,O,2
matter,O,2
has,O,2
been,O,2
misinterpreted,EVENT,2
by,O,2
members,O,2
of,O,2
my,O,2
family,O,2
whose,O,2
good,O,2
opinion,O,2
I,O,2
can,O,2
not,O,2
consent,O,2
to,O,2
forfeit,O,2
.,O,2
I,O,3
request,EVENT,3
them,O,3
to,O,3
suspend,O,3
their,O,3
decision,O,3
until,O,3
they,O,3
have,O,3
read,O,3
my,O,3
narrative,O,3
.,O,3
And,O,4
I,O,4
declare,EVENT,4
",",O,4
on,O,4
my,O,4
word,O,4
of,O,4
honour,O,4
",",O,4
that,O,4
what,O,4
I,O,4
am,O,4
now,O,4
about,O,4
to,O,4
write,O,4
is,O,4
",",O,4
strictly,O,4
and,O,4
literally,O,4
",",O,4
the,O,4
truth,O,4
.,O,4
The,O,5
private,O,5
difference,EVENT,5
between,O,5
my,O,5
cousin,O,5
and,O,5
me,O,5
took,O,5
its,O,5
rise,O,5
in,O,5
a,O,5
great,O,5
public,O,5
event,EVENT,5
in,O,5
which,O,5
we,O,5
were,O,5
both,O,5
concerned,EVENT,5
--,O,5
the,O,5
storming,EVENT,5
of,O,5
Seringapatam,O,5
",",O,5
under,O,5
General,O,5
Baird,O,5
",",O,5
on,O,5
the,O,5
4th,O,5
of,O,5
May,O,5
",",O,5
1799,O,5
.,O,5
In,O,6
order,O,6
that,O,6
the,O,6
circumstances,O,6
may,O,6
be,O,6
clearly,O,6
understood,O,6
",",O,6
I,O,6
must,O,6
revert,EVENT,6
for,O,6
a,O,6
moment,O,6
to,O,6
the,O,6
period,O,6
before,O,6
the,O,6
assault,EVENT,6
",",O,6
and,O,6
to,O,6
the,O,6
stories,O,6
current,O,6
in,O,6
our,O,6
camp,O,6
of,O,6
the,O,6
treasure,O,6
in,O,6
jewels,O,6
and,O,6
gold,O,6
stored,EVENT,6
up,O,6
in,O,6
the,O,6
Palace,O,6
of,O,6
Seringapatam,O,6
.,O,6
II,O,7
One,O,7
of,O,7
the,O,7
wildest,O,7
of,O,7
these,O,7
stories,O,7
related,O,7
to,O,7
a,O,7
Yellow,O,7
Diamond,O,7
--,O,7
a,O,7
famous,O,7
gem,O,7
in,O,7
the,O,7
native,O,7
annals,O,7
of,O,7
India,O,7
.,O,7
The,O,8
earliest,O,8
known,O,8
traditions,O,8
describe,O,8
the,O,8
stone,O,8
as,O,8
having,O,8
been,O,8
set,EVENT,8
in,O,8
the,O,8
forehead,O,8
of,O,8
the,O,8
four-handed,O,8
Indian,O,8
god,O,8
who,O,8
typifies,O,8
the,O,8
Moon,O,8
.,O,8
Partly,O,9
from,O,9
its,O,9
peculiar,O,9
colour,O,9
",",O,9
partly,O,9
from,O,9
a,O,9
superstition,O,9
which,O,9
represented,O,9
it,O,9
as,O,9
feeling,O,9
the,O,9
influence,O,9
of,O,9
the,O,9
deity,O,9
whom,O,9
it,O,9
adorned,O,9
",",O,9
and,O,9
growing,O,9
and,O,9
lessening,O,9
in,O,9
lustre,O,9
with,O,9
the,O,9
waxing,O,9
and,O,9
waning,O,9
of,O,9
the,O,9
moon,O,9
",",O,9
it,O,9
first,O,9
gained,EVENT,9
the,O,9
name,O,9
by,O,9
which,O,9
it,O,9
continues,O,9
to,O,9
be,O,9
known,O,9
in,O,9
India,O,9
to,O,9
this,O,9
day,O,9
--,O,9
the,O,9
name,O,9
of,O,9
THE,O,9
MOONSTONE,O,9
.,O,9
A,O,10
similar,O,10
superstition,O,10
was,O,10
once,O,10
prevalent,O,10
",",O,10
as,O,10
I,O,10
have,O,10
heard,O,10
",",O,10
in,O,10
ancient,O,10
Greece,O,10
and,O,10
Rome,O,10
;,O,10
not,O,10
applying,O,10
",",O,10
however,O,10
(,O,10
as,O,10
in,O,10
India,O,10
),O,10
",",O,10
to,O,10
a,O,10
diamond,O,10
devoted,O,10
to,O,10
the,O,10
service,O,10
