token,label,sentence
VOLUME,O,0
I,O,0
CHAPTER,O,0
I,O,0
Emma,O,0
Woodhouse,O,0
",",O,0
handsome,O,0
",",O,0
clever,O,0
",",O,0
and,O,0
rich,O,0
",",O,0
with,O,0
a,O,0
comfortable,O,0
home,O,0
and,O,0
happy,O,0
disposition,O,0
",",O,0
seemed,O,0
to,O,0
unite,O,0
some,O,0
of,O,0
the,O,0
best,O,0
blessings,O,0
of,O,0
existence,O,0
;,O,0
and,O,0
had,O,0
lived,O,0
nearly,O,0
twenty-one,O,0
years,O,0
in,O,0
the,O,0
world,O,0
with,O,0
very,O,0
little,O,0
to,O,0
distress,O,0
or,O,0
vex,O,0
her,O,0
.,O,0
She,O,1
was,O,1
the,O,1
youngest,O,1
of,O,1
the,O,1
two,O,1
daughters,O,1
of,O,1
a,O,1
most,O,1
affectionate,O,1
",",O,1
indulgent,O,1
father,O,1
;,O,1
and,O,1
had,O,1
",",O,1
in,O,1
consequence,O,1
of,O,1
her,O,1
sister,O,1
's,O,1
marriage,O,1
",",O,1
been,O,1
mistress,O,1
of,O,1
his,O,1
house,O,1
from,O,1
a,O,1
very,O,1
early,O,1
period,O,1
.,O,1
Her,O,2
mother,O,2
had,O,2
died,EVENT,2
too,O,2
long,O,2
ago,O,2
for,O,2
her,O,2
to,O,2
have,O,2
more,O,2
than,O,2
an,O,2
indistinct,O,2
remembrance,O,2
of,O,2
her,O,2
caresses,O,2
;,O,2
and,O,2
her,O,2
place,O,2
had,O,2
been,O,2
supplied,O,2
by,O,2
an,O,2
excellent,O,2
woman,O,2
as,O,2
governess,O,2
",",O,2
who,O,2
had,O,2
fallen,O,2
little,O,2
short,O,2
of,O,2
a,O,2
mother,O,2
in,O,2
affection,O,2
.,O,2
Sixteen,O,3
years,O,3
had,O,3
Miss,O,3
Taylor,O,3
been,O,3
in,O,3
Mr.,O,3
Woodhouse,O,3
's,O,3
family,O,3
",",O,3
less,O,3
as,O,3
a,O,3
governess,O,3
than,O,3
a,O,3
friend,O,3
",",O,3
very,O,3
fond,O,3
of,O,3
both,O,3
daughters,O,3
",",O,3
but,O,3
particularly,O,3
of,O,3
Emma,O,3
.,O,3
Between,O,4
_,O,4
them,O,4
_,O,4
it,O,4
was,O,4
more,O,4
the,O,4
intimacy,O,4
of,O,4
sisters,O,4
.,O,4
Even,O,5
before,O,5
Miss,O,5
Taylor,O,5
had,O,5
ceased,O,5
to,O,5
hold,O,5
the,O,5
nominal,O,5
office,O,5
of,O,5
governess,O,5
",",O,5
the,O,5
mildness,O,5
of,O,5
her,O,5
temper,O,5
had,O,5
hardly,O,5
allowed,O,5
her,O,5
to,O,5
impose,O,5
any,O,5
restraint,O,5
;,O,5
and,O,5
the,O,5
shadow,O,5
of,O,5
authority,O,5
being,O,5
now,O,5
long,O,5
passed,O,5
away,O,5
",",O,5
they,O,5
had,O,5
been,O,5
living,O,5
together,O,5
as,O,5
friend,O,5
and,O,5
friend,O,5
very,O,5
mutually,O,5
attached,O,5
",",O,5
and,O,5
Emma,O,5
doing,O,5
just,O,5
what,O,5
she,O,5
liked,O,5
;,O,5
highly,O,5
esteeming,O,5
Miss,O,5
Taylor,O,5
's,O,5
judgment,O,5
",",O,5
but,O,5
directed,O,5
chiefly,O,5
by,O,5
her,O,5
own,O,5
.,O,5
The,O,6
real,O,6
evils,O,6
",",O,6
indeed,O,6
",",O,6
of,O,6
Emma,O,6
's,O,6
situation,O,6
were,O,6
the,O,6
power,O,6
of,O,6
having,O,6
rather,O,6
too,O,6
much,O,6
her,O,6
own,O,6
way,O,6
",",O,6
and,O,6
a,O,6
disposition,O,6
to,O,6
think,O,6
a,O,6
little,O,6
too,O,6
well,O,6
of,O,6
herself,O,6
;,O,6
these,O,6
were,O,6
the,O,6
disadvantages,O,6
which,O,6
threatened,O,6
alloy,O,6
to,O,6
her,O,6
many,O,6
enjoyments,O,6
.,O,6
The,O,7
danger,O,7
",",O,7
however,O,7
",",O,7
was,O,7
at,O,7
present,O,7
so,O,7
unperceived,O,7
",",O,7
that,O,7
they,O,7
did,O,7
not,O,7
by,O,7
any,O,7
means,O,7
rank,O,7
as,O,7
misfortunes,O,7
with,O,7
her,O,7
.,O,7
Sorrow,O,8
came,O,8
--,O,8
a,O,8
gentle,O,8
sorrow,O,8
--,O,8
but,O,8
not,O,8
at,O,8
all,O,8
in,O,8
the,O,8
shape,O,8
of,O,8
any,O,8
disagreeable,O,8
consciousness,O,8
.,O,8
--,O,9
Miss,O,9
Taylor,O,9
married,EVENT,9
.,O,9
It,O,10
was,O,10
Miss,O,10
Taylor,O,10
's,O,10
loss,EVENT,10
which,O,10
first,O,10
brought,O,10
grief,EVENT,10
.,O,10
It,O,11
was,O,11
on,O,11
the,O,11
wedding-day,O,11
of,O,11
this,O,11
beloved,O,11
friend,O,11
that,O,11
Emma,O,11
first,O,11
sat,EVENT,11
in,O,11
mournful,O,11
thought,EVENT,11
of,O,11
any,O,11
continuance,O,11
.,O,11
The,O,12
wedding,EVENT,12
over,O,12
",",O,12
and,O,12
the,O,12
bride-people,O,12
gone,EVENT,12
",",O,12
her,O,12
father,O,12
and,O,12
herself,O,12
were,O,12
left,O,12
to,O,12
dine,O,12
together,O,12
",",O,12
with,O,12
no,O,12
prospect,O,12
of,O,12
a,O,12
third,O,12
to,O,12
cheer,O,12
a,O,12
long,O,12
evening,O,12
.,O,12
Her,O,13
father,O,13
composed,O,13
himself,O,13
to,O,13
sleep,EVENT,13
after,O,13
dinner,EVENT,13
",",O,13
as,O,13
usual,O,13
",",O,13
and,O,13
she,O,13
had,O,13
then,O,13
only,O,13
to,O,13
sit,EVENT,13
and,O,13
think,EVENT,13
of,O,13
what,O,13
she,O,13
had,O,13
lost,EVENT,13
.,O,13
The,O,14
event,EVENT,14
had,O,14
every,O,14
promise,O,14
of,O,14
happiness,O,14
for,O,14
her,O,14
friend,O,14
.,O,14
Mr.,O,15
Weston,O,15
was,O,15
a,O,15
man,O,15
of,O,15
unexceptionable,O,15
character,O,15
",",O,15
easy,O,15
fortune,O,15
",",O,15
suitable,O,15
age,O,15
",",O,15
and,O,15
pleasant,O,15
manners,O,15
;,O,15
and,O,15
there,O,15
was,O,15
some,O,15
satisfaction,O,15
in,O,15
considering,O,15
with,O,15
what,O,15
self-denying,O,15
",",O,15
generous,O,15
friendship,O,15
she,O,15
had,O,15
always,O,15
wished,O,15
and,O,15
promoted,O,15
the,O,15
match,O,15
;,O,15
but,O,15
it,O,15
was,O,15
a,O,15
black,O,15
morning,O,15
's,O,15
work,O,15
for,O,15
her,O,15
.,O,15
The,O,16
want,O,16
of,O,16
Miss,O,16
Taylor,O,16
would,O,16
be,O,16
felt,O,16
every,O,16
hour,O,16
of,O,16
every,O,16
day,O,16
.,O,16
She,O,17
recalled,EVENT,17
her,O,17
past,O,17
kindness,O,17
--,O,17
the,O,17
kindness,O,17
",",O,17
the,O,17
affection,O,17
of,O,17
sixteen,O,17
years,O,17
--,O,17
how,O,17
she,O,17
had,O,17
taught,O,17
and,O,17
how,O,17
she,O,17
had,O,17
played,O,17
with,O,17
her,O,17
from,O,17
five,O,17
years,O,17
old,O,17
--,O,17
how,O,17
she,O,17
had,O,17
devoted,O,17
all,O,17
her,O,17
powers,O,17
to,O,17
attach,O,17
and,O,17
amuse,O,17
her,O,17
in,O,17
health,O,17
--,O,17
and,O,17
how,O,17
nursed,O,17
her,O,17
through,O,17
the,O,17
various,O,17
illnesses,O,17
of,O,17
childhood,O,17
.,O,17
A,O,18
large,O,18
debt,O,18
of,O,18
gratitude,O,18
was,O,18
owing,O,18
here,O,18
;,O,18
but,O,18
the,O,18
intercourse,O,18
of,O,18
the,O,18
last,O,18
seven,O,18
years,O,18
",",O,18
the,O,18
equal,O,18
footing,O,18
and,O,18
perfect,O,18
unreserve,O,18
which,O,18
had,O,18
soon,O,18
followed,O,18
Isabella,O,18
's,O,18
marriage,EVENT,18
",",O,18
on,O,18
their,O,18
being,O,18
left,O,18
to,O,18
each,O,18
other,O,18
",",O,18
was,O,18
yet,O,18
a,O,18
dearer,O,18
",",O,18
tenderer,O,18
recollection,O,18
.,O,18
She,O,19
had,O,19
been,O,19
a,O,19
friend,O,19
and,O,19
companion,O,19
such,O,19
as,O,19
few,O,19
possessed,O,19
:,O,19
intelligent,O,19
",",O,19
well-informed,O,19
",",O,19
useful,O,19
",",O,19
gentle,O,19
",",O,19
knowing,O,19
all,O,19
the,O,19
ways,O,19
of,O,19
the,O,19
family,O,19
",",O,19
interested,O,19
in,O,19
all,O,19
its,O,19
concerns,O,19
",",O,19
and,O,19
peculiarly,O,19
interested,O,19
in,O,19
herself,O,19
",",O,19
in,O,19
every,O,19
pleasure,O,19
",",O,19
every,O,19
scheme,O,19
of,O,19
hers,O,19
--,O,19
one,O,19
to,O,19
whom,O,19
she,O,19
could,O,19
speak,O,19
every,O,19
thought,O,19
as,O,19
it,O,19
arose,O,19
",",O,19
and,O,19
who,O,19
had,O,19
such,O,19
an,O,19
affection,O,19
for,O,19
her,O,19
as,O,19
could,O,19
never,O,19
find,O,19
fault,O,19
.,O,19
How,O,20
was,O,20
she,O,20
to,O,20
bear,O,20
the,O,20
change,O,20
?,O,20
--,O,20
It,O,20
was,O,20
true,O,20
that,O,20
her,O,20
friend,O,20
was,O,20
going,O,20
only,O,20
half,O,20
a,O,20
mile,O,20
from,O,20
them,O,20
;,O,20
but,O,20
Emma,O,20
was,O,20
aware,O,20
that,O,20
great,O,20
must,O,20
be,O,20
the,O,20
difference,O,20
between,O,20
a,O,20
Mrs.,O,20
Weston,O,20
",",O,20
only,O,20
half,O,20
a,O,20
mile,O,20
from,O,20
them,O,20
",",O,20
and,O,20
a,O,20
Miss,O,20
Taylor,O,20
in,O,20
the,O,20
house,O,20
;,O,20
and,O,20
with,O,20
all,O,20
her,O,20
advantages,O,20
",",O,20
natural,O,20
and,O,20
domestic,O,20
",",O,20
she,O,20
was,O,20
now,O,20
in,O,20
great,O,20
danger,O,20
of,O,20
suffering,O,20
from,O,20
intellectual,O,20
solitude,O,20
.,O,20
She,O,21
dearly,O,21
loved,O,21
her,O,21
father,O,21
",",O,21
but,O,21
he,O,21
was,O,21
no,O,21
companion,O,21
for,O,21
her,O,21
.,O,21
He,O,22
could,O,22
not,O,22
meet,O,22
her,O,22
in,O,22
conversation,O,22
",",O,22
rational,O,22
or,O,22
playful,O,22
.,O,22
The,O,23
evil,O,23
of,O,23
the,O,23
actual,O,23
disparity,O,23
in,O,23
their,O,23
ages,O,23
(,O,23
and,O,23
Mr.,O,23
Woodhouse,O,23
had,O,23
not,O,23
married,O,23
early,O,23
),O,23
was,O,23
much,O,23
increased,O,23
by,O,23
his,O,23
constitution,O,23
and,O,23
habits,O,23
;,O,23
for,O,23
having,O,23
been,O,23
a,O,23
valetudinarian,O,23
all,O,23
his,O,23
life,O,23
",",O,23
without,O,23
activity,O,23
of,O,23
mind,O,23
or,O,23
body,O,23
",",O,23
he,O,23
was,O,23
a,O,23
much,O,23
older,O,23
man,O,23
in,O,23
ways,O,23
than,O,23
in,O,23
years,O,23
;,O,23
and,O,23
though,O,23
everywhere,O,23
beloved,O,23
for,O,23
the,O,23
friendliness,O,23
of,O,23
his,O,23
heart,O,23
and,O,23
his,O,23
amiable,O,23
temper,O,23
",",O,23
his,O,23
talents,O,23
could,O,23
not,O,23
have,O,23
recommended,O,23
him,O,23
at,O,23
any,O,23
time,O,23
.,O,23
Her,O,24
sister,O,24
",",O,24
though,O,24
comparatively,O,24
but,O,24
little,O,24
removed,O,24
by,O,24
matrimony,O,24
",",O,24
being,O,24
settled,O,24
in,O,24
London,O,24
",",O,24
only,O,24
sixteen,O,24
miles,O,24
off,O,24
",",O,24
was,O,24
much,O,24
beyond,O,24
her,O,24
daily,O,24
reach,O,24
;,O,24
and,O,24
many,O,24
a,O,24
long,O,24
October,O,24
and,O,24
November,O,24
evening,O,24
must,O,24
be,O,24
struggled,O,24
through,O,24
at,O,24
Hartfield,O,24
",",O,24
before,O,24
Christmas,O,24
brought,O,24
the,O,24
next,O,24
visit,O,24
from,O,24
Isabella,O,24
and,O,24
her,O,24
husband,O,24
",",O,24
and,O,24
their,O,24
little,O,24
children,O,24
",",O,24
to,O,24
fill,O,24
the,O,24
house,O,24
",",O,24
and,O,24
give,O,24
her,O,24
pleasant,O,24
society,O,24
again,O,24
.,O,24
Highbury,O,25
",",O,25
the,O,25
large,O,25
and,O,25
populous,O,25
village,O,25
",",O,25
almost,O,25
amounting,O,25
to,O,25
a,O,25
town,O,25
",",O,25
to,O,25
which,O,25
Hartfield,O,25
",",O,25
in,O,25
spite,O,25
of,O,25
its,O,25
separate,O,25
lawn,O,25
",",O,25
and,O,25
shrubberies,O,25
",",O,25
and,O,25
name,O,25
",",O,25
did,O,25
really,O,25
belong,O,25
",",O,25
afforded,O,25
her,O,25
no,O,25
equals,O,25
.,O,25
The,O,26
Woodhouses,O,26
were,O,26
first,O,26
in,O,26
consequence,O,26
there,O,26
.,O,26
All,O,27
looked,O,27
up,O,27
to,O,27
them,O,27
.,O,27
She,O,28
had,O,28
many,O,28
acquaintance,O,28
in,O,28
the,O,28
place,O,28
",",O,28
for,O,28
her,O,28
father,O,28
was,O,28
universally,O,28
civil,O,28
",",O,28
but,O,28
not,O,28
one,O,28
among,O,28
them,O,28
who,O,28
could,O,28
be,O,28
accepted,O,28
in,O,28
lieu,O,28
of,O,28
Miss,O,28
Taylor,O,28
for,O,28
even,O,28
half,O,28
a,O,28
day,O,28
.,O,28
It,O,29
was,O,29
a,O,29
melancholy,O,29
change,O,29
;,O,29
and,O,29
Emma,O,29
could,O,29
not,O,29
but,O,29
sigh,O,29
over,O,29
it,O,29
",",O,29
and,O,29
wish,O,29
for,O,29
impossible,O,29
things,O,29
",",O,29
till,O,29
her,O,29
father,O,29
awoke,O,29
",",O,29
and,O,29
made,O,29
it,O,29
necessary,O,29
to,O,29
be,O,29
cheerful,O,29
.,O,29
His,O,30
spirits,O,30
required,O,30
support,O,30
.,O,30
He,O,31
was,O,31
a,O,31
nervous,O,31
man,O,31
",",O,31
easily,O,31
depressed,O,31
;,O,31
fond,O,31
of,O,31
every,O,31
body,O,31
that,O,31
he,O,31
was,O,31
used,O,31
to,O,31
",",O,31
and,O,31
hating,O,31
to,O,31
part,O,31
with,O,31
them,O,31
;,O,31
hating,O,31
change,O,31
of,O,31
every,O,31
kind,O,31
.,O,31
Matrimony,O,32
",",O,32
as,O,32
the,O,32
origin,O,32
of,O,32
change,O,32
",",O,32
was,O,32
always,O,32
disagreeable,O,32
;,O,32
and,O,32
he,O,32
was,O,32
by,O,32
no,O,32
means,O,32
yet,O,32
reconciled,O,32
to,O,32
his,O,32
own,O,32
daughter,O,32
's,O,32
marrying,O,32
",",O,32
nor,O,32
could,O,32
ever,O,32
speak,O,32
of,O,32
her,O,32
but,O,32
with,O,32
compassion,O,32
",",O,32
though,O,32
it,O,32
had,O,32
been,O,32
entirely,O,32
a,O,32
match,O,32
of,O,32
affection,O,32
",",O,32
when,O,32
he,O,32
was,O,32
now,O,32
obliged,O,32
to,O,32
part,O,32
with,O,32
Miss,O,32
Taylor,O,32
too,O,32
;,O,32
and,O,32
from,O,32
his,O,32
habits,O,32
of,O,32
gentle,O,32
selfishness,O,32
",",O,32
and,O,32
of,O,32
being,O,32
never,O,32
able,O,32
to,O,32
suppose,O,32
that,O,32
other,O,32
people,O,32
could,O,32
feel,O,32
differently,O,32
from,O,32
himself,O,32
",",O,32
he,O,32
was,O,32
very,O,32
much,O,32
disposed,O,32
to,O,32
think,O,32
Miss,O,32
Taylor,O,32
had,O,32
done,O,32
as,O,32
sad,O,32
