token,label,sentence
I,O,0
A,O,0
green,O,0
and,O,0
yellow,O,0
parrot,O,0
",",O,0
which,O,0
hung,O,0
in,O,0
a,O,0
cage,O,0
outside,O,0
the,O,0
door,O,0
",",O,0
kept,O,0
repeating,EVENT,0
over,O,0
and,O,0
over,O,0
:,O,0
“,O,0
Allez,O,0
vous-en,O,0
!,O,0
Allez,O,0
vous-en,O,0
!,O,0
Sapristi,O,0
!,O,0
That,O,0
's,O,0
all,O,0
right,O,0
!,O,0
”,O,0
He,O,0
could,O,0
speak,O,0
a,O,0
little,O,0
Spanish,O,0
",",O,0
and,O,0
also,O,0
a,O,0
language,O,0
which,O,0
nobody,O,0
understood,O,0
",",O,0
unless,O,0
it,O,0
was,O,0
the,O,0
mocking-bird,O,0
that,O,0
hung,O,0
on,O,0
the,O,0
other,O,0
side,O,0
of,O,0
the,O,0
door,O,0
",",O,0
whistling,EVENT,0
his,O,0
fluty,O,0
notes,O,0
out,O,0
upon,O,0
the,O,0
breeze,O,0
with,O,0
maddening,O,0
persistence,O,0
.,O,0
Mr.,O,1
Pontellier,O,1
",",O,1
unable,O,1
to,O,1
read,O,1
his,O,1
newspaper,O,1
with,O,1
any,O,1
degree,O,1
of,O,1
comfort,O,1
",",O,1
arose,EVENT,1
with,O,1
an,O,1
expression,O,1
and,O,1
an,O,1
exclamation,EVENT,1
of,O,1
disgust,O,1
.,O,1
He,O,2
walked,EVENT,2
down,O,2
the,O,2
gallery,O,2
and,O,2
across,O,2
the,O,2
narrow,O,2
“,O,2
bridges,O,2
”,O,2
which,O,2
connected,O,2
the,O,2
Lebrun,O,2
cottages,O,2
one,O,2
with,O,2
the,O,2
other,O,2
.,O,2
He,O,3
had,O,3
been,O,3
seated,O,3
before,O,3
the,O,3
door,O,3
of,O,3
the,O,3
main,O,3
house,O,3
.,O,3
The,O,4
parrot,O,4
and,O,4
the,O,4
mockingbird,O,4
were,O,4
the,O,4
property,O,4
of,O,4
Madame,O,4
