token,label,sentence
CHAP,O,0
.,O,0
I.,O,1
Mary,O,1
",",O,1
the,O,1
heroine,O,1
of,O,1
this,O,1
fiction,O,1
",",O,1
was,O,1
the,O,1
daughter,O,1
of,O,1
Edward,O,1
",",O,1
who,O,1
married,EVENT,1
Eliza,O,1
",",O,1
a,O,1
gentle,O,1
",",O,1
fashionable,O,1
girl,O,1
",",O,1
with,O,1
a,O,1
kind,O,1
of,O,1
indolence,O,1
in,O,1
her,O,1
temper,O,1
",",O,1
which,O,1
might,O,1
be,O,1
termed,O,1
negative,O,1
good-nature,O,1
:,O,1
her,O,1
virtues,O,1
",",O,1
indeed,O,1
",",O,1
were,O,1
all,O,1
of,O,1
that,O,1
stamp,O,1
.,O,1
She,O,2
carefully,O,2
attended,O,2
to,O,2
the,O,2
_,O,2
shews,O,2
_,O,2
of,O,2
things,O,2
",",O,2
and,O,2
her,O,2
opinions,O,2
",",O,2
I,O,2
should,O,2
have,O,2
said,O,2
prejudices,O,2
",",O,2
were,O,2
such,O,2
as,O,2
the,O,2
generality,O,2
approved,O,2
of,O,2
.,O,2
She,O,3
was,O,3
educated,O,3
with,O,3
the,O,3
expectation,O,3
of,O,3
a,O,3
large,O,3
fortune,O,3
",",O,3
of,O,3
course,O,3
became,O,3
a,O,3
mere,O,3
machine,O,3
:,O,3
the,O,3
homage,O,3
of,O,3
her,O,3
attendants,O,3
made,O,3
a,O,3
great,O,3
part,O,3
of,O,3
her,O,3
puerile,O,3
amusements,O,3
",",O,3
and,O,3
she,O,3
never,O,3
imagined,O,3
there,O,3
were,O,3
any,O,3
relative,O,3
duties,O,3
for,O,3
her,O,3
to,O,3
fulfil,O,3
:,O,3
notions,O,3
of,O,3
her,O,3
own,O,3
consequence,O,3
",",O,3
by,O,3
these,O,3
means,O,3
",",O,3
were,O,3
interwoven,O,3
in,O,3
her,O,3
mind,O,3
",",O,3
and,O,3
the,O,3
years,O,3
of,O,3
youth,O,3
spent,O,3
in,O,3
acquiring,O,3
a,O,3
few,O,3
superficial,O,3
accomplishments,O,3
",",O,3
without,O,3
having,O,3
any,O,3
taste,O,3
for,O,3
them,O,3
.,O,3
When,O,4
she,O,4
was,O,4
first,O,4
introduced,EVENT,4
into,O,4
the,O,4
polite,O,4
circle,O,4
",",O,4
she,O,4
danced,EVENT,4
with,O,4
an,O,4
officer,O,4
",",O,4
whom,O,4
she,O,4
