token,label,sentence
ADVENTURE,O,0
I,O,0
.,O,0
A,O,1
SCANDAL,O,1
IN,O,1
BOHEMIA,O,1
I.,O,1
To,O,1
Sherlock,O,1
Holmes,O,1
she,O,1
is,O,1
always,O,1
THE,O,1
woman,O,1
.,O,1
I,O,2
have,O,2
seldom,O,2
heard,O,2
him,O,2
mention,O,2
her,O,2
under,O,2
any,O,2
other,O,2
name,O,2
.,O,2
In,O,3
his,O,3
eyes,O,3
she,O,3
eclipses,O,3
and,O,3
predominates,O,3
the,O,3
whole,O,3
of,O,3
her,O,3
sex,O,3
.,O,3
It,O,4
was,O,4
not,O,4
that,O,4
he,O,4
felt,O,4
any,O,4
emotion,O,4
akin,O,4
to,O,4
love,O,4
for,O,4
Irene,O,4
Adler,O,4
.,O,4
All,O,5
emotions,O,5
",",O,5
and,O,5
that,O,5
one,O,5
particularly,O,5
",",O,5
were,O,5
abhorrent,O,5
to,O,5
his,O,5
cold,O,5
",",O,5
precise,O,5
but,O,5
admirably,O,5
balanced,O,5
mind,O,5
.,O,5
He,O,6
was,O,6
",",O,6
I,O,6
take,O,6
it,O,6
",",O,6
the,O,6
most,O,6
perfect,O,6
reasoning,O,6
and,O,6
observing,O,6
machine,O,6
that,O,6
the,O,6
world,O,6
has,O,6
seen,O,6
",",O,6
but,O,6
as,O,6
a,O,6
lover,O,6
he,O,6
would,O,6
have,O,6
placed,O,6
himself,O,6
in,O,6
a,O,6
false,O,6
position,O,6
.,O,6
He,O,7
never,O,7
spoke,O,7
of,O,7
the,O,7
softer,O,7
passions,O,7
",",O,7
save,O,7
with,O,7
a,O,7
gibe,O,7
and,O,7
a,O,7
sneer,O,7
.,O,7
They,O,8
were,O,8
admirable,O,8
things,O,8
for,O,8
the,O,8
observer,O,8
--,O,8
excellent,O,8
for,O,8
drawing,O,8
the,O,8
veil,O,8
from,O,8
men,O,8
's,O,8
motives,O,8
and,O,8
actions,O,8
.,O,8
But,O,9
for,O,9
the,O,9
trained,O,9
reasoner,O,9
to,O,9
admit,O,9
such,O,9
intrusions,O,9
into,O,9
his,O,9
own,O,9
delicate,O,9
and,O,9
finely,O,9
adjusted,O,9
temperament,O,9
was,O,9
to,O,9
introduce,O,9
a,O,9
distracting,O,9
factor,O,9
which,O,9
might,O,9
throw,O,9
a,O,9
doubt,O,9
upon,O,9
all,O,9
his,O,9
mental,O,9
results,O,9
.,O,9
Grit,O,10
in,O,10
a,O,10
sensitive,O,10
instrument,O,10
",",O,10
or,O,10
a,O,10
crack,O,10
in,O,10
one,O,10
of,O,10
his,O,10
own,O,10
high-power,O,10
lenses,O,10
",",O,10
would,O,10
not,O,10
be,O,10
more,O,10
disturbing,O,10
than,O,10
a,O,10
strong,O,10
emotion,O,10
in,O,10
a,O,10
nature,O,10
such,O,10
as,O,10
his,O,10
.,O,10
And,O,11
yet,O,11
there,O,11
was,O,11
but,O,11
one,O,11
woman,O,11
to,O,11
him,O,11
",",O,11
and,O,11
that,O,11
woman,O,11
was,O,11
the,O,11
late,O,11
Irene,O,11
Adler,O,11
",",O,11
of,O,11
dubious,O,11
and,O,11
questionable,O,11
memory,O,11
.,O,11
I,O,12
had,O,12
seen,O,12
little,O,12
of,O,12
Holmes,O,12
lately,O,12
.,O,12
My,O,13
marriage,EVENT,13
had,O,13
drifted,O,13
us,O,13
away,O,13
from,O,13
each,O,13
other,O,13
.,O,13
My,O,14
own,O,14
complete,O,14
happiness,O,14
",",O,14
and,O,14
the,O,14
home-centred,O,14
interests,O,14
which,O,14
rise,O,14
up,O,14
around,O,14
the,O,14
man,O,14
who,O,14
first,O,14
finds,O,14
himself,O,14
master,O,14
of,O,14
his,O,14
own,O,14
establishment,O,14
",",O,14
were,O,14
sufficient,O,14
to,O,14
absorb,O,14
all,O,14
my,O,14
attention,O,14
",",O,14
while,O,14
Holmes,O,14
",",O,14
who,O,14
loathed,O,14
every,O,14
form,O,14
of,O,14
society,O,14
with,O,14
his,O,14
whole,O,14
Bohemian,O,14
soul,O,14
",",O,14
remained,O,14
in,O,14
our,O,14
lodgings,O,14
in,O,14
Baker,O,14
Street,O,14
",",O,14
buried,O,14
among,O,14
his,O,14
old,O,14
books,O,14
",",O,14
and,O,14
alternating,O,14
from,O,14
week,O,14
to,O,14
week,O,14
between,O,14
cocaine,O,14
and,O,14
ambition,O,14
",",O,14
the,O,14
drowsiness,O,14
of,O,14
the,O,14
drug,O,14
",",O,14
and,O,14
the,O,14
fierce,O,14
energy,O,14
of,O,14
his,O,14
own,O,14
keen,O,14
nature,O,14
.,O,14
He,O,15
was,O,15
still,O,15
",",O,15
as,O,15
ever,O,15
",",O,15
deeply,O,15
attracted,O,15
by,O,15
the,O,15
study,O,15
of,O,15
crime,O,15
",",O,15
and,O,15
occupied,O,15
his,O,15
immense,O,15
faculties,O,15
and,O,15
extraordinary,O,15
powers,O,15
of,O,15
observation,O,15
in,O,15
following,O,15
out,O,15
those,O,15
clues,O,15
",",O,15
and,O,15
clearing,O,15
up,O,15
those,O,15
mysteries,O,15
which,O,15
had,O,15
been,O,15
abandoned,O,15
as,O,15
hopeless,O,15
by,O,15
the,O,15
official,O,15
police,O,15
.,O,15
From,O,16
time,O,16
to,O,16
time,O,16
I,O,16
heard,O,16
some,O,16
vague,O,16
account,O,16
of,O,16
his,O,16
doings,O,16
:,O,16
of,O,16
his,O,16
summons,O,16
to,O,16
Odessa,O,16
in,O,16
the,O,16
case,O,16
of,O,16
the,O,16
Trepoff,O,16
murder,O,16
",",O,16
of,O,16
his,O,16
clearing,O,16
up,O,16
of,O,16
the,O,16
singular,O,16
tragedy,O,16
of,O,16
the,O,16
Atkinson,O,16
brothers,O,16
at,O,16
Trincomalee,O,16
",",O,16
and,O,16
finally,O,16
of,O,16
the,O,16
mission,O,16
which,O,16
he,O,16
had,O,16
accomplished,O,16
so,O,16
delicately,O,16
and,O,16
successfully,O,16
for,O,16
the,O,16
reigning,O,16
family,O,16
of,O,16
Holland,O,16
.,O,16
Beyond,O,17
these,O,17
signs,O,17
of,O,17
his,O,17
activity,O,17
",",O,17
however,O,17
",",O,17
which,O,17
I,O,17
merely,O,17
shared,O,17
with,O,17
all,O,17
the,O,17
readers,O,17
of,O,17
the,O,17
daily,O,17
press,O,17
",",O,17
I,O,17
knew,O,17
little,O,17
of,O,17
my,O,17
former,O,17
friend,O,17
and,O,17
companion,O,17
.,O,17
One,O,18
night,O,18
--,O,18
it,O,18
was,O,18
on,O,18
the,O,18
twentieth,O,18
of,O,18
March,O,18
",",O,18
1888,O,18
--,O,18
I,O,18
was,O,18
returning,EVENT,18
from,O,18
a,O,18
journey,EVENT,18
to,O,18
a,O,18
patient,O,18
(,O,18
for,O,18
I,O,18
had,O,18
now,O,18
returned,O,18
to,O,18
civil,O,18
practice,O,18
),O,18
",",O,18
when,O,18
my,O,18
way,O,18
led,EVENT,18
me,O,18
through,O,18
Baker,O,18
Street,O,18
.,O,18
As,O,19
I,O,19
passed,EVENT,19
the,O,19
well-remembered,O,19
door,O,19
",",O,19
which,O,19
must,O,19
always,O,19
be,O,19
associated,O,19
in,O,19
my,O,19
mind,O,19
with,O,19
my,O,19
wooing,O,19
",",O,19
and,O,19
with,O,19
the,O,19
dark,O,19
incidents,O,19
of,O,19
the,O,19
Study,O,19
in,O,19
Scarlet,O,19
",",O,19
I,O,19
was,O,19
seized,O,19
with,O,19
a,O,19
keen,O,19
desire,EVENT,19
to,O,19
see,O,19
Holmes,O,19
again,O,19
",",O,19
and,O,19
to,O,19
know,O,19
how,O,19
he,O,19
was,O,19
employing,O,19
his,O,19
extraordinary,O,19
powers,O,19
.,O,19
His,O,20
rooms,O,20
were,O,20
brilliantly,O,20
lit,O,20
",",O,20
and,O,20
",",O,20
even,O,20
as,O,20
I,O,20
looked,EVENT,20
up,O,20
",",O,20
I,O,20
saw,EVENT,20
his,O,20
tall,O,20
",",O,20
spare,O,20
figure,O,20
pass,EVENT,20
twice,O,20
in,O,20
a,O,20
dark,O,20
silhouette,O,20
against,O,20
the,O,20
blind,O,20
.,O,20
He,O,21
was,O,21
pacing,EVENT,21
the,O,21
room,O,21
swiftly,O,21
",",O,21
eagerly,O,21
",",O,21
with,O,21
his,O,21
head,O,21
sunk,O,21
upon,O,21
his,O,21
chest,O,21
and,O,21
his,O,21
hands,O,21
clasped,O,21
behind,O,21
him,O,21
