token,label,sentence
CHAPTER,O,0
I,O,0
.,O,0
THE,O,1
TWO,O,1
POETS,O,1
OF,O,1
SAFFRON,O,1
PARK,O,1
THE,O,1
suburb,O,1
of,O,1
Saffron,O,1
Park,O,1
lay,O,1
on,O,1
the,O,1
sunset,O,1
side,O,1
of,O,1
London,O,1
",",O,1
as,O,1
red,O,1
and,O,1
ragged,O,1
as,O,1
a,O,1
cloud,O,1
of,O,1
sunset,O,1
.,O,1
It,O,2
was,O,2
built,EVENT,2
of,O,2
a,O,2
bright,O,2
brick,O,2
throughout,O,2
;,O,2
its,O,2
sky-line,O,2
was,O,2
fantastic,O,2
",",O,2
and,O,2
even,O,2
its,O,2
ground,O,2
plan,O,2
was,O,2
wild,O,2
.,O,2
It,O,3
had,O,3
been,O,3
the,O,3
outburst,EVENT,3
of,O,3
a,O,3
speculative,O,3
builder,O,3
",",O,3
faintly,O,3
tinged,O,3
with,O,3
art,O,3
",",O,3
who,O,3
called,O,3
its,O,3
architecture,O,3
sometimes,O,3
Elizabethan,O,3
and,O,3
sometimes,O,3
Queen,O,3
Anne,O,3
",",O,3
apparently,O,3
under,O,3
the,O,3
impression,O,3
that,O,3
the,O,3
two,O,3
sovereigns,O,3
were,O,3
identical,O,3
.,O,3
It,O,4
was,O,4
described,O,4
with,O,4
some,O,4
justice,O,4
as,O,4
an,O,4
artistic,O,4
colony,O,4
",",O,4
though,O,4
it,O,4
never,O,4
in,O,4
any,O,4
definable,O,4
way,O,4
produced,O,4
any,O,4
art,O,4
.,O,4
But,O,5
although,O,5
its,O,5
pretensions,O,5
to,O,5
be,O,5
an,O,5
intellectual,O,5
centre,O,5
were,O,5
a,O,5
little,O,5
vague,O,5
",",O,5
its,O,5
pretensions,O,5
to,O,5
be,O,5
a,O,5
pleasant,O,5
place,O,5
were,O,5
quite,O,5
indisputable,O,5
.,O,5
The,O,6
stranger,O,6
who,O,6
looked,O,6
for,O,6
the,O,6
first,O,6
time,O,6
at,O,6
the,O,6
quaint,O,6
red,O,6
houses,O,6
could,O,6
only,O,6
think,O,6
how,O,6
very,O,6
oddly,O,6
shaped,O,6
the,O,6
people,O,6
must,O,6
be,O,6
who,O,6
could,O,6
fit,O,6
in,O,6
to,O,6
them,O,6
.,O,6
Nor,O,7
when,O,7
he,O,7
met,O,7
the,O,7
people,O,7
was,O,7
he,O,7
disappointed,O,7
in,O,7
this,O,7
respect,O,7
.,O,7
The,O,8
place,O,8
was,O,8
not,O,8
only,O,8
pleasant,O,8
",",O,8
but,O,8
perfect,O,8
",",O,8
if,O,8
once,O,8
he,O,8
could,O,8
regard,O,8
it,O,8
not,O,8
as,O,8
a,O,8
deception,O,8
but,O,8
rather,O,8
as,O,8
a,O,8
dream,O,8
.,O,8
Even,O,9
if,O,9
the,O,9
people,O,9
were,O,9
not,O,9
“,O,9
artists,O,9
",",O,9
”,O,9
the,O,9
whole,O,9
was,O,9
nevertheless,O,9
artistic,O,9
.,O,9
That,O,10
young,O,10
man,O,10
with,O,10
the,O,10
long,O,10
",",O,10
auburn,O,10
hair,O,10
and,O,10
the,O,10
impudent,O,10
face,O,10
--,O,10
that,O,10
young,O,10
man,O,10
was,O,10
not,O,10
really,O,10
a,O,10
poet,O,10
;,O,10
but,O,10
surely,O,10
he,O,10
was,O,10
a,O,10
poem,O,10
.,O,10
That,O,11
old,O,11
gentleman,O,11
with,O,11
the,O,11
wild,O,11
",",O,11
white,O,11
beard,O,11
and,O,11
the,O,11
wild,O,11
",",O,11
white,O,11
hat,O,11
--,O,11
that,O,11
venerable,O,11
humbug,O,11
was,O,11
not,O,11
really,O,11
a,O,11
philosopher,O,11
;,O,11
but,O,11
at,O,11
least,O,11
he,O,11
was,O,11
the,O,11
cause,O,11
of,O,11
philosophy,O,11
in,O,11
others,O,11
.,O,11
That,O,12
scientific,O,12
gentleman,O,12
with,O,12
the,O,12
bald,O,12
",",O,12
egg-like,O,12
head,O,12
