token,label,sentence
VOLUME,O,0
I,O,0
CHAPTER,O,0
I,O,0
.,O,0
A,O,1
BOARDING,O,1
SCHOOL,O,1
.,O,1
“,O,2
ARE,O,2
you,O,2
for,O,2
a,O,2
walk,O,2
",",O,2
”,O,2
said,EVENT,2
Montraville,O,2
to,O,2
his,O,2
companion,O,2
",",O,2
as,O,2
they,O,2
arose,EVENT,2
from,O,2
table,O,2
;,O,2
“,O,2
are,O,2
you,O,2
for,O,2
a,O,2
walk,O,2
?,O,2
or,O,2
shall,O,2
we,O,2
order,O,2
the,O,2
chaise,O,2
and,O,2
proceed,O,2
to,O,2
Portsmouth,O,2
?,O,2
”,O,2
Belcour,O,2
preferred,EVENT,2
the,O,2
former,O,2
;,O,2
and,O,2
they,O,2
sauntered,EVENT,2
out,O,2
to,O,2
view,O,2
the,O,2
town,O,2
",",O,2
and,O,2
to,O,2
make,O,2
remarks,O,2
on,O,2
the,O,2
inhabitants,O,2
",",O,2
as,O,2
they,O,2
returned,O,2
from,O,2
church,O,2
.,O,2
Montraville,O,3
was,O,3
a,O,3
Lieutenant,O,3
in,O,3
the,O,3
army,O,3
:,O,3
Belcour,O,3
was,O,3
his,O,3
brother,O,3
officer,O,3
:,O,3
they,O,3
had,O,3
been,O,3
to,O,3
take,O,3
leave,EVENT,3
of,O,3
their,O,3
friends,O,3
previous,O,3
to,O,3
their,O,3
departure,O,3
for,O,3
America,O,3
",",O,3
and,O,3
were,O,3
now,O,3
returning,EVENT,3
to,O,3
Portsmouth,O,3
",",O,3
where,O,3
the,O,3
troops,O,3
waited,EVENT,3
orders,O,3
for,O,3
embarkation,O,3
.,O,3
They,O,4
had,O,4
stopped,EVENT,4
at,O,4
Chichester,O,4
to,O,4
dine,O,4
;,O,4
and,O,4
knowing,O,4
they,O,4
had,O,4
sufficient,O,4
time,O,4
to,O,4
reach,O,4
the,O,4
place,O,4
of,O,4
destination,O,4
before,O,4
dark,O,4
",",O,4
and,O,4
yet,O,4
allow,O,4
them,O,4
a,O,4
walk,O,4
",",O,4
had,O,4
resolved,EVENT,4
",",O,4
it,O,4
being,O,4
Sunday,O,4
afternoon,O,4
",",O,4
to,O,4
take,O,4
a,O,4
survey,O,4
of,O,4
the,O,4
Chichester,O,4
ladies,O,4
as,O,4
they,O,4
returned,O,4
from,O,4
their,O,4
devotions,O,4
.,O,4
They,O,5
had,O,5
gratified,EVENT,5
their,O,5
curiosity,O,5
",",O,5
and,O,5
were,O,5
preparing,EVENT,5
to,O,5
return,O,5
to,O,5
the,O,5
inn,O,5
without,O,5
honouring,O,5
any,O,5
of,O,5
the,O,5
belles,O,5
with,O,5
particular,O,5
notice,O,5
",",O,5
when,O,5
Madame,O,5
Du,O,5
Pont,O,5
",",O,5
at,O,5
the,O,5
head,O,5
of,O,5
her,O,5
school,O,5
",",O,5
descended,EVENT,5
from,O,5
the,O,5
church,O,5
.,O,5
Such,O,6
an,O,6
assemblage,O,6
of,O,6
youth,O,6
and,O,6
innocence,O,6
naturally,O,6
attracted,EVENT,6
the,O,6
young,O,6
soldiers,O,6
:,O,6
they,O,6
stopped,EVENT,6
;,O,6
and,O,6
",",O,6
as,O,6
the,O,6
little,O,6
cavalcade,EVENT,6
passed,EVENT,6
",",O,6
almost,O,6
involuntarily,O,6
pulled,EVENT,6
off,O,6
their,O,6
hats,O,6
.,O,6
A,O,7
tall,O,7
",",O,7
elegant,O,7
girl,O,7
looked,EVENT,7
at,O,7
Montraville,O,7
and,O,7
blushed,EVENT,7
:,O,7
he,O,7
instantly,O,7
recollected,EVENT,7
the,O,7
features,O,7
of,O,7
Charlotte,O,7
Temple,O,7
",",O,7
whom,O,7
he,O,7
had,O,7
once,O,7
seen,EVENT,7
and,O,7
danced,EVENT,7
with,O,7
at,O,7
a,O,7
ball,EVENT,7
at,O,7
Portsmouth,O,7
.,O,7
At,O,8
that,O,8
time,O,8
he,O,8
thought,O,8
on,O,8
her,O,8
only,O,8
as,O,8
a,O,8
very,O,8
lovely,O,8
child,O,8
",",O,8
she,O,8
being,O,8
then,O,8
only,O,8
thirteen,O,8
;,O,8
but,O,8
the,O,8
improvement,O,8
two,O,8
years,O,8
had,O,8
made,O,8
in,O,8
her,O,8
person,O,8
",",O,8
and,O,8
the,O,8
blush,EVENT,8
of,O,8
recollection,EVENT,8
which,O,8
suffused,O,8
her,O,8
cheeks,O,8
as,O,8
she,O,8
passed,EVENT,8
",",O,8
awakened,O,8
in,O,8
his,O,8
bosom,O,8
new,O,8
and,O,8
pleasing,O,8
ideas,EVENT,8
.,O,8
Vanity,O,9
led,O,9
him,O,9
to,O,9
think,O,9
that,O,9
pleasure,O,9
at,O,9
again,O,9
beholding,EVENT,9
him,O,9
might,O,9
have,O,9
occasioned,O,9
the,O,9
emotion,EVENT,9
he,O,9
had,O,9
witnessed,EVENT,9
",",O,9
and,O,9
the,O,9
same,O,9
vanity,O,9
led,O,9
him,O,9
to,O,9
wish,O,9
to,O,9
see,O,9
her,O,9
again,O,9
.,O,9
“,O,10
She,O,10
is,O,10
the,O,10
sweetest,O,10
girl,O,10
in,O,10
the,O,10
world,O,10
",",O,10
”,O,10
said,EVENT,10
he,O,10
",",O,10
as,O,10
he,O,10
entered,EVENT,10
the,O,10
inn,O,10
.,O,10
Belcour,O,11
stared,EVENT,11
.,O,11
“,O,12
Did,O,12
you,O,12
not,O,12
notice,O,12
her,O,12
?,O,12
”,O,12
continued,EVENT,12
Montraville,O,12
:,O,12
“,O,12
she,O,12
had,O,12
on,O,12
a,O,12
blue,O,12
bonnet,O,12
",",O,12
and,O,12
with,O,12
a,O,12
pair,O,12
of,O,12
lovely,O,12
eyes,O,12
of,O,12
the,O,12
same,O,12
colour,O,12
",",O,12
has,O,12
contrived,O,12
to,O,12
make,O,12
me,O,12
feel,O,12
devilish,O,12
odd,O,12
about,O,12
the,O,12
heart,O,12
.,O,12
”,O,13
“,O,13
Pho,O,13
",",O,13
”,O,13
said,EVENT,13
Belcour,O,13
",",O,13
“,O,13
a,O,13
musket,O,13
ball,O,13
from,O,13
our,O,13
friends,O,13
",",O,13
the,O,13
Americans,O,13
",",O,13
may,O,13
in,O,13
less,O,13
than,O,13
two,O,13
months,O,13
make,O,13
you,O,13
feel,O,13
worse,O,13
.,O,13
”,O,14
“,O,14
I,O,14
never,O,14
think,O,14
of,O,14
the,O,14
future,O,14
",",O,14
”,O,14
replied,EVENT,14
Montraville,O,14
;,O,14
“,O,14
but,O,14
am,O,14
determined,O,14
to,O,14
make,O,14
the,O,14
most,O,14
of,O,14
the,O,14
present,O,14
",",O,14
and,O,14
would,O,14
willingly,O,14
compound,O,14
with,O,14
any,O,14
kind,O,14
Familiar,O,14
who,O,14
would,O,14
inform,O,14
me,O,14
who,O,14
the,O,14
girl,O,14
is,O,14
",",O,14
and,O,14
how,O,14
I,O,14
might,O,14
be,O,14
likely,O,14
to,O,14
obtain,O,14
an,O,14
interview,O,14
.,O,14
”,O,15
But,O,15
no,O,15
kind,O,15
Familiar,O,15
at,O,15
that,O,15
time,O,15
appearing,O,15
",",O,15
and,O,15
the,O,15
chaise,O,15
which,O,15
they,O,15
had,O,15
ordered,EVENT,15
",",O,15
driving,EVENT,15
up,O,15
to,O,15
the,O,15
door,O,15
",",O,15
Montraville,O,15
and,O,15
his,O,15
companion,O,15
were,O,15
obliged,O,15
to,O,15
take,O,15
leave,EVENT,15
of,O,15
Chichester,O,15
and,O,15
its,O,15
fair,O,15
inhabitant,O,15
",",O,15
and,O,15
proceed,EVENT,15
on,O,15
their,O,15
journey,EVENT,15
.,O,15
But,O,16
Charlotte,O,16
had,O,16
made,O,16
too,O,16
great,O,16
an,O,16
impression,EVENT,16
on,O,16
his,O,16
mind,O,16
to,O,16
be,O,16
easily,O,16
eradicated,O,16
:,O,16
having,O,16
therefore,O,16
spent,O,16
three,O,16
whole,O,16
days,O,16
in,O,16
thinking,EVENT,16
on,O,16
her,O,16
and,O,16
in,O,16
endeavouring,EVENT,16
to,O,16
form,O,16
some,O,16
plan,O,16
for,O,16
seeing,O,16
her,O,16
",",O,16
he,O,16
determined,EVENT,16
to,O,16
set,O,16
off,O,16
for,O,16
Chichester,O,16
",",O,16
and,O,16
trust,O,16
to,O,16
chance,O,16
either,O,16
to,O,16
favour,O,16
or,O,16
frustrate,O,16
his,O,16
designs,EVENT,16
.,O,16
Arriving,EVENT,17
at,O,17
the,O,17
verge,O,17
of,O,17
the,O,17
town,O,17
",",O,17
he,O,17
dismounted,EVENT,17
",",O,17
and,O,17
sending,EVENT,17
the,O,17
servant,O,17
forward,O,17
with,O,17
the,O,17
horses,O,17
",",O,17
proceeded,EVENT,17
toward,O,17
the,O,17
place,O,17
",",O,17
where,O,17
",",O,17
in,O,17
the,O,17
midst,O,17
of,O,17
an,O,17
extensive,O,17
pleasure,O,17
ground,O,17
",",O,17
stood,O,17
the,O,17
mansion,O,17
which,O,17
contained,O,17
the,O,17
lovely,O,17
Charlotte,O,17
Temple,O,17
.,O,17
Montraville,O,18
leaned,O,18
on,O,18
a,O,18
broken,O,18
gate,O,18
",",O,18
and,O,18
looked,EVENT,18
earnestly,O,18
at,O,18
the,O,18
house,O,18
.,O,18
The,O,19
wall,O,19
which,O,19
surrounded,O,19
it,O,19
was,O,19
high,O,19
",",O,19
and,O,19
perhaps,O,19
the,O,19
Argus,O,19
’s,O,19
who,O,19
guarded,O,19
the,O,19
Hesperian,O,19
fruit,O,19
within,O,19
",",O,19
were,O,19
more,O,19
watchful,O,19
than,O,19
those,O,19
famed,O,19
of,O,19
old,O,19
.,O,19
“‘,O,20
Tis,O,20
a,O,20
romantic,O,20
attempt,O,20
",",O,20
”,O,20
said,EVENT,20
he,O,20
;,O,20
“,O,20
and,O,20
should,O,20
I,O,20
even,O,20
succeed,O,20
in,O,20
seeing,O,20
and,O,20
conversing,O,20
with,O,20
her,O,20
",",O,20
it,O,20
can,O,20
be,O,20
productive,O,20
of,O,20
no,O,20
good,O,20
:,O,20
I,O,20
must,O,20
of,O,20
necessity,O,20
leave,O,20
England,O,20
in,O,20
a,O,20
few,O,20
days,O,20
",",O,20
and,O,20
probably,O,20
may,O,20
never,O,20
return,O,20
;,O,20
why,O,20
then,O,20
should,O,20
I,O,20
endeavour,O,20
to,O,20
engage,O,20
the,O,20
affections,O,20
of,O,20
this,O,20
lovely,O,20
girl,O,20
",",O,20
only,O,20
to,O,20
leave,O,20
her,O,20
a,O,20
prey,O,20
to,O,20
a,O,20
thousand,O,20
inquietudes,O,20
",",O,20
of,O,20
which,O,20
at,O,20
present,O,20
she,O,20
has,O,20
no,O,20
idea,O,20
?,O,20
I,O,20
will,O,20
return,O,20
to,O,20
Portsmouth,O,20
and,O,20
think,O,20
no,O,20
more,O,20
about,O,20
her,O,20
.,O,20
”,O,21
The,O,21
evening,O,21
now,O,21
was,O,21
closed,EVENT,21
;,O,21
a,O,21
serene,O,21
stillness,O,21
reigned,O,21
;,O,21
and,O,21
the,O,21
chaste,O,21
Queen,O,21
of,O,21
Night,O,21
with,O,21
her,O,21
silver,O,21
crescent,O,21
faintly,O,21
illuminated,EVENT,21
the,O,21
hemisphere,O,21
.,O,21
The,O,22
mind,O,22
of,O,22
Montraville,O,22
was,O,22
hushed,EVENT,22
into,O,22
composure,EVENT,22
by,O,22
the,O,22
serenity,O,22
of,O,22
the,O,22
surrounding,O,22
objects,O,22
.,O,22
“,O,23
I,O,23
will,O,23
think,O,23
on,O,23
her,O,23
no,O,23
more,O,23
",",O,23
”,O,23
said,EVENT,23
he,O,23
",",O,23
and,O,23
turned,EVENT,23
with,O,23
an,O,23
intention,EVENT,23
to,O,23
leave,O,23
the,O,23
place,O,23
;,O,23
but,O,23
as,O,23
he,O,23
turned,EVENT,23
",",O,23
he,O,23
saw,EVENT,23
the,O,23
gate,O,23
which,O,23
led,O,23
to,O,23
the,O,23
pleasure,O,23
grounds,O,23
open,EVENT,23
",",O,23
and,O,23
two,O,23
women,O,23
come,EVENT,23
out,O,23
",",O,23
who,O,23
walked,EVENT,23
arm-in-arm,O,23
across,O,23
the,O,23
field,O,23
.,O,23
“,O,24
I,O,24
will,O,24
at,O,24
least,O,24
see,O,24
who,O,24
these,O,24
are,O,24
",",O,24
”,O,24
said,EVENT,24
he,O,24
.,O,24
He,O,25
overtook,EVENT,25
them,O,25
",",O,25
and,O,25
giving,O,25
them,O,25
the,O,25
compliments,EVENT,25
of,O,25
the,O,25
evening,O,25
",",O,25
begged,EVENT,25
leave,O,25
to,O,25
see,O,25
them,O,25
into,O,25
the,O,25
more,O,25
frequented,O,25
parts,O,25
of,O,25
the,O,25
town,O,25
:,O,25
but,O,25
how,O,25
was,O,25
he,O,25
delighted,EVENT,25
",",O,25
when,O,25
",",O,25
waiting,EVENT,25
for,O,25
an,O,25
answer,O,25
",",O,25
he,O,25
discovered,EVENT,25
",",O,25
under,O,25
the,O,25
concealment,O,25
of,O,25
a,O,25
large,O,25
bonnet,O,25
",",O,25
the,O,25
face,O,25
of,O,25
Charlotte,O,25
Temple,O,25
.,O,25
He,O,26
soon,O,26
found,O,26
means,O,26
to,O,26
ingratiate,EVENT,26
himself,O,26
with,O,26
her,O,26
companion,O,26
",",O,26
who,O,26
was,O,26
a,O,26
French,O,26
teacher,O,26
at,O,26
the,O,26
school,O,26
",",O,26
and,O,26
",",O,26
at,O,26
parting,EVENT,26
",",O,26
slipped,EVENT,26
a,O,26
letter,O,26
he,O,26
had,O,26
purposely,O,26
written,EVENT,26
",",O,26
into,O,26
Charlotte,O,26
’s,O,26
hand,O,26
",",O,26
and,O,26
five,O,26
guineas,O,26
into,O,26
that,O,26
of,O,26
Mademoiselle,O,26
",",O,26
who,O,26
promised,EVENT,26
she,O,26
would,O,26
endeavour,O,26
to,O,26
bring,O,26
her,O,26
young,O,26
charge,O,26
into,O,26
the,O,26
field,O,26
again,O,26
the,O,26
next,O,26
evening,O,26
.,O,26
CHAPTER,O,27
II,O,27
.,O,27
DOMESTIC,O,28
CONCERNS,O,28
.,O,28
MR.,O,29
Temple,O,29
was,O,29
the,O,29
youngest,O,29
son,O,29
of,O,29
a,O,29
nobleman,O,29
whose,O,29
fortune,O,29
was,O,29
by,O,29
no,O,29
means,O,29
adequate,O,29
to,O,29
the,O,29
antiquity,O,29
",",O,29
grandeur,O,29
",",O,29
and,O,29
I,O,29
may,O,29
add,O,29
",",O,29
pride,O,29
of,O,29
the,O,29
family,O,29
.,O,29
He,O,30
saw,O,30
his,O,30
elder,O,30
brother,O,30
made,O,30
completely,O,30
wretched,O,30
by,O,30
marrying,EVENT,30
a,O,30
disagreeable,O,30
woman,O,30
",",O,30
whose,O,30
fortune,O,30
helped,O,30
to,O,30
prop,O,30
the,O,30
sinking,O,30
dignity,O,30
of,O,30
the,O,30
house,O,30
;,O,30
and,O,30
he,O,30
beheld,O,30
his,O,30
sisters,O,30
legally,O,30
prostituted,O,30
to,O,30
old,O,30
",",O,30
decrepid,O,30
men,O,30
",",O,30
whose,O,30
titles,O,30
gave,O,30
them,O,30
consequence,O,30
in,O,30
the,O,30
eyes,O,30
of,O,30
the,O,30
world,O,30
",",O,30
and,O,30
whose,O,30
affluence,O,30
rendered,O,30
them,O,30
splendidly,O,30
miserable,O,30
.,O,30
“,O,31
I,O,31
will,O,31
not,O,31
sacrifice,O,31
internal,O,31
happiness,O,31
for,O,31
outward,O,31
shew,O,31
",",O,31
”,O,31
said,EVENT,31
he,O,31
:,O,31
“,O,31
I,O,31
will,O,31
seek,O,31
Content,O,31
;,O,31
and,O,31
",",O,31
if,O,31
I,O,31
find,O,31
her,O,31
in,O,31
a,O,31
cottage,O,31
",",O,31
will,O,31
