token,label,sentence
CHAPTER,O,0
1,O,0
The,O,0
studio,O,0
was,O,0
filled,O,0
with,O,0
the,O,0
rich,O,0
odour,EVENT,0
of,O,0
roses,O,0
",",O,0
and,O,0
when,O,0
the,O,0
light,O,0
summer,O,0
wind,EVENT,0
stirred,EVENT,0
amidst,O,0
the,O,0
trees,O,0
of,O,0
the,O,0
garden,O,0
",",O,0
there,O,0
came,O,0
through,O,0
the,O,0
open,O,0
door,O,0
the,O,0
heavy,O,0
scent,EVENT,0
of,O,0
the,O,0
lilac,O,0
",",O,0
or,O,0
the,O,0
more,O,0
delicate,O,0
perfume,EVENT,0
of,O,0
the,O,0
pink-flowering,O,0
thorn,O,0
.,O,0
From,O,1
the,O,1
corner,O,1
of,O,1
the,O,1
divan,O,1
of,O,1
Persian,O,1
saddle-bags,O,1
on,O,1
which,O,1
he,O,1
was,O,1
lying,O,1
",",O,1
smoking,EVENT,1
",",O,1
as,O,1
was,O,1
his,O,1
custom,O,1
",",O,1
innumerable,O,1
cigarettes,O,1
",",O,1
Lord,O,1
Henry,O,1
Wotton,O,1
could,O,1
just,O,1
catch,EVENT,1
the,O,1
gleam,O,1
of,O,1
the,O,1
honey-sweet,O,1
and,O,1
honey-coloured,O,1
blossoms,O,1
of,O,1
a,O,1
laburnum,O,1
",",O,1
whose,O,1
tremulous,O,1
branches,O,1
seemed,O,1
hardly,O,1
able,O,1
to,O,1
bear,O,1
the,O,1
burden,O,1
of,O,1
a,O,1
beauty,O,1
so,O,1
flamelike,O,1
as,O,1
theirs,O,1
;,O,1
and,O,1
now,O,1
and,O,1
then,O,1
the,O,1
fantastic,O,1
shadows,O,1
of,O,1
birds,O,1
in,O,1
flight,O,1
flitted,EVENT,1
across,O,1
the,O,1
long,O,1
tussore-silk,O,1
curtains,O,1
that,O,1
were,O,1
stretched,O,1
in,O,1
front,O,1
of,O,1
the,O,1
huge,O,1
window,O,1
",",O,1
producing,O,1
a,O,1
kind,O,1
of,O,1
momentary,O,1
Japanese,O,1
effect,EVENT,1
",",O,1
and,O,1
making,O,1
him,O,1
think,EVENT,1
of,O,1
those,O,1
pallid,O,1
",",O,1
jade-faced,O,1
painters,O,1
of,O,1
Tokyo,O,1
who,O,1
",",O,1
through,O,1
the,O,1
medium,O,1
of,O,1
an,O,1
art,O,1
that,O,1
is,O,1
necessarily,O,1
immobile,O,1
",",O,1
seek,O,1
to,O,1
convey,O,1
the,O,1
sense,O,1
of,O,1
swiftness,O,1
and,O,1
motion,O,1
.,O,1
The,O,2
sullen,O,2
murmur,EVENT,2
of,O,2
the,O,2
bees,O,2
shouldering,EVENT,2
their,O,2
way,O,2
through,O,2
the,O,2
long,O,2
unmown,O,2
grass,O,2
",",O,2
or,O,2
circling,EVENT,2
with,O,2
monotonous,O,2
insistence,EVENT,2
round,O,2
the,O,2
dusty,O,2
gilt,O,2
horns,O,2
of,O,2
the,O,2
straggling,O,2
woodbine,O,2
",",O,2
seemed,O,2
to,O,2
make,O,2
the,O,2
stillness,O,2
more,O,2
oppressive,O,2
.,O,2
The,O,3
dim,O,3
roar,EVENT,3
of,O,3
London,O,3
was,O,3
like,O,3
the,O,3
bourdon,O,3
note,O,3
of,O,3
a,O,3
distant,O,3
organ,O,3
.,O,3
In,O,4
the,O,4
centre,O,4
of,O,4
the,O,4
room,O,4
",",O,4
clamped,O,4
to,O,4
an,O,4
upright,O,4
easel,O,4
",",O,4
stood,O,4
the,O,4
full-length,O,4
portrait,O,4
of,O,4
a,O,4
young,O,4
man,O,4
of,O,4
extraordinary,O,4
personal,O,4
beauty,O,4
",",O,4
and,O,4
in,O,4
front,O,4
of,O,4
it,O,4
",",O,4
some,O,4
little,O,4
distance,O,4
away,O,4
",",O,4
was,O,4
sitting,O,4
the,O,4
artist,O,4
himself,O,4
",",O,4
Basil,O,4
Hallward,O,4
",",O,4
whose,O,4
sudden,O,4
disappearance,EVENT,4
some,O,4
years,O,4
ago,O,4
caused,O,4
",",O,4
at,O,4
the,O,4
time,O,4
",",O,4
such,O,4
public,O,4
excitement,O,4
and,O,4
gave,O,4
rise,O,4
to,O,4
so,O,4
many,O,4
strange,O,4
conjectures,O,4
.,O,4
As,O,5
the,O,5
painter,O,5
looked,EVENT,5
at,O,5
the,O,5
gracious,O,5
and,O,5
comely,O,5
form,O,5
he,O,5
had,O,5
so,O,5
skilfully,O,5
mirrored,O,5
in,O,5
his,O,5
art,O,5
",",O,5
a,O,5
smile,EVENT,5
of,O,5
pleasure,O,5
passed,O,5
across,O,5
his,O,5
face,O,5
",",O,5
and,O,5
seemed,O,5
about,O,5
to,O,5
linger,O,5
there,O,5
.,O,5
But,O,6
he,O,6
suddenly,O,6
started,EVENT,6
up,O,6
",",O,6
and,O,6
closing,EVENT,6
his,O,6
eyes,O,6
",",O,6
placed,EVENT,6
his,O,6
fingers,O,6
upon,O,6
the,O,6
lids,O,6
",",O,6
as,O,6
though,O,6
he,O,6
sought,O,6
to,O,6
imprison,O,6
within,O,6
his,O,6
brain,O,6
some,O,6
curious,O,6
dream,O,6
from,O,6
which,O,6
he,O,6
feared,O,6
he,O,6
might,O,6
awake,O,6
.,O,6
said,EVENT,7
Lord,O,7
Henry,O,7
languidly,O,7
.,O,7
he,O,8
answered,EVENT,8
",",O,8
tossing,EVENT,8
his,O,8
head,O,8
back,O,8
in,O,8
that,O,8
odd,O,8
way,O,8
that,O,8
used,O,8
to,O,8
make,O,8
his,O,8
friends,O,8
laugh,O,8
at,O,8
him,O,8
at,O,8
Oxford,O,8
.,O,8
Lord,O,9
Henry,O,9
elevated,EVENT,9
his,O,9
eyebrows,O,9
and,O,9
looked,EVENT,9
at,O,9
him,O,9
in,O,9
amazement,O,9
through,O,9
the,O,9
thin,O,9
blue,O,9
wreaths,O,9
of,O,9
smoke,O,9
that,O,9
curled,O,9
up,O,9
in,O,9
such,O,9
fanciful,O,9
whorls,EVENT,9
from,O,9
his,O,9
heavy,O,9
",",O,9
opium-tainted,O,9
cigarette,O,9
.,O,9
he,O,10
replied,EVENT,10
",",O,10
Lord,O,10
Henry,O,10
stretched,EVENT,10
himself,O,10
out,O,10
on,O,10
the,O,10
divan,O,10
and,O,10
laughed,EVENT,10
.,O,10
answered,EVENT,11
the,O,11
artist,O,11
.,O,11
asked,EVENT,12
Lord,O,12
Henry,O,12
",",O,12
walking,EVENT,12
across,O,12
the,O,12
studio,O,12
towards,O,12
Basil,O,12
Hallward,O,12
.,O,12
answered,EVENT,13
Lord,O,13
Henry,O,13
",",O,13
said,EVENT,13
Basil,O,13
Hallward,O,13
",",O,13
strolling,EVENT,13
towards,O,13
the,O,13
door,O,13
that,O,13
led,O,13
into,O,13
the,O,13
garden,O,13
.,O,13
cried,EVENT,14
Lord,O,14
Henry,O,14
",",O,14
laughing,EVENT,14
;,O,14
and,O,14
the,O,14
two,O,14
young,O,14
men,O,14
went,EVENT,14
out,O,14
into,O,14
the,O,14
garden,O,14
together,O,14
and,O,14
ensconced,EVENT,14
themselves,O,14
on,O,14
a,O,14
long,O,14
bamboo,O,14
seat,O,14
that,O,14
stood,O,14
in,O,14
the,O,14
shade,O,14
of,O,14
a,O,14
tall,O,14
laurel,O,14
bush,O,14
.,O,14
The,O,15
sunlight,O,15
slipped,EVENT,15
over,O,15
the,O,15
polished,O,15
leaves,O,15
.,O,15
In,O,16
the,O,16
grass,O,16
",",O,16
white,O,16
daisies,O,16
were,O,16
tremulous,O,16
.,O,16
After,O,17
a,O,17
pause,EVENT,17
",",O,17
Lord,O,17
Henry,O,17
pulled,EVENT,17
out,O,17
his,O,17
watch,O,17
.,O,17
he,O,18
murmured,EVENT,18
",",O,18
said,EVENT,18
the,O,18
painter,O,18
",",O,18
keeping,O,18
his,O,18
eyes,O,18
fixed,EVENT,18
on,O,18
the,O,18
ground,O,18
.,O,18
said,EVENT,19
Basil,O,19
Hallward,O,19
",",O,19
looking,EVENT,19
him,O,19
straight,O,19
in,O,19
the,O,19
face,O,19
",",O,19
Lord,O,19
Henry,O,19
laughed,EVENT,19
.,O,19
he,O,20
asked,EVENT,20
.,O,20
said,EVENT,21
Hallward,O,21
;,O,21
but,O,21
an,O,21
expression,EVENT,21
of,O,21
perplexity,O,21
came,O,21
over,O,21
his,O,21
face,O,21
.,O,21
