token,label,sentence
Chapter,O,0
I,O,0
.,O,0
The,O,1
Missing,O,1
Heir,O,1
.,O,1
said,EVENT,2
Florence,O,2
Linden,O,2
",",O,2
in,O,2
irrepressible,O,2
agitation,O,2
.,O,2
John,O,3
Linden,O,3
paused,EVENT,3
sadly,O,3
",",O,3
then,O,3
resumed,EVENT,3
:,O,3
Florence,O,3
Linden,O,3
sank,EVENT,3
impulsively,O,3
on,O,3
her,O,3
knees,O,3
beside,O,3
her,O,3
uncle,O,3
's,O,3
chair,O,3
.,O,3
she,O,4
pleaded,EVENT,4
.,O,4
There,O,5
was,O,5
a,O,5
shade,O,5
of,O,5
jealousy,O,5
in,O,5
the,O,5
voice,O,5
of,O,5
Curtis,O,5
Waring,O,5
as,O,5
he,O,5
entered,EVENT,5
the,O,5
library,O,5
through,O,5
the,O,5
open,O,5
door,O,5
",",O,5
and,O,5
approaching,EVENT,5
his,O,5
uncle,O,5
",",O,5
pressed,EVENT,5
his,O,5
hand,O,5
.,O,5
He,O,6
was,O,6
a,O,6
tall,O,6
",",O,6
dark-complexioned,O,6
man,O,6
",",O,6
of,O,6
perhaps,O,6
thirty-five,O,6
",",O,6
with,O,6
shifty,O,6
",",O,6
black,O,6
eyes,O,6
and,O,6
thin,O,6
lips,O,6
",",O,6
shaded,O,6
by,O,6
a,O,6
dark,O,6
mustache,O,6
.,O,6
It,O,7
was,O,7
not,O,7
a,O,7
face,O,7
to,O,7
trust,O,7
.,O,7
Even,O,8
when,O,8
he,O,8
smiled,O,8
the,O,8
expression,O,8
of,O,8
his,O,8
face,O,8
did,O,8
not,O,8
soften,O,8
.,O,8
Yet,O,9
he,O,9
could,O,9
moderate,O,9
his,O,9
voice,O,9
so,O,9
as,O,9
to,O,9
express,O,9
tenderness,O,9
and,O,9
sympathy,O,9
.,O,9
He,O,10
was,O,10
the,O,10
son,O,10
of,O,10
an,O,10
elder,O,10
sister,O,10
of,O,10
Mr.,O,10
Linden,O,10
",",O,10
while,O,10
Florence,O,10
was,O,10
the,O,10
daughter,O,10
of,O,10
a,O,10
younger,O,10
brother,O,10
.,O,10
Both,O,11
were,O,11
orphans,O,11
",",O,11
and,O,11
both,O,11
formed,O,11
a,O,11
part,O,11
of,O,11
Mr.,O,11
Linden,O,11
's,O,11
household,O,11
",",O,11
and,O,11
owed,O,11
everything,O,11
to,O,11
his,O,11
bounty,O,11
.,O,11
Curtis,O,12
was,O,12
supposed,O,12
to,O,12
be,O,12
in,O,12
some,O,12
business,O,12
downtown,O,12
;,O,12
but,O,12
he,O,12
received,O,12
a,O,12
liberal,O,12
allowance,O,12
from,O,12
his,O,12
uncle,O,12
",",O,12
and,O,12
often,O,12
drew,O,12
upon,O,12
him,O,12
for,O,12
outside,O,12
assistance,O,12
.,O,12
As,O,13
he,O,13
stood,O,13
with,O,13
his,O,13
uncle,O,13
's,O,13
hand,O,13
in,O,13
his,O,13
",",O,13
he,O,13
was,O,13
necessarily,O,13
brought,EVENT,13
near,O,13
Florence,O,13
",",O,13
who,O,13
instinctively,O,13
drew,EVENT,13
a,O,13
little,O,13
away,O,13
",",O,13
with,O,13
a,O,13
slight,O,13
shudder,EVENT,13
indicating,O,13
repugnance,O,13
.,O,13
Slight,O,14
as,O,14
it,O,14
was,O,14
",",O,14
Curtis,O,14
detected,EVENT,14
it,O,14
",",O,14
and,O,14
his,O,14
face,O,14
darkened,EVENT,14
.,O,14
John,O,15
Linden,O,15
looked,EVENT,15
from,O,15
one,O,15
to,O,15
the,O,15
other,O,15
.,O,15
he,O,16
said,EVENT,16
",",O,16
said,EVENT,16
Curtis,O,16
.,O,16
said,EVENT,17
John,O,17
Linden,O,17
",",O,17
vehemently,O,17
.,O,17
said,EVENT,18
Curtis,O,18
",",O,18
in,O,18
a,O,18
tone,O,18
of,O,18
annoyance,O,18
.,O,18
The,O,19
drawn,EVENT,19
features,O,19
of,O,19
the,O,19
old,O,19
man,O,19
