token,label,sentence
CHAPTER,O,0
I,O,0
A,O,0
RED-HAIRED,O,0
GIRL,O,0
The,O,0
residence,O,0
of,O,0
Mr.,O,0
Peter,O,0
Pett,O,0
",",O,0
the,O,0
well-known,O,0
financier,O,0
",",O,0
on,O,0
Riverside,O,0
Drive,O,0
is,O,0
one,O,0
of,O,0
the,O,0
leading,O,0
eyesores,O,0
of,O,0
that,O,0
breezy,O,0
and,O,0
expensive,O,0
boulevard,O,0
.,O,0
As,O,1
you,O,1
pass,O,1
by,O,1
in,O,1
your,O,1
limousine,O,1
",",O,1
or,O,1
while,O,1
enjoying,O,1
ten,O,1
cents,O,1
worth,O,1
of,O,1
fresh,O,1
air,O,1
on,O,1
top,O,1
of,O,1
a,O,1
green,O,1
omnibus,O,1
",",O,1
it,O,1
jumps,O,1
out,O,1
and,O,1
bites,O,1
at,O,1
you,O,1
.,O,1
Architects,O,2
",",O,2
confronted,O,2
with,O,2
it,O,2
",",O,2
reel,O,2
and,O,2
throw,O,2
up,O,2
their,O,2
hands,O,2
defensively,O,2
",",O,2
and,O,2
even,O,2
the,O,2
lay,O,2
observer,O,2
has,O,2
a,O,2
sense,O,2
of,O,2
shock,O,2
.,O,2
The,O,3
place,O,3
resembles,O,3
in,O,3
almost,O,3
equal,O,3
proportions,O,3
a,O,3
cathedral,O,3
",",O,3
a,O,3
suburban,O,3
villa,O,3
",",O,3
a,O,3
hotel,O,3
and,O,3
a,O,3
Chinese,O,3
pagoda,O,3
.,O,3
Many,O,4
of,O,4
its,O,4
windows,O,4
are,O,4
of,O,4
stained,O,4
glass,O,4
",",O,4
and,O,4
above,O,4
the,O,4
porch,O,4
stand,O,4
two,O,4
terra-cotta,O,4
lions,O,4
",",O,4
considerably,O,4
more,O,4
repulsive,O,4
even,O,4
than,O,4
the,O,4
complacent,O,4
animals,O,4
which,O,4
guard,O,4
New,O,4
York,O,4
's,O,4
Public,O,4
Library,O,4
.,O,4
It,O,5
is,O,5
a,O,5
house,O,5
which,O,5
is,O,5
impossible,O,5
to,O,5
overlook,O,5
:,O,5
and,O,5
it,O,5
was,O,5
probably,O,5
for,O,5
this,O,5
reason,O,5
that,O,5
Mrs.,O,5
Pett,O,5
insisted,EVENT,5
on,O,5
her,O,5
husband,O,5
buying,O,5
it,O,5
",",O,5
for,O,5
she,O,5
was,O,5
a,O,5
woman,O,5
who,O,5
liked,O,5
to,O,5
be,O,5
noticed,O,5
.,O,5
Through,O,6
the,O,6
rich,O,6
interior,O,6
of,O,6
this,O,6
mansion,O,6
Mr.,O,6
Pett,O,6
",",O,6
its,O,6
nominal,O,6
proprietor,O,6
",",O,6
was,O,6
wandering,EVENT,6
like,O,6
a,O,6
lost,O,6
spirit,O,6
.,O,6
The,O,7
hour,O,7
was,O,7
about,O,7
ten,O,7
of,O,7
a,O,7
fine,O,7
Sunday,O,7
morning,O,7
",",O,7
but,O,7
the,O,7
Sabbath,O,7
calm,O,7
which,O,7
was,O,7
upon,O,7
the,O,7
house,O,7
had,O,7
not,O,7
communicated,O,7
itself,O,7
to,O,7
him,O,7
.,O,7
There,O,8
was,O,8
a,O,8
look,O,8
of,O,8
exasperation,O,8
on,O,8
his,O,8
usually,O,8
patient,O,8
face,O,8
",",O,8
and,O,8
a,O,8
muttered,O,8
oath,EVENT,8
",",O,8
picked,EVENT,8
up,O,8
no,O,8
doubt,O,8
on,O,8
the,O,8
godless,O,8
Stock,O,8
Exchange,O,8
",",O,8
escaped,O,8
his,O,8
lips,O,8
.,O,8
He,O,9
was,O,9
afflicted,O,9
by,O,9
a,O,9
sense,O,9
of,O,9
the,O,9
pathos,O,9
of,O,9
his,O,9
position,O,9
.,O,9
It,O,10
was,O,10
not,O,10
as,O,10
if,O,10
he,O,10
demanded,O,10
much,O,10
from,O,10
life,O,10
.,O,10
He,O,11
asked,O,11
but,O,11
little,O,11
here,O,11
below,O,11
.,O,11
At,O,12
that,O,12
moment,O,12
