token,label,sentence
CHAPTER,O,0
I,O,0
When,O,0
I,O,0
was,O,0
a,O,0
small,O,0
boy,O,0
at,O,0
the,O,0
beginning,O,0
of,O,0
the,O,0
century,O,0
I,O,0
remember,O,0
an,O,0
old,O,0
man,O,0
who,O,0
wore,O,0
knee-breeches,O,0
and,O,0
worsted,O,0
stockings,O,0
",",O,0
and,O,0
who,O,0
used,O,0
to,O,0
hobble,O,0
about,O,0
the,O,0
street,O,0
of,O,0
our,O,0
village,O,0
with,O,0
the,O,0
help,O,0
of,O,0
a,O,0
stick,O,0
.,O,0
He,O,1
must,O,1
have,O,1
been,O,1
getting,O,1
on,O,1
for,O,1
eighty,O,1
in,O,1
the,O,1
year,O,1
1807,O,1
",",O,1
earlier,O,1
than,O,1
which,O,1
date,O,1
I,O,1
suppose,O,1
I,O,1
can,O,1
hardly,O,1
remember,O,1
him,O,1
",",O,1
for,O,1
I,O,1
was,O,1
born,O,1
in,O,1
1802,O,1
.,O,1
A,O,2
few,O,2
white,O,2
locks,O,2
hung,O,2
about,O,2
his,O,2
ears,O,2
",",O,2
his,O,2
shoulders,O,2
were,O,2
bent,O,2
and,O,2
his,O,2
knees,O,2
feeble,O,2
",",O,2
but,O,2
he,O,2
was,O,2
still,O,2
hale,O,2
",",O,2
and,O,2
was,O,2
much,O,2
respected,O,2
in,O,2
our,O,2
little,O,2
world,O,2
of,O,2
Paleham,O,2
.,O,2
His,O,3
name,O,3
was,O,3
Pontifex,O,3
.,O,3
His,O,4
wife,O,4
was,O,4
said,O,4
to,O,4
be,O,4
his,O,4
master,O,4
;,O,4
I,O,4
have,O,4
been,O,4
told,O,4
she,O,4
brought,O,4
him,O,4
a,O,4
little,O,4
money,O,4
",",O,4
but,O,4
it,O,4
can,O,4
not,O,4
have,O,4
been,O,4
much,O,4
.,O,4
She,O,5
was,O,5
a,O,5
tall,O,5
",",O,5
square-shouldered,O,5
person,O,5
(,O,5
I,O,5
have,O,5
heard,O,5
my,O,5
father,O,5
call,O,5
her,O,5
a,O,5
Gothic,O,5
woman,O,5
),O,5
who,O,5
had,O,5
insisted,O,5
on,O,5
being,O,5
married,O,5
to,O,5
Mr,O,5
Pontifex,O,5
when,O,5
he,O,5
was,O,5
young,O,5
and,O,5
too,O,5
good-natured,O,5
to,O,5
say,O,5
nay,O,5
to,O,5
any,O,5
woman,O,5
who,O,5
wooed,O,5
him,O,5
.,O,5
The,O,6
pair,O,6
had,O,6
lived,O,6
not,O,6
unhappily,O,6
together,O,6
",",O,6
for,O,6
Mr,O,6
Pontifex,O,6
's,O,6
temper,O,6
was,O,6
easy,O,6
and,O,6
he,O,6
soon,O,6
learned,O,6
to,O,6
bow,O,6
before,O,6
his,O,6
wife,O,6
's,O,6
more,O,6
stormy,O,6
moods,O,6
.,O,6
Mr,O,7
Pontifex,O,7
was,O,7
a,O,7
carpenter,O,7
by,O,7
trade,O,7
;,O,7
he,O,7
was,O,7
also,O,7
at,O,7
one,O,7
time,O,7
parish,O,7
clerk,O,7
;,O,7
when,O,7
I,O,7
remember,O,7
him,O,7
",",O,7
however,O,7
",",O,7
he,O,7
had,O,7
so,O,7
far,O,7
risen,O,7
in,O,7
life,O,7
as,O,7
to,O,7
be,O,7
no,O,7
longer,O,7
compelled,O,7
to,O,7
work,O,7
with,O,7
his,O,7
own,O,7
hands,O,7
.,O,7
In,O,8
his,O,8
earlier,O,8
days,O,8
he,O,8
had,O,8
taught,O,8
himself,O,8
to,O,8
draw,O,8
.,O,8
I,O,9
do,O,9
not,O,9
say,O,9
he,O,9
drew,O,9
well,O,9
",",O,9
but,O,9
it,O,9
was,O,9
surprising,O,9
he,O,9
should,O,9
draw,O,9
as,O,9
well,O,9
as,O,9
he,O,9
did,O,9
.,O,9
My,O,10
father,O,10
",",O,10
who,O,10
took,EVENT,10
the,O,10
living,O,10
of,O,10
Paleham,O,10
about,O,10
the,O,10
year,O,10
1797,O,10
",",O,10
