token,label,sentence
PART,O,0
I,O,0
At,O,0
the,O,0
little,O,0
town,O,0
of,O,0
Vevey,O,0
",",O,0
in,O,0
Switzerland,O,0
",",O,0
there,O,0
is,O,0
a,O,0
particularly,O,0
comfortable,O,0
hotel,O,0
.,O,0
There,O,1
are,O,1
",",O,1
indeed,O,1
",",O,1
many,O,1
hotels,O,1
",",O,1
for,O,1
the,O,1
entertainment,O,1
of,O,1
tourists,O,1
is,O,1
the,O,1
business,O,1
of,O,1
the,O,1
place,O,1
",",O,1
which,O,1
",",O,1
as,O,1
many,O,1
travelers,O,1
will,O,1
remember,O,1
",",O,1
is,O,1
seated,O,1
upon,O,1
the,O,1
edge,O,1
of,O,1
a,O,1
remarkably,O,1
blue,O,1
lake,O,1
--,O,1
a,O,1
lake,O,1
that,O,1
it,O,1
behooves,O,1
every,O,1
tourist,O,1
to,O,1
visit,O,1
.,O,1
The,O,2
shore,O,2
of,O,2
the,O,2
lake,O,2
presents,O,2
an,O,2
unbroken,O,2
array,O,2
of,O,2
establishments,O,2
of,O,2
this,O,2
order,O,2
",",O,2
of,O,2
every,O,2
category,O,2
",",O,2
from,O,2
the,O,2
“,O,2
grand,O,2
hotel,O,2
”,O,2
of,O,2
the,O,2
newest,O,2
fashion,O,2
",",O,2
with,O,2
a,O,2
chalk-white,O,2
front,O,2
",",O,2
a,O,2
hundred,O,2
balconies,O,2
",",O,2
and,O,2
a,O,2
dozen,O,2
flags,O,2
flying,O,2
from,O,2
its,O,2
roof,O,2
",",O,2
to,O,2
the,O,2
little,O,2
Swiss,O,2
pension,O,2
of,O,2
an,O,2
elder,O,2
day,O,2
",",O,2
with,O,2
its,O,2
name,O,2
inscribed,O,2
in,O,2
German-looking,O,2
lettering,O,2
upon,O,2
a,O,2
pink,O,2
or,O,2
yellow,O,2
wall,O,2
and,O,2
an,O,2
awkward,O,2
summerhouse,O,2
in,O,2
the,O,2
angle,O,2
of,O,2
the,O,2
garden,O,2
.,O,2
One,O,3
of,O,3
the,O,3
hotels,O,3
at,O,3
Vevey,O,3
",",O,3
however,O,3
",",O,3
is,O,3
famous,O,3
",",O,3
even,O,3
classical,O,3
",",O,3
being,O,3
distinguished,O,3
from,O,3
many,O,3
of,O,3
its,O,3
upstart,O,3
neighbors,O,3
by,O,3
an,O,3
air,O,3
both,O,3
of,O,3
luxury,O,3
and,O,3
of,O,3
maturity,O,3
.,O,3
In,O,4
this,O,4
region,O,4
",",O,4
in,O,4
the,O,4
month,O,4
of,O,4
June,O,4
",",O,4
American,O,4
travelers,O,4
are,O,4
extremely,O,4
numerous,O,4
;,O,4
it,O,4
may,O,4
be,O,4
said,O,4
",",O,4
indeed,O,4
",",O,4
that,O,4
Vevey,O,4
assumes,O,4
at,O,4
this,O,4
period,O,4
some,O,4
of,O,4
the,O,4
characteristics,O,4
of,O,4
an,O,4
American,O,4
watering,O,4
place,O,4
.,O,4
There,O,5
are,O,5
sights,O,5
and,O,5
sounds,O,5
which,O,5
evoke,O,5
a,O,5
vision,O,5
",",O,5
an,O,5
echo,O,5
",",O,5
of,O,5
Newport,O,5
and,O,5
Saratoga,O,5
.,O,5
There,O,6
is,O,6
a,O,6
flitting,O,6
hither,O,6
and,O,6
thither,O,6
of,O,6
“,O,6
stylish,O,6
”,O,6
young,O,6
girls,O,6
",",O,6
a,O,6
rustling,O,6
of,O,6
muslin,O,6
flounces,O,6
",",O,6
a,O,6
rattle,O,6
of,O,6
dance,O,6
music,O,6
in,O,6
the,O,6
morning,O,6
hours,O,6
",",O,6
a,O,6
sound,O,6
of,O,6
high-pitched,O,6
voices,O,6
at,O,6
all,O,6
times,O,6
.,O,6
You,O,7
receive,O,7
an,O,7
impression,O,7
of,O,7
these,O,7
things,O,7
at,O,7
the,O,7
excellent,O,7
inn,O,7
of,O,7
the,O,7
“,O,7
Trois,O,7
Couronnes,O,7
”,O,7
and,O,7
are,O,7
transported,O,7
in,O,7
fancy,O,7
to,O,7
the,O,7
Ocean,O,7
House,O,7
or,O,7
to,O,7
Congress,O,7
Hall,O,7
.,O,7
But,O,8
at,O,8
the,O,8
“,O,8
Trois,O,8
Couronnes,O,8
",",O,8
”,O,8
it,O,8
must,O,8
be,O,8
added,O,8
",",O,8
there,O,8
are,O,8
other,O,8
features,O,8
that,O,8
are,O,8
much,O,8
at,O,8
variance,O,8
with,O,8
these,O,8
suggestions,O,8
:,O,8
neat,O,8
German,O,8
waiters,O,8
",",O,8
who,O,8
look,O,8
like,O,8
secretaries,O,8
of,O,8
legation,O,8
;,O,8
Russian,O,8
princesses,O,8
sitting,O,8
in,O,8
the,O,8
garden,O,8
;,O,8
little,O,8
Polish,O,8
boys,O,8
walking,O,8
about,O,8
held,O,8
by,O,8
the,O,8
hand,O,8
",",O,8
with,O,8
their,O,8
governors,O,8
;,O,8
a,O,8
view,O,8
of,O,8
the,O,8
sunny,O,8
crest,O,8
of,O,8
the,O,8
Dent,O,8
du,O,8
Midi,O,8
and,O,8
the,O,8
picturesque,O,8
towers,O,8
of,O,8
the,O,8
Castle,O,8
of,O,8
Chillon,O,8
.,O,8
I,O,9
hardly,O,9
know,O,9
whether,O,9
it,O,9
was,O,9
the,O,9
analogies,O,9
or,O,9
the,O,9
differences,O,9
that,O,9
were,O,9
