token,label,sentence
CHAPTER,O,0
I,O,0
THE,O,0
SLAVE,O,0
'S,O,0
SOCIAL,O,0
CIRCLE,O,0
.,O,0
With,O,1
the,O,1
growing,O,1
population,O,1
in,O,1
the,O,1
Southern,O,1
States,O,1
",",O,1
the,O,1
increase,O,1
of,O,1
mulattoes,O,1
has,O,1
been,O,1
very,O,1
great,O,1
.,O,1
Society,O,2
does,O,2
not,O,2
frown,O,2
upon,O,2
the,O,2
man,O,2
who,O,2
sits,O,2
with,O,2
his,O,2
half-white,O,2
child,O,2
upon,O,2
his,O,2
knee,O,2
whilst,O,2
the,O,2
mother,O,2
stands,O,2
",",O,2
a,O,2
slave,O,2
",",O,2
behind,O,2
his,O,2
chair,O,2
.,O,2
In,O,3
nearly,O,3
all,O,3
the,O,3
cities,O,3
and,O,3
towns,O,3
of,O,3
the,O,3
Slave,O,3
States,O,3
",",O,3
the,O,3
real,O,3
negro,O,3
",",O,3
or,O,3
clear,O,3
black,O,3
",",O,3
does,O,3
not,O,3
amount,O,3
to,O,3
more,O,3
than,O,3
one,O,3
in,O,3
four,O,3
of,O,3
the,O,3
slave,O,3
population,O,3
.,O,3
This,O,4
fact,O,4
is,O,4
of,O,4
itself,O,4
the,O,4
best,O,4
evidence,O,4
of,O,4
the,O,4
degraded,O,4
and,O,4
immoral,O,4
condition,O,4
of,O,4
the,O,4
relation,O,4
of,O,4
master,O,4
and,O,4
slave,O,4
.,O,4
Throughout,O,5
the,O,5
Southern,O,5
States,O,5
",",O,5
there,O,5
is,O,5
a,O,5
class,O,5
of,O,5
slaves,O,5
who,O,5
",",O,5
in,O,5
most,O,5
of,O,5
the,O,5
towns,O,5
",",O,5
are,O,5
permitted,O,5
to,O,5
hire,O,5
their,O,5
time,O,5
from,O,5
their,O,5
owners,O,5
",",O,5
and,O,5
who,O,5
are,O,5
always,O,5
expected,O,5
to,O,5
pay,O,5
a,O,5
high,O,5
price,O,5
.,O,5
This,O,6
class,O,6
is,O,6
the,O,6
mulatto,O,6
women,O,6
",",O,6
distinguished,O,6
for,O,6
their,O,6
fascinating,O,6
beauty,O,6
.,O,6
The,O,7
handsomest,O,7
of,O,7
these,O,7
usually,O,7
pay,O,7
the,O,7
greatest,O,7
amount,O,7
for,O,7
their,O,7
time,O,7
.,O,7
Many,O,8
of,O,8
these,O,8
women,O,8
are,O,8
the,O,8
favorites,O,8
of,O,8
men,O,8
of,O,8
property,O,8
and,O,8
standing,O,8
",",O,8
who,O,8
furnish,O,8
them,O,8
with,O,8
the,O,8
means,O,8
of,O,8
compensating,O,8
their,O,8
owners,O,8
",",O,8
and,O,8
not,O,8
a,O,8
few,O,8
are,O,8
dressed,O,8
in,O,8
the,O,8
most,O,8
extravagant,O,8
manner,O,8
.,O,8
When,O,9
we,O,9
take,O,9
into,O,9
consideration,O,9
the,O,9
fact,O,9
that,O,9
no,O,9
safeguard,O,9
is,O,9
thrown,O,9
around,O,9
virtue,O,9
",",O,9
and,O,9
no,O,9
inducement,O,9
held,O,9
out,O,9
to,O,9
slave-women,O,9
to,O,9
be,O,9
pure,O,9
and,O,9
chaste,O,9
",",O,9
we,O,9
will,O,9
not,O,9
be,O,9
surprised,O,9
when,O,9
told,O,9
that,O,9
immorality,O,9
and,O,9
vice,O,9
pervade,O,9
the,O,9
cities,O,9
and,O,9
towns,O,9
of,O,9
the,O,9
South,O,9
to,O,9
an,O,9
extent,O,9
unknown,O,9
in,O,9
the,O,9
Northern,O,9
States,O,9
.,O,9
Indeed,O,10
",",O,10
many,O,10
of,O,10
the,O,10
slave-women,O,10
have,O,10
no,O,10
higher,O,10
aspiration,O,10
than,O,10
that,O,10
of,O,10
becoming,O,10
the,O,10
finely-dressed,O,10
mistress,O,10
of,O,10
some,O,10
white,O,10
man,O,10
.,O,10
At,O,11
negro,O,11
balls,O,11
and,O,11
parties,O,11
",",O,11
this,O,11
class,O,11
of,O,11
women,O,11
usually,O,11
