token,label,sentence
THE,O,0
TURN,O,0
OF,O,0
THE,O,0
SCREW,O,0
The,O,0
story,O,0
had,O,0
held,EVENT,0
us,O,0
",",O,0
round,O,0
the,O,0
fire,EVENT,0
",",O,0
sufficiently,O,0
breathless,EVENT,0
",",O,0
but,O,0
except,O,0
the,O,0
obvious,O,0
remark,EVENT,0
that,O,0
it,O,0
was,O,0
gruesome,O,0
",",O,0
as,O,0
",",O,0
on,O,0
Christmas,O,0
Eve,O,0
in,O,0
an,O,0
old,O,0
house,O,0
",",O,0
a,O,0
strange,O,0
tale,O,0
should,O,0
essentially,O,0
be,O,0
",",O,0
I,O,0
remember,EVENT,0
no,O,0
comment,O,0
uttered,O,0
till,O,0
somebody,O,0
happened,O,0
to,O,0
say,EVENT,0
that,O,0
it,O,0
was,O,0
the,O,0
only,O,0
case,O,0
he,O,0
had,O,0
met,EVENT,0
in,O,0
which,O,0
such,O,0
a,O,0
visitation,EVENT,0
had,O,0
fallen,O,0
on,O,0
a,O,0
child,O,0
.,O,0
The,O,1
case,O,1
",",O,1
I,O,1
may,O,1
mention,O,1
",",O,1
was,O,1
that,O,1
of,O,1
an,O,1
apparition,EVENT,1
in,O,1
just,O,1
such,O,1
an,O,1
old,O,1
house,O,1
as,O,1
had,O,1
gathered,O,1
us,O,1
for,O,1
the,O,1
occasion,O,1
--,O,1
an,O,1
appearance,EVENT,1
",",O,1
of,O,1
a,O,1
dreadful,O,1
kind,O,1
",",O,1
to,O,1
a,O,1
little,O,1
boy,O,1
sleeping,O,1
in,O,1
the,O,1
room,O,1
with,O,1
his,O,1
mother,O,1
and,O,1
waking,EVENT,1
her,O,1
up,O,1
in,O,1
the,O,1
terror,EVENT,1
of,O,1
it,O,1
;,O,1
waking,EVENT,1
her,O,1
not,O,1
to,O,1
dissipate,O,1
his,O,1
dread,O,1
and,O,1
soothe,O,1
him,O,1
to,O,1
sleep,O,1
again,O,1
",",O,1
but,O,1
to,O,1
encounter,O,1
also,O,1
",",O,1
herself,O,1
",",O,1
before,O,1
she,O,1
had,O,1
succeeded,O,1
in,O,1
doing,O,1
so,O,1
",",O,1
the,O,1
same,O,1
sight,O,1
that,O,1
had,O,1
shaken,EVENT,1
him,O,1
.,O,1
It,O,2
was,O,2
this,O,2
observation,EVENT,2
that,O,2
drew,O,2
from,O,2
Douglas,O,2
--,O,2
not,O,2
immediately,O,2
",",O,2
but,O,2
later,O,2
in,O,2
the,O,2
evening,O,2
--,O,2
a,O,2
reply,EVENT,2
that,O,2
had,O,2
the,O,2
interesting,O,2
consequence,EVENT,2
to,O,2
which,O,2
I,O,2
call,O,2
attention,EVENT,2
.,O,2
Someone,O,3
else,O,3
told,O,3
a,O,3
story,O,3
not,O,3
particularly,O,3
effective,O,3
",",O,3
which,O,3
I,O,3
saw,EVENT,3
he,O,3
was,O,3
not,O,3
following,O,3
.,O,3
This,O,4
I,O,4
took,EVENT,4
for,O,4
a,O,4
sign,O,4
that,O,4
he,O,4
had,O,4
himself,O,4
something,O,4
to,O,4
produce,O,4
and,O,4
that,O,4
we,O,4
should,O,4
only,O,4
have,O,4
to,O,4
wait,O,4
.,O,4
We,O,5
waited,O,5
in,O,5
fact,O,5
till,O,5
two,O,5
nights,O,5
later,O,5
;,O,5
but,O,5
that,O,5
same,O,5
evening,O,5
",",O,5
before,O,5
we,O,5
scattered,EVENT,5
",",O,5
he,O,5
brought,EVENT,5
out,O,5
what,O,5
was,O,5
in,O,5
his,O,5
mind,O,5
.,O,5
“,O,6
I,O,6
quite,O,6
agree,O,6
--,O,6
in,O,6
regard,O,6
to,O,6
Griffin,O,6
’s,O,6
ghost,O,6
",",O,6
or,O,6
whatever,O,6
it,O,6
was,O,6
--,O,6
that,O,6
its,O,6
appearing,EVENT,6
first,O,6
to,O,6
the,O,6
little,O,6
boy,O,6
",",O,6
at,O,6
so,O,6
tender,O,6
an,O,6
age,O,6
",",O,6
adds,O,6
a,O,6
particular,O,6
touch,O,6
.,O,6
But,O,7
it,O,7
’s,O,7
not,O,7
the,O,7
first,O,7
occurrence,O,7
of,O,7
its,O,7
charming,O,7
kind,O,7
that,O,7
I,O,7
know,O,7
to,O,7
have,O,7
involved,O,7
a,O,7
child,O,7
.,O,7
If,O,8
the,O,8
child,O,8
gives,O,8
the,O,8
effect,O,8
another,O,8
turn,O,8
of,O,8
the,O,8
screw,O,8
",",O,8
what,O,8
do,O,8
you,O,8
say,O,8
to,O,8
TWO,O,8
children,O,8
--,O,8
?,O,8
”,O,8
“,O,8
We,O,8
say,O,8
",",O,8
of,O,8
course,O,8
",",O,8
”,O,8
somebody,O,8
exclaimed,EVENT,8
",",O,8
“,O,8
that,O,8
they,O,8
give,O,8
two,O,8
turns,O,8
!,O,8
Also,O,8
that,O,8
we,O,8
want,O,8
to,O,8
hear,O,8
about,O,8
them,O,8
.,O,8
”,O,9
I,O,9
can,O,9
see,EVENT,9
Douglas,O,9
there,O,9
before,O,9
the,O,9
fire,EVENT,9
",",O,9
to,O,9
which,O,9
he,O,9
had,O,9
got,EVENT,9
up,O,9
to,O,9
present,EVENT,9
his,O,9
back,O,9
",",O,9
looking,EVENT,9
down,O,9
at,O,9
his,O,9
interlocutor,O,9
with,O,9
his,O,9
hands,O,9
in,O,9
his,O,9
pockets,O,9
.,O,9
“,O,10
Nobody,O,10
but,O,10
me,O,10
",",O,10
till,O,10
now,O,10
",",O,10
has,O,10
ever,O,10
heard,O,10
.,O,10
It,O,11
’s,O,11
quite,O,11
too,O,11
horrible,O,11
.,O,11
”,O,12
This,O,12
",",O,12
naturally,O,12
",",O,12
was,O,12
declared,EVENT,12
by,O,12
several,O,12
voices,O,12
to,O,12
give,O,12
the,O,12
thing,O,12
the,O,12
utmost,O,12
price,O,12
",",O,12
and,O,12
our,O,12
friend,O,12
",",O,12
with,O,12
quiet,O,12
art,O,12
",",O,12
prepared,EVENT,12
his,O,12
triumph,O,12
by,O,12
turning,EVENT,12
his,O,12
eyes,O,12
over,O,12
the,O,12
rest,O,12
of,O,12
us,O,12
and,O,12
going,EVENT,12
on,O,12
:,O,12
“,O,12
It,O,12
’s,O,12
beyond,O,12
everything,O,12
.,O,12
Nothing,O,13
at,O,13
all,O,13
that,O,13
I,O,13
know,O,13
touches,O,13
it,O,13
.,O,13
”,O,14
“,O,14
For,O,14
sheer,O,14
terror,O,14
?,O,14
”,O,14
I,O,14
remember,EVENT,14
asking,EVENT,14
.,O,14
He,O,15
seemed,O,15
to,O,15
say,O,15
it,O,15
was,O,15
not,O,15
so,O,15
simple,O,15
as,O,15
that,O,15
;,O,15
to,O,15
be,O,15
really,O,15
at,O,15
a,O,15
loss,O,15
how,O,15
to,O,15
qualify,O,15
it,O,15
.,O,15
He,O,16
passed,EVENT,16
his,O,16
hand,O,16
over,O,16
his,O,16
eyes,O,16
",",O,16
made,O,16
a,O,16
little,O,16
wincing,O,16
grimace,EVENT,16
.,O,16
“,O,17
For,O,17
dreadful,O,17
--,O,17
dreadfulness,O,17
!,O,17
”,O,17
“,O,17
Oh,O,17
",",O,17
how,O,17
delicious,O,17
!,O,17
”,O,17
cried,EVENT,17
one,O,17
of,O,17
the,O,17
women,O,17
.,O,17
He,O,18
took,O,18
no,O,18
notice,O,18
of,O,18
her,O,18
;,O,18
he,O,18
looked,EVENT,18
at,O,18
me,O,18
",",O,18
but,O,18
as,O,18
if,O,18
",",O,18
instead,O,18
of,O,18
me,O,18
",",O,18
he,O,18
saw,O,18
what,O,18
he,O,18
spoke,O,18
of,O,18
.,O,18
“,O,19
For,O,19
general,O,19
uncanny,O,19
ugliness,O,19
and,O,19
horror,O,19
and,O,19
pain,O,19
.,O,19
”,O,20
“,O,20
Well,O,20
then,O,20
",",O,20
”,O,20
I,O,20
said,EVENT,20
",",O,20
“,O,20
just,O,20
sit,O,20
right,O,20
down,O,20
and,O,20
begin,O,20
.,O,20
”,O,21
He,O,21
turned,EVENT,21
round,O,21
to,O,21
the,O,21
fire,EVENT,21
",",O,21
gave,O,21
a,O,21
kick,EVENT,21
to,O,21
a,O,21
log,O,21
",",O,21
watched,EVENT,21
it,O,21
an,O,21
instant,O,21
.,O,21
Then,O,22
as,O,22
he,O,22
faced,EVENT,22
us,O,22
again,O,22
:,O,22
“,O,22
I,O,22
ca,O,22
n’t,O,22
begin,O,22
.,O,22
I,O,23
shall,O,23
have,O,23
to,O,23
send,O,23
to,O,23
town,O,23
.,O,23
”,O,24
There,O,24
was,O,24
a,O,24
unanimous,O,24
groan,EVENT,24
at,O,24
this,O,24
",",O,24
and,O,24
much,O,24
reproach,EVENT,24
;,O,24
after,O,24
which,O,24
",",O,24
in,O,24
his,O,24
preoccupied,O,24
way,O,24
",",O,24
he,O,24
explained,EVENT,24
.,O,24
“,O,25
The,O,25
story,O,25
’s,O,25
written,O,25
.,O,25
It,O,26
’s,O,26
in,O,26
a,O,26
locked,O,26
drawer,O,26
--,O,26
it,O,26
has,O,26
not,O,26
been,O,26
out,O,26
for,O,26
years,O,26
.,O,26
I,O,27
could,O,27
write,O,27
to,O,27
my,O,27
man,O,27
and,O,27
enclose,O,27
the,O,27
key,O,27
;,O,27
he,O,27
could,O,27
send,O,27
down,O,27
the,O,27
packet,O,27
as,O,27
he,O,27
finds,O,27
it,O,27
.,O,27
”,O,28
It,O,28
was,O,28
to,O,28
me,O,28
in,O,28
particular,O,28
that,O,28
he,O,28
appeared,O,28
to,O,28
propound,O,28
this,O,28
--,O,28
appeared,O,28
almost,O,28
to,O,28
appeal,O,28
for,O,28
aid,O,28
not,O,28
to,O,28
hesitate,O,28
.,O,28
He,O,29
had,O,29
broken,O,29
a,O,29
thickness,O,29
of,O,29
ice,O,29
",",O,29
the,O,29
formation,O,29
of,O,29
many,O,29
a,O,29
winter,O,29
;,O,29
had,O,29
had,O,29
his,O,29
reasons,O,29
for,O,29
a,O,29
long,O,29
silence,O,29
.,O,29
The,O,30
others,O,30
resented,O,30
postponement,O,30
",",O,30
but,O,30
it,O,30
was,O,30
just,O,30
his,O,30
scruples,O,30
that,O,30
charmed,EVENT,30
me,O,30
.,O,30
I,O,31
adjured,EVENT,31
him,O,31
to,O,31
write,O,31
by,O,31
the,O,31
first,O,31
post,O,31
and,O,31
to,O,31
agree,O,31
with,O,31
us,O,31
for,O,31
an,O,31
early,O,31
hearing,O,31
;,O,31
then,O,31
I,O,31
asked,EVENT,31
him,O,31
if,O,31
the,O,31
experience,O,31
in,O,31
question,O,31
had,O,31
been,O,31
his,O,31
own,O,31
.,O,31
To,O,32
this,O,32
his,O,32
answer,EVENT,32
was,O,32
prompt,O,32
.,O,32
“,O,33
Oh,O,33
",",O,33
thank,O,33
God,O,33
",",O,33
no,O,33
!,O,33
”,O,33
“,O,33
And,O,33
is,O,33
the,O,33
record,O,33
yours,O,33
?,O,33
You,O,33
took,O,33
the,O,33
thing,O,33
down,O,33
?,O,33
”,O,33
“,O,33
Nothing,O,33
but,O,33
the,O,33
impression,O,33
.,O,33
I,O,34
took,O,34
that,O,34
HERE,O,34
”,O,34
--,O,34
he,O,34
tapped,EVENT,34
his,O,34
heart,O,34
.,O,34
“,O,35
I,O,35
’ve,O,35
never,O,35
lost,O,35
it,O,35
.,O,35
”,O,36
“,O,36
Then,O,36
your,O,36
manuscript,O,36
--,O,36
?,O,36
”,O,36
“,O,36
Is,O,36
in,O,36
old,O,36
",",O,36
faded,O,36
ink,O,36
",",O,36
and,O,36
in,O,36
the,O,36
most,O,36
beautiful,O,36
hand,O,36
.,O,36
”,O,37
He,O,37
hung,EVENT,37
fire,O,37
again,O,37
.,O,37
“,O,38
A,O,38
woman,O,38
’s,O,38
.,O,38
She,O,39
has,O,39
been,O,39
dead,O,39
these,O,39
twenty,O,39
years,O,39
.,O,39
She,O,40
sent,EVENT,40
me,O,40
the,O,40
pages,O,40
in,O,40
question,O,40
before,O,40
she,O,40
died,EVENT,40
.,O,40
”,O,41
They,O,41
were,O,41
all,O,41
listening,EVENT,41
now,O,41
",",O,41
and,O,41
of,O,41
course,O,41
there,O,41
was,O,41
somebody,O,41
to,O,41
be,O,41
arch,O,41
",",O,41
or,O,41
at,O,41
any,O,41
rate,O,41
to,O,41
draw,O,41
the,O,41
inference,EVENT,41
.,O,41
But,O,42
if,O,42
he,O,42
put,EVENT,42
the,O,42
inference,EVENT,42
by,O,42
without,O,42
a,O,42
smile,O,42
it,O,42
was,O,42
also,O,42
without,O,42
irritation,O,42
.,O,42
“,O,43
She,O,43
was,O,43
a,O,43
most,O,43
charming,O,43
person,O,43
",",O,43
but,O,43
she,O,43
was,O,43
ten,O,43
years,O,43
older,O,43
than,O,43
I,O,43
.,O,43
She,O,44
was,O,44
my,O,44
sister,O,44
’s,O,44
governess,O,44
",",O,44
”,O,44
he,O,44
quietly,O,44
said,EVENT,44
.,O,44
“,O,45
She,O,45
was,O,45
the,O,45
most,O,45
agreeable,O,45
woman,O,45
I,O,45
’ve,O,45
ever,O,45
known,O,45
in,O,45
her,O,45
position,O,45
;,O,45
