token,label,sentence
Chapter,O,0
I.,O,0
Into,O,0
the,O,0
Primitive,O,0
“,O,0
Old,O,0
longings,O,0
nomadic,O,0
leap,O,0
",",O,0
Chafing,O,0
at,O,0
custom,O,0
's,O,0
chain,O,0
;,O,0
Again,O,0
from,O,0
its,O,0
brumal,O,0
sleep,O,0
Wakens,O,0
the,O,0
ferine,O,0
strain,O,0
.,O,0
”,O,1
Buck,O,1
did,O,1
not,O,1
read,O,1
the,O,1
newspapers,O,1
",",O,1
or,O,1
he,O,1
would,O,1
have,O,1
known,O,1
that,O,1
trouble,O,1
was,O,1
brewing,O,1
",",O,1
not,O,1
alone,O,1
for,O,1
himself,O,1
",",O,1
but,O,1
for,O,1
every,O,1
tide-water,O,1
dog,O,1
",",O,1
strong,O,1
of,O,1
muscle,O,1
and,O,1
with,O,1
warm,O,1
",",O,1
long,O,1
hair,O,1
",",O,1
from,O,1
Puget,O,1
Sound,O,1
to,O,1
San,O,1
Diego,O,1
.,O,1
Because,O,2
men,O,2
",",O,2
groping,O,2
in,O,2
the,O,2
Arctic,O,2
darkness,O,2
",",O,2
had,O,2
found,O,2
a,O,2
yellow,O,2
metal,O,2
",",O,2
and,O,2
because,O,2
steamship,O,2
and,O,2
transportation,O,2
companies,O,2
were,O,2
booming,O,2
the,O,2
find,O,2
",",O,2
thousands,O,2
of,O,2
men,O,2
were,O,2
rushing,O,2
into,O,2
the,O,2
Northland,O,2
.,O,2
These,O,3
men,O,3
wanted,O,3
dogs,O,3
",",O,3
and,O,3
the,O,3
dogs,O,3
they,O,3
wanted,O,3
were,O,3
heavy,O,3
dogs,O,3
",",O,3
with,O,3
strong,O,3
muscles,O,3
by,O,3
which,O,3
to,O,3
toil,O,3
",",O,3
and,O,3
furry,O,3
coats,O,3
to,O,3
protect,O,3
them,O,3
from,O,3
the,O,3
frost,O,3
.,O,3
Buck,O,4
lived,O,4
at,O,4
a,O,4
big,O,4
house,O,4
in,O,4
the,O,4
sun-kissed,O,4
Santa,O,4
Clara,O,4
Valley,O,4
.,O,4
Judge,O,5
Miller,O,5
's,O,5
place,O,5
",",O,5
it,O,5
was,O,5
called,O,5
.,O,5
It,O,6
stood,O,6
back,O,6
from,O,6
the,O,6
road,O,6
",",O,6
half,O,6
hidden,O,6
among,O,6
the,O,6
trees,O,6
",",O,6
through,O,6
which,O,6
glimpses,O,6
could,O,6
be,O,6
caught,O,6
of,O,6
the,O,6
wide,O,6
cool,O,6
veranda,O,6
that,O,6
ran,O,6
around,O,6
its,O,6
four,O,6
sides,O,6
.,O,6
The,O,7
house,O,7
was,O,7
approached,O,7
by,O,7
gravelled,O,7
driveways,O,7
which,O,7
wound,O,7
about,O,7
through,O,7
wide-spreading,O,7
lawns,O,7
and,O,7
under,O,7
the,O,7
interlacing,O,7
boughs,O,7
of,O,7
tall,O,7
poplars,O,7
.,O,7
At,O,8
the,O,8
rear,O,8
things,O,8
were,O,8
on,O,8
even,O,8
a,O,8
more,O,8
spacious,O,8
scale,O,8
than,O,8
at,O,8
the,O,8
front,O,8
.,O,8
There,O,9
were,O,9
great,O,9
stables,O,9
",",O,9
where,O,9
a,O,9
dozen,O,9
grooms,O,9
and,O,9
boys,O,9
held,O,9
forth,O,9
",",O,9
rows,O,9
of,O,9
vine-clad,O,9
servants,O,9
',O,9
cottages,O,9
",",O,9
an,O,9
endless,O,9
and,O,9
orderly,O,9
array,O,9
of,O,9
outhouses,O,9
",",O,9
long,O,9
grape,O,9
arbors,O,9
",",O,9
green,O,9
pastures,O,9
",",O,9
orchards,O,9
",",O,9
and,O,9
berry,O,9
patches,O,9
.,O,9
Then,O,10
there,O,10
was,O,10
the,O,10
pumping,O,10
plant,O,10
for,O,10
the,O,10
artesian,O,10
well,O,10
",",O,10
and,O,10
the,O,10
big,O,10
cement,O,10
tank,O,10
where,O,10
Judge,O,10
Miller,O,10
's,O,10
boys,O,10
took,O,10
their,O,10
morning,O,10
