token,label,sentence
CHAPTER,O,0
I,O,0
I,O,0
MEET,O,0
SIR,O,0
HENRY,O,0
CURTIS,O,0
It,O,0
is,O,0
a,O,0
curious,O,0
thing,O,0
that,O,0
at,O,0
my,O,0
age,O,0
--,O,0
fifty-five,O,0
last,O,0
birthday,O,0
--,O,0
I,O,0
should,O,0
find,O,0
myself,O,0
taking,EVENT,0
up,O,0
a,O,0
pen,O,0
to,O,0
try,O,0
to,O,0
write,O,0
a,O,0
history,O,0
.,O,0
I,O,1
wonder,EVENT,1
what,O,1
sort,O,1
of,O,1
a,O,1
history,O,1
it,O,1
will,O,1
be,O,1
when,O,1
I,O,1
have,O,1
finished,O,1
it,O,1
",",O,1
if,O,1
ever,O,1
I,O,1
come,O,1
to,O,1
the,O,1
end,O,1
of,O,1
the,O,1
trip,O,1
!,O,1
I,O,1
have,O,1
done,O,1
a,O,1
good,O,1
many,O,1
things,O,1
in,O,1
my,O,1
life,O,1
",",O,1
which,O,1
seems,O,1
a,O,1
long,O,1
one,O,1
to,O,1
me,O,1
",",O,1
owing,O,1
to,O,1
my,O,1
having,O,1
begun,O,1
work,O,1
so,O,1
young,O,1
",",O,1
perhaps,O,1
.,O,1
At,O,2
an,O,2
age,O,2
when,O,2
other,O,2
boys,O,2
are,O,2
at,O,2
school,O,2
I,O,2
was,O,2
earning,O,2
my,O,2
living,O,2
as,O,2
a,O,2
trader,O,2
in,O,2
the,O,2
old,O,2
Colony,O,2
.,O,2
I,O,3
have,O,3
been,O,3
trading,O,3
",",O,3
hunting,O,3
",",O,3
fighting,O,3
",",O,3
or,O,3
mining,O,3
ever,O,3
since,O,3
.,O,3
And,O,4
yet,O,4
it,O,4
is,O,4
only,O,4
eight,O,4
months,O,4
ago,O,4
that,O,4
I,O,4
made,EVENT,4
my,O,4
pile,O,4
.,O,4
It,O,5
is,O,5
a,O,5
big,O,5
pile,O,5
now,O,5
that,O,5
I,O,5
have,O,5
got,O,5
it,O,5
--,O,5
I,O,5
do,O,5
n't,O,5
yet,O,5
know,O,5
how,O,5
big,O,5
--,O,5
but,O,5
I,O,5
do,O,5
not,O,5
think,O,5
I,O,5
would,O,5
go,O,5
through,O,5
the,O,5
last,O,5
fifteen,O,5
or,O,5
sixteen,O,5
months,O,5
again,O,5
for,O,5
it,O,5
;,O,5
no,O,5
",",O,5
not,O,5
if,O,5
I,O,5
knew,O,5
that,O,5
I,O,5
should,O,5
come,O,5
out,O,5
safe,O,5
at,O,5
the,O,5
end,O,5
",",O,5
pile,O,5
and,O,5
all,O,5
.,O,5
But,O,6
then,O,6
I,O,6
am,O,6
a,O,6
timid,O,6
man,O,6
",",O,6
and,O,6
dislike,O,6
violence,O,6
;,O,6
moreover,O,6
",",O,6
I,O,6
am,O,6
almost,O,6
sick,O,6
of,O,6
adventure,O,6
.,O,6
I,O,7
wonder,EVENT,7
why,O,7
I,O,7
am,O,7
going,O,7
to,O,7
write,O,7
this,O,7
book,O,7
:,O,7
it,O,7
is,O,7
not,O,7
in,O,7
my,O,7
line,O,7
.,O,7
I,O,8
am,O,8
not,O,8
a,O,8
literary,O,8
man,O,8
",",O,8
though,O,8
very,O,8
devoted,O,8
to,O,8
the,O,8
Old,O,8
Testament,O,8
and,O,8
also,O,8
to,O,8
the,O,8
Let,O,8
me,O,8
try,O,8
to,O,8
set,O,8
down,O,8
my,O,8
reasons,O,8
",",O,8
just,O,8
to,O,8
see,O,8
if,O,8
I,O,8
have,O,8
any,O,8
.,O,8
First,O,9
reason,O,9
:,O,9
Because,O,9
Sir,O,9
Henry,O,9
Curtis,O,9
and,O,9
Captain,O,9
John,O,9
Good,O,9
asked,EVENT,9
me,O,9
.,O,9
Second,O,10
reason,O,10
:,O,10
Because,O,10
I,O,10
am,O,10
laid,O,10
up,O,10
here,O,10
at,O,10
Durban,O,10
with,O,10
the,O,10
pain,O,10
in,O,10
my,O,10
left,O,10
leg,O,10
.,O,10
