token,label,sentence
PART,O,0
ONE,O,0
CHAPTER,O,0
I,O,0
THE,O,0
EARLY,O,0
MARRIED,O,0
LIFE,O,0
OF,O,0
THE,O,0
MORELS,O,0
“,O,0
THE,O,0
BOTTOMS,O,0
”,O,0
succeeded,O,0
to,O,0
“,O,0
Hell,O,0
Row,O,0
”,O,0
.,O,0
Hell,O,1
Row,O,1
was,O,1
a,O,1
block,O,1
of,O,1
thatched,O,1
",",O,1
bulging,O,1
cottages,O,1
that,O,1
stood,O,1
by,O,1
the,O,1
brookside,O,1
on,O,1
Greenhill,O,1
Lane,O,1
.,O,1
There,O,2
lived,O,2
the,O,2
colliers,O,2
who,O,2
worked,O,2
in,O,2
the,O,2
little,O,2
gin-pits,O,2
two,O,2
fields,O,2
away,O,2
.,O,2
The,O,3
brook,O,3
ran,O,3
under,O,3
the,O,3
alder,O,3
trees,O,3
",",O,3
scarcely,O,3
soiled,O,3
by,O,3
these,O,3
small,O,3
mines,O,3
",",O,3
whose,O,3
coal,O,3
was,O,3
drawn,O,3
to,O,3
the,O,3
surface,O,3
by,O,3
donkeys,O,3
that,O,3
plodded,O,3
wearily,O,3
in,O,3
a,O,3
circle,O,3
round,O,3
a,O,3
gin,O,3
.,O,3
And,O,4
all,O,4
over,O,4
the,O,4
countryside,O,4
were,O,4
these,O,4
same,O,4
pits,O,4
",",O,4
some,O,4
of,O,4
which,O,4
had,O,4
been,O,4
worked,O,4
in,O,4
the,O,4
time,O,4
of,O,4
Charles,O,4
II,O,4
",",O,4
the,O,4
few,O,4
colliers,O,4
and,O,4
the,O,4
donkeys,O,4
burrowing,O,4
down,O,4
like,O,4
ants,O,4
into,O,4
the,O,4
earth,O,4
",",O,4
making,O,4
queer,O,4
mounds,O,4
and,O,4
little,O,4
black,O,4
places,O,4
among,O,4
the,O,4
corn-fields,O,4
and,O,4
the,O,4
meadows,O,4
.,O,4
And,O,5
the,O,5
cottages,O,5
of,O,5
these,O,5
coal-miners,O,5
