token,label,sentence
I,O,0
The,O,0
Nellie,O,0
",",O,0
a,O,0
cruising,O,0
yawl,O,0
",",O,0
swung,EVENT,0
to,O,0
her,O,0
anchor,O,0
without,O,0
a,O,0
flutter,O,0
of,O,0
the,O,0
sails,O,0
",",O,0
and,O,0
was,O,0
at,O,0
rest,EVENT,0
.,O,0
The,O,1
flood,EVENT,1
had,O,1
made,EVENT,1
",",O,1
the,O,1
wind,EVENT,1
was,O,1
nearly,O,1
calm,O,1
",",O,1
and,O,1
being,O,1
bound,O,1
down,O,1
the,O,1
river,O,1
",",O,1
the,O,1
only,O,1
thing,O,1
for,O,1
it,O,1
was,O,1
to,O,1
come,O,1
to,O,1
and,O,1
wait,O,1
for,O,1
the,O,1
turn,O,1
of,O,1
the,O,1
tide,O,1
.,O,1
The,O,2
sea-reach,O,2
of,O,2
the,O,2
Thames,O,2
stretched,O,2
before,O,2
us,O,2
like,O,2
the,O,2
beginning,O,2
of,O,2
an,O,2
interminable,O,2
waterway,O,2
.,O,2
In,O,3
the,O,3
offing,O,3
the,O,3
sea,O,3
and,O,3
the,O,3
sky,O,3
were,O,3
welded,O,3
together,O,3
without,O,3
a,O,3
joint,O,3
",",O,3
and,O,3
in,O,3
the,O,3
luminous,O,3
space,O,3
the,O,3
tanned,O,3
sails,O,3
of,O,3
the,O,3
barges,O,3
drifting,EVENT,3
up,O,3
with,O,3
the,O,3
tide,O,3
seemed,O,3
to,O,3
stand,O,3
still,O,3
in,O,3
red,O,3
clusters,O,3
of,O,3
canvas,O,3
sharply,O,3
peaked,O,3
",",O,3
with,O,3
gleams,O,3
of,O,3
varnished,O,3
sprits,O,3
.,O,3
A,O,4
haze,EVENT,4
rested,O,4
on,O,4
the,O,4
low,O,4
shores,O,4
that,O,4
ran,O,4
out,O,4
to,O,4
sea,O,4
in,O,4
vanishing,O,4
flatness,O,4
.,O,4
The,O,5
air,O,5
was,O,5
dark,O,5
above,O,5
Gravesend,O,5
",",O,5
and,O,5
farther,O,5
back,O,5
still,O,5
seemed,O,5
condensed,O,5
into,O,5
a,O,5
mournful,O,5
gloom,O,5
",",O,5
brooding,O,5
motionless,O,5
over,O,5
the,O,5
biggest,O,5
",",O,5
and,O,5
the,O,5
greatest,O,5
",",O,5
town,O,5
on,O,5
earth,O,5
.,O,5
The,O,6
Director,O,6
of,O,6
Companies,O,6
was,O,6
our,O,6
captain,O,6
and,O,6
our,O,6
host,O,6
.,O,6
We,O,7
four,O,7
affectionately,O,7
watched,EVENT,7
his,O,7
back,O,7
as,O,7
he,O,7
stood,O,7
in,O,7
the,O,7
bows,O,7
looking,EVENT,7
to,O,7
seaward,O,7
.,O,7
On,O,8
the,O,8
whole,O,8
river,O,8
there,O,8
was,O,8
nothing,O,8
that,O,8
looked,O,8
half,O,8
so,O,8
nautical,O,8
.,O,8
He,O,9
resembled,O,9
a,O,9
pilot,O,9
",",O,9
which,O,9
to,O,9
a,O,9
seaman,O,9
is,O,9
trustworthiness,O,9
personified,O,9
.,O,9
It,O,10
was,O,10
difficult,O,10
to,O,10
realize,O,10
his,O,10
work,O,10
was,O,10
not,O,10
out,O,10
there,O,10
in,O,10
the,O,10
luminous,O,10
estuary,O,10
",",O,10
but,O,10
behind,O,10
him,O,10
",",O,10
within,O,10
the,O,10
brooding,O,10
gloom,O,10
.,O,10
Between,O,11
us,O,11
there,O,11
was,O,11
",",O,11
as,O,11
I,O,11
have,O,11
already,O,11
said,EVENT,11
somewhere,O,11
",",O,11
the,O,11
bond,O,11
of,O,11
the,O,11
sea,O,11
.,O,11
Besides,O,12
holding,O,12
our,O,12
hearts,O,12
together,O,12
through,O,12
long,O,12
periods,O,12
of,O,12
separation,O,12
",",O,12
it,O,12
had,O,12
the,O,12
effect,O,12
of,O,12
making,O,12
us,O,12
tolerant,O,12
of,O,12
each,O,12
other,O,12
's,O,12
yarns,O,12
--,O,12
and,O,12
even,O,12
convictions,O,12
.,O,12
The,O,13
Lawyer,O,13
--,O,13
the,O,13
best,O,13
of,O,13
old,O,13
fellows,O,13
--,O,13
had,O,13
",",O,13
because,O,13
of,O,13
his,O,13
many,O,13
years,O,13
and,O,13
many,O,13
virtues,O,13
",",O,13
the,O,13
only,O,13
cushion,O,13
on,O,13
deck,O,13
",",O,13
and,O,13
was,O,13
lying,O,13
on,O,13
the,O,13
only,O,13
rug,O,13
.,O,13
The,O,14
Accountant,O,14
had,O,14
brought,EVENT,14
out,O,14
already,O,14
a,O,14
box,O,14
of,O,14
dominoes,O,14
",",O,14
and,O,14
was,O,14
toying,EVENT,14
architecturally,O,14
with,O,14
the,O,14
bones,O,14
.,O,14
Marlow,O,15
sat,O,15
cross-legged,O,15
right,O,15
aft,O,15
",",O,15
leaning,O,15
against,O,15
the,O,15
mizzen-mast,O,15
.,O,15
He,O,16
had,O,16
sunken,O,16
cheeks,O,16
",",O,16
a,O,16
yellow,O,16
complexion,O,16
",",O,16
a,O,16
straight,O,16
back,O,16
",",O,16
an,O,16
ascetic,O,16
aspect,O,16
",",O,16
and,O,16
",",O,16
with,O,16
his,O,16
arms,O,16
dropped,O,16
",",O,16
the,O,16
palms,O,16
of,O,16
hands,O,16
outwards,O,16
",",O,16
resembled,O,16
an,O,16
idol,O,16
.,O,16
The,O,17
director,O,17
",",O,17
satisfied,EVENT,17
the,O,17
anchor,O,17
had,O,17
good,O,17
hold,O,17
",",O,17
made,EVENT,17
his,O,17
way,O,17
aft,O,17
and,O,17
sat,EVENT,17
down,O,17
amongst,O,17
us,O,17
.,O,17
We,O,18
exchanged,EVENT,18
a,O,18
few,O,18
words,O,18
lazily,O,18
.,O,18
Afterwards,O,19
there,O,19
was,O,19
silence,O,19
on,O,19
board,O,19
the,O,19
yacht,O,19
.,O,19
For,O,20
some,O,20
reason,O,20
or,O,20
other,O,20
we,O,20
did,O,20
not,O,20
begin,O,20
that,O,20
game,O,20
of,O,20
dominoes,O,20
.,O,20
We,O,21
felt,O,21
meditative,O,21
",",O,21
and,O,21
fit,O,21
for,O,21
nothing,O,21
but,O,21
placid,O,21
staring,O,21
.,O,21
The,O,22
day,O,22
was,O,22
ending,O,22
in,O,22
a,O,22
serenity,O,22
of,O,22
still,O,22
and,O,22
exquisite,O,22
brilliance,O,22
.,O,22
The,O,23
water,O,23
shone,EVENT,23
pacifically,O,23
;,O,23
the,O,23
sky,O,23
",",O,23
without,O,23
a,O,23
speck,O,23
",",O,23
was,O,23
a,O,23
benign,O,23
immensity,O,23
of,O,23
unstained,O,23
light,O,23
;,O,23
the,O,23
very,O,23
mist,EVENT,23
on,O,23
the,O,23
Essex,O,23
marsh,O,23
was,O,23
like,O,23
a,O,23
gauzy,O,23
and,O,23
radiant,O,23
fabric,O,23
",",O,23
hung,O,23
from,O,23
the,O,23
wooded,O,23
rises,O,23
inland,O,23
",",O,23
and,O,23
draping,O,23
the,O,23
low,O,23
shores,O,23
in,O,23
diaphanous,O,23
folds,O,23
.,O,23
Only,O,24
the,O,24
gloom,O,24
to,O,24
the,O,24
west,O,24
",",O,24
brooding,O,24
over,O,24
the,O,24
upper,O,24
reaches,O,24
",",O,24
became,O,24
more,O,24
sombre,EVENT,24
every,O,24
minute,O,24
",",O,24
as,O,24
if,O,24
angered,O,24
by,O,24
the,O,24
approach,O,24
of,O,24
the,O,24
sun,O,24
.,O,24
And,O,25
at,O,25
last,O,25
",",O,25
in,O,25
its,O,25
curved,O,25
and,O,25
imperceptible,O,25
fall,EVENT,25
",",O,25
the,O,25
sun,O,25
sank,EVENT,25
low,O,25
",",O,25
and,O,25
from,O,25
glowing,O,25
white,O,25
changed,EVENT,25
to,O,25
a,O,25
dull,O,25
red,O,25
without,O,25
rays,O,25
and,O,25
without,O,25
heat,O,25
",",O,25
as,O,25
if,O,25
about,O,25
to,O,25
go,O,25
out,O,25
suddenly,O,25
",",O,25
stricken,O,25
to,O,25
death,O,25
by,O,25
the,O,25
touch,O,25
of,O,25
that,O,25
gloom,O,25
brooding,O,25
over,O,25
a,O,25
crowd,O,25
of,O,25
men,O,25
.,O,25
Forthwith,O,26
a,O,26
change,EVENT,26
came,O,26
over,O,26
the,O,26
waters,O,26
",",O,26
and,O,26
the,O,26
serenity,O,26
became,O,26
less,O,26
brilliant,O,26
but,O,26
more,O,26
profound,O,26
.,O,26
The,O,27
old,O,27
river,O,27
in,O,27
its,O,27
broad,O,27
reach,O,27
rested,O,27
unruffled,O,27
at,O,27
the,O,27
decline,O,27
of,O,27
day,O,27
",",O,27
after,O,27
ages,O,27
of,O,27
good,O,27
service,O,27
done,O,27
to,O,27
the,O,27
race,O,27
that,O,27
peopled,O,27
its,O,27
banks,O,27
",",O,27
spread,O,27
out,O,27
in,O,27
the,O,27
tranquil,O,27
dignity,O,27
of,O,27
a,O,27
waterway,O,27
leading,O,27
to,O,27
the,O,27
uttermost,O,27
ends,O,27
of,O,27
the,O,27
earth,O,27
.,O,27
We,O,28
looked,EVENT,28
at,O,28
the,O,28
venerable,O,28
stream,O,28
not,O,28
in,O,28
the,O,28
vivid,O,28
flush,O,28
of,O,28
a,O,28
short,O,28
day,O,28
that,O,28
comes,O,28
and,O,28
departs,O,28
for,O,28
ever,O,28
",",O,28
but,O,28
in,O,28
the,O,28
august,O,28
light,O,28
of,O,28
abiding,O,28
memories,O,28
.,O,28
And,O,29
indeed,O,29
nothing,O,29
is,O,29
easier,O,29
for,O,29
a,O,29
man,O,29
who,O,29
has,O,29
",",O,29
as,O,29
the,O,29
phrase,O,29
goes,O,29
",",O,29
“,O,29
followed,O,29
the,O,29
sea,O,29
”,O,29
with,O,29
reverence,O,29
and,O,29
affection,O,29
",",O,29
than,O,29
to,O,29
evoke,O,29
the,O,29
great,O,29
spirit,O,29
of,O,29
the,O,29
past,O,29
upon,O,29
the,O,29
lower,O,29
reaches,O,29
of,O,29
the,O,29
Thames,O,29
.,O,29
The,O,30
tidal,O,30
current,O,30
runs,O,30
to,O,30
and,O,30
fro,O,30
in,O,30
its,O,30
unceasing,O,30
service,O,30
",",O,30
crowded,O,30
with,O,30
memories,O,30
of,O,30
men,O,30
and,O,30
ships,O,30
it,O,30
had,O,30
borne,O,30
to,O,30
the,O,30
rest,O,30
of,O,30
home,O,30
or,O,30
to,O,30
the,O,30
battles,O,30
of,O,30
the,O,30
sea,O,30
.,O,30
It,O,31
had,O,31
known,O,31
and,O,31
served,O,31
all,O,31
the,O,31
men,O,31
of,O,31
whom,O,31
the,O,31
nation,O,31
is,O,31
proud,O,31
",",O,31
from,O,31
Sir,O,31
Francis,O,31
Drake,O,31
to,O,31
Sir,O,31
John,O,31
Franklin,O,31
",",O,31
knights,O,31
all,O,31
",",O,31
titled,O,31
and,O,31
untitled,O,31
--,O,31
the,O,31
great,O,31
knights-errant,O,31
of,O,31
the,O,31
sea,O,31
.,O,31
It,O,32
had,O,32
borne,O,32
all,O,32
the,O,32
ships,O,32
whose,O,32
names,O,32
are,O,32
like,O,32
jewels,O,32
flashing,O,32
in,O,32
the,O,32
night,O,32
of,O,32
time,O,32
",",O,32
from,O,32
the,O,32
_,O,32
Golden,O,32
Hind,O,32
_,O,32
returning,O,32
with,O,32
her,O,32
rotund,O,32
flanks,O,32
full,O,32
of,O,32
treasure,O,32
",",O,32
to,O,32
be,O,32
visited,O,32
by,O,32
the,O,32
Queen,O,32
's,O,32
Highness,O,32
and,O,32
thus,O,32
pass,O,32
out,O,32
of,O,32
the,O,32
gigantic,O,32
tale,O,32
",",O,32
to,O,32
the,O,32
_,O,32
Erebus,O,32
_,O,32
and,O,32
_,O,32
Terror,O,32
_,O,32
",",O,32
bound,O,32
on,O,32
other,O,32
conquests,O,32
--,O,32
and,O,32
that,O,32
never,O,32
returned,O,32
.,O,32
It,O,33
had,O,33
known,O,33
the,O,33
ships,O,33
and,O,33
the,O,33
men,O,33
.,O,33
They,O,34
had,O,34
sailed,O,34
from,O,34
Deptford,O,34
",",O,34
from,O,34
