token,label,sentence
Chapter,O,0
I,O,0
.,O,0
THE,O,1
MAGNET,O,1
ATTRACTING,O,1
--,O,1
A,O,1
WAIF,O,1
AMID,O,1
FORCES,O,1
When,O,1
Caroline,O,1
Meeber,O,1
boarded,EVENT,1
the,O,1
afternoon,O,1
train,O,1
for,O,1
Chicago,O,1
",",O,1
her,O,1
total,O,1
outfit,O,1
consisted,O,1
of,O,1
a,O,1
small,O,1
trunk,O,1
",",O,1
a,O,1
cheap,O,1
imitation,O,1
alligator-skin,O,1
satchel,O,1
",",O,1
a,O,1
small,O,1
lunch,O,1
in,O,1
a,O,1
paper,O,1
box,O,1
",",O,1
and,O,1
a,O,1
yellow,O,1
leather,O,1
snap,O,1
purse,O,1
",",O,1
containing,O,1
her,O,1
ticket,O,1
",",O,1
a,O,1
scrap,O,1
of,O,1
paper,O,1
with,O,1
her,O,1
sister,O,1
's,O,1
address,O,1
in,O,1
Van,O,1
Buren,O,1
Street,O,1
",",O,1
and,O,1
four,O,1
dollars,O,1
in,O,1
money,O,1
.,O,1
It,O,2
was,O,2
in,O,2
August,O,2
",",O,2
1889,O,2
.,O,2
She,O,3
was,O,3
eighteen,O,3
years,O,3
of,O,3
age,O,3
",",O,3
bright,O,3
",",O,3
timid,O,3
",",O,3
and,O,3
full,O,3
of,O,3
the,O,3
illusions,O,3
of,O,3
ignorance,O,3
and,O,3
youth,O,3
.,O,3
Whatever,O,4
touch,O,4
of,O,4
regret,EVENT,4
at,O,4
parting,EVENT,4
characterised,O,4
her,O,4
thoughts,EVENT,4
",",O,4
it,O,4
was,O,4
certainly,O,4
not,O,4
for,O,4
advantages,O,4
now,O,4
being,O,4
given,EVENT,4
up,O,4
.,O,4
A,O,5
gush,O,5
of,O,5
tears,EVENT,5
at,O,5
her,O,5
mother,O,5
's,O,5
farewell,O,5
kiss,EVENT,5
",",O,5
a,O,5
touch,EVENT,5
in,O,5
her,O,5
throat,O,5
when,O,5
the,O,5
cars,O,5
clacked,EVENT,5
by,O,5
the,O,5
flour,O,5
mill,O,5
where,O,5
her,O,5
father,O,5
worked,O,5
by,O,5
the,O,5
day,O,5
",",O,5
a,O,5
pathetic,O,5
sigh,EVENT,5
as,O,5
the,O,5
familiar,O,5
green,O,5
environs,O,5
of,O,5
the,O,5
village,O,5
passed,EVENT,5
in,O,5
review,O,5
",",O,5
and,O,5
the,O,5
threads,O,5
which,O,5
bound,O,5
her,O,5
so,O,5
lightly,O,5
to,O,5
girlhood,O,5
and,O,5
home,O,5
were,O,5
irretrievably,O,5
broken,EVENT,5
.,O,5
To,O,6
be,O,6
sure,O,6
there,O,6
was,O,6
always,O,6
the,O,6
next,O,6
station,O,6
",",O,6
where,O,6
one,O,6
might,O,6
descend,O,6
and,O,6
return,O,6
.,O,6
There,O,7
was,O,7
the,O,7
great,O,7
city,O,7
",",O,7
bound,O,7
more,O,7
closely,O,7
by,O,7
these,O,7
very,O,7
trains,O,7
which,O,7
came,O,7
up,O,7
daily,O,7
.,O,7
Columbia,O,8
City,O,8
was,O,8
not,O,8
so,O,8
very,O,8
far,O,8
away,O,8
",",O,8
even,O,8
once,O,8
she,O,8
was,O,8
in,O,8
Chicago,O,8
.,O,8
What,O,9
",",O,9
pray,O,9
",",O,9
is,O,9
a,O,9
few,O,9
hours,O,9
--,O,9
a,O,9
few,O,9
hundred,O,9
miles,O,9
?,O,9
She,O,9
looked,EVENT,9
at,O,9
the,O,9
little,O,9
slip,O,9
bearing,O,9
her,O,9
sister,O,9
's,O,9
address,O,9
and,O,9
wondered,EVENT,9
.,O,9
She,O,10
gazed,EVENT,10
at,O,10
the,O,10
green,O,10
landscape,O,10
",",O,10
now,O,10
passing,EVENT,10
in,O,10
swift,O,10
review,O,10
",",O,10
until,O,10
her,O,10
swifter,O,10
thoughts,EVENT,10
replaced,EVENT,10
its,O,10
impression,EVENT,10
with,O,10
vague,O,10
conjectures,EVENT,10
of,O,10
