token,label,sentence
STONE,O,0
GATE,O,0
",",O,0
WORCESTER,O,0
",",O,0
MASSACHUSETTS,O,0
",",O,0
December,O,0
27,O,0
.,O,0
Dear,O,1
Judy,O,1
:,O,1
Your,O,1
letter,O,1
is,O,1
here,O,1
.,O,1
I,O,2
have,O,2
read,EVENT,2
it,O,2
twice,O,2
",",O,2
and,O,2
with,O,2
amazement,EVENT,2
.,O,2
Do,O,3
I,O,3
understand,O,3
that,O,3
Jervis,O,3
has,O,3
given,O,3
you,O,3
",",O,3
for,O,3
a,O,3
Christmas,O,3
present,O,3
",",O,3
the,O,3
making,O,3
over,O,3
of,O,3
the,O,3
John,O,3
Grier,O,3
Home,O,3
into,O,3
a,O,3
model,O,3
institution,O,3
",",O,3
and,O,3
that,O,3
you,O,3
have,O,3
chosen,O,3
me,O,3
to,O,3
disburse,O,3
the,O,3
money,O,3
?,O,3
Me,O,3
--,O,3
I,O,3
",",O,3
Sallie,O,3
McBride,O,3
",",O,3
the,O,3
head,O,3
of,O,3
an,O,3
orphan,O,3
asylum,O,3
!,O,3
My,O,3
poor,O,3
people,O,3
",",O,3
have,O,3
you,O,3
lost,O,3
your,O,3
senses,O,3
",",O,3
or,O,3
have,O,3
you,O,3
become,O,3
addicted,O,3
to,O,3
the,O,3
use,O,3
of,O,3
opium,O,3
",",O,3
and,O,3
is,O,3
this,O,3
the,O,3
raving,O,3
of,O,3
two,O,3
fevered,O,3
imaginations,O,3
?,O,3
I,O,3
am,O,3
exactly,O,3
as,O,3
well,O,3
fitted,O,3
to,O,3
take,O,3
care,O,3
of,O,3
one,O,3
hundred,O,3
children,O,3
as,O,3
to,O,3
become,O,3
the,O,3
curator,O,3
of,O,3
a,O,3
zoo,O,3
.,O,3
And,O,4
you,O,4
offer,EVENT,4
as,O,4
bait,O,4
an,O,4
interesting,O,4
Scotch,O,4
doctor,O,4
?,O,4
My,O,4
dear,O,4
Judy,O,4
",",O,4
--,O,4
likewise,O,4
my,O,4
dear,O,4
Jervis,O,4
",",O,4
--,O,4
I,O,4
see,EVENT,4
through,O,4
you,O,4
!,O,4
I,O,4
know,O,4
exactly,O,4
the,O,4
kind,O,4
of,O,4
family,O,4
conference,O,4
that,O,4
has,O,4
been,O,4
held,EVENT,4
about,O,4
the,O,4
Pendleton,O,4
fireside,O,4
.,O,4
Oh,O,5
",",O,5
I,O,5
can,O,5
hear,EVENT,5
him,O,5
as,O,5
clearly,O,5
as,O,5
if,O,5
I,O,5
were,O,5
there,O,5
!,O,5
On,O,5
the,O,5
occasion,O,5
of,O,5
my,O,5
last,O,5
visit,EVENT,5
in,O,5
your,O,5
delectable,O,5
household,O,5
Jervis,O,5
and,O,5
I,O,5
had,O,5
a,O,5
very,O,5
solemn,O,5
conversation,EVENT,5
in,O,5
regard,O,5
to,O,5
(,O,5
1,O,5
),O,5
marriage,O,5
",",O,5
(,O,5
2,O,5
),O,5
the,O,5
low,O,5
ideals,O,5
of,O,5
politicians,O,5
",",O,5
(,O,5
3,O,5
),O,5
the,O,5
frivolous,O,5
",",O,5
useless,O,5
lives,O,5
that,O,5
society,O,5
women,O,5
lead,O,5
.,O,5
Please,O,6
tell,O,6
your,O,6
moral,O,6
husband,O,6
that,O,6
I,O,6
