token,label,sentence
CHAPTER,O,0
1,O,0
Loomings,O,0
Call,O,0
me,O,0
Ishmael,O,0
.,O,0
Some,O,1
years,O,1
ago,O,1
--,O,1
never,O,1
mind,O,1
how,O,1
long,O,1
precisely,O,1
--,O,1
having,O,1
little,O,1
or,O,1
no,O,1
money,O,1
in,O,1
my,O,1
purse,O,1
",",O,1
and,O,1
nothing,O,1
particular,O,1
to,O,1
interest,O,1
me,O,1
on,O,1
shore,O,1
",",O,1
I,O,1
thought,O,1
I,O,1
would,O,1
sail,O,1
about,O,1
a,O,1
little,O,1
and,O,1
see,O,1
the,O,1
watery,O,1
part,O,1
of,O,1
the,O,1
world,O,1
.,O,1
It,O,2
is,O,2
a,O,2
way,O,2
I,O,2
have,O,2
of,O,2
driving,O,2
off,O,2
the,O,2
spleen,O,2
and,O,2
regulating,O,2
the,O,2
circulation,O,2
.,O,2
Whenever,O,3
I,O,3
find,O,3
myself,O,3
growing,O,3
grim,O,3
about,O,3
the,O,3
mouth,O,3
;,O,3
whenever,O,3
it,O,3
is,O,3
a,O,3
damp,O,3
",",O,3
drizzly,O,3
November,O,3
in,O,3
my,O,3
soul,O,3
;,O,3
whenever,O,3
I,O,3
find,O,3
myself,O,3
involuntarily,O,3
pausing,O,3
before,O,3
coffin,O,3
warehouses,O,3
",",O,3
and,O,3
bringing,O,3
up,O,3
the,O,3
rear,O,3
of,O,3
every,O,3
funeral,O,3
I,O,3
meet,O,3
;,O,3
and,O,3
especially,O,3
whenever,O,3
my,O,3
hypos,O,3
get,O,3
such,O,3
an,O,3
upper,O,3
hand,O,3
of,O,3
me,O,3
",",O,3
that,O,3
it,O,3
requires,O,3
a,O,3
strong,O,3
moral,O,3
principle,O,3
to,O,3
prevent,O,3
me,O,3
from,O,3
deliberately,O,3
stepping,O,3
into,O,3
the,O,3
street,O,3
",",O,3
and,O,3
methodically,O,3
knocking,O,3
people,O,3
's,O,3
hats,O,3
off,O,3
--,O,3
then,O,3
",",O,3
I,O,3
account,O,3
it,O,3
high,O,3
time,O,3
to,O,3
get,O,3
to,O,3
sea,O,3
as,O,3
soon,O,3
as,O,3
I,O,3
can,O,3
.,O,3
This,O,4
is,O,4
my,O,4
substitute,O,4
for,O,4
pistol,O,4
and,O,4
ball,O,4
.,O,4
With,O,5
a,O,5
philosophical,O,5
flourish,O,5
Cato,O,5
throws,O,5
himself,O,5
upon,O,5
his,O,5
sword,O,5
;,O,5
I,O,5
quietly,O,5
take,O,5
to,O,5
the,O,5
ship,O,5
.,O,5
There,O,6
is,O,6
nothing,O,6
surprising,O,6
in,O,6
this,O,6
.,O,6
If,O,7
they,O,7
but,O,7
knew,O,7
it,O,7
",",O,7
almost,O,7
all,O,7
men,O,7
in,O,7
their,O,7
degree,O,7
",",O,7
some,O,7
time,O,7
or,O,7
other,O,7
",",O,7
cherish,O,7
very,O,7
nearly,O,7
the,O,7
same,O,7
feelings,O,7
towards,O,7
the,O,7
ocean,O,7
with,O,7
me,O,7
.,O,7
There,O,8
now,O,8
is,O,8
your,O,8
insular,O,8
city,O,8
of,O,8
the,O,8
Manhattoes,O,8
",",O,8
belted,O,8
round,O,8
by,O,8
wharves,O,8
as,O,8
Indian,O,8
isles,O,8
by,O,8
coral,O,8
reefs,O,8
--,O,8
commerce,O,8
surrounds,O,8
it,O,8
with,O,8
her,O,8
surf,O,8
.,O,8
Right,O,9
and,O,9
left,O,9
",",O,9
the,O,9
streets,O,9
take,O,9
you,O,9
waterward,O,9
.,O,9
Its,O,10
extreme,O,10
downtown,O,10
is,O,10
the,O,10
battery,O,10
",",O,10
where,O,10
that,O,10
noble,O,10
mole,O,10
is,O,10
washed,O,10
by,O,10
waves,O,10
",",O,10
and,O,10
cooled,O,10
by,O,10
breezes,O,10
",",O,10
which,O,10
a,O,10
few,O,10
hours,O,10
previous,O,10
were,O,10
out,O,10
of,O,10
sight,O,10
of,O,10
land,O,10
.,O,10
Look,O,11
at,O,11
the,O,11
crowds,O,11
of,O,11
water-gazers,O,11
there,O,11
.,O,11
Circumambulate,O,12
the,O,12
city,O,12
of,O,12
a,O,12
dreamy,O,12
Sabbath,O,12
afternoon,O,12
.,O,12
Go,O,13
from,O,13
Corlears,O,13
Hook,O,13
to,O,13
Coenties,O,13
Slip,O,13
",",O,13
and,O,13
from,O,13
thence,O,13
",",O,13
by,O,13
Whitehall,O,13
",",O,13
northward,O,13
.,O,13
What,O,14
do,O,14
you,O,14
see,O,14
?,O,14
--,O,14
Posted,O,14
like,O,14
silent,O,14
sentinels,O,14
all,O,14
around,O,14
the,O,14
town,O,14
",",O,14
stand,O,14
thousands,O,14
upon,O,14
thousands,O,14
of,O,14
mortal,O,14
men,O,14
fixed,O,14
in,O,14
ocean,O,14
reveries,O,14
.,O,14
Some,O,15
leaning,O,15
against,O,15
the,O,15
spiles,O,15
;,O,15
some,O,15
seated,O,15
upon,O,15
the,O,15
pier-heads,O,15
;,O,15
some,O,15
looking,O,15
over,O,15
the,O,15
bulwarks,O,15
glasses,O,15
!,O,15
of,O,15
ships,O,15
from,O,15
China,O,15
;,O,15
some,O,15
high,O,15
aloft,O,15
in,O,15
the,O,15
rigging,O,15
",",O,15
as,O,15
if,O,15
striving,O,15
to,O,15
get,O,15
a,O,15
still,O,15
better,O,15
seaward,O,15
peep,O,15
.,O,15
But,O,16
these,O,16
are,O,16
all,O,16
landsmen,O,16
;,O,16
of,O,16
week,O,16
days,O,16
pent,O,16
up,O,16
in,O,16
lath,O,16
and,O,16
plaster,O,16
--,O,16
tied,O,16
to,O,16
counters,O,16
",",O,16
nailed,O,16
to,O,16
benches,O,16
",",O,16
clinched,O,16
to,O,16
desks,O,16
.,O,16
How,O,17
then,O,17
is,O,17
this,O,17
?,O,17
Are,O,17
the,O,17
green,O,17
fields,O,17
gone,O,17
?,O,17
What,O,17
do,O,17
they,O,17
here,O,17
?,O,17
But,O,17
look,O,17
!,O,17
here,O,17
come,EVENT,17
more,O,17
crowds,O,17
",",O,17
pacing,EVENT,17
straight,O,17
for,O,17
the,O,17
water,O,17
",",O,17
and,O,17
seemingly,O,17
bound,O,17
for,O,17
a,O,17
dive,O,17
.,O,17
Strange,O,18
!,O,18
Nothing,O,18
will,O,18
content,O,18
them,O,18
but,O,18
the,O,18
extremest,O,18
limit,O,18
of,O,18
the,O,18
land,O,18
;,O,18
loitering,O,18
under,O,18
the,O,18
shady,O,18
lee,O,18
of,O,18
yonder,O,18
warehouses,O,18
will,O,18
not,O,18
suffice,O,18
.,O,18
No,O,19
.,O,19
They,O,20
must,O,20
get,O,20
just,O,20
as,O,20
nigh,O,20
the,O,20
water,O,20
as,O,20
they,O,20
possibly,O,20
can,O,20
without,O,20
falling,O,20
in,O,20
.,O,20
And,O,21
there,O,21
they,O,21
stand,O,21
--,O,21
miles,O,21
of,O,21
them,O,21
--,O,21
leagues,O,21
.,O,21
Inlanders,O,22
all,O,22
",",O,22
they,O,22
come,O,22
from,O,22
lanes,O,22
and,O,22
alleys,O,22
",",O,22
streets,O,22
and,O,22
avenues,O,22
",",O,22
--,O,22
north,O,22
",",O,22
east,O,22
",",O,22
south,O,22
",",O,22
and,O,22
west,O,22
.,O,22
Yet,O,23
here,O,23
they,O,23
all,O,23
unite,O,23
.,O,23
Tell,O,24
me,O,24
",",O,24
does,O,24
the,O,24
magnetic,O,24
virtue,O,24
of,O,24
the,O,24
needles,O,24
of,O,24
the,O,24
compasses,O,24
of,O,24
all,O,24
those,O,24
ships,O,24
attract,O,24
them,O,24
thither,O,24
?,O,24
Once,O,24
more,O,24
.,O,24
Say,O,25
you,O,25
are,O,25
in,O,25
the,O,25
country,O,25
;,O,25
in,O,25
some,O,25
high,O,25
land,O,25
of,O,25
lakes,O,25
.,O,25
Take,O,26
almost,O,26
any,O,26
path,O,26
you,O,26
please,O,26
",",O,26
and,O,26
ten,O,26
to,O,26
one,O,26
it,O,26
carries,O,26
you,O,26
down,O,26
in,O,26
a,O,26
dale,O,26
",",O,26
and,O,26
leaves,O,26
you,O,26
there,O,26
by,O,26
a,O,26
pool,O,26
in,O,26
the,O,26
stream,O,26
.,O,26
There,O,27
is,O,27
magic,O,27
in,O,27
it,O,27
.,O,27
Let,O,28
the,O,28
most,O,28
absent-minded,O,28
of,O,28
men,O,28
be,O,28
plunged,O,28
in,O,28
his,O,28
deepest,O,28
reveries,O,28
--,O,28
stand,O,28
that,O,28
man,O,28
on,O,28
his,O,28
legs,O,28
",",O,28
set,O,28
his,O,28
feet,O,28
a-going,O,28
",",O,28
and,O,28
he,O,28
will,O,28
infallibly,O,28
lead,O,28
you,O,28
to,O,28
water,O,28
",",O,28
if,O,28
water,O,28
there,O,28
be,O,28
in,O,28
all,O,28
that,O,28
region,O,28
.,O,28
Should,O,29
you,O,29
ever,O,29
be,O,29
athirst,O,29
in,O,29
the,O,29
great,O,29
American,O,29
desert,O,29
",",O,29
try,O,29
this,O,29
experiment,O,29
",",O,29
if,O,29
your,O,29
caravan,O,29
happen,O,29
to,O,29
be,O,29
supplied,O,29
with,O,29
a,O,29
metaphysical,O,29
professor,O,29
.,O,29
Yes,O,30
",",O,30
as,O,30
every,O,30
one,O,30
knows,O,30
",",O,30
meditation,O,30
and,O,30
water,O,30
are,O,30
wedded,O,30
for,O,30
ever,O,30
.,O,30
But,O,31
here,O,31
is,O,31
an,O,31
artist,O,31
.,O,31
He,O,32
desires,O,32
to,O,32
paint,O,32
you,O,32
the,O,32
dreamiest,O,32
",",O,32
shadiest,O,32
",",O,32
quietest,O,32
",",O,32
most,O,32
enchanting,O,32
bit,O,32
of,O,32
romantic,O,32
landscape,O,32
in,O,32
all,O,32
the,O,32
valley,O,32
of,O,32
the,O,32
Saco,O,32
.,O,32
What,O,33
is,O,33
the,O,33
chief,O,33
element,O,33
he,O,33
employs,O,33
?,O,33
There,O,33
stand,O,33
his,O,33
trees,O,33
",",O,33
each,O,33
with,O,33
a,O,33
hollow,O,33
trunk,O,33
",",O,33
as,O,33
if,O,33
a,O,33
hermit,O,33
and,O,33
a,O,33
crucifix,O,33
were,O,33
within,O,33
;,O,33
and,O,33
here,O,33
