token,label,sentence
PART,O,0
I,O,0
I,O,0
THIS,O,0
is,O,0
the,O,0
saddest,O,0
story,O,0
I,O,0
have,O,0
ever,O,0
heard,O,0
.,O,0
We,O,1
had,O,1
known,O,1
the,O,1
Ashburnhams,O,1
for,O,1
nine,O,1
seasons,O,1
of,O,1
the,O,1
town,O,1
of,O,1
Nauheim,O,1
with,O,1
an,O,1
extreme,O,1
intimacy,O,1
--,O,1
or,O,1
",",O,1
rather,O,1
with,O,1
an,O,1
acquaintanceship,O,1
as,O,1
loose,O,1
and,O,1
easy,O,1
and,O,1
yet,O,1
as,O,1
close,O,1
as,O,1
a,O,1
good,O,1
glove,O,1
's,O,1
with,O,1
your,O,1
hand,O,1
.,O,1
My,O,2
wife,O,2
and,O,2
I,O,2
knew,O,2
Captain,O,2
and,O,2
Mrs,O,2
Ashburnham,O,2
as,O,2
well,O,2
as,O,2
it,O,2
was,O,2
possible,O,2
to,O,2
know,O,2
anybody,O,2
",",O,2
and,O,2
yet,O,2
",",O,2
in,O,2
another,O,2
sense,O,2
",",O,2
we,O,2
knew,O,2
nothing,O,2
at,O,2
all,O,2
about,O,2
them,O,2
.,O,2
This,O,3
is,O,3
",",O,3
I,O,3
believe,O,3
",",O,3
a,O,3
state,O,3
of,O,3
things,O,3
only,O,3
possible,O,3
with,O,3
English,O,3
people,O,3
of,O,3
whom,O,3
",",O,3
till,O,3
today,O,3
",",O,3
when,O,3
I,O,3
sit,EVENT,3
down,O,3
to,O,3
puzzle,EVENT,3
out,O,3
what,O,3
I,O,3
know,O,3
of,O,3
this,O,3
sad,O,3
affair,O,3
",",O,3
I,O,3
knew,O,3
nothing,O,3
whatever,O,3
.,O,3
Six,O,4
months,O,4
ago,O,4
I,O,4
had,O,4
never,O,4
been,O,4
to,O,4
England,O,4
",",O,4
and,O,4
",",O,4
certainly,O,4
",",O,4
I,O,4
had,O,4
never,O,4
sounded,O,4
the,O,4
depths,O,4
of,O,4
an,O,4
English,O,4
heart,O,4
.,O,4
I,O,5
had,O,5
known,O,5
the,O,5
shallows,O,5
.,O,5
I,O,6
do,O,6
n't,O,6
mean,O,6
to,O,6
say,O,6
that,O,6
we,O,6
were,O,6
not,O,6
acquainted,O,6
with,O,6
many,O,6
English,O,6
people,O,6
.,O,6
Living,O,7
",",O,7
as,O,7
we,O,7
perforce,O,7
lived,O,7
",",O,7
in,O,7
Europe,O,7
",",O,7
and,O,7
being,O,7
",",O,7
as,O,7
we,O,7
perforce,O,7
were,O,7
",",O,7
leisured,O,7
Americans,O,7
",",O,7
which,O,7
is,O,7
as,O,7
much,O,7
as,O,7
to,O,7
say,O,7
that,O,7
we,O,7
were,O,7
un-American,O,7
",",O,7
we,O,7
were,O,7
thrown,O,7
very,O,7
much,O,7
into,O,7
the,O,7
society,O,7
of,O,7
the,O,7
nicer,O,7
English,O,7
.,O,7
Paris,O,8
",",O,8
you,O,8
see,O,8
",",O,8
was,O,8
our,O,8
home,O,8
.,O,8
Somewhere,O,9
between,O,9
Nice,O,9
and,O,9
Bordighera,O,9
provided,O,9
yearly,O,9
winter,O,9
quarters,O,9
for,O,9
us,O,9
",",O,9
and,O,9
Nauheim,O,9
always,O,9
received,O,9
us,O,9
from,O,9
July,O,9
to,O,9
September,O,9
.,O,9
You,O,10
will,O,10
gather,O,10
from,O,10
this,O,10
statement,O,10
that,O,10
one,O,10
of,O,10
us,O,10
had,O,10
",",O,10
as,O,10
the,O,10
saying,O,10
is,O,10
",",O,10
a,O,10
",",O,10
and,O,10
",",O,10
from,O,10
the,O,10
statement,O,10
that,O,10
my,O,10
wife,O,10
is,O,10
dead,O,10
",",O,10
that,O,10
she,O,10
was,O,10
the,O,10
sufferer,O,10
.,O,10
Captain,O,11
Ashburnham,O,11
also,O,11
had,O,11
a,O,11
heart,O,11
.,O,11
But,O,12
",",O,12
whereas,O,12
a,O,12
yearly,O,12
month,O,12
or,O,12
so,O,12
at,O,12
Nauheim,O,12
tuned,O,12
him,O,12
up,O,12
to,O,12
exactly,O,12
the,O,12
right,O,12
pitch,O,12
for,O,12
the,O,12
rest,O,12
of,O,12
the,O,12
twelvemonth,O,12
",",O,12
the,O,12
two,O,12
months,O,12
or,O,12
so,O,12
were,O,12
only,O,12
just,O,12
enough,O,12
to,O,12
keep,O,12
poor,O,12
Florence,O,12
alive,O,12
from,O,12
year,O,12
to,O,12
year,O,12
.,O,12
The,O,13
reason,O,13
for,O,13
his,O,13
heart,O,13
was,O,13
",",O,13
approximately,O,13
",",O,13
polo,O,13
",",O,13
or,O,13
too,O,13
much,O,13
hard,O,13
sportsmanship,O,13
in,O,13
his,O,13
youth,O,13
.,O,13
The,O,14
reason,O,14
for,O,14
poor,O,14
Florence,O,14
's,O,14
broken,O,14
years,O,14
was,O,14
a,O,14
storm,O,14
at,O,14
sea,O,14
upon,O,14
our,O,14
first,O,14
crossing,O,14
to,O,14
Europe,O,14
",",O,14
and,O,14
the,O,14
immediate,O,14
reasons,O,14
for,O,14
our,O,14
imprisonment,EVENT,14
in,O,14
that,O,14
continent,O,14
were,O,14
doctor,O,14
's,O,14
orders,EVENT,14
.,O,14
They,O,15
said,EVENT,15
that,O,15
even,O,15
the,O,15
short,O,15
Channel,O,15
crossing,O,15
might,O,15
well,O,15
