token,label,sentence
CHAPTER,O,0
I,O,0
DESCRIPTION,O,0
OF,O,0
FARMER,O,0
OAK,O,0
--,O,0
AN,O,0
INCIDENT,EVENT,0
When,O,0
Farmer,O,0
Oak,O,0
smiled,O,0
",",O,0
the,O,0
corners,O,0
of,O,0
his,O,0
mouth,O,0
spread,O,0
till,O,0
they,O,0
were,O,0
within,O,0
an,O,0
unimportant,O,0
distance,O,0
of,O,0
his,O,0
ears,O,0
",",O,0
his,O,0
eyes,O,0
were,O,0
reduced,O,0
to,O,0
chinks,O,0
",",O,0
and,O,0
diverging,O,0
wrinkles,O,0
appeared,O,0
round,O,0
them,O,0
",",O,0
extending,O,0
upon,O,0
his,O,0
countenance,O,0
like,O,0
the,O,0
rays,O,0
in,O,0
a,O,0
rudimentary,O,0
sketch,O,0
of,O,0
the,O,0
rising,O,0
sun,O,0
.,O,0
His,O,1
Christian,O,1
name,O,1
was,O,1
Gabriel,O,1
",",O,1
and,O,1
on,O,1
working,O,1
days,O,1
he,O,1
was,O,1
a,O,1
young,O,1
man,O,1
of,O,1
sound,O,1
judgment,O,1
",",O,1
easy,O,1
motions,O,1
",",O,1
proper,O,1
dress,O,1
",",O,1
and,O,1
general,O,1
good,O,1
character,O,1
.,O,1
On,O,2
Sundays,O,2
he,O,2
was,O,2
a,O,2
man,O,2
of,O,2
misty,O,2
views,O,2
",",O,2
rather,O,2
given,O,2
to,O,2
postponing,O,2
",",O,2
and,O,2
hampered,O,2
by,O,2
his,O,2
best,O,2
clothes,O,2
and,O,2
umbrella,O,2
:,O,2
upon,O,2
the,O,2
whole,O,2
",",O,2
one,O,2
who,O,2
felt,O,2
himself,O,2
to,O,2
occupy,O,2
morally,O,2
that,O,2
vast,O,2
middle,O,2
space,O,2
of,O,2
Laodicean,O,2
neutrality,O,2
which,O,2
lay,O,2
between,O,2
the,O,2
Communion,O,2
people,O,2
of,O,2
the,O,2
parish,O,2
and,O,2
the,O,2
drunken,O,2
section,O,2
",",O,2
--,O,2
that,O,2
is,O,2
",",O,2
he,O,2
went,O,2
to,O,2
church,O,2
",",O,2
but,O,2
yawned,O,2
privately,O,2
by,O,2
the,O,2
time,O,2
the,O,2
con,O,2
-,O,2
gegation,O,2
reached,O,2
the,O,2
Nicene,O,2
creed,O,2
",",O,2
-,O,2
and,O,2
thought,O,2
of,O,2
what,O,2
there,O,2
would,O,2
be,O,2
for,O,2
dinner,O,2
when,O,2
he,O,2
meant,O,2
to,O,2
be,O,2
listening,O,2
to,O,2
the,O,2
sermon,O,2
.,O,2
Or,O,3
",",O,3
to,O,3
state,O,3
his,O,3
character,O,3
as,O,3
it,O,3
stood,O,3
in,O,3
the,O,3
scale,O,3
of,O,3
public,O,3
opinion,O,3
",",O,3
when,O,3
his,O,3
friends,O,3
and,O,3
critics,O,3
were,O,3
in,O,3
tantrums,O,3
",",O,3
he,O,3
was,O,3
considered,O,3
rather,O,3
a,O,3
bad,O,3
man,O,3
;,O,3
when,O,3
they,O,3
were,O,3
pleased,O,3
",",O,3
he,O,3
was,O,3
rather,O,3
a,O,3
good,O,3
man,O,3
;,O,3
when,O,3
they,O,3
were,O,3
neither,O,3
",",O,3
he,O,3
was,O,3
a,O,3
man,O,3
whose,O,3
moral,O,3
colour,O,3
was,O,3
a,O,3
kind,O,3
of,O,3
pepper-and-salt,O,3
mixture,O,3
.,O,3
Since,O,4
he,O,4
lived,O,4
six,O,4
times,O,4
as,O,4
many,O,4
working-days,O,4
as,O,4
Sundays,O,4
",",O,4
Oak,O,4
's,O,4
appearance,O,4
in,O,4
his,O,4
old,O,4
clothes,O,4
was,O,4
most,O,4
peculiarly,O,4
his,O,4
own,O,4
--,O,4
the,O,4
mental,O,4
picture,O,4
formed,O,4
by,O,4
his,O,4
neighbours,O,4
in,O,4
imagining,O,4
him,O,4
being,O,4
always,O,4
dressed,O,4
in,O,4
that,O,4
way,O,4
.,O,4
He,O,5
wore,O,5
