token,label,sentence
CHAPTER,O,0
I,O,0
IN,O,0
WHICH,O,0
I,O,0
THROW,O,0
AMBS-ACE,O,0
THE,O,0
work,O,0
of,O,0
the,O,0
day,O,0
being,O,0
over,O,0
",",O,0
I,O,0
sat,EVENT,0
down,O,0
upon,O,0
my,O,0
doorstep,O,0
",",O,0
pipe,O,0
in,O,0
hand,O,0
",",O,0
to,O,0
rest,EVENT,0
awhile,O,0
in,O,0
the,O,0
cool,O,0
of,O,0
the,O,0
evening,O,0
.,O,0
Death,O,1
is,O,1
not,O,1
more,O,1
still,O,1
than,O,1
is,O,1
this,O,1
Virginian,O,1
land,O,1
in,O,1
the,O,1
hour,O,1
when,O,1
the,O,1
sun,O,1
has,O,1
sunk,O,1
away,O,1
",",O,1
and,O,1
it,O,1
is,O,1
black,O,1
beneath,O,1
the,O,1
trees,O,1
",",O,1
and,O,1
the,O,1
stars,O,1
brighten,O,1
slowly,O,1
and,O,1
softly,O,1
",",O,1
one,O,1
by,O,1
one,O,1
.,O,1
The,O,2
birds,O,2
that,O,2
sing,O,2
all,O,2
day,O,2
have,O,2
hushed,O,2
",",O,2
and,O,2
the,O,2
horned,O,2
owls,O,2
",",O,2
the,O,2
monster,O,2
frogs,O,2
",",O,2
and,O,2
that,O,2
strange,O,2
and,O,2
ominous,O,2
fowl,O,2
(,O,2
if,O,2
fowl,O,2
it,O,2
be,O,2
",",O,2
and,O,2
not,O,2
",",O,2
as,O,2
some,O,2
assert,O,2
",",O,2
a,O,2
spirit,O,2
damned,O,2
),O,2
which,O,2
we,O,2
English,O,2
call,O,2
the,O,2
whippoorwill,O,2
",",O,2
are,O,2
yet,O,2
silent,O,2
.,O,2
Later,O,3
the,O,3
wolf,O,3
will,O,3
howl,O,3
and,O,3
the,O,3
panther,O,3
scream,O,3
",",O,3
but,O,3
now,O,3
there,O,3
is,O,3
no,O,3
sound,O,3
.,O,3
The,O,4
winds,O,4
are,O,4
laid,O,4
",",O,4
and,O,4
the,O,4
restless,O,4
leaves,O,4
droop,O,4
and,O,4
are,O,4
quiet,O,4
.,O,4
The,O,5
low,O,5
lap,O,5
of,O,5
the,O,5
water,O,5
among,O,5
the,O,5
reeds,O,5
is,O,5
like,O,5
the,O,5
breathing,O,5
of,O,5
one,O,5
who,O,5
sleeps,O,5
in,O,5
his,O,5
watch,O,5
beside,O,5
the,O,5
dead,O,5
.,O,5
I,O,6
marked,EVENT,6
the,O,6
light,O,6
die,EVENT,6
from,O,6
the,O,6
broad,O,6
bosom,O,6
of,O,6
the,O,6
river,O,6
",",O,6
leaving,O,6
it,O,6
a,O,6
dead,O,6
man,O,6
's,O,6
hue,O,6
.,O,6
Awhile,O,7
ago,O,7
",",O,7
and,O,7
for,O,7
many,O,7
evenings,O,7
",",O,7
it,O,7
had,O,7
been,O,7
crimson,O,7
",",O,7
--,O,7
a,O,7
river,O,7
of,O,7
blood,O,7
.,O,7
A,O,8
week,O,8
before,O,8
",",O,8
a,O,8
great,O,8
meteor,O,8
had,O,8
shot,EVENT,8
through,O,8
the,O,8
night,O,8
",",O,8
blood-red,O,8
and,O,8
bearded,O,8
",",O,8
drawing,O,8
a,O,8
slow-fading,O,8
fiery,O,8
trail,EVENT,8
across,O,8
the,O,8
heavens,O,8
;,O,8
and,O,8
the,O,8
moon,O,8
had,O,8
risen,EVENT,8
that,O,8
same,O,8
night,O,8
blood-red,O,8
",",O,8
and,O,8
upon,O,8
its,O,8
disk,O,8
there,O,8
was,O,8
drawn,EVENT,8
in,O,8
shadow,O,8
a,O,8
thing,O,8
most,O,8
marvelously,O,8
like,O,8
a,O,8
scalping,O,8
knife,O,8
.,O,8
Wherefore,O,9
",",O,9
the,O,9
following,O,9
day,O,9
being,O,9
Sunday,O,9
",",O,9
good,O,9
Mr.,O,9
Stockham,O,9
",",O,9
our,O,9
minister,O,9
at,O,9
Weyanoke,O,9
",",O,9
exhorted,EVENT,9
us,O,9
