token,label,sentence
THE,O,0
SISTERS,O,0
There,O,0
was,O,0
no,O,0
hope,O,0
for,O,0
him,O,0
this,O,0
time,O,0
:,O,0
it,O,0
was,O,0
the,O,0
third,O,0
stroke,EVENT,0
.,O,0
Night,O,1
after,O,1
night,O,1
I,O,1
had,O,1
passed,O,1
the,O,1
house,O,1
(,O,1
it,O,1
was,O,1
vacation,O,1
time,O,1
),O,1
and,O,1
studied,O,1
the,O,1
lighted,O,1
square,O,1
of,O,1
window,O,1
:,O,1
and,O,1
night,O,1
after,O,1
night,O,1
I,O,1
had,O,1
found,O,1
it,O,1
lighted,O,1
in,O,1
the,O,1
same,O,1
way,O,1
",",O,1
faintly,O,1
and,O,1
evenly,O,1
.,O,1
If,O,2
he,O,2
was,O,2
dead,O,2
",",O,2
I,O,2
thought,O,2
",",O,2
I,O,2
would,O,2
see,O,2
the,O,2
reflection,O,2
of,O,2
candles,O,2
on,O,2
the,O,2
darkened,O,2
blind,O,2
for,O,2
I,O,2
knew,O,2
that,O,2
two,O,2
candles,O,2
must,O,2
be,O,2
set,O,2
at,O,2
the,O,2
head,O,2
of,O,2
a,O,2
corpse,O,2
.,O,2
He,O,3
had,O,3
often,O,3
said,O,3
to,O,3
me,O,3
:,O,3
“,O,3
I,O,3
am,O,3
not,O,3
long,O,3
for,O,3
this,O,3
world,O,3
",",O,3
”,O,3
and,O,3
I,O,3
had,O,3
thought,O,3
his,O,3
words,O,3
idle,O,3
.,O,3
Now,O,4
I,O,4
knew,O,4
they,O,4
were,O,4
true,O,4
.,O,4
Every,O,5
night,O,5
as,O,5
I,O,5
gazed,O,5
up,O,5
at,O,5
the,O,5
window,O,5
I,O,5
said,O,5
softly,O,5
to,O,5
myself,O,5
the,O,5
word,O,5
paralysis,O,5
.,O,5
It,O,6
had,O,6
always,O,6
sounded,O,6
strangely,O,6
in,O,6
my,O,6
ears,O,6
",",O,6
like,O,6
the,O,6
word,O,6
gnomon,O,6
in,O,6
the,O,6
Euclid,O,6
and,O,6
the,O,6
word,O,6
simony,O,6
in,O,6
the,O,6
Catechism,O,6
.,O,6
But,O,7
now,O,7
it,O,7
sounded,EVENT,7
to,O,7
me,O,7
like,O,7
the,O,7
name,O,7
of,O,7
some,O,7
maleficent,O,7
and,O,7
sinful,O,7
being,O,7
.,O,7
It,O,8
filled,O,8
me,O,8
with,O,8
fear,O,8
",",O,8
and,O,8
yet,O,8
I,O,8
longed,O,8
to,O,8
be,O,8
nearer,O,8
to,O,8
it,O,8
and,O,8
to,O,8
look,O,8
upon,O,8
its,O,8
deadly,O,8
work,O,8
.,O,8
Old,O,9
Cotter,O,9
was,O,9
sitting,O,9
at,O,9
the,O,9
fire,EVENT,9
",",O,9
smoking,EVENT,9
",",O,9
when,O,9
I,O,9
came,EVENT,9
downstairs,O,9
to,O,9
supper,O,9
.,O,9
While,O,10
my,O,10
aunt,O,10
was,O,10
ladling,EVENT,10
out,O,10
my,O,10
stirabout,O,10
he,O,10
said,EVENT,10
",",O,10
as,O,10
if,O,10
returning,O,10
to,O,10
some,O,10
former,O,10
remark,O,10
of,O,10
his,O,10
:,O,10
“,O,10
No,O,10
",",O,10
I,O,10
would,O,10
n’t,O,10
say,O,10
he,O,10
was,O,10
exactly,O,10
...,O,10
but,O,10
there,O,10
was,O,10
something,O,10
queer,O,10
...,O,10
there,O,10
was,O,10
something,O,10
uncanny,O,10
about,O,10
him,O,10
.,O,10
I,O,11
’ll,O,11
tell,O,11
you,O,11
my,O,11
opinion,O,11
....,O,11
”,O,11
He,O,11
began,O,11
to,O,11
puff,EVENT,11
at,O,11
his,O,11
pipe,O,11
",",O,11
no,O,11
doubt,O,11
arranging,O,11
his,O,11
opinion,O,11
in,O,11
his,O,11
mind,O,11
.,O,11
Tiresome,O,12
old,O,12
fool,O,12
!,O,12
When,O,12
we,O,12
knew,O,12
him,O,12
first,O,12
he,O,12
used,O,12
to,O,12
be,O,12
rather,O,12
interesting,O,12
",",O,12
talking,O,12
of,O,12
faints,O,12
and,O,12
worms,O,12
;,O,12
but,O,12
I,O,12
soon,O,12
grew,O,12
tired,O,12
of,O,12
him,O,12
and,O,12
his,O,12
endless,O,12
stories,O,12
about,O,12
the,O,12
distillery,O,12
.,O,12
“,O,13
I,O,13
have,O,13
my,O,13
own,O,13
theory,O,13
about,O,13
it,O,13
",",O,13
”,O,13
he,O,13
said,EVENT,13
.,O,13
“,O,14
I,O,14
think,O,14
it,O,14
was,O,14
one,O,14
of,O,14
those,O,14
...,O,14
peculiar,O,14
cases,O,14
...,O,14
.,O,14
But,O,15
it,O,15
’s,O,15
hard,O,15
to,O,15
say,O,15
....,O,15
”,O,15
He,O,15
began,O,15
to,O,15
puff,EVENT,15
again,O,15
at,O,15
his,O,15
pipe,O,15
without,O,15
giving,O,15
us,O,15
his,O,15
theory,O,15
.,O,15
My,O,16
uncle,O,16
saw,EVENT,16
me,O,16
staring,EVENT,16
and,O,16
said,EVENT,16
to,O,16
me,O,16
:,O,16
“,O,16
Well,O,16
",",O,16
so,O,16
your,O,16
old,O,16
friend,O,16
is,O,16
gone,O,16
",",O,16
you,O,16
’ll,O,16
be,O,16
sorry,O,16
to,O,16
hear,O,16
.,O,16
”,O,17
“,O,17
Who,O,17
?,O,17
”,O,17
said,EVENT,17
I.,O,17
“,O,17
Father,O,17
Flynn,O,17
.,O,17
”,O,18
“,O,18
Is,O,18
he,O,18
dead,O,18
?,O,18
”,O,18
“,O,18
Mr,O,18
Cotter,O,18
here,O,18
has,O,18
just,O,18
told,EVENT,18
us,O,18
.,O,18
He,O,19
was,O,19
passing,EVENT,19
by,O,19
the,O,19
house,O,19
.,O,19
”,O,20
I,O,20
knew,O,20
that,O,20
I,O,20
was,O,20
under,O,20
observation,EVENT,20
so,O,20
I,O,20
continued,O,20
eating,EVENT,20
as,O,20
if,O,20
the,O,20
news,O,20
had,O,20
not,O,20
interested,O,20
me,O,20
.,O,20
My,O,21
uncle,O,21
explained,EVENT,21
to,O,21
old,O,21
Cotter,O,21
.,O,21
“,O,22
The,O,22
youngster,O,22
and,O,22
he,O,22
were,O,22
great,O,22
friends,O,22
.,O,22
The,O,23
old,O,23
chap,O,23
taught,O,23
him,O,23
a,O,23
great,O,23
deal,O,23
",",O,23
mind,O,23
you,O,23
;,O,23
and,O,23
they,O,23
say,O,23
he,O,23
had,O,23
a,O,23
great,O,23
wish,O,23
for,O,23
him,O,23
.,O,23
”,O,24
“,O,24
God,O,24
have,O,24
mercy,O,24
on,O,24
his,O,24
soul,O,24
",",O,24
”,O,24
said,EVENT,24
my,O,24
aunt,O,24
piously,O,24
.,O,24
Old,O,25
Cotter,O,25
looked,EVENT,25
at,O,25
me,O,25
for,O,25
a,O,25
while,O,25
.,O,25
I,O,26
felt,EVENT,26
that,O,26
his,O,26
little,O,26
beady,O,26
black,O,26
eyes,O,26
were,O,26
examining,O,26
me,O,26
but,O,26
I,O,26
would,O,26
not,O,26
satisfy,O,26
him,O,26
by,O,26
looking,O,26
up,O,26
from,O,26
my,O,26
plate,O,26
.,O,26
He,O,27
returned,EVENT,27
to,O,27
his,O,27
pipe,O,27
and,O,27
finally,O,27
spat,EVENT,27
rudely,O,27
into,O,27
the,O,27
grate,O,27
.,O,27
“,O,28
I,O,28
would,O,28
n’t,O,28
like,O,28
children,O,28
of,O,28
mine,O,28
",",O,28
”,O,28
he,O,28
said,EVENT,28
",",O,28
“,O,28
to,O,28
have,O,28
too,O,28
much,O,28
to,O,28
say,O,28
to,O,28
a,O,28
man,O,28
like,O,28
that,O,28
.,O,28
”,O,29
“,O,29
How,O,29
do,O,29
you,O,29
mean,O,29
",",O,29
Mr,O,29
Cotter,O,29
?,O,29
”,O,29
asked,EVENT,29
my,O,29
aunt,O,29
.,O,29
“,O,30
What,O,30
I,O,30
mean,O,30
is,O,30
",",O,30
”,O,30
said,EVENT,30
old,O,30
Cotter,O,30
",",O,30
“,O,30
it,O,30
’s,O,30
bad,O,30
for,O,30
children,O,30
.,O,30
My,O,31
idea,O,31
is,O,31
:,O,31
let,O,31
a,O,31
young,O,31
lad,O,31
run,O,31
about,O,31
and,O,31
play,O,31
with,O,31
young,O,31
lads,O,31
of,O,31
his,O,31
own,O,31
age,O,31
and,O,31
not,O,31
be,O,31
...,O,31
.,O,31
Am,O,32
I,O,32
right,O,32
",",O,32
Jack,O,32
?,O,32
”,O,32
“,O,32
That,O,32
’s,O,32
my,O,32
principle,O,32
",",O,32
too,O,32
",",O,32
”,O,32
said,EVENT,32
my,O,32
uncle,O,32
.,O,32
“,O,33
Let,O,33
him,O,33
learn,O,33
to,O,33
box,O,33
his,O,33
corner,O,33
.,O,33
That,O,34
’s,O,34
what,O,34
I,O,34
’m,O,34
always,O,34
saying,O,34
to,O,34
that,O,34
Rosicrucian,O,34
there,O,34
:,O,34
take,O,34
exercise,O,34
.,O,34
Why,O,35
",",O,35
when,O,35
I,O,35
was,O,35
a,O,35
nipper,O,35
every,O,35
morning,O,35
of,O,35
my,O,35
life,O,35
I,O,35
had,O,35
a,O,35
cold,O,35
bath,O,35
",",O,35
winter,O,35
and,O,35
summer,O,35
.,O,35
