token,label,sentence
Chapter,O,0
1,O,0
.,O,0
Mr.,O,1
Sherlock,O,1
Holmes,O,1
Mr.,O,1
Sherlock,O,1
Holmes,O,1
",",O,1
who,O,1
was,O,1
usually,O,1
very,O,1
late,O,1
in,O,1
the,O,1
mornings,O,1
",",O,1
save,O,1
upon,O,1
those,O,1
not,O,1
infrequent,O,1
occasions,O,1
when,O,1
he,O,1
was,O,1
up,O,1
all,O,1
night,O,1
",",O,1
was,O,1
seated,O,1
at,O,1
the,O,1
breakfast,O,1
table,O,1
.,O,1
I,O,2
stood,O,2
upon,O,2
the,O,2
hearth-rug,O,2
and,O,2
picked,EVENT,2
up,O,2
the,O,2
stick,O,2
which,O,2
our,O,2
visitor,O,2
had,O,2
left,EVENT,2
behind,O,2
him,O,2
the,O,2
night,O,2
before,O,2
.,O,2
It,O,3
was,O,3
a,O,3
fine,O,3
",",O,3
thick,O,3
piece,O,3
of,O,3
wood,O,3
",",O,3
bulbous-headed,O,3
",",O,3
of,O,3
the,O,3
sort,O,3
which,O,3
is,O,3
known,O,3
as,O,3
a,O,3
“,O,3
Penang,O,3
lawyer,O,3
.,O,3
”,O,4
Just,O,4
under,O,4
the,O,4
head,O,4
was,O,4
a,O,4
broad,O,4
silver,O,4
band,O,4
nearly,O,4
an,O,4
inch,O,4
across,O,4
.,O,4
“,O,5
To,O,5
James,O,5
Mortimer,O,5
",",O,5
M.R.C.S.,O,5
",",O,5
from,O,5
his,O,5
friends,O,5
of,O,5
the,O,5
C.C.H.,O,5
",",O,5
”,O,5
was,O,5
engraved,O,5
upon,O,5
it,O,5
",",O,5
with,O,5
the,O,5
date,O,5
“,O,5
1884,O,5
.,O,5
”,O,6
It,O,6
was,O,6
just,O,6
such,O,6
a,O,6
stick,O,6
as,O,6
the,O,6
old-fashioned,O,6
family,O,6
practitioner,O,6
used,O,6
to,O,6
carry,O,6
--,O,6
dignified,O,6
",",O,6
solid,O,6
",",O,6
and,O,6
reassuring,O,6
.,O,6
“,O,7
Well,O,7
",",O,7
Watson,O,7
",",O,7
what,O,7
do,O,7
you,O,7
make,O,7
of,O,7
it,O,7
?,O,7
”,O,7
Holmes,O,7
was,O,7
sitting,O,7
with,O,7
his,O,7
back,O,7
to,O,7
me,O,7
",",O,7
and,O,7
I,O,7
had,O,7
given,O,7
him,O,7
no,O,7
sign,O,7
of,O,7
my,O,7
occupation,EVENT,7
.,O,7
“,O,8
How,O,8
did,O,8
you,O,8
know,O,8
what,O,8
I,O,8
was,O,8
doing,O,8
?,O,8
I,O,8
believe,O,8
you,O,8
have,O,8
eyes,O,8
in,O,8
the,O,8
back,O,8
of,O,8
your,O,8
head,O,8
.,O,8
”,O,9
“,O,9
I,O,9
have,O,9
",",O,9
at,O,9
least,O,9
",",O,9
a,O,9
well-polished,O,9
",",O,9
silver-plated,O,9
coffee-pot,O,9
in,O,9
front,O,9
of,O,9
me,O,9
",",O,9
”,O,9
said,EVENT,9
he,O,9
.,O,9
“,O,10
But,O,10
",",O,10
tell,O,10
me,O,10
",",O,10
Watson,O,10
",",O,10
what,O,10
do,O,10
you,O,10
make,O,10
of,O,10
our,O,10
visitor,O,10
’s,O,10
stick,O,10
?,O,10
Since,O,10
we,O,10
have,O,10
been,O,10
so,O,10
unfortunate,O,10
as,O,10
to,O,10
miss,EVENT,10
him,O,10
and,O,10
have,O,10
no,O,10
notion,O,10
of,O,10
his,O,10
errand,EVENT,10
",",O,10
this,O,10
accidental,O,10
souvenir,O,10
becomes,EVENT,10
of,O,10
importance,O,10
.,O,10
Let,O,11
me,O,11
hear,O,11
you,O,11
reconstruct,O,11
the,O,11
man,O,11
by,O,11
an,O,11
examination,O,11
of,O,11
it,O,11
.,O,11
”,O,12
“,O,12
I,O,12
think,O,12
",",O,12
”,O,12
said,EVENT,12
I,O,12
",",O,12
following,EVENT,12
as,O,12
far,O,12
as,O,12
I,O,12
could,O,12
the,O,12
methods,O,12
of,O,12
my,O,12
companion,O,12
",",O,12
“,O,12
that,O,12
Dr.,O,12
Mortimer,O,12
is,O,12
a,O,12
successful,O,12
",",O,12
elderly,O,12
medical,O,12
man,O,12
",",O,12
well-esteemed,O,12
since,O,12
those,O,12
who,O,12
know,O,12
him,O,12
give,O,12
him,O,12
this,O,12
mark,O,12
of,O,12
their,O,12
appreciation,O,12
.,O,12
”,O,13
“,O,13
Good,O,13
!,O,13
”,O,13
said,EVENT,13
Holmes,O,13
.,O,13
“,O,14
Excellent,O,14
!,O,14
”,O,14
“,O,14
I,O,14
think,O,14
also,O,14
that,O,14
the,O,14
probability,O,14
is,O,14
in,O,14
favour,O,14
of,O,14
his,O,14
being,O,14
a,O,14
country,O,14
practitioner,O,14
who,O,14
does,O,14
a,O,14
great,O,14
deal,O,14
of,O,14
his,O,14
visiting,O,14
on,O,14
foot,O,14
.,O,14
”,O,15
“,O,15
Why,O,15
so,O,15
?,O,15
”,O,15
“,O,15
Because,O,15
this,O,15
stick,O,15
",",O,15
though,O,15
originally,O,15
a,O,15
very,O,15
handsome,O,15
one,O,15
has,O,15
been,O,15
so,O,15
knocked,O,15
about,O,15
that,O,15
I,O,15
can,O,15
hardly,O,15
imagine,O,15
a,O,15
town,O,15
practitioner,O,15
carrying,O,15
it,O,15
.,O,15
The,O,16
thick-iron,O,16
ferrule,O,16
is,O,16
worn,O,16
down,O,16
",",O,16
so,O,16
it,O,16
is,O,16
evident,O,16
that,O,16
he,O,16
has,O,16
done,O,16
a,O,16
great,O,16
amount,O,16
of,O,16
walking,O,16
with,O,16
it,O,16
.,O,16
”,O,17
“,O,17
Perfectly,O,17
sound,O,17
!,O,17
”,O,17
said,EVENT,17
Holmes,O,17
.,O,17
“,O,18
And,O,18
then,O,18
again,O,18
",",O,18
there,O,18
is,O,18
the,O,18
‘,O,18
friends,O,18
of,O,18
the,O,18
C.C.H.,O,18
’,O,18
I,O,18
should,O,18
guess,O,18
that,O,18
to,O,18
be,O,18
the,O,18
Something,O,18
Hunt,O,18
",",O,18
the,O,18
local,O,18
hunt,O,18
to,O,18
whose,O,18
members,O,18
he,O,18
has,O,18
possibly,O,18
given,O,18
some,O,18
surgical,O,18
assistance,O,18
",",O,18
and,O,18
which,O,18
has,O,18
made,O,18
him,O,18
a,O,18
small,O,18
presentation,O,18
in,O,18
return,O,18
.,O,18
”,O,19
“,O,19
Really,O,19
",",O,19
Watson,O,19
",",O,19
you,O,19
excel,EVENT,19
yourself,O,19
",",O,19
”,O,19
said,EVENT,19
Holmes,O,19
",",O,19
pushing,EVENT,19
back,O,19
his,O,19
chair,O,19
and,O,19
lighting,EVENT,19
a,O,19
cigarette,O,19
.,O,19
“,O,20
I,O,20
am,O,20
bound,O,20
to,O,20
say,EVENT,20
that,O,20
in,O,20
all,O,20
the,O,20
accounts,O,20
which,O,20
you,O,20
have,O,20
been,O,20
so,O,20
good,O,20
as,O,20
to,O,20
give,O,20
of,O,20
my,O,20
own,O,20
small,O,20
achievements,O,20
you,O,20
have,O,20
habitually,O,20
underrated,O,20
your,O,20
own,O,20
abilities,O,20
.,O,20
It,O,21
may,O,21
be,O,21
that,O,21
you,O,21
are,O,21
not,O,21
yourself,O,21
luminous,O,21
",",O,21
but,O,21
you,O,21
are,O,21
a,O,21
conductor,O,21
of,O,21
light,O,21
.,O,21
Some,O,22
people,O,22
without,O,22
possessing,O,22
genius,O,22
have,O,22
a,O,22
remarkable,O,22
power,O,22
of,O,22
stimulating,O,22
it,O,22
.,O,22
I,O,23
confess,EVENT,23
",",O,23
my,O,23
dear,O,23
fellow,O,23
",",O,23
that,O,23
I,O,23
am,O,23
very,O,23
much,O,23
in,O,23
your,O,23
debt,O,23
.,O,23
”,O,24
He,O,24
had,O,24
never,O,24
said,O,24
as,O,24
much,O,24
before,O,24
",",O,24
and,O,24
I,O,24
must,O,24
admit,EVENT,24
that,O,24
his,O,24
words,EVENT,24
gave,O,24
me,O,24
keen,O,24
pleasure,EVENT,24
",",O,24
for,O,24
I,O,24
had,O,24
often,O,24
been,O,24
piqued,O,24
by,O,24
his,O,24
indifference,O,24
to,O,24
my,O,24
admiration,O,24
and,O,24
to,O,24
the,O,24
attempts,O,24
which,O,24
I,O,24
had,O,24
made,O,24
to,O,24
give,O,24
publicity,O,24
to,O,24
his,O,24
methods,O,24
.,O,24
I,O,25
was,O,25
proud,O,25
",",O,25
too,O,25
",",O,25
to,O,25
think,O,25
that,O,25
I,O,25
had,O,25
so,O,25
far,O,25
mastered,EVENT,25
his,O,25
system,O,25
as,O,25
to,O,25
apply,EVENT,25
it,O,25
in,O,25
a,O,25
way,O,25
which,O,25
earned,EVENT,25
his,O,25
approval,O,25
.,O,25
He,O,26
now,O,26
took,EVENT,26
the,O,26
stick,O,26
from,O,26
my,O,26
hands,O,26
and,O,26
examined,EVENT,26
it,O,26
for,O,26
a,O,26
few,O,26
minutes,O,26
with,O,26
his,O,26
naked,O,26
eyes,O,26
.,O,26
Then,O,27
with,O,27
an,O,27
expression,EVENT,27
of,O,27
interest,O,27
he,O,27
laid,EVENT,27
down,O,27
his,O,27
cigarette,O,27
",",O,27
and,O,27
carrying,EVENT,27
the,O,27
cane,O,27
to,O,27
the,O,27
window,O,27
",",O,27
he,O,27
looked,EVENT,27
over,O,27
it,O,27
again,O,27
with,O,27
a,O,27
convex,O,27
lens,O,27
.,O,27
“,O,28
Interesting,O,28
",",O,28
though,O,28
elementary,O,28
",",O,28
”,O,28
said,EVENT,28
he,O,28
as,O,28
he,O,28
returned,EVENT,28
to,O,28
his,O,28
favourite,O,28
corner,O,28
of,O,28
the,O,28
settee,O,28
.,O,28
“,O,29
There,O,29
are,O,29
certainly,O,29
one,O,29
or,O,29
two,O,29
indications,O,29
upon,O,29
the,O,29
stick,O,29
.,O,29
It,O,30
gives,O,30
us,O,30
the,O,30
basis,O,30
for,O,30
several,O,30
deductions,O,30
.,O,30
”,O,31
“,O,31
Has,O,31
anything,O,31
escaped,O,31
me,O,31
?,O,31
”,O,31
I,O,31
asked,EVENT,31
with,O,31
some,O,31
self-importance,O,31
.,O,31
“,O,32
I,O,32
trust,O,32
that,O,32
there,O,32
