token,label,sentence
CHAPTER,O,0
1,O,0
.,O,0
A,O,1
Not,O,1
Unnatural,O,1
Enterprise,O,1
This,O,1
is,O,1
written,EVENT,1
from,O,1
memory,O,1
",",O,1
unfortunately,O,1
.,O,1
If,O,2
I,O,2
could,O,2
have,O,2
brought,O,2
with,O,2
me,O,2
the,O,2
material,O,2
I,O,2
so,O,2
carefully,O,2
prepared,O,2
",",O,2
this,O,2
would,O,2
be,O,2
a,O,2
very,O,2
different,O,2
story,O,2
.,O,2
Whole,O,3
books,O,3
full,O,3
of,O,3
notes,O,3
",",O,3
carefully,O,3
copied,O,3
records,O,3
",",O,3
firsthand,O,3
descriptions,O,3
",",O,3
and,O,3
the,O,3
pictures,O,3
--,O,3
that,O,3
’s,O,3
the,O,3
worst,O,3
loss,O,3
.,O,3
We,O,4
had,O,4
some,O,4
bird,O,4
’s,O,4
-,O,4
eyes,O,4
of,O,4
the,O,4
cities,O,4
and,O,4
parks,O,4
;,O,4
a,O,4
lot,O,4
of,O,4
lovely,O,4
views,O,4
of,O,4
streets,O,4
",",O,4
of,O,4
buildings,O,4
",",O,4
outside,O,4
and,O,4
in,O,4
",",O,4
and,O,4
some,O,4
of,O,4
those,O,4
gorgeous,O,4
gardens,O,4
",",O,4
and,O,4
",",O,4
most,O,4
important,O,4
of,O,4
all,O,4
",",O,4
of,O,4
the,O,4
women,O,4
themselves,O,4
.,O,4
Nobody,O,5
will,O,5
ever,O,5
believe,O,5
how,O,5
they,O,5
looked,O,5
.,O,5
Descriptions,O,6
are,O,6
n’t,O,6
any,O,6
good,O,6
when,O,6
it,O,6
comes,O,6
to,O,6
women,O,6
",",O,6
and,O,6
I,O,6
never,O,6
was,O,6
good,O,6
at,O,6
descriptions,O,6
anyhow,O,6
.,O,6
But,O,7
it,O,7
’s,O,7
got,O,7
to,O,7
be,O,7
done,O,7
somehow,O,7
;,O,7
the,O,7
rest,O,7
of,O,7
the,O,7
world,O,7
needs,O,7
to,O,7
know,O,7
about,O,7
that,O,7
country,O,7
.,O,7
I,O,8
have,O,8
n’t,O,8
said,O,8
where,O,8
it,O,8
was,O,8
for,O,8
fear,O,8
some,O,8
self-appointed,O,8
missionaries,O,8
",",O,8
or,O,8
traders,O,8
",",O,8
or,O,8
land-greedy,O,8
expansionists,O,8
",",O,8
will,O,8
take,O,8
it,O,8
upon,O,8
themselves,O,8
to,O,8
push,O,8
in,O,8
.,O,8
They,O,9
will,O,9
not,O,9
be,O,9
wanted,O,9
",",O,9
I,O,9
can,O,9
tell,O,9
them,O,9
that,O,9
",",O,9
and,O,9
will,O,9
fare,O,9
worse,O,9
than,O,9
we,O,9
did,O,9
if,O,9
they,O,9
do,O,9
find,O,9
it,O,9
.,O,9
It,O,10
began,O,10
this,O,10
way,O,10
.,O,10
There,O,11
were,O,11
three,O,11
of,O,11
us,O,11
",",O,11
classmates,O,11
and,O,11
friends,O,11
--,O,11
Terry,O,11
O.,O,11
Nicholson,O,11
(,O,11
we,O,11
used,O,11
to,O,11
call,O,11
him,O,11
the,O,11
Old,O,11
Nick,O,11
",",O,11
with,O,11
good,O,11
reason,O,11
),O,11
",",O,11
Jeff,O,11
Margrave,O,11
",",O,11
and,O,11
I,O,11
",",O,11
Vandyck,O,11
Jennings,O,11
.,O,11
We,O,12
had,O,12
known,O,12
each,O,12
other,O,12
years,O,12
and,O,12
years,O,12
",",O,12
and,O,12
in,O,12
spite,O,12
of,O,12
our,O,12
differences,O,12
we,O,12
had,O,12
a,O,12
good,O,12
deal,O,12
in,O,12
common,O,12
.,O,12
All,O,13
of,O,13
us,O,13
were,O,13
interested,O,13
in,O,13
science,O,13
.,O,13
Terry,O,14
was,O,14
rich,O,14
enough,O,14
to,O,14
do,O,14
as,O,14
he,O,14
pleased,O,14
.,O,14
His,O,15
great,O,15
aim,O,15
was,O,15
exploration,O,15
.,O,15
He,O,16
used,O,16
to,O,16
make,O,16
all,O,16
kinds,O,16
of,O,16
a,O,16
row,O,16
because,O,16
there,O,16
was,O,16
nothing,O,16
left,O,16
to,O,16
explore,O,16
now,O,16
",",O,16
only,O,16
patchwork,O,16
and,O,16
filling,O,16
in,O,16
",",O,16
he,O,16
said,O,16
.,O,16
He,O,17
filled,O,17
in,O,17
well,O,17
enough,O,17
--,O,17
he,O,17
had,O,17
a,O,17
lot,O,17
of,O,17
talents,O,17
--,O,17
great,O,17
on,O,17
mechanics,O,17
and,O,17
electricity,O,17
.,O,17
Had,O,18
all,O,18
kinds,O,18
of,O,18
boats,O,18
and,O,18
motorcars,O,18
",",O,18
and,O,18
was,O,18
one,O,18
of,O,18
the,O,18
best,O,18
of,O,18
our,O,18
airmen,O,18
.,O,18
We,O,19
never,O,19
could,O,19
have,O,19
done,O,19
the,O,19
thing,O,19
at,O,19
all,O,19
without,O,19
Terry,O,19
.,O,19
Jeff,O,20
Margrave,O,20
was,O,20
born,EVENT,20
to,O,20
be,O,20
a,O,20
poet,O,20
",",O,20
a,O,20
botanist,O,20
--,O,20
or,O,20
both,O,20
--,O,20
but,O,20
his,O,20
folks,O,20
persuaded,EVENT,20
him,O,20
to,O,20
be,O,20
a,O,20
doctor,O,20
instead,O,20
.,O,20
He,O,21
was,O,21
a,O,21
good,O,21
one,O,21
",",O,21
for,O,21
his,O,21
age,O,21
",",O,21
but,O,21
his,O,21
real,O,21
interest,O,21
was,O,21
in,O,21
what,O,21
he,O,21
loved,O,21
to,O,21
call,O,21
“,O,21
the,O,21
wonders,O,21
of,O,21
science,O,21
.,O,21
”,O,22
As,O,22
for,O,22
me,O,22
",",O,22
sociology,O,22
’s,O,22
my,O,22
major,O,22
.,O,22
You,O,23
have,O,23
to,O,23
back,O,23
that,O,23
up,O,23
with,O,23
a,O,23
lot,O,23
of,O,23
other,O,23
sciences,O,23
",",O,23
of,O,23
course,O,23
.,O,23
I,O,24
’m,O,24
interested,O,24
in,O,24
them,O,24
all,O,24
.,O,24
Terry,O,25
was,O,25
strong,O,25
on,O,25
facts,O,25
--,O,25
geography,O,25
and,O,25
meteorology,O,25
and,O,25
those,O,25
;,O,25
Jeff,O,25
could,O,25
beat,O,25
him,O,25
any,O,25
time,O,25
on,O,25
biology,O,25
",",O,25
and,O,25
I,O,25
did,O,25
n’t,O,25
care,O,25
what,O,25
it,O,25
was,O,25
they,O,25
talked,O,25
about,O,25
",",O,25
so,O,25
long,O,25
as,O,25
it,O,25
connected,O,25
with,O,25
human,O,25
life,O,25
",",O,25
somehow,O,25
.,O,25
There,O,26
are,O,26
few,O,26
things,O,26
that,O,26
do,O,26
n’t,O,26
.,O,26
We,O,27
three,O,27
had,O,27
a,O,27
chance,O,27
to,O,27
join,O,27
a,O,27
big,O,27
scientific,O,27
expedition,O,27
.,O,27
They,O,28
needed,O,28
a,O,28
doctor,O,28
",",O,28
and,O,28
that,O,28
gave,O,28
Jeff,O,28
an,O,28
excuse,EVENT,28
for,O,28
dropping,EVENT,28
his,O,28
just,O,28
opening,EVENT,28
practice,O,28
;,O,28
they,O,28
needed,O,28
Terry,O,28
’s,O,28
experience,O,28
",",O,28
his,O,28
machine,O,28
",",O,28
and,O,28
his,O,28
money,O,28
;,O,28
and,O,28
as,O,28
for,O,28
me,O,28
",",O,28
I,O,28
got,O,28
in,O,28
through,O,28
Terry,O,28
’s,O,28
influence,O,28
.,O,28
The,O,29
expedition,EVENT,29
was,O,29
up,O,29
among,O,29
the,O,29
thousand,O,29
tributaries,O,29
and,O,29
enormous,O,29
hinterland,O,29
of,O,29
a,O,29
great,O,29
river,O,29
",",O,29
up,O,29
where,O,29
the,O,29
maps,O,29
had,O,29
to,O,29
be,O,29
made,O,29
",",O,29
savage,O,29
dialects,O,29
studied,O,29
",",O,29
and,O,29
all,O,29
manner,O,29
of,O,29
strange,O,29
flora,O,29
and,O,29
fauna,O,29
expected,O,29
.,O,29
But,O,30
this,O,30
story,O,30
is,O,30
not,O,30
about,O,30
that,O,30
expedition,EVENT,30
.,O,30
That,O,31
was,O,31
only,O,31
the,O,31
merest,O,31
starter,O,31
for,O,31
ours,O,31
.,O,31
My,O,32
interest,EVENT,32
was,O,32
first,O,32
roused,O,32
by,O,32
talk,O,32
among,O,32
our,O,32
guides,O,32
.,O,32
I,O,33
’m,O,33
quick,O,33
at,O,33
languages,O,33
",",O,33
know,O,33
a,O,33
good,O,33
many,O,33
",",O,33
and,O,33
pick,O,33
them,O,33
up,O,33
readily,O,33
.,O,33
What,O,34
with,O,34
that,O,34
and,O,34
a,O,34
really,O,34
good,O,34
interpreter,O,34
we,O,34
took,EVENT,34
with,O,34
us,O,34
",",O,34
I,O,34
made,EVENT,34
out,O,34
quite,O,34
a,O,34
few,O,34
legends,O,34
and,O,34
folk,O,34
myths,O,34
of,O,34
these,O,34
scattered,O,34
tribes,O,34
.,O,34
And,O,35
as,O,35
we,O,35
got,EVENT,35
farther,O,35
and,O,35
farther,O,35
upstream,O,35
",",O,35
in,O,35
a,O,35
dark,O,35
tangle,O,35
of,O,35
rivers,O,35
",",O,35
lakes,O,35
",",O,35
morasses,O,35
",",O,35
and,O,35
dense,O,35
forests,O,35
",",O,35
with,O,35
here,O,35
and,O,35
there,O,35
an,O,35
unexpected,O,35
long,O,35
spur,O,35
running,O,35
out,O,35
from,O,35
the,O,35
big,O,35
mountains,O,35
beyond,O,35
",",O,35
I,O,35
noticed,EVENT,35
that,O,35
more,O,35
and,O,35
more,O,35
of,O,35
these,O,35
savages,O,35
had,O,35
a,O,35
story,O,35
about,O,35
a,O,35
strange,O,35
and,O,35
terrible,O,35
Woman,O,35
Land,O,35
in,O,35
the,O,35
high,O,35
distance,O,35
.,O,35
“,O,36
Up,O,36
yonder,O,36
",",O,36
”,O,36
“,O,36
Over,O,36
there,O,36
",",O,36
”,O,36
“,O,36
Way,O,36
up,O,36
”,O,36
--,O,36
was,O,36
all,O,36
the,O,36
direction,O,36
they,O,36
could,O,36
offer,O,36
",",O,36
but,O,36
their,O,36
legends,O,36
all,O,36
agreed,O,36
on,O,36
the,O,36
main,O,36
point,O,36
--,O,36
that,O,36
there,O,36
was,O,36
this,O,36
strange,O,36
country,O,36
