token,label,sentence
THE,O,0
SCARLET,O,0
LETTER,O,0
I,O,0
.,O,0
THE,O,1
PRISON,O,1
DOOR,O,1
A,O,1
throng,O,1
of,O,1
bearded,O,1
men,O,1
",",O,1
in,O,1
sad-coloured,O,1
garments,O,1
and,O,1
grey,O,1
steeple-crowned,O,1
hats,O,1
",",O,1
inter-mixed,O,1
with,O,1
women,O,1
",",O,1
some,O,1
wearing,O,1
hoods,O,1
",",O,1
and,O,1
others,O,1
bareheaded,O,1
",",O,1
was,O,1
assembled,EVENT,1
in,O,1
front,O,1
of,O,1
a,O,1
wooden,O,1
edifice,O,1
",",O,1
the,O,1
door,O,1
of,O,1
which,O,1
was,O,1
heavily,O,1
timbered,O,1
with,O,1
oak,O,1
",",O,1
and,O,1
studded,O,1
with,O,1
iron,O,1
spikes,O,1
.,O,1
The,O,2
founders,O,2
of,O,2
a,O,2
new,O,2
colony,O,2
",",O,2
whatever,O,2
Utopia,O,2
of,O,2
human,O,2
virtue,O,2
and,O,2
happiness,O,2
they,O,2
might,O,2
originally,O,2
project,O,2
",",O,2
have,O,2
invariably,O,2
recognised,O,2
it,O,2
among,O,2
their,O,2
earliest,O,2
practical,O,2
necessities,O,2
to,O,2
allot,O,2
a,O,2
portion,O,2
of,O,2
the,O,2
virgin,O,2
soil,O,2
as,O,2
a,O,2
cemetery,O,2
",",O,2
and,O,2
another,O,2
portion,O,2
as,O,2
the,O,2
site,O,2
of,O,2
a,O,2
prison,O,2
.,O,2
In,O,3
accordance,O,3
with,O,3
this,O,3
rule,O,3
it,O,3
may,O,3
safely,O,3
be,O,3
assumed,O,3
that,O,3
the,O,3
forefathers,O,3
of,O,3
Boston,O,3
had,O,3
built,O,3
the,O,3
first,O,3
prison-house,O,3
somewhere,O,3
in,O,3
the,O,3
Vicinity,O,3
of,O,3
Cornhill,O,3
",",O,3
almost,O,3
as,O,3
seasonably,O,3
as,O,3
they,O,3
marked,EVENT,3
out,O,3
the,O,3
first,O,3
burial-ground,O,3
",",O,3
on,O,3
Isaac,O,3
Johnson,O,3
's,O,3
lot,O,3
",",O,3
and,O,3
round,O,3
about,O,3
his,O,3
grave,O,3
",",O,3
which,O,3
subsequently,O,3
became,O,3
the,O,3
nucleus,O,3
of,O,3
all,O,3
the,O,3
congregated,O,3
sepulchres,O,3
in,O,3
the,O,3
old,O,3
churchyard,O,3
of,O,3
King,O,3
's,O,3
Chapel,O,3
.,O,3
Certain,O,4
it,O,4
is,O,4
that,O,4
",",O,4
some,O,4
fifteen,O,4
or,O,4
twenty,O,4
years,O,4
after,O,4
the,O,4
settlement,EVENT,4
of,O,4
the,O,4
town,O,4
",",O,4
the,O,4
wooden,O,4
jail,O,4
was,O,4
already,O,4
marked,EVENT,4
with,O,4
weather-stains,O,4
and,O,4
other,O,4
indications,O,4
of,O,4
age,O,4
",",O,4
which,O,4
gave,O,4
a,O,4
yet,O,4
darker,O,4
aspect,O,4
to,O,4
its,O,4
beetle-browed,O,4
and,O,4
gloomy,O,4
front,O,4
.,O,4
The,O,5
rust,O,5
on,O,5
the,O,5
ponderous,O,5
iron-work,O,5
of,O,5
its,O,5
oaken,O,5
door,O,5
looked,O,5
more,O,5
antique,O,5
than,O,5
anything,O,5
else,O,5
in,O,5
the,O,5
New,O,5
World,O,5
.,O,5
Like,O,6
all,O,6
that,O,6
pertains,O,6
to,O,6
crime,O,6
",",O,6
it,O,6
seemed,O,6
never,O,6
to,O,6
have,O,6
known,O,6
a,O,6
youthful,O,6
era,O,6
.,O,6
Before,O,7
this,O,7
ugly,O,7
edifice,O,7
",",O,7
and,O,7
between,O,7
it,O,7
and,O,7
the,O,7
wheel-track,O,7
of,O,7
the,O,7
street,O,7
",",O,7
was,O,7
a,O,7
grass-plot,O,7
",",O,7
much,O,7
overgrown,O,7
with,O,7
burdock,O,7
",",O,7
pig-weed,O,7
",",O,7
apple-pern,O,7
",",O,7
and,O,7
such,O,7
unsightly,O,7
vegetation,O,7
",",O,7
which,O,7
evidently,O,7
found,O,7
something,O,7
congenial,O,7
in,O,7
the,O,7
soil,O,7
that,O,7
had,O,7
so,O,7
early,O,7
borne,EVENT,7
the,O,7
black,O,7
flower,O,7
of,O,7
civilised,O,7
society,O,7
",",O,7
a,O,7
prison,O,7
.,O,7
But,O,8
on,O,8
one,O,8
side,O,8
of,O,8
the,O,8
portal,O,8
",",O,8
and,O,8
rooted,O,8
almost,O,8
at,O,8
the,O,8
threshold,O,8
",",O,8
was,O,8
a,O,8
wild,O,8
rose-bush,O,8
",",O,8
covered,O,8
",",O,8
in,O,8
this,O,8
month,O,8
of,O,8
June,O,8
",",O,8
with,O,8
its,O,8
delicate,O,8
gems,O,8
",",O,8
which,O,8
might,O,8
be,O,8
imagined,O,8
to,O,8
offer,O,8
their,O,8
fragrance,O,8
and,O,8
fragile,O,8
beauty,O,8
to,O,8
the,O,8
prisoner,O,8
as,O,8
he,O,8
went,O,8
in,O,8
",",O,8
and,O,8
to,O,8
the,O,8
condemned,O,8
criminal,O,8
as,O,8
he,O,8
came,O,8
forth,O,8
to,O,8
his,O,8
doom,O,8
",",O,8
in,O,8
token,O,8
that,O,8
the,O,8
deep,O,8
heart,O,8
of,O,8
Nature,O,8
could,O,8
pity,O,8
and,O,8
be,O,8
kind,O,8
to,O,8
him,O,8
.,O,8
This,O,9
rose-bush,O,9
",",O,9
by,O,9
a,O,9
strange,O,9
chance,O,9
",",O,9
has,O,9
been,O,9
kept,O,9
alive,O,9
in,O,9
history,O,9
;,O,9
but,O,9
whether,O,9
it,O,9
had,O,9
merely,O,9
survived,O,9
out,O,9
of,O,9
the,O,9
stern,O,9
old,O,9
wilderness,O,9
",",O,9
so,O,9
long,O,9
after,O,9
the,O,9
fall,O,9
of,O,9
the,O,9
gigantic,O,9
pines,O,9
and,O,9
oaks,O,9
that,O,9
originally,O,9
overshadowed,O,9
it,O,9
",",O,9
or,O,9
whether,O,9
",",O,9
as,O,9
there,O,9
is,O,9
fair,O,9
authority,O,9
for,O,9
believing,O,9
",",O,9
it,O,9
had,O,9
sprung,O,9
up,O,9
under,O,9
the,O,9
footsteps,O,9
of,O,9
the,O,9
sainted,O,9
Ann,O,9
Hutchinson,O,9
as,O,9
she,O,9
entered,O,9
the,O,9
prison-door,O,9
",",O,9
we,O,9
shall,O,9
not,O,9
take,O,9
upon,O,9
us,O,9
