token,label,sentence
CHAPTER,O,0
I,O,0
JONATHAN,O,0
HARKER,O,0
'S,O,0
JOURNAL,O,0
(,O,0
_,O,0
Kept,O,0
in,O,0
shorthand,O,0
.,O,0
_,O,1
),O,1
_,O,1
3,O,1
May,O,1
.,O,1
Bistritz,O,2
.,O,2
_,O,3
--,O,3
Left,EVENT,3
Munich,O,3
at,O,3
8:35,O,3
P.,O,3
M.,O,3
",",O,3
on,O,3
1st,O,3
May,O,3
",",O,3
arriving,O,3
at,O,3
Vienna,O,3
early,O,3
next,O,3
morning,O,3
;,O,3
should,O,3
have,O,3
arrived,O,3
at,O,3
6:46,O,3
",",O,3
but,O,3
train,O,3
was,O,3
an,O,3
hour,O,3
late,O,3
.,O,3
Buda-Pesth,O,4
seems,O,4
a,O,4
wonderful,O,4
place,O,4
",",O,4
from,O,4
the,O,4
glimpse,EVENT,4
which,O,4
I,O,4
got,O,4
of,O,4
it,O,4
from,O,4
the,O,4
train,O,4
and,O,4
the,O,4
little,O,4
I,O,4
could,O,4
walk,EVENT,4
through,O,4
the,O,4
streets,O,4
.,O,4
I,O,5
feared,O,5
to,O,5
go,O,5
very,O,5
far,O,5
from,O,5
the,O,5
station,O,5
",",O,5
as,O,5
we,O,5
had,O,5
arrived,EVENT,5
late,O,5
and,O,5
would,O,5
start,O,5
as,O,5
near,O,5
the,O,5
correct,O,5
time,O,5
as,O,5
possible,O,5
.,O,5
The,O,6
impression,EVENT,6
I,O,6
had,O,6
was,O,6
that,O,6
we,O,6
were,O,6
leaving,O,6
the,O,6
West,O,6
and,O,6
entering,O,6
the,O,6
East,O,6
;,O,6
the,O,6
most,O,6
western,O,6
of,O,6
splendid,O,6
bridges,O,6
over,O,6
the,O,6
Danube,O,6
",",O,6
which,O,6
is,O,6
here,O,6
of,O,6
noble,O,6
width,O,6
and,O,6
depth,O,6
",",O,6
took,EVENT,6
us,O,6
among,O,6
the,O,6
traditions,O,6
of,O,6
Turkish,O,6
rule,O,6
.,O,6
We,O,7
left,EVENT,7
in,O,7
pretty,O,7
good,O,7
time,O,7
",",O,7
and,O,7
came,EVENT,7
after,O,7
nightfall,O,7
to,O,7
Klausenburgh,O,7
.,O,7
Here,O,8
I,O,8
stopped,EVENT,8
for,O,8
the,O,8
night,O,8
at,O,8
the,O,8
Hotel,O,8
Royale,O,8
.,O,8
I,O,9
had,O,9
for,O,9
dinner,EVENT,9
",",O,9
or,O,9
rather,O,9
supper,EVENT,9
",",O,9
a,O,9
chicken,O,9
done,O,9
up,O,9
some,O,9
way,O,9
with,O,9
red,O,9
pepper,O,9
",",O,9
which,O,9
was,O,9
very,O,9
good,O,9
but,O,9
thirsty,O,9
.,O,9
(,O,10
_,O,10
Mem,O,10
.,O,10
_,O,11
",",O,11
get,O,11
recipe,O,11
for,O,11
Mina,O,11
.,O,11
),O,12
I,O,12
asked,EVENT,12
the,O,12
waiter,O,12
",",O,12
and,O,12
he,O,12
said,EVENT,12
it,O,12
was,O,12
called,O,12
and,O,12
that,O,12
",",O,12
as,O,12
it,O,12
was,O,12
a,O,12
national,O,12
dish,O,12
",",O,12
I,O,12
should,O,12
be,O,12
able,O,12
to,O,12
get,O,12
it,O,12
anywhere,O,12
along,O,12
the,O,12
Carpathians,O,12
.,O,12
I,O,13
found,EVENT,13
my,O,13
smattering,O,13
of,O,13
German,O,13
very,O,13
useful,O,13
here,O,13
;,O,13
indeed,O,13
",",O,13
I,O,13
do,O,13
n't,O,13
know,O,13
how,O,13
I,O,13
should,O,13
be,O,13
able,O,13
to,O,13
get,O,13
on,O,13
without,O,13
it,O,13
.,O,13
Having,O,14
had,O,14
some,O,14
time,O,14
at,O,14
my,O,14
disposal,O,14
when,O,14
in,O,14
London,O,14
",",O,14
I,O,14
had,O,14
visited,EVENT,14
the,O,14
British,O,14
Museum,O,14
",",O,14
and,O,14
made,O,14
search,EVENT,14
among,O,14
the,O,14
books,O,14
and,O,14
