token,label,sentence
I,O,0
The,O,0
day,O,0
broke,EVENT,0
gray,O,0
and,O,0
dull,O,0
.,O,0
The,O,1
clouds,O,1
hung,O,1
heavily,O,1
",",O,1
and,O,1
there,O,1
was,O,1
a,O,1
rawness,O,1
in,O,1
the,O,1
air,O,1
that,O,1
suggested,O,1
snow,O,1
.,O,1
A,O,2
woman,O,2
servant,O,2
came,EVENT,2
into,O,2
a,O,2
room,O,2
in,O,2
which,O,2
a,O,2
child,O,2
was,O,2
sleeping,O,2
and,O,2
drew,EVENT,2
the,O,2
curtains,O,2
.,O,2
She,O,3
glanced,EVENT,3
mechanically,O,3
at,O,3
the,O,3
house,O,3
opposite,O,3
",",O,3
a,O,3
stucco,O,3
house,O,3
with,O,3
a,O,3
portico,O,3
",",O,3
and,O,3
went,EVENT,3
to,O,3
the,O,3
child,O,3
's,O,3
bed,O,3
.,O,3
she,O,4
said,EVENT,4
.,O,4
She,O,5
pulled,EVENT,5
down,O,5
the,O,5
bed-clothes,O,5
",",O,5
took,EVENT,5
him,O,5
in,O,5
her,O,5
arms,O,5
",",O,5
and,O,5
carried,EVENT,5
him,O,5
downstairs,O,5
.,O,5
He,O,6
was,O,6
only,O,6
half,O,6
awake,O,6
.,O,6
she,O,7
said,EVENT,7
.,O,7
She,O,8
opened,EVENT,8
the,O,8
door,O,8
of,O,8
a,O,8
room,O,8
on,O,8
the,O,8
floor,O,8
below,O,8
and,O,8
took,EVENT,8
the,O,8
child,O,8
over,O,8
to,O,8
a,O,8
bed,O,8
in,O,8
which,O,8
a,O,8
woman,O,8
was,O,8
lying,O,8
.,O,8
It,O,9
was,O,9
his,O,9
mother,O,9
.,O,9
She,O,10
stretched,EVENT,10
out,O,10
her,O,10
arms,O,10
",",O,10
and,O,10
the,O,10
child,O,10
nestled,EVENT,10
by,O,10
her,O,10
side,O,10
.,O,10
He,O,11
did,O,11
not,O,11
ask,O,11
why,O,11
he,O,11
had,O,11
been,O,11
awakened,EVENT,11
.,O,11
The,O,12
woman,O,12
kissed,EVENT,12
his,O,12
eyes,O,12
",",O,12
and,O,12
with,O,12
thin,O,12
",",O,12
small,O,12
hands,O,12
felt,EVENT,12
the,O,12
warm,O,12
body,O,12
through,O,12
his,O,12
white,O,12
flannel,O,12
nightgown,O,12
.,O,12
She,O,13
pressed,EVENT,13
him,O,13
closer,O,13
to,O,13
herself,O,13
.,O,13
she,O,14
said,EVENT,14
.,O,14
Her,O,15
voice,O,15
was,O,15
so,O,15
weak,O,15
that,O,15
it,O,15
seemed,O,15
to,O,15
come,O,15
already,O,15
from,O,15
a,O,15
great,O,15
distance,O,15
.,O,15
The,O,16
child,O,16
did,O,16
not,O,16
answer,O,16
",",O,16
but,O,16
smiled,EVENT,16
comfortably,O,16
.,O,16
He,O,17
was,O,17
very,O,17
happy,EVENT,17
in,O,17
the,O,17
large,O,17
",",O,17
warm,O,17
bed,O,17
",",O,17
with,O,17
those,O,17
soft,O,17
arms,O,17
about,O,17
him,O,17
.,O,17
He,O,18
tried,EVENT,18
to,O,18
make,O,18
himself,O,18
smaller,O,18
still,O,18
as,O,18
he,O,18
cuddled,EVENT,18
up,O,18
against,O,18
his,O,18
mother,O,18
",",O,18
and,O,18
he,O,18
kissed,EVENT,18
her,O,18
sleepily,O,18
.,O,18
In,O,19
a,O,19
moment,O,19
he,O,19
closed,EVENT,19
his,O,19
eyes,O,19
and,O,19
was,O,19
fast,O,19
asleep,EVENT,19
.,O,19
The,O,20
doctor,O,20
came,EVENT,20
forwards,O,20
and,O,20
stood,EVENT,20
by,O,20
the,O,20
bed-side,O,20
.,O,20
she,O,21
moaned,EVENT,21
.,O,21
The,O,22
doctor,O,22
",",O,22
without,O,22
answering,O,22
",",O,22
looked,EVENT,22
at,O,22
her,O,22
gravely,O,22
.,O,22
Knowing,O,23
she,O,23
would,O,23
not,O,23
be,O,23
allowed,O,23
to,O,23
keep,O,23
the,O,23
child,O,23
much,O,23
longer,O,23
",",O,23
the,O,23
woman,O,23
kissed,EVENT,23
him,O,23
again,O,23
;,O,23
and,O,23
she,O,23
passed,EVENT,23
her,O,23
hand,O,23
down,O,23
his,O,23
body,O,23
till,O,23
she,O,23
came,EVENT,23
to,O,23
his,O,23
feet,O,23
;,O,23
she,O,23
held,EVENT,23
the,O,23
right,O,23
foot,O,23
in,O,23
her,O,23
hand,O,23
and,O,23
felt,EVENT,23
the,O,23
five,O,23
small,O,23
toes,O,23
;,O,23
and,O,23
then,O,23
slowly,O,23
passed,EVENT,23
her,O,23
hand,O,23
over,O,23
the,O,23
left,O,23
one,O,23
.,O,23
She,O,24
gave,O,24
a,O,24
sob,EVENT,24
.,O,24
said,EVENT,25
the,O,25
doctor,O,25
.,O,25
She,O,26
shook,EVENT,26
her,O,26
head,O,26
",",O,26
unable,O,26
to,O,26
speak,O,26
",",O,26
and,O,26
the,O,26
tears,EVENT,26
rolled,O,26
down,O,26
her,O,26
cheeks,O,26
.,O,26
The,O,27
doctor,O,27
bent,EVENT,27
down,O,27
.,O,27
She,O,28
was,O,28
too,O,28
weak,O,28
to,O,28
resist,O,28
his,O,28
wish,EVENT,28
",",O,28
and,O,28
she,O,28
gave,EVENT,28
the,O,28
child,O,28
up,O,28
.,O,28
The,O,29
doctor,O,29
handed,EVENT,29
him,O,29
back,O,29
to,O,29
his,O,29
nurse,O,29
.,O,29
The,O,30
little,O,30
boy,O,30
",",O,30
still,O,30
sleeping,O,30
",",O,30
was,O,30
taken,EVENT,30
away,O,30
.,O,30
His,O,31
mother,O,31
sobbed,EVENT,31
now,O,31
broken-heartedly,O,31
.,O,31
The,O,32
monthly,O,32
nurse,O,32
tried,EVENT,32
to,O,32
quiet,O,32
her,O,32
",",O,32
and,O,32
presently,O,32
",",O,32
from,O,32
exhaustion,O,32
",",O,32
the,O,32
crying,EVENT,32
ceased,EVENT,32
.,O,32
The,O,33
doctor,O,33
walked,EVENT,33
to,O,33
a,O,33
table,O,33
on,O,33
the,O,33
other,O,33
side,O,33
of,O,33
the,O,33
room,O,33
",",O,33
upon,O,33
which,O,33
",",O,33
under,O,33
a,O,33
towel,O,33
",",O,33
lay,O,33
the,O,33
body,O,33
of,O,33
a,O,33
still-born,O,33
child,O,33
.,O,33
He,O,34
lifted,EVENT,34
the,O,34
towel,O,34
and,O,34
looked,EVENT,34
.,O,34
He,O,35
was,O,35
hidden,O,35
from,O,35
the,O,35
bed,O,35
by,O,35
a,O,35
screen,O,35
",",O,35
but,O,35
the,O,35
woman,O,35
guessed,EVENT,35
what,O,35
he,O,35
was,O,35
doing,O,35
.,O,35
she,O,36
whispered,EVENT,36
to,O,36
the,O,36
nurse,O,36
.,O,36
The,O,37
woman,O,37
did,O,37
not,O,37
answer,O,37
.,O,37
In,O,38
a,O,38
moment,O,38
the,O,38
child,O,38
's,O,38
nurse,O,38
came,EVENT,38
back,O,38
.,O,38
She,O,39
approached,EVENT,39
the,O,39
bed,O,39
.,O,39
she,O,40
said,EVENT,40
.,O,40
There,O,41
was,O,41
a,O,41
pause,EVENT,41
.,O,41
Then,O,42
the,O,42
doctor,O,42
felt,EVENT,42
his,O,42
patient,O,42
's,O,42
pulse,EVENT,42
once,O,42
more,O,42
.,O,42
he,O,43
said,EVENT,43
.,O,43
said,EVENT,44
the,O,44
child,O,44
's,O,44
nurse,O,44
.,O,44
They,O,45
walked,EVENT,45
downstairs,O,45
in,O,45
silence,O,45
.,O,45
In,O,46
the,O,46
hall,O,46
the,O,46
doctor,O,46
stopped,EVENT,46
.,O,46
The,O,47
doctor,O,47
shook,EVENT,47
his,O,47
head,O,47
.,O,47
II,O,48
It,O,48
was,O,48
a,O,48
week,O,48
later,O,48
.,O,48
Philip,O,49
was,O,49
sitting,O,49
on,O,49
the,O,49
floor,O,49
in,O,49
the,O,49
drawing-room,O,49
at,O,49
Miss,O,49
Watkin,O,49
's,O,49
house,O,49
in,O,49
Onslow,O,49
gardens,O,49
.,O,49
He,O,50
was,O,50
an,O,50
only,O,50
child,O,50
and,O,50
used,O,50
to,O,50
amusing,O,50
himself,O,50
.,O,50
The,O,51
room,O,51
was,O,51
filled,O,51
with,O,51
massive,O,51
furniture,O,51
",",O,51
and,O,51
on,O,51
each,O,51
of,O,51
the,O,51
sofas,O,51
were,O,51
three,O,51
big,O,51
cushions,O,51
.,O,51
There,O,52
was,O,52
a,O,52
cushion,O,52
too,O,52
in,O,52
each,O,52
arm-chair,O,52
.,O,52
All,O,53
these,O,53
he,O,53
had,O,53
taken,EVENT,53
and,O,53
",",O,53
with,O,53
the,O,53
help,O,53
of,O,53
the,O,53
gilt,O,53
rout,O,53
chairs,O,53
",",O,53
light,O,53
and,O,53
easy,O,53
to,O,53
move,O,53
",",O,53
had,O,53
made,EVENT,53
an,O,53
elaborate,O,53
cave,O,53
in,O,53
which,O,53
he,O,53
could,O,53
hide,O,53
himself,O,53
from,O,53
the,O,53
Red,O,53
Indians,O,53
who,O,53
were,O,53
lurking,EVENT,53
behind,O,53
the,O,53
curtains,O,53
.,O,53
He,O,54
put,EVENT,54
his,O,54
ear,O,54
to,O,54
the,O,54
floor,O,54
and,O,54
listened,EVENT,54
to,O,54
the,O,54
herd,O,54
of,O,54
buffaloes,O,54
that,O,54
raced,EVENT,54
across,O,54
the,O,54
prairie,O,54
.,O,54
Presently,O,55
",",O,55
hearing,EVENT,55
the,O,55
door,O,55
open,EVENT,55
",",O,55
he,O,55
held,EVENT,55
his,O,55
breath,O,55
so,O,55
that,O,55
he,O,55
might,O,55
not,O,55
be,O,55
discovered,O,55
;,O,55
but,O,55
a,O,55
violent,O,55
hand,O,55
pulled,EVENT,55
away,O,55
a,O,55
chair,O,55
and,O,55
the,O,55
cushions,O,55
fell,EVENT,55
down,O,55
.,O,55
he,O,56
said,EVENT,56
.,O,56
The,O,57
nurse,O,57
bent,EVENT,57
down,O,57
and,O,57
kissed,EVENT,57
him,O,57
",",O,57
then,O,57
began,O,57
to,O,57
shake,EVENT,57
out,O,57
the,O,57
cushions,O,57
",",O,57
and,O,57
put,EVENT,57
them,O,57
back,O,57
in,O,57
their,O,57
places,O,57
.,O,57
he,O,58
asked,EVENT,58
.,O,58
It,O,59
was,O,59
in,O,59
eighteen-eighty-five,O,59
",",O,59
and,O,59
she,O,59
wore,O,59
a,O,59
bustle,O,59
.,O,59
Her,O,60
gown,O,60
was,O,60
of,O,60
black,O,60
velvet,O,60
",",O,60
with,O,60
tight,O,60
sleeves,O,60
and,O,60
sloping,O,60
shoulders,O,60
",",O,60
and,O,60
the,O,60
skirt,O,60
had,O,60
three,O,60
large,O,60
flounces,O,60
.,O,60
She,O,61
wore,O,61
a,O,61
black,O,61
bonnet,O,61
with,O,61
velvet,O,61
strings,O,61
.,O,61
She,O,62
hesitated,EVENT,62
.,O,62
The,O,63
question,O,63
she,O,63
had,O,63
expected,O,63
did,O,63
not,O,63
come,O,63
",",O,63
and,O,63
so,O,63
she,O,63
could,O,63
not,O,63
give,O,63
the,O,63
answer,O,63
she,O,63
had,O,63
prepared,EVENT,63
.,O,63
she,O,64
said,EVENT,64
at,O,64
length,O,64
.,O,64
Now,O,65
she,O,65
was,O,65
ready,EVENT,65
.,O,65
Philip,O,66
did,O,66
not,O,66
know,O,66
what,O,66
she,O,66
meant,O,66
.,O,66
She,O,67
began,O,67
to,O,67
cry,EVENT,67
",",O,67
and,O,67
Philip,O,67
",",O,67
though,O,67
he,O,67
did,O,67
not,O,67
quite,O,67
understand,O,67
",",O,67
cried,EVENT,67
too,O,67
.,O,67
Emma,O,68
was,O,68
a,O,68
tall,O,68
",",O,68
big-boned,O,68
woman,O,68
",",O,68
with,O,68
fair,O,68
hair,O,68
and,O,68
large,O,68
features,O,68
.,O,68
She,O,69
came,O,69
from,O,69
Devonshire,O,69
and,O,69
",",O,69
notwithstanding,O,69
her,O,69
many,O,69
years,O,69
of,O,69
service,O,69
in,O,69
London,O,69
",",O,69
had,O,69
