token,label,sentence
I,O,0
.,O,0
The,O,1
Return,O,1
THERE,O,1
WAS,O,1
SOMETHING,O,1
about,O,1
the,O,1
coast,O,1
town,O,1
of,O,1
Dunnet,O,1
which,O,1
made,O,1
it,O,1
seem,O,1
more,O,1
attractive,O,1
than,O,1
other,O,1
maritime,O,1
villages,O,1
of,O,1
eastern,O,1
Maine,O,1
.,O,1
Perhaps,O,2
it,O,2
was,O,2
the,O,2
simple,O,2
fact,O,2
of,O,2
acquaintance,O,2
with,O,2
that,O,2
neighborhood,O,2
which,O,2
made,O,2
it,O,2
so,O,2
attaching,O,2
",",O,2
and,O,2
gave,O,2
such,O,2
interest,O,2
to,O,2
the,O,2
rocky,O,2
shore,O,2
and,O,2
dark,O,2
woods,O,2
",",O,2
and,O,2
the,O,2
few,O,2
houses,O,2
which,O,2
seemed,O,2
to,O,2
be,O,2
securely,O,2
wedged,O,2
and,O,2
tree-nailed,O,2
in,O,2
among,O,2
the,O,2
ledges,O,2
by,O,2
the,O,2
Landing,O,2
.,O,2
These,O,3
houses,O,3
made,O,3
the,O,3
most,O,3
of,O,3
their,O,3
seaward,O,3
view,O,3
",",O,3
and,O,3
there,O,3
was,O,3
a,O,3
gayety,O,3
and,O,3
determined,O,3
floweriness,O,3
in,O,3
their,O,3
bits,O,3
of,O,3
garden,O,3
ground,O,3
;,O,3
the,O,3
small-paned,O,3
high,O,3
windows,O,3
in,O,3
the,O,3
peaks,O,3
of,O,3
their,O,3
steep,O,3
gables,O,3
were,O,3
like,O,3
knowing,O,3
eyes,O,3
that,O,3
watched,O,3
the,O,3
harbor,O,3
and,O,3
the,O,3
far,O,3
sea-line,O,3
beyond,O,3
",",O,3
or,O,3
looked,O,3
northward,O,3
all,O,3
along,O,3
the,O,3
shore,O,3
and,O,3
its,O,3
background,O,3
of,O,3
spruces,O,3
and,O,3
balsam,O,3
firs,O,3
.,O,3
When,O,4
one,O,4
really,O,4
knows,O,4
a,O,4
village,O,4
like,O,4
this,O,4
and,O,4
its,O,4
surroundings,O,4
",",O,4
it,O,4
is,O,4
like,O,4
becoming,O,4
acquainted,O,4
with,O,4
a,O,4
single,O,4
person,O,4
.,O,4
The,O,5
process,O,5
of,O,5
falling,O,5
in,O,5
love,O,5
at,O,5
first,O,5
sight,O,5
is,O,5
as,O,5
final,O,5
as,O,5
it,O,5
is,O,5
swift,O,5
in,O,5
such,O,5
a,O,5
case,O,5
",",O,5
but,O,5
the,O,5
growth,O,5
of,O,5
true,O,5
friendship,O,5
may,O,5
be,O,5
a,O,5
lifelong,O,5
affair,O,5
.,O,5
After,O,6
a,O,6
first,O,6
brief,O,6
visit,O,6
made,O,6
two,O,6
or,O,6
three,O,6
summers,O,6
before,O,6
in,O,6
the,O,6
course,O,6
of,O,6
a,O,6
yachting,O,6
cruise,O,6
",",O,6
a,O,6
lover,O,6
of,O,6
Dunnet,O,6
Landing,O,6
returned,O,6
to,O,6
find,O,6
the,O,6
unchanged,O,6
shores,O,6
of,O,6
the,O,6
pointed,O,6
firs,O,6
",",O,6
the,O,6
same,O,6
quaintness,O,6
of,O,6
the,O,6
village,O,6
with,O,6
its,O,6
elaborate,O,6
conventionalities,O,6
;,O,6
all,O,6
that,O,6
mixture,O,6
of,O,6
remoteness,O,6
",",O,6
and,O,6
childish,O,6
certainty,O,6
of,O,6
being,O,6
the,O,6
centre,O,6
of,O,6
civilization,O,6
of,O,6
which,O,6
her,O,6
affectionate,O,6
dreams,O,6
had,O,6
told,O,6
.,O,6
One,O,7
evening,O,7
in,O,7
June,O,7
",",O,7
a,O,7
single,O,7
passenger,O,7
landed,EVENT,7
upon,O,7
the,O,7
steamboat,O,7
wharf,O,7
.,O,7
The,O,8
tide,O,8
was,O,8
high,O,8
",",O,8
there,O,8
was,O,8
a,O,8
fine,O,8
crowd,O,8
of,O,8
spectators,O,8
",",O,8
and,O,8
the,O,8
younger,O,8
portion,O,8
of,O,8
the,O,8
company,O,8
followed,EVENT,8
her,O,8
with,O,8
subdued,O,8
excitement,O,8
up,O,8
the,O,8
narrow,O,8
street,O,8
of,O,8
the,O,8
salt-aired,O,8
",",O,8
white-clapboarded,O,8
little,O,8
town,O,8
.,O,8
II,O,9
.,O,9
Mrs.,O,10
Todd,O,10
LATER,O,10
",",O,10
THERE,O,10
WAS,O,10
only,O,10
one,O,10
fault,O,10
to,O,10
find,O,10
with,O,10
this,O,10
choice,O,10
of,O,10
a,O,10
summer,O,10
lodging-place,O,10
",",O,10
and,O,10
that,O,10
was,O,10
its,O,10
complete,O,10
lack,O,10
of,O,10
seclusion,O,10
.,O,10
