token,label,sentence
BOOK,O,0
ONE,O,0
THE,O,0
COMING,O,0
OF,O,0
THE,O,0
MARTIANS,O,0
CHAPTER,O,0
ONE,O,0
THE,O,0
EVE,O,0
OF,O,0
THE,O,0
WAR,O,0
No,O,0
one,O,0
would,O,0
have,O,0
believed,O,0
in,O,0
the,O,0
last,O,0
years,O,0
of,O,0
the,O,0
nineteenth,O,0
century,O,0
that,O,0
this,O,0
world,O,0
was,O,0
being,O,0
watched,O,0
keenly,O,0
and,O,0
closely,O,0
by,O,0
intelligences,O,0
greater,O,0
than,O,0
man,O,0
's,O,0
and,O,0
yet,O,0
as,O,0
mortal,O,0
as,O,0
his,O,0
own,O,0
;,O,0
that,O,0
as,O,0
men,O,0
busied,O,0
themselves,O,0
about,O,0
their,O,0
various,O,0
concerns,O,0
they,O,0
were,O,0
scrutinised,O,0
and,O,0
studied,O,0
",",O,0
perhaps,O,0
almost,O,0
as,O,0
narrowly,O,0
as,O,0
a,O,0
man,O,0
with,O,0
a,O,0
microscope,O,0
might,O,0
scrutinise,O,0
the,O,0
transient,O,0
creatures,O,0
that,O,0
swarm,O,0
and,O,0
multiply,O,0
in,O,0
a,O,0
drop,O,0
of,O,0
water,O,0
.,O,0
With,O,1
infinite,O,1
complacency,O,1
men,O,1
went,O,1
to,O,1
and,O,1
fro,O,1
over,O,1
this,O,1
globe,O,1
about,O,1
their,O,1
little,O,1
affairs,O,1
",",O,1
serene,O,1
in,O,1
their,O,1
assurance,O,1
of,O,1
their,O,1
empire,O,1
over,O,1
matter,O,1
.,O,1
It,O,2
is,O,2
possible,O,2
that,O,2
the,O,2
infusoria,O,2
under,O,2
the,O,2
microscope,O,2
do,O,2
the,O,2
same,O,2
.,O,2
No,O,3
one,O,3
gave,O,3
a,O,3
thought,O,3
to,O,3
the,O,3
older,O,3
worlds,O,3
of,O,3
space,O,3
as,O,3
sources,O,3
of,O,3
human,O,3
danger,O,3
",",O,3
or,O,3
thought,O,3
of,O,3
them,O,3
only,O,3
to,O,3
dismiss,O,3
the,O,3
idea,O,3
of,O,3
life,O,3
upon,O,3
them,O,3
as,O,3
impossible,O,3
or,O,3
improbable,O,3
.,O,3
It,O,4
is,O,4
curious,O,4
to,O,4
recall,O,4
some,O,4
of,O,4
the,O,4
mental,O,4
habits,O,4
of,O,4
those,O,4
departed,O,4
days,O,4
.,O,4
At,O,5
most,O,5
terrestrial,O,5
men,O,5
fancied,O,5
there,O,5
might,O,5
be,O,5
other,O,5
men,O,5
upon,O,5
Mars,O,5
",",O,5
perhaps,O,5
inferior,O,5
to,O,5
themselves,O,5
and,O,5
ready,O,5
to,O,5
welcome,O,5
a,O,5
missionary,O,5
enterprise,O,5
.,O,5
Yet,O,6
across,O,6
the,O,6
gulf,O,6
of,O,6
space,O,6
",",O,6
minds,O,6
that,O,6
are,O,6
to,O,6
our,O,6
minds,O,6
as,O,6
ours,O,6
are,O,6
to,O,6
those,O,6
of,O,6
the,O,6
beasts,O,6
that,O,6
perish,O,6
",",O,6
intellects,O,6
vast,O,6
and,O,6
cool,O,6
and,O,6
unsympathetic,O,6
",",O,6
regarded,O,6
this,O,6
earth,O,6
with,O,6
envious,O,6
eyes,O,6
",",O,6
and,O,6
slowly,O,6
and,O,6
surely,O,6
drew,O,6
their,O,6
plans,O,6
against,O,6
us,O,6
.,O,6
And,O,7
early,O,7
in,O,7
the,O,7
twentieth,O,7
century,O,7
came,O,7
the,O,7
great,O,7
disillusionment,O,7
.,O,7
The,O,8
planet,O,8
Mars,O,8
",",O,8
I,O,8
scarcely,O,8
need,O,8
remind,O,8
the,O,8
reader,O,8
",",O,8
revolves,O,8
about,O,8
the,O,8
sun,O,8
at,O,8
a,O,8
mean,O,8
distance,O,8
of,O,8
"140,000,000",O,8
miles,O,8
",",O,8
and,O,8
the,O,8
light,O,8
and,O,8
heat,O,8
it,O,8
receives,O,8
from,O,8
the,O,8
sun,O,8
is,O,8
barely,O,8
half,O,8
of,O,8
that,O,8
received,O,8
by,O,8
this,O,8
world,O,8
.,O,8
It,O,9
must,O,9
be,O,9
",",O,9
if,O,9
the,O,9
nebular,O,9
hypothesis,O,9
has,O,9
any,O,9
truth,O,9
",",O,9
older,O,9
than,O,9
our,O,9
world,O,9
;,O,9
and,O,9
long,O,9
before,O,9
this,O,9
earth,O,9
ceased,O,9
to,O,9
be,O,9
molten,O,9
",",O,9
life,O,9
upon,O,9
its,O,9
surface,O,9
must,O,9
have,O,9
begun,O,9
its,O,9
course,O,9
.,O,9
The,O,10
fact,O,10
that,O,10
it,O,10
is,O,10
scarcely,O,10
one,O,10
seventh,O,10
of,O,10
the,O,10
volume,O,10
of,O,10
the,O,10
earth,O,10
must,O,10
have,O,10
accelerated,O,10
its,O,10
cooling,O,10
to,O,10
the,O,10
temperature,O,10
at,O,10
which,O,10
life,O,10
could,O,10
begin,O,10
.,O,10
It,O,11
has,O,11
air,O,11
and,O,11
water,O,11
and,O,11
all,O,11
that,O,11
is,O,11
necessary,O,11
for,O,11
the,O,11
support,O,11
of,O,11
animated,O,11
existence,O,11
.,O,11
Yet,O,12
so,O,12
vain,O,12
is,O,12
man,O,12
",",O,12
and,O,12
so,O,12
blinded,O,12
by,O,12
his,O,12
vanity,O,12
",",O,12
that,O,12
no,O,12
writer,O,12
",",O,12
up,O,12
to,O,12
the,O,12
very,O,12
end,O,12
of,O,12
the,O,12
nineteenth,O,12
century,O,12
",",O,12
expressed,O,12
any,O,12
idea,O,12
that,O,12
intelligent,O,12
life,O,12
might,O,12
have,O,12
developed,O,12
there,O,12
far,O,12
",",O,12
or,O,12
indeed,O,12
at,O,12
all,O,12
",",O,12
beyond,O,12
its,O,12
earthly,O,12
level,O,12
.,O,12
Nor,O,13
was,O,13
it,O,13
generally,O,13
understood,O,13
that,O,13
since,O,13
Mars,O,13
is,O,13
older,O,13
than,O,13
our,O,13
earth,O,13
",",O,13
with,O,13
scarcely,O,13
a,O,13
quarter,O,13
of,O,13
the,O,13
superficial,O,13
area,O,13
and,O,13
remoter,O,13
from,O,13
the,O,13
sun,O,13
",",O,13
it,O,13
necessarily,O,13
follows,O,13
that,O,13
it,O,13
is,O,13
not,O,13
only,O,13
more,O,13
distant,O,13
from,O,13
time,O,13
's,O,13
beginning,O,13
but,O,13
nearer,O,13
its,O,13
end,O,13
.,O,13
The,O,14
secular,O,14
cooling,O,14
that,O,14
must,O,14
someday,O,14
overtake,O,14
our,O,14
planet,O,14
has,O,14
already,O,14
gone,O,14
far,O,14
indeed,O,14
with,O,14
our,O,14
neighbour,O,14
.,O,14
Its,O,15
physical,O,15
condition,O,15
is,O,15
still,O,15
largely,O,15
a,O,15
mystery,O,15
",",O,15
but,O,15
we,O,15
know,O,15
now,O,15
that,O,15
even,O,15
in,O,15
its,O,15
equatorial,O,15
region,O,15
the,O,15
midday,O,15
temperature,O,15
barely,O,15
approaches,O,15
that,O,15
of,O,15
our,O,15
coldest,O,15
winter,O,15
.,O,15
Its,O,16
air,O,16
is,O,16
much,O,16
more,O,16
attenuated,O,16
than,O,16
ours,O,16
",",O,16
its,O,16
oceans,O,16
have,O,16
shrunk,O,16
until,O,16
they,O,16
cover,O,16
but,O,16
a,O,16
third,O,16
of,O,16
its,O,16
surface,O,16
",",O,16
and,O,16
as,O,16
its,O,16
slow,O,16
seasons,O,16
change,O,16
huge,O,16
snowcaps,O,16
gather,O,16
and,O,16
melt,O,16
about,O,16
either,O,16
pole,O,16
and,O,16
periodically,O,16
inundate,O,16
its,O,16
temperate,O,16
zones,O,16
.,O,16
That,O,17
last,O,17
stage,O,17
of,O,17
exhaustion,O,17
",",O,17
which,O,17
to,O,17
us,O,17
is,O,17
still,O,17
incredibly,O,17
remote,O,17
",",O,17
has,O,17
become,O,17
a,O,17
present-day,O,17
problem,O,17
for,O,17
the,O,17
inhabitants,O,17
of,O,17
Mars,O,17
.,O,17
The,O,18
immediate,O,18
pressure,O,18
of,O,18
necessity,O,18
has,O,18
brightened,O,18
their,O,18
intellects,O,18
",",O,18
enlarged,O,18
their,O,18
powers,O,18
",",O,18
and,O,18
hardened,O,18
their,O,18
hearts,O,18
.,O,18
And,O,19
looking,O,19
across,O,19
space,O,19
with,O,19
instruments,O,19
",",O,19
and,O,19
intelligences,O,19
such,O,19
as,O,19
we,O,19
have,O,19
scarcely,O,19
dreamed,O,19
of,O,19
",",O,19
they,O,19
see,O,19
",",O,19
at,O,19
its,O,19
