token,label,sentence
CHAPTER,O,0
1,O,0
Mrs,O,0
Gildea,O,0
had,O,0
settled,EVENT,0
early,O,0
to,O,0
her,O,0
morning,O,0
's,O,0
work,O,0
in,O,0
what,O,0
she,O,0
called,O,0
the,O,0
veranda-study,O,0
of,O,0
her,O,0
cottage,O,0
in,O,0
Leichardt,O,0
's,O,0
Town,O,0
.,O,0
It,O,1
was,O,1
a,O,1
primitive,O,1
cottage,O,1
of,O,1
the,O,1
old,O,1
style,O,1
",",O,1
standing,O,1
in,O,1
a,O,1
garden,O,1
and,O,1
built,O,1
on,O,1
the,O,1
cliff,O,1
--,O,1
the,O,1
Emu,O,1
Point,O,1
side,O,1
--,O,1
overlooking,O,1
the,O,1
broad,O,1
Leichardt,O,1
River,O,1
.,O,1
The,O,2
veranda,O,2
",",O,2
quite,O,2
twelve,O,2
feet,O,2
wide,O,2
",",O,2
ran,O,2
--,O,2
Australian,O,2
fashion,O,2
--,O,2
along,O,2
the,O,2
front,O,2
of,O,2
the,O,2
cottage,O,2
",",O,2
except,O,2
for,O,2
the,O,2
two,O,2
closed-in,O,2
ends,O,2
forming,O,2
",",O,2
one,O,2
a,O,2
bathroom,O,2
and,O,2
the,O,2
other,O,2
a,O,2
kind,O,2
of,O,2
store,O,2
closet,O,2
.,O,2
Being,O,3
raised,O,3
a,O,3
few,O,3
feet,O,3
above,O,3
the,O,3
ground,O,3
",",O,3
the,O,3
veranda,O,3
was,O,3
enclosed,O,3
by,O,3
a,O,3
wooden,O,3
railing,O,3
",",O,3
and,O,3
this,O,3
and,O,3
the,O,3
supporting,O,3
posts,O,3
were,O,3
twined,O,3
with,O,3
creepers,O,3
that,O,3
must,O,3
have,O,3
been,O,3
planted,O,3
at,O,3
least,O,3
thirty,O,3
years,O,3
.,O,3
One,O,4
of,O,4
these,O,4
",",O,4
a,O,4
stephanotis,O,4
",",O,4
showed,O,4
masses,O,4
of,O,4
white,O,4
bloom,O,4
",",O,4
which,O,4
Joan,O,4
Gildea,O,4
casually,O,4
reflected,EVENT,4
would,O,4
have,O,4
fetched,O,4
a,O,4
pretty,O,4
sum,O,4
in,O,4
Covent,O,4
Garden,O,4
",",O,4
and,O,4
",",O,4
joining,O,4
in,O,4
with,O,4
a,O,4
fine-growing,O,4
asparagus,O,4
fern,O,4
",",O,4
formed,O,4
an,O,4
arch,O,4
over,O,4
the,O,4
entrance,O,4
steps,O,4
.,O,4
The,O,5
end,O,5
of,O,5
the,O,5
veranda,O,5
",",O,5
where,O,5
Mrs,O,5
Gildea,O,5
had,O,5
established,EVENT,5
herself,O,5
with,O,5
her,O,5
type-writer,O,5
and,O,5
paraphernalia,O,5
of,O,5
literary,O,5
work,O,5
",",O,5
was,O,5
screened,O,5
by,O,5
a,O,5
thick-stemmed,O,5
grape-vine,O,5
",",O,5
which,O,5
made,O,5
a,O,5
dapple,EVENT,5
of,O,5
shadow,O,5
and,O,5
sunshine,O,5
upon,O,5
the,O,5
boarded,O,5
floor,O,5
.,O,5
Some,O,6
bunches,O,6
of,O,6
late,O,6
grapes,O,6
--,O,6
it,O,6
was,O,6
the,O,6
very,O,6
beginning,O,6
of,O,6
March,O,6
--,O,6
hung,O,6
upon,O,6
the,O,6
vine,O,6
",",O,6
and,O,6
",",O,6
at,O,6
the,O,6
other,O,6
end,O,6
of,O,6
the,O,6
veranda,O,6
",",O,6
grew,O,6
a,O,6
passion,O,6
creeper,O,6
",",O,6
its,O,6
great,O,6
purple,O,6
fruit,O,6
looking,O,6
like,O,6
huge,O,6
plums,O,6
amidst,O,6
its,O,6
vivid,O,6
green,O,6
leaves,O,6
.,O,6
The,O,7
roof,O,7
of,O,7
the,O,7
veranda,O,7
was,O,7
low,O,7
",",O,7
with,O,7
projecting,O,7
eaves,O,7
",",O,7
below,O,7
which,O,7
a,O,7
bunch,O,7
of,O,7
yellowing,O,7
bananas,O,7
hung,O,7
to,O,7
ripen,O,7
.,O,7
In,O,8
fact,O,8
",",O,8
the,O,8
veranda,O,8
and,O,8
garden,O,8
beyond,O,8
would,O,8
have,O,8
been,O,8
paradise,O,8
to,O,8
a,O,8
fruitarian,O,8
.,O,8
Against,O,9
the,O,9
wall,O,9
of,O,9
the,O,9
store-room,O,9
",",O,9
stood,O,9
a,O,9
large,O,9
tin,O,9
dish,O,9
piled,O,9
with,O,9
melons,O,9
",",O,9
pine-apples,O,9
and,O,9
miscellaneous,O,9
garden,O,9
produce,O,9
",",O,9
while,O,9
",",O,9
between,O,9
the,O,9
veranda,O,9
posts,O,9
",",O,9
could,O,9
be,O,9
seen,O,9
a,O,9
guava-tree,O,9
",",O,9
an,O,9
elderly,O,9
fig,O,9
and,O,9
a,O,9
loquat,O,9
all,O,9
in,O,9
full,O,9
bearing,O,9
.,O,9
The,O,10
garden,O,10
seemed,O,10
a,O,10
tangle,O,10
of,O,10
all,O,10
manner,O,10
of,O,10
vegetation,O,10
--,O,10
an,O,10
oleander,O,10
in,O,10
bloom,O,10
",",O,10
a,O,10
poinsettia,O,10
",",O,10
a,O,10
yucca,O,10
",",O,10
lifting,EVENT,10
its,O,10
spike,O,10
of,O,10
waxen,O,10
white,O,10
blossoms,O,10
",",O,10
a,O,10
narrow,O,10
flower-border,O,10
in,O,10
which,O,10
the,O,10
gardenias,O,10
had,O,10
become,O,10
tall,O,10
shrubs,O,10
and,O,10
the,O,10
scented,O,10
verbena,O,10
shrubs,O,10
almost,O,10
trees,O,10
.,O,10
As,O,11
for,O,11
the,O,11
blend,O,11
of,O,11
perfume,EVENT,11
",",O,11
it,O,11
was,O,11
dreamily,O,11
intoxicating,EVENT,11
.,O,11
Two,O,12
bamboos,O,12
",",O,12
guarding,O,12
the,O,12
side,O,12
entrance,O,12
gate,O,12
",",O,12
made,O,12
a,O,12
soft,O,12
whispering,EVENT,12
that,O,12
heightened,EVENT,12
the,O,12
dream-sense,O,12
.,O,12
The,O,13
bottom,O,13
of,O,13
the,O,13
garden,O,13
looked,O,13
an,O,13
inchoate,O,13
mass,O,13
of,O,13
greenery,O,13
topped,O,13
by,O,13
the,O,13
upper,O,13
boughs,O,13
of,O,13
tall,O,13
straggling,O,13
gum,O,13
trees,O,13
",",O,13
growing,O,13
outside,O,13
where,O,13
the,O,13
ground,O,13
fell,O,13
gradually,O,13
to,O,13
the,O,13
river,O,13
.,O,13
From,O,14
where,O,14
Mrs,O,14
Gildea,O,14
sat,O,14
",",O,14
she,O,14
had,O,14
a,O,14
view,O,14
of,O,14
almost,O,14
the,O,14
whole,O,14
reach,O,14
of,O,14
the,O,14
river,O,14
where,O,14
it,O,14
circles,O,14
Emu,O,14
Point,O,14
.,O,14
For,O,15
",",O,15
as,O,15
is,O,15
known,O,15
to,O,15
all,O,15
who,O,15
know,O,15
Leichardt,O,15
's,O,15
Town,O,15
",",O,15
the,O,15
river,O,15
winds,O,15
in,O,15
two,O,15
great,O,15
loops,O,15
girdling,O,15
two,O,15
low,O,15
points,O,15
",",O,15
so,O,15
that,O,15
",",O,15
in,O,15
striking,O,15
a,O,15
bee-line,O,15
across,O,15
the,O,15
whole,O,15
town,O,15
",",O,15
business,O,15
and,O,15
residential,O,15
",",O,15
one,O,15
must,O,15
cross,O,15
the,O,15
river,O,15
three,O,15
times,O,15
.,O,15
Mrs,O,16
Gildea,O,16
could,O,16
see,O,16
the,O,16
plan,O,16
of,O,16
the,O,16
main,O,16
street,O,16
in,O,16
the,O,16
Middle,O,16
Point,O,16
and,O,16
the,O,16
roofs,O,16
of,O,16
shops,O,16
and,O,16
offices,O,16
.,O,16
The,O,17
busy,O,17
wharves,O,17
of,O,17
the,O,17
Leichardt,O,17
's,O,17
Land,O,17
Steam,O,17
Navigation,O,17
Company,O,17
--,O,17
familiarly,O,17
",",O,17
the,O,17
L.L.S.N.,O,17
Co.,O,17
--,O,17
lay,O,17
opposite,O,17
on,O,17
her,O,17
right,O,17
",",O,17
while,O,17
leftward,O,17
",",O,17
across,O,17
the,O,17
water,O,17
",",O,17
she,O,17
could,O,17
trace,O,17
",",O,17
as,O,17
far,O,17
as,O,17
the,O,17
grape-vine,O,17
would,O,17
allow,O,17
",",O,17
the,O,17
boundary,O,17
of,O,17
the,O,17
Botanical,O,17
Gardens,O,17
and,O,17
get,O,17
a,O,17
sight,O,17
of,O,17
the,O,17
white,O,17
stone,O,17
and,O,17
grey,O,17
slate,O,17
end,O,17
of,O,17
the,O,17
big,O,17
Parliamentary,O,17
Buildings,O,17
.,O,17
The,O,18
heat-haze,EVENT,18
over,O,18
the,O,18
town,O,18
and,O,18
the,O,18
brilliant,O,18
sun-sparkles,EVENT,18
on,O,18
the,O,18
river,O,18
suggested,EVENT,18
a,O,18
cruel,O,18
glare,O,18
outside,O,18
the,O,18
shady,O,18
veranda,O,18
and,O,18
over-grown,O,18
old,O,18
garden,O,18
.,O,18
A,O,19
pleasant,O,19
study,O,19
",",O,19
if,O,19
a,O,19
bit,O,19
distracting,O,19
from,O,19
its,O,19
plenitude,O,19
of,O,19
associations,O,19
to,O,19
Australian-born,O,19
Joan,O,19
Gildea,O,19
",",O,19
who,O,19
",",O,19
on,O,19
her,O,19
marriage,EVENT,19
",",O,19
had,O,19
been,O,19
transplanted,EVENT,19
into,O,19
English,O,19
soil,O,19
",",O,19
as,O,19
care-free,O,19
as,O,19
a,O,19
rose,O,19
cut,O,19
from,O,19
the,O,19
parent,O,19
stem,O,19
",",O,19
and,O,19
who,O,19
now,O,19
",",O,19
after,O,19
nearly,O,19
twenty,O,19
years,O,19
",",O,19
had,O,19
returned,EVENT,19
to,O,19
the,O,19
scene,O,19
of,O,19
her,O,19
youth,O,19
--,O,19
a,O,19
widow,O,19
",",O,19
a,O,19
working,O,19
journalist,O,19
and,O,19
shorn,O,19
of,O,19
most,O,19
of,O,19
her,O,19
early,O,19
illusions,O,19
.,O,19
Her,O,20
typewriter,O,20
stood,O,20
on,O,20
a,O,20
bamboo,O,20
table,O,20
before,O,20
her,O,20
.,O,20
A,O,21
pile,O,21
of,O,21
Australian,O,21
Hansards,O,21
for,O,21
reference,O,21
sat,O,21
on,O,21
a,O,21
chair,O,21
at,O,21
