token,label,sentence
_,O,0
Chapter,O,0
I,O,0
_,O,0
Miss,O,0
Marjoribanks,O,0
lost,EVENT,0
her,O,0
mother,O,0
when,O,0
she,O,0
was,O,0
only,O,0
fifteen,O,0
",",O,0
and,O,0
when,O,0
",",O,0
to,O,0
add,O,0
to,O,0
the,O,0
misfortune,O,0
",",O,0
she,O,0
was,O,0
absent,EVENT,0
at,O,0
school,O,0
",",O,0
and,O,0
could,O,0
not,O,0
have,O,0
it,O,0
in,O,0
her,O,0
power,O,0
to,O,0
soothe,O,0
her,O,0
dear,O,0
mamma,O,0
's,O,0
last,O,0
moments,O,0
",",O,0
as,O,0
she,O,0
herself,O,0
said,EVENT,0
.,O,0
Words,O,1
are,O,1
sometimes,O,1
very,O,1
poor,O,1
exponents,O,1
of,O,1
such,O,1
an,O,1
event,O,1
:,O,1
but,O,1
it,O,1
happens,O,1
now,O,1
and,O,1
then,O,1
",",O,1
on,O,1
the,O,1
other,O,1
hand,O,1
",",O,1
that,O,1
a,O,1
plain,O,1
intimation,O,1
expresses,O,1
too,O,1
much,O,1
",",O,1
and,O,1
suggests,O,1
emotion,O,1
and,O,1
suffering,O,1
which,O,1
",",O,1
in,O,1
reality,O,1
",",O,1
have,O,1
but,O,1
little,O,1
",",O,1
if,O,1
any,O,1
",",O,1
existence,O,1
.,O,1
Mrs,O,2
Marjoribanks,O,2
",",O,2
poor,O,2
lady,O,2
",",O,2
had,O,2
been,O,2
an,O,2
invalid,O,2
for,O,2
many,O,2
years,O,2
;,O,2
she,O,2
had,O,2
grown,O,2
a,O,2
little,O,2
peevish,O,2
in,O,2
her,O,2
loneliness,O,2
",",O,2
not,O,2
feeling,O,2
herself,O,2
of,O,2
much,O,2
account,O,2
in,O,2
this,O,2
world,O,2
.,O,2
There,O,3
are,O,3
some,O,3
rare,O,3
natures,O,3
that,O,3
are,O,3
content,O,3
to,O,3
acquiesce,O,3
in,O,3
the,O,3
general,O,3
neglect,O,3
",",O,3
and,O,3
forget,O,3
themselves,O,3
when,O,3
they,O,3
find,O,3
themselves,O,3
forgotten,O,3
;,O,3
but,O,3
it,O,3
is,O,3
unfortunately,O,3
much,O,3
more,O,3
usual,O,3
to,O,3
take,O,3
the,O,3
plan,O,3
adopted,O,3
by,O,3
Mrs,O,3
Marjoribanks,O,3
",",O,3
who,O,3
devoted,O,3
all,O,3
her,O,3
powers,O,3
",",O,3
during,O,3
the,O,3
last,O,3
ten,O,3
years,O,3
of,O,3
her,O,3
life,O,3
",",O,3
to,O,3
the,O,3
solacement,O,3
and,O,3
care,O,3
of,O,3
that,O,3
poor,O,3
self,O,3
which,O,3
other,O,3
people,O,3
neglected,O,3
.,O,3
The,O,4
consequence,O,4
was,O,4
",",O,4
that,O,4
when,O,4
she,O,4
disappeared,EVENT,4
from,O,4
her,O,4
sofa,O,4
--,O,4
except,O,4
for,O,4
the,O,4
mere,O,4
physical,O,4
fact,O,4
that,O,4
she,O,4
was,O,4
no,O,4
longer,O,4
there,O,4
--,O,4
no,O,4
one,O,4
",",O,4
except,O,4
her,O,4
maid,O,4
",",O,4
whose,O,4
occupation,O,4
was,O,4
gone,O,4
",",O,4
could,O,4
have,O,4
found,O,4
out,O,4
much,O,4
difference,O,4
.,O,4
Her,O,5
husband,O,5
",",O,5
it,O,5
is,O,5
true,O,5
",",O,5
who,O,5
had,O,5
",",O,5
somewhere,O,5
",",O,5
hidden,O,5
deep,O,5
in,O,5
some,O,5
secret,O,5
corner,O,5
of,O,5
his,O,5
physical,O,5
organisation,O,5
",",O,5
the,O,5
remains,O,5
of,O,5
a,O,5
heart,O,5
",",O,5
experienced,O,5
a,O,5
certain,O,5
sentiment,O,5
of,O,5
sadness,EVENT,5
when,O,5
he,O,5
re-entered,EVENT,5
the,O,5
house,O,5
from,O,5
which,O,5
she,O,5
had,O,5
gone,EVENT,5
away,O,5
for,O,5
ever,O,5
.,O,5
But,O,6
Dr,O,6
Marjoribanks,O,6
was,O,6
too,O,6
busy,O,6
a,O,6
man,O,6
to,O,6
waste,O,6
his,O,6
feelings,O,6
on,O,6
a,O,6
mere,O,6
sentiment,O,6
.,O,6
His,O,7
daughter,O,7
",",O,7
however,O,7
",",O,7
was,O,7
only,O,7
fifteen,O,7
",",O,7
and,O,7
had,O,7
floods,O,7
of,O,7
tears,O,7
at,O,7
her,O,7
command,O,7
",",O,7
as,O,7
was,O,7
natural,O,7
at,O,7
that,O,7
age,O,7
.,O,7
All,O,8
the,O,8
way,O,8
home,O,8
she,O,8
revolved,EVENT,8
the,O,8
situation,EVENT,8
in,O,8
her,O,8
mind,O,8
",",O,8
which,O,8
was,O,8
considerably,O,8
enlightened,EVENT,8
by,O,8
novels,O,8
and,O,8
popular,O,8
philosophy,O,8
--,O,8
for,O,8
the,O,8
lady,O,8
at,O,8
the,O,8
head,O,8
of,O,8
Miss,O,8
Marjoribanks,O,8
school,O,8
was,O,8
a,O,8
devoted,O,8
admirer,O,8
of,O,8
_,O,8
Friends,O,8
in,O,8
Council,O,8
_,O,8
",",O,8
and,O,8
was,O,8
fond,O,8
of,O,8
bestowing,O,8
that,O,8
work,O,8
as,O,8
a,O,8
prize,O,8
",",O,8
with,O,8
pencil-marks,O,8
on,O,8
the,O,8
margin,O,8
--,O,8
so,O,8
that,O,8
Lucilla,O,8
's,O,8
mind,O,8
had,O,8
been,O,8
cultivated,O,8
",",O,8
and,O,8
was,O,8
brimful,O,8
of,O,8
the,O,8
best,O,8
of,O,8
sentiments,O,8
.,O,8
She,O,9
made,EVENT,9
up,O,9
her,O,9
mind,O,9
on,O,9
her,O,9
journey,EVENT,9
to,O,9
a,O,9
great,O,9
many,O,9
virtuous,O,9
resolutions,EVENT,9
;,O,9
for,O,9
",",O,9
in,O,9
such,O,9
a,O,9
case,O,9
as,O,9
hers,O,9
",",O,9
it,O,9
was,O,9
evidently,O,9
the,O,9
duty,O,9
of,O,9
an,O,9
only,O,9
child,O,9
to,O,9
devote,O,9
herself,O,9
to,O,9
her,O,9
father,O,9
's,O,9
comfort,O,9
",",O,9
and,O,9
become,O,9
the,O,9
sunshine,O,9
of,O,9
his,O,9
life,O,9
",",O,9
as,O,9
so,O,9
many,O,9
young,O,9
persons,O,9
of,O,9
her,O,9
age,O,9
have,O,9
been,O,9
known,O,9
to,O,9
become,O,9
in,O,9
literature,O,9
.,O,9
Miss,O,10
Marjoribanks,O,10
had,O,10
a,O,10
lively,O,10
mind,O,10
",",O,10
and,O,10
was,O,10
capable,O,10
of,O,10
grasping,O,10
all,O,10
the,O,10
circumstances,O,10
of,O,10
the,O,10
situation,O,10
at,O,10
a,O,10
glance,O,10
.,O,10
Thus,O,11
",",O,11
between,O,11
the,O,11
outbreaks,EVENT,11
of,O,11
her,O,11
tears,EVENT,11
for,O,11
her,O,11
mother,O,11
",",O,11
it,O,11
became,O,11
apparent,EVENT,11
to,O,11
her,O,11
that,O,11
she,O,11
must,O,11
sacrifice,O,11
her,O,11
own,O,11
feelings,O,11
",",O,11
and,O,11
make,O,11
a,O,11
cheerful,O,11
home,O,11
for,O,11
papa,O,11
",",O,11
and,O,11
that,O,11
a,O,11
great,O,11
many,O,11
changes,O,11
would,O,11
be,O,11
necessary,O,11
in,O,11
the,O,11
household,O,11
--,O,11
changes,O,11
which,O,11
went,O,11
so,O,11
far,O,11
as,O,11
even,O,11
to,O,11
extend,O,11
to,O,11
the,O,11
furniture,O,11
.,O,11
Miss,O,12
Marjoribanks,O,12
sketched,EVENT,12
to,O,12
herself,O,12
",",O,12
as,O,12
she,O,12
lay,EVENT,12
back,O,12
in,O,12
the,O,12
corner,O,12
of,O,12
the,O,12
railway,O,12
carriage,O,12
",",O,12
with,O,12
her,O,12
veil,O,12
down,O,12
",",O,12
how,O,12
she,O,12
would,O,12
wind,O,12
herself,O,12
up,O,12
to,O,12
the,O,12
duty,O,12
of,O,12
presiding,O,12
at,O,12
her,O,12
papa,O,12
's,O,12
dinner-parties,O,12
",",O,12
and,O,12
charming,O,12
everybody,O,12
by,O,12
her,O,12
good,O,12
humour,O,12
",",O,12
and,O,12
brightness,O,12
",",O,12
and,O,12
devotion,O,12
to,O,12
his,O,12
comfort,O,12
;,O,12
and,O,12
how,O,12
",",O,12
when,O,12
it,O,12
was,O,12
all,O,12
over,O,12
",",O,12
she,O,12
would,O,12
withdraw,O,12
and,O,12
cry,O,12
her,O,12
eyes,O,12
out,O,12
in,O,12
her,O,12
own,O,12
room,O,12
",",O,12
and,O,12
be,O,12
found,O,12
in,O,12
the,O,12
morning,O,12
languid,O,12
and,O,12
worn-out,O,12
",",O,12
but,O,12
always,O,12
heroical,O,12
",",O,12
ready,O,12
to,O,12
go,O,12
downstairs,O,12
and,O,12
assist,O,12
at,O,12
dear,O,12
papa,O,12
's,O,12
breakfast,O,12
",",O,12
and,O,12
keep,O,12
up,O,12
her,O,12
smiles,O,12
for,O,12
him,O,12
till,O,12
he,O,12
