token,label,sentence
CHAPTER,O,0
I,O,0
',O,0
HASTE,O,0
TO,O,0
THE,O,0
WEDDING,O,0
',O,0
',O,0
Wooed,O,0
and,O,0
married,O,0
and,O,0
a,O,0
',O,0
.,O,0
',O,1
',O,1
Edith,O,1
!,O,1
',O,1
said,EVENT,1
Margaret,O,1
",",O,1
gently,O,1
",",O,1
',O,1
Edith,O,1
!,O,1
',O,1
But,O,1
",",O,1
as,O,1
Margaret,O,1
half,O,1
suspected,EVENT,1
",",O,1
Edith,O,1
had,O,1
fallen,O,1
asleep,EVENT,1
.,O,1
She,O,2
lay,O,2
curled,O,2
up,O,2
on,O,2
the,O,2
sofa,O,2
in,O,2
the,O,2
back,O,2
drawing-room,O,2
in,O,2
Harley,O,2
Street,O,2
",",O,2
looking,O,2
very,O,2
lovely,O,2
in,O,2
her,O,2
white,O,2
muslin,O,2
and,O,2
blue,O,2
ribbons,O,2
.,O,2
If,O,3
Titania,O,3
had,O,3
ever,O,3
been,O,3
dressed,O,3
in,O,3
white,O,3
muslin,O,3
and,O,3
blue,O,3
ribbons,O,3
",",O,3
and,O,3
had,O,3
fallen,O,3
asleep,O,3
on,O,3
a,O,3
crimson,O,3
damask,O,3
sofa,O,3
in,O,3
a,O,3
back,O,3
drawing-room,O,3
",",O,3
Edith,O,3
might,O,3
have,O,3
been,O,3
taken,O,3
for,O,3
her,O,3
.,O,3
Margaret,O,4
was,O,4
struck,EVENT,4
afresh,O,4
by,O,4
her,O,4
cousin,O,4
's,O,4
beauty,O,4
.,O,4
They,O,5
had,O,5
grown,O,5
up,O,5
together,O,5
from,O,5
childhood,O,5
",",O,5
and,O,5
all,O,5
along,O,5
Edith,O,5
had,O,5
been,O,5
remarked,O,5
upon,O,5
by,O,5
every,O,5
one,O,5
",",O,5
except,O,5
Margaret,O,5
",",O,5
for,O,5
her,O,5
prettiness,O,5
;,O,5
but,O,5
Margaret,O,5
had,O,5
never,O,5
thought,O,5
about,O,5
it,O,5
until,O,5
the,O,5
last,O,5
few,O,5
days,O,5
",",O,5
when,O,5
the,O,5
prospect,O,5
of,O,5
soon,O,5
losing,O,5
her,O,5
companion,O,5
seemed,O,5
to,O,5
give,O,5
force,O,5
to,O,5
every,O,5
sweet,O,5
quality,O,5
and,O,5
charm,O,5
which,O,5
Edith,O,5
possessed,O,5
.,O,5
They,O,6
had,O,6
been,O,6
talking,EVENT,6
about,O,6
wedding,O,6
dresses,O,6
",",O,6
and,O,6
wedding,O,6
ceremonies,O,6
;,O,6
and,O,6
Captain,O,6
Lennox,O,6
",",O,6
and,O,6
what,O,6
he,O,6
had,O,6
told,O,6
Edith,O,6
about,O,6
her,O,6
future,O,6
life,O,6
at,O,6
Corfu,O,6
",",O,6
where,O,6
his,O,6
regiment,O,6
was,O,6
stationed,O,6
;,O,6
and,O,6
the,O,6
difficulty,O,6
of,O,6
keeping,O,6
a,O,6
piano,O,6
in,O,6
good,O,6
tune,O,6
(,O,6
a,O,6
difficulty,O,6
which,O,6
Edith,O,6
seemed,O,6
to,O,6
consider,O,6
as,O,6
one,O,6
of,O,6
the,O,6
most,O,6
formidable,O,6
that,O,6
could,O,6
befall,O,6
her,O,6
in,O,6
her,O,6
married,O,6
life,O,6
),O,6
",",O,6
and,O,6
what,O,6
gowns,O,6
she,O,6
should,O,6
want,O,6
in,O,6
the,O,6
visits,O,6
to,O,6
Scotland,O,6
",",O,6
which,O,6
would,O,6
immediately,O,6
succeed,O,6
her,O,6
marriage,O,6
;,O,6
but,O,6
the,O,6
whispered,EVENT,6
tone,O,6
had,O,6
latterly,O,6
become,O,6
more,O,6
drowsy,EVENT,6
;,O,6
and,O,6
Margaret,O,6
",",O,6
after,O,6
a,O,6
pause,EVENT,6
of,O,6
a,O,6
few,O,6
minutes,O,6
",",O,6
found,EVENT,6
",",O,6
as,O,6
she,O,6
fancied,O,6
",",O,6
that,O,6
in,O,6
spite,O,6
of,O,6
