token,label,sentence
—,O,0
I,O,0
—,O,0
[,O,0
1,O,0
],O,0
Stately,O,0
",",O,0
plump,O,0
Buck,O,0
Mulligan,O,0
came,EVENT,0
from,O,0
the,O,0
stairhead,O,0
",",O,0
bearing,EVENT,0
a,O,0
bowl,O,0
of,O,0
lather,O,0
on,O,0
which,O,0
a,O,0
mirror,O,0
and,O,0
a,O,0
razor,O,0
lay,O,0
crossed,O,0
.,O,0
A,O,1
yellow,O,1
dressinggown,O,1
",",O,1
ungirdled,O,1
",",O,1
was,O,1
sustained,O,1
gently,O,1
behind,O,1
him,O,1
on,O,1
the,O,1
mild,O,1
morning,O,1
air,O,1
.,O,1
He,O,2
held,EVENT,2
the,O,2
bowl,O,2
aloft,O,2
and,O,2
intoned,EVENT,2
:,O,2
—,O,2
Introibo,O,2
ad,O,2
altare,O,2
Dei,O,2
.,O,2
Halted,EVENT,3
",",O,3
he,O,3
peered,EVENT,3
down,O,3
the,O,3
dark,O,3
winding,O,3
stairs,O,3
and,O,3
called,EVENT,3
out,O,3
coarsely,O,3
:,O,3
—,O,3
Come,O,3
up,O,3
",",O,3
Kinch,O,3
!,O,3
Come,O,3
up,O,3
",",O,3
you,O,3
fearful,O,3
jesuit,O,3
!,O,3
Solemnly,O,3
he,O,3
came,EVENT,3
forward,O,3
and,O,3
mounted,EVENT,3
the,O,3
round,O,3
gunrest,O,3
.,O,3
He,O,4
faced,EVENT,4
about,O,4
and,O,4
blessed,EVENT,4
gravely,O,4
thrice,O,4
the,O,4
tower,O,4
",",O,4
the,O,4
surrounding,O,4
land,O,4
and,O,4
the,O,4
awaking,O,4
mountains,O,4
.,O,4
Then,O,5
",",O,5
catching,EVENT,5
sight,O,5
of,O,5
Stephen,O,5
Dedalus,O,5
",",O,5
he,O,5
bent,EVENT,5
towards,O,5
him,O,5
and,O,5
made,O,5
rapid,O,5
crosses,EVENT,5
in,O,5
the,O,5
air,O,5
",",O,5
gurgling,EVENT,5
in,O,5
his,O,5
throat,O,5
and,O,5
shaking,EVENT,5
his,O,5
head,O,5
.,O,5
Stephen,O,6
Dedalus,O,6
",",O,6
displeased,O,6
and,O,6
