token,label,sentence
Book,O,0
First,O,0
I,O,0
Strether,O,0
's,O,0
first,O,0
question,EVENT,0
",",O,0
when,O,0
he,O,0
reached,EVENT,0
the,O,0
hotel,O,0
",",O,0
was,O,0
about,O,0
his,O,0
friend,O,0
;,O,0
yet,O,0
on,O,0
his,O,0
learning,EVENT,0
that,O,0
Waymarsh,O,0
was,O,0
apparently,O,0
not,O,0
to,O,0
arrive,O,0
till,O,0
evening,O,0
he,O,0
was,O,0
not,O,0
wholly,O,0
disconcerted,O,0
.,O,0
A,O,1
telegram,O,1
from,O,1
him,O,1
bespeaking,O,1
a,O,1
room,O,1
reply,O,1
paid,EVENT,1
",",O,1
was,O,1
produced,EVENT,1
for,O,1
the,O,1
enquirer,O,1
at,O,1
the,O,1
office,O,1
",",O,1
so,O,1
that,O,1
the,O,1
understanding,O,1
they,O,1
should,O,1
meet,O,1
at,O,1
Chester,O,1
rather,O,1
than,O,1
at,O,1
Liverpool,O,1
remained,O,1
to,O,1
that,O,1
extent,O,1
sound,O,1
.,O,1
The,O,2
same,O,2
secret,O,2
principle,O,2
",",O,2
however,O,2
",",O,2
that,O,2
had,O,2
prompted,EVENT,2
Strether,O,2
not,O,2
absolutely,O,2
to,O,2
desire,O,2
Waymarsh,O,2
's,O,2
presence,O,2
at,O,2
the,O,2
dock,O,2
",",O,2
that,O,2
had,O,2
led,O,2
him,O,2
thus,O,2
to,O,2
postpone,EVENT,2
for,O,2
a,O,2
few,O,2
hours,O,2
his,O,2
enjoyment,O,2
of,O,2
it,O,2
",",O,2
now,O,2
operated,O,2
to,O,2
make,O,2
him,O,2
feel,EVENT,2
he,O,2
could,O,2
still,O,2
wait,O,2
without,O,2
disappointment,O,2
.,O,2
They,O,3
would,O,3
dine,O,3
together,O,3
at,O,3
the,O,3
worst,O,3
",",O,3
and,O,3
",",O,3
with,O,3
all,O,3
respect,O,3
to,O,3
dear,O,3
old,O,3
Waymarsh,O,3
--,O,3
if,O,3
not,O,3
even,O,3
",",O,3
for,O,3
that,O,3
matter,O,3
",",O,3
to,O,3
himself,O,3
--,O,3
there,O,3
was,O,3
little,O,3
fear,O,3
that,O,3
in,O,3
the,O,3
sequel,O,3
they,O,3
should,O,3
n't,O,3
see,O,3
enough,O,3
of,O,3
each,O,3
other,O,3
.,O,3
The,O,4
principle,O,4
I,O,4
have,O,4
just,O,4
mentioned,O,4
as,O,4
operating,O,4
had,O,4
been,O,4
",",O,4
with,O,4
the,O,4
most,O,4
newly,O,4
disembarked,EVENT,4
of,O,4
the,O,4
two,O,4
men,O,4
",",O,4
wholly,O,4
instinctive,O,4
--,O,4
the,O,4
fruit,O,4
of,O,4
a,O,4
sharp,O,4
sense,EVENT,4
that,O,4
",",O,4
delightful,O,4
as,O,4
it,O,4
would,O,4
be,O,4
to,O,4
find,O,4
himself,O,4
looking,O,4
",",O,4
after,O,4
so,O,4
much,O,4
separation,O,4
",",O,4
into,O,4
his,O,4
comrade,O,4
's,O,4
face,O,4
",",O,4
his,O,4
business,O,4
would,O,4
be,O,4
a,O,4
trifle,O,4
bungled,O,4
should,O,4
he,O,4
simply,O,4
arrange,O,4
for,O,4
this,O,4
countenance,O,4
to,O,4
present,O,4
itself,O,4
to,O,4
the,O,4
nearing,EVENT,4
steamer,O,4
as,O,4
the,O,4
first,O,4
of,O,4
Europe,O,4
.,O,4
Mixed,O,5
with,O,5
everything,O,5
was,O,5
the,O,5
apprehension,O,5
",",O,5
already,O,5
",",O,5
on,O,5
Strether,O,5
's,O,5
part,O,5
",",O,5
that,O,5
it,O,5
would,O,5
",",O,5
at,O,5
