token,label,sentence
CHAPTER,O,0
I,O,0
I,O,0
TAKE,O,0
A,O,0
COUNTRY,O,0
HOUSE,O,0
This,O,0
is,O,0
the,O,0
story,O,0
of,O,0
how,O,0
a,O,0
middle-aged,O,0
spinster,O,0
lost,EVENT,0
her,O,0
mind,O,0
",",O,0
deserted,EVENT,0
her,O,0
domestic,O,0
gods,O,0
in,O,0
the,O,0
city,O,0
",",O,0
took,EVENT,0
a,O,0
furnished,O,0
house,O,0
for,O,0
the,O,0
summer,O,0
out,O,0
of,O,0
town,O,0
",",O,0
and,O,0
found,EVENT,0
herself,O,0
involved,O,0
in,O,0
one,O,0
of,O,0
those,O,0
mysterious,O,0
crimes,O,0
that,O,0
keep,O,0
our,O,0
newspapers,O,0
and,O,0
detective,O,0
agencies,O,0
happy,O,0
and,O,0
prosperous,O,0
.,O,0
For,O,1
twenty,O,1
years,O,1
I,O,1
had,O,1
been,O,1
perfectly,O,1
comfortable,O,1
;,O,1
for,O,1
twenty,O,1
years,O,1
I,O,1
had,O,1
had,O,1
the,O,1
window-boxes,O,1
filled,O,1
in,O,1
the,O,1
spring,O,1
",",O,1
the,O,1
carpets,O,1
lifted,O,1
",",O,1
the,O,1
awnings,O,1
put,O,1
up,O,1
and,O,1
the,O,1
furniture,O,1
covered,O,1
with,O,1
brown,O,1
linen,O,1
;,O,1
for,O,1
as,O,1
many,O,1
summers,O,1
I,O,1
had,O,1
said,O,1
good-by,O,1
to,O,1
my,O,1
friends,O,1
",",O,1
and,O,1
",",O,1
after,O,1
watching,O,1
their,O,1
perspiring,O,1
hegira,O,1
",",O,1
had,O,1
settled,O,1
down,O,1
to,O,1
a,O,1
delicious,O,1
quiet,O,1
in,O,1
town,O,1
",",O,1
where,O,1
the,O,1
mail,O,1
comes,O,1
three,O,1
times,O,1
a,O,1
day,O,1
",",O,1
and,O,1
the,O,1
water,O,1
supply,O,1
does,O,1
not,O,1
depend,O,1
on,O,1
a,O,1
tank,O,1
on,O,1
the,O,1
roof,O,1
.,O,1
And,O,2
then,O,2
--,O,2
the,O,2
madness,EVENT,2
seized,O,2
me,O,2
.,O,2
When,O,3
I,O,3
look,EVENT,3
back,O,3
over,O,3
the,O,3
months,O,3
I,O,3
spent,O,3
at,O,3
Sunnyside,O,3
",",O,3
I,O,3
wonder,EVENT,3
that,O,3
I,O,3
survived,O,3
at,O,3
all,O,3
.,O,3
As,O,4
it,O,4
is,O,4
",",O,4
I,O,4
show,O,4
the,O,4
wear,O,4
and,O,4
tear,O,4
of,O,4
my,O,4
harrowing,O,4
experiences,O,4
.,O,4
I,O,5
have,O,5
turned,O,5
very,O,5
gray,O,5
--,O,5
Liddy,O,5
reminded,EVENT,5
me,O,5
of,O,5
it,O,5
",",O,5
only,O,5
yesterday,O,5
",",O,5
by,O,5
saying,EVENT,5
that,O,5
a,O,5
little,O,5
bluing,O,5
in,O,5
the,O,5
rinse-water,O,5
would,O,5
make,O,5
my,O,5
hair,O,5
silvery,O,5
",",O,5
instead,O,5
of,O,5
a,O,5
yellowish,O,5
white,O,5
.,O,5
I,O,6
hate,O,6
to,O,6
be,O,6
reminded,O,6
of,O,6
unpleasant,O,6
things,O,6
and,O,6
I,O,6
snapped,EVENT,6
her,O,6
off,O,6
.,O,6
I,O,7
said,O,7
sharply,O,7
",",O,7
Liddy,O,7
's,O,7
nerves,O,7
are,O,7
gone,O,7
",",O,7
she,O,7
says,O,7
",",O,7
since,O,7
that,O,7
awful,O,7
summer,O,7
",",O,7
but,O,7
she,O,7
has,O,7
enough,O,7
left,O,7
",",O,7
goodness,O,7
knows,O,7
!,O,7
And,O,7
when,O,7
she,O,7
begins,O,7
to,O,7
go,O,7
around,O,7
with,O,7
a,O,7
lump,O,7
in,O,7
her,O,7
throat,O,7
",",O,7
all,O,7
I,O,7
have,O,7
to,O,7
do,O,7
is,O,7
to,O,7
threaten,O,7
to,O,7
return,O,7
to,O,7
