token,label,sentence
PART,O,0
I.,O,0
FRIENDS,O,0
OF,O,0
CHILDHOOD,O,0
I,O,0
Dr.,O,0
Howard,O,0
Archie,O,0
had,O,0
just,O,0
come,EVENT,0
up,O,0
from,O,0
a,O,0
game,O,0
of,O,0
pool,EVENT,0
with,O,0
the,O,0
Jewish,O,0
clothier,O,0
and,O,0
two,O,0
traveling,O,0
men,O,0
who,O,0
happened,O,0
to,O,0
be,O,0
staying,O,0
overnight,O,0
in,O,0
Moonstone,O,0
.,O,0
His,O,1
offices,O,1
were,O,1
in,O,1
the,O,1
Duke,O,1
Block,O,1
",",O,1
over,O,1
the,O,1
drug,O,1
store,O,1
.,O,1
Larry,O,2
",",O,2
the,O,2
doctor,O,2
's,O,2
man,O,2
",",O,2
had,O,2
lit,EVENT,2
the,O,2
overhead,O,2
light,O,2
in,O,2
the,O,2
waiting-room,O,2
and,O,2
the,O,2
double,O,2
student,O,2
's,O,2
lamp,O,2
on,O,2
the,O,2
desk,O,2
in,O,2
the,O,2
study,O,2
.,O,2
The,O,3
isinglass,O,3
sides,O,3
of,O,3
the,O,3
hard-coal,O,3
burner,O,3
were,O,3
aglow,O,3
",",O,3
and,O,3
the,O,3
air,O,3
in,O,3
the,O,3
study,O,3
was,O,3
so,O,3
hot,O,3
that,O,3
as,O,3
he,O,3
came,EVENT,3
in,O,3
the,O,3
doctor,O,3
opened,EVENT,3
the,O,3
door,O,3
into,O,3
his,O,3
little,O,3
operating-room,O,3
",",O,3
where,O,3
there,O,3
was,O,3
no,O,3
stove,O,3
.,O,3
The,O,4
waiting,O,4
room,O,4
was,O,4
carpeted,O,4
and,O,4
stiffly,O,4
furnished,O,4
",",O,4
something,O,4
like,O,4
a,O,4
country,O,4
parlor,O,4
.,O,4
The,O,5
study,O,5
had,O,5
worn,O,5
",",O,5
unpainted,O,5
floors,O,5
",",O,5
but,O,5
there,O,5
was,O,5
a,O,5
look,O,5
of,O,5
winter,O,5
comfort,O,5
about,O,5
it,O,5
.,O,5
The,O,6
doctor,O,6
's,O,6
flat-top,O,6
desk,O,6
was,O,6
large,O,6
and,O,6
well,O,6
made,O,6
;,O,6
the,O,6
papers,O,6
were,O,6
in,O,6
orderly,O,6
piles,O,6
",",O,6
under,O,6
glass,O,6
weights,O,6
.,O,6
Behind,O,7
the,O,7
stove,O,7
a,O,7
wide,O,7
bookcase,O,7
",",O,7
with,O,7
double,O,7
glass,O,7
doors,O,7
",",O,7
reached,O,7
from,O,7
the,O,7
floor,O,7
to,O,7
the,O,7
ceiling,O,7
.,O,7
It,O,8
was,O,8
filled,O,8
with,O,8
medical,O,8
books,O,8
of,O,8
every,O,8
thickness,O,8
and,O,8
color,O,8
.,O,8
On,O,9
the,O,9
top,O,9
shelf,O,9
stood,O,9
a,O,9
long,O,9
row,O,9
of,O,9
thirty,O,9
or,O,9
forty,O,9
volumes,O,9
",",O,9
bound,O,9
all,O,9
alike,O,9
in,O,9
dark,O,9
mottled,O,9
board,O,9
covers,O,9
",",O,9
with,O,9
imitation,O,9
leather,O,9
backs,O,9
.,O,9
As,O,10
the,O,10
doctor,O,10
in,O,10
New,O,10
England,O,10
villages,O,10
is,O,10
proverbially,O,10
old,O,10
",",O,10
so,O,10
the,O,10
doctor,O,10
in,O,10
small,O,10
Colorado,O,10
towns,O,10
twenty-five,O,10
years,O,10
ago,O,10
was,O,10
generally,O,10
young,O,10
.,O,10
Dr.,O,11
Archie,O,11
was,O,11
barely,O,11
thirty,O,11
.,O,11
He,O,12
was,O,12
tall,O,12
",",O,12
with,O,12
massive,O,12
shoulders,O,12
which,O,12
he,O,12
held,O,12
stiffly,O,12
",",O,12
and,O,12
a,O,12
large,O,12
",",O,12
well-shaped,O,12
head,O,12
.,O,12
He,O,13
was,O,13
a,O,13
distinguished-looking,O,13
man,O,13
",",O,13
for,O,13
that,O,13
part,O,13
of,O,13
the,O,13
world,O,13
",",O,13
at,O,13
least,O,13
.,O,13
There,O,14
was,O,14
something,O,14
individual,O,14
in,O,14
the,O,14
way,O,14
in,O,14
which,O,14
his,O,14
reddish-brown,O,14
hair,O,14
",",O,14
parted,O,14
cleanly,O,14
at,O,14
the,O,14
side,O,14
",",O,14
bushed,O,14
over,O,14
his,O,14
high,O,14
forehead,O,14
.,O,14
His,O,15
nose,O,15
was,O,15
straight,O,15
and,O,15
thick,O,15
",",O,15
and,O,15
his,O,15
eyes,O,15
were,O,15
intelligent,O,15
.,O,15
He,O,16
wore,O,16
a,O,16
curly,O,16
",",O,16
reddish,O,16
mustache,O,16
and,O,16
an,O,16
imperial,O,16
",",O,16
cut,O,16
trimly,O,16
",",O,16
which,O,16
made,O,16
him,O,16
look,O,16
a,O,16
little,O,16
like,O,16
the,O,16
pictures,O,16
of,O,16
Napoleon,O,16
III,O,16
.,O,16
His,O,17
hands,O,17
were,O,17
large,O,17
and,O,17
well,O,17
kept,O,17
",",O,17
but,O,17
ruggedly,O,17
formed,O,17
",",O,17
and,O,17
the,O,17
backs,O,17
were,O,17
shaded,O,17
with,O,17
crinkly,O,17
reddish,O,17
hair,O,17
.,O,17
He,O,18
wore,O,18
a,O,18
blue,O,18
suit,O,18
of,O,18
woolly,O,18
",",O,18
wide-waled,O,18
serge,O,18
;,O,18
the,O,18
