token,label,sentence
CHAPTER,O,0
I.,O,0
Mrs.,O,0
Rachel,O,0
Lynde,O,0
is,O,0
Surprised,EVENT,0
|,O,0
MRS.,O,0
Rachel,O,0
Lynde,O,0
lived,O,0
just,O,0
where,O,0
the,O,0
Avonlea,O,0
main,O,0
road,O,0
dipped,O,0
down,O,0
into,O,0
a,O,0
little,O,0
hollow,O,0
",",O,0
fringed,O,0
with,O,0
alders,O,0
and,O,0
ladies,O,0
’,O,0
eardrops,O,0
and,O,0
traversed,O,0
by,O,0
a,O,0
brook,O,0
that,O,0
had,O,0
its,O,0
source,O,0
away,O,0
back,O,0
in,O,0
the,O,0
woods,O,0
of,O,0
the,O,0
old,O,0
Cuthbert,O,0
place,O,0
;,O,0
it,O,0
was,O,0
reputed,O,0
to,O,0
be,O,0
an,O,0
intricate,O,0
",",O,0
headlong,O,0
brook,O,0
in,O,0
its,O,0
earlier,O,0
course,O,0
through,O,0
those,O,0
woods,O,0
",",O,0
with,O,0
dark,O,0
secrets,O,0
of,O,0
pool,O,0
and,O,0
cascade,O,0
;,O,0
but,O,0
by,O,0
the,O,0
time,O,0
it,O,0
reached,O,0
Lynde,O,0
’s,O,0
Hollow,O,0
it,O,0
was,O,0
a,O,0
quiet,O,0
",",O,0
well-conducted,O,0
little,O,0
stream,O,0
",",O,0
for,O,0
not,O,0
even,O,0
a,O,0
brook,O,0
could,O,0
run,O,0
past,O,0
Mrs.,O,0
Rachel,O,0
Lynde,O,0
’s,O,0
door,O,0
without,O,0
due,O,0
regard,O,0
for,O,0
decency,O,0
and,O,0
decorum,O,0
;,O,0
it,O,0
probably,O,0
was,O,0
conscious,O,0
that,O,0
Mrs.,O,0
Rachel,O,0
was,O,0
sitting,O,0
at,O,0
her,O,0
window,O,0
",",O,0
keeping,O,0
a,O,0
sharp,O,0
eye,O,0
on,O,0
everything,O,0
that,O,0
passed,O,0
",",O,0
from,O,0
brooks,O,0
and,O,0
children,O,0
up,O,0
",",O,0
and,O,0
that,O,0
if,O,0
she,O,0
noticed,O,0
anything,O,0
odd,O,0
or,O,0
out,O,0
of,O,0
place,O,0
she,O,0
would,O,0
never,O,0
rest,O,0
until,O,0
she,O,0
had,O,0
ferreted,O,0
out,O,0
the,O,0
whys,O,0
and,O,0
wherefores,O,0
thereof,O,0
.,O,0
There,O,1
are,O,1
plenty,O,1
of,O,1
people,O,1
in,O,1
Avonlea,O,1
and,O,1
out,O,1
of,O,1
it,O,1
",",O,1
who,O,1
can,O,1
attend,O,1
closely,O,1
to,O,1
their,O,1
neighbor,O,1
’s,O,1
business,O,1
by,O,1
dint,O,1
of,O,1
neglecting,O,1
their,O,1
own,O,1
;,O,1
but,O,1
Mrs.,O,1
Rachel,O,1
Lynde,O,1
was,O,1
one,O,1
of,O,1
those,O,1
capable,O,1
creatures,O,1
who,O,1
can,O,1
manage,O,1
their,O,1
own,O,1
concerns,O,1
and,O,1
those,O,1
of,O,1
other,O,1
folks,O,1
into,O,1
the,O,1
bargain,O,1
.,O,1
She,O,2
was,O,2
a,O,2
notable,O,2
housewife,O,2
;,O,2
her,O,2
work,O,2
was,O,2
always,O,2
done,O,2
and,O,2
well,O,2
done,O,2
;,O,2
she,O,2
“,O,2
ran,O,2
”,O,2
the,O,2
Sewing,O,2
Circle,O,2
",",O,2
helped,O,2
run,O,2
the,O,2
Sunday-school,O,2
",",O,2
and,O,2
was,O,2
the,O,2
strongest,O,2
prop,O,2
of,O,2
the,O,2
Church,O,2
Aid,O,2
Society,O,2
and,O,2
Foreign,O,2
Missions,O,2
Auxiliary,O,2
.,O,2
Yet,O,3
with,O,3
all,O,3
this,O,3
Mrs.,O,3
Rachel,O,3
found,O,3
abundant,O,3
time,O,3
to,O,3
sit,O,3
for,O,3
hours,O,3
at,O,3
her,O,3
kitchen,O,3
window,O,3
",",O,3
knitting,O,3
“,O,3
cotton,O,3
warp,O,3
”,O,3
quilts,O,3
--,O,3
