token,label,sentence
CHAPTER,O,0
I,O,0
—,O,0
START,O,0
IN,O,0
LIFE,O,0
I,O,0
was,O,0
born,EVENT,0
in,O,0
the,O,0
year,O,0
1632,O,0
",",O,0
in,O,0
the,O,0
city,O,0
of,O,0
York,O,0
",",O,0
of,O,0
a,O,0
good,O,0
family,O,0
",",O,0
though,O,0
not,O,0
of,O,0
that,O,0
country,O,0
",",O,0
my,O,0
father,O,0
being,O,0
a,O,0
foreigner,O,0
of,O,0
Bremen,O,0
",",O,0
who,O,0
settled,EVENT,0
first,O,0
at,O,0
Hull,O,0
.,O,0
He,O,1
got,EVENT,1
a,O,1
good,O,1
estate,O,1
by,O,1
merchandise,O,1
",",O,1
and,O,1
leaving,EVENT,1
off,O,1
his,O,1
trade,O,1
",",O,1
lived,O,1
afterwards,O,1
at,O,1
York,O,1
",",O,1
from,O,1
whence,O,1
he,O,1
had,O,1
married,EVENT,1
my,O,1
mother,O,1
",",O,1
whose,O,1
relations,O,1
were,O,1
named,O,1
Robinson,O,1
",",O,1
a,O,1
very,O,1
good,O,1
family,O,1
in,O,1
that,O,1
country,O,1
",",O,1
and,O,1
from,O,1
whom,O,1
I,O,1
was,O,1
called,O,1
Robinson,O,1
Kreutznaer,O,1
;,O,1
but,O,1
",",O,1
by,O,1
the,O,1
usual,O,1
corruption,O,1
of,O,1
words,O,1
in,O,1
England,O,1
",",O,1
we,O,1
are,O,1
now,O,1
called,O,1
—,O,1
nay,O,1
we,O,1
call,O,1
ourselves,O,1
and,O,1
write,O,1
our,O,1
name,O,1
—,O,1
Crusoe,O,1
;,O,1
and,O,1
so,O,1
my,O,1
companions,O,1
always,O,1
called,O,1
me,O,1
.,O,1
I,O,2
had,O,2
two,O,2
elder,O,2
brothers,O,2
",",O,2
one,O,2
of,O,2
whom,O,2
was,O,2
lieutenant-colonel,O,2
to,O,2
an,O,2
English,O,2
regiment,O,2
of,O,2
foot,O,2
in,O,2
Flanders,O,2
",",O,2
formerly,O,2
commanded,O,2
by,O,2
the,O,2
famous,O,2
Colonel,O,2
Lockhart,O,2
",",O,2
and,O,2
was,O,2
killed,EVENT,2
at,O,2
the,O,2
battle,EVENT,2
near,O,2
Dunkirk,O,2
against,O,2
the,O,2
Spaniards,O,2
.,O,2
What,O,3
became,O,3
of,O,3
my,O,3
second,O,3
brother,O,3
I,O,3
never,O,3
knew,O,3
",",O,3
any,O,3
more,O,3
than,O,3
my,O,3
father,O,3
or,O,3
mother,O,3
knew,O,3
what,O,3
became,O,3
of,O,3
me,O,3
.,O,3
Being,O,4
the,O,4
third,O,4
son,O,4
of,O,4
the,O,4
family,O,4
and,O,4
not,O,4
bred,O,4
to,O,4
any,O,4
trade,O,4
",",O,4
my,O,4
head,O,4
began,O,4
to,O,4
be,O,4
filled,O,4
very,O,4
early,O,4
with,O,4
rambling,O,4
thoughts,O,4
.,O,4
My,O,5
father,O,5
",",O,5
who,O,5
was,O,5
very,O,5
ancient,O,5
",",O,5
had,O,5
given,O,5
me,O,5
a,O,5
competent,O,5
share,O,5
of,O,5
learning,O,5
",",O,5
as,O,5
far,O,5
as,O,5
house-education,O,5
and,O,5
a,O,5
country,O,5
free,O,5
school,O,5
generally,O,5
go,O,5
",",O,5
and,O,5
designed,O,5
me,O,5
for,O,5
the,O,5
law,O,5
;,O,5
but,O,5
I,O,5
would,O,5
be,O,5
satisfied,O,5
with,O,5
nothing,O,5
but,O,5
going,O,5
to,O,5
sea,O,5
;,O,5
and,O,5
my,O,5
inclination,O,5
to,O,5
this,O,5
led,O,5
me,O,5
so,O,5
strongly,O,5
against,O,5
the,O,5
will,O,5
",",O,5
nay,O,5
",",O,5
the,O,5
commands,O,5
of,O,5
my,O,5
father,O,5
",",O,5
and,O,5
against,O,5
all,O,5
the,O,5
entreaties,O,5
and,O,5
persuasions,O,5
of,O,5
my,O,5
mother,O,5
and,O,5
other,O,5
friends,O,5
",",O,5
that,O,5
