token,label,sentence
CHAPTER,O,0
I,O,0
THE,O,0
STRANGE,O,0
MAN,O,0
'S,O,0
ARRIVAL,EVENT,0
The,O,0
stranger,O,0
came,EVENT,0
early,O,0
in,O,0
February,O,0
",",O,0
one,O,0
wintry,O,0
day,O,0
",",O,0
through,O,0
a,O,0
biting,O,0
wind,EVENT,0
and,O,0
a,O,0
driving,O,0
snow,EVENT,0
",",O,0
the,O,0
last,O,0
snowfall,EVENT,0
of,O,0
the,O,0
year,O,0
",",O,0
over,O,0
the,O,0
down,O,0
",",O,0
walking,EVENT,0
from,O,0
Bramblehurst,O,0
railway,O,0
station,O,0
",",O,0
and,O,0
carrying,O,0
a,O,0
little,O,0
black,O,0
portmanteau,O,0
in,O,0
his,O,0
thickly,O,0
gloved,O,0
hand,O,0
.,O,0
He,O,1
was,O,1
wrapped,O,1
up,O,1
from,O,1
head,O,1
to,O,1
foot,O,1
",",O,1
and,O,1
the,O,1
brim,O,1
of,O,1
his,O,1
soft,O,1
felt,O,1
hat,O,1
hid,O,1
every,O,1
inch,O,1
of,O,1
his,O,1
face,O,1
but,O,1
the,O,1
shiny,O,1
tip,O,1
of,O,1
his,O,1
nose,O,1
;,O,1
the,O,1
snow,O,1
had,O,1
piled,EVENT,1
itself,O,1
against,O,1
his,O,1
shoulders,O,1
and,O,1
chest,O,1
",",O,1
and,O,1
added,EVENT,1
a,O,1
white,O,1
crest,O,1
to,O,1
the,O,1
burden,O,1
he,O,1
carried,O,1
.,O,1
He,O,2
staggered,EVENT,2
into,O,2
the,O,2
more,O,2
dead,O,2
than,O,2
alive,O,2
",",O,2
and,O,2
flung,EVENT,2
his,O,2
portmanteau,O,2
down,O,2
.,O,2
he,O,3
cried,EVENT,3
",",O,3
He,O,3
stamped,EVENT,3
and,O,3
shook,EVENT,3
the,O,3
snow,O,3
from,O,3
off,O,3
himself,O,3
in,O,3
the,O,3
bar,O,3
",",O,3
and,O,3
followed,EVENT,3
Mrs.,O,3
Hall,O,3
into,O,3
her,O,3
guest,O,3
parlour,O,3
to,O,3
strike,O,3
his,O,3
bargain,O,3
.,O,3
And,O,4
with,O,4
that,O,4
much,O,4
introduction,EVENT,4
",",O,4
that,O,4
and,O,4
a,O,4
couple,O,4
of,O,4
sovereigns,O,4
flung,EVENT,4
upon,O,4
the,O,4
table,O,4
",",O,4
he,O,4
took,EVENT,4
up,O,4
his,O,4
quarters,O,4
in,O,4
the,O,4
inn,O,4
.,O,4
Mrs.,O,5
Hall,O,5
lit,EVENT,5
the,O,5
fire,O,5
and,O,5
left,EVENT,5
him,O,5
there,O,5
while,O,5
she,O,5
went,EVENT,5
to,O,5
prepare,O,5
him,O,5
a,O,5
meal,O,5
with,O,5
her,O,5
own,O,5
hands,O,5
.,O,5
A,O,6
guest,O,6
to,O,6
stop,O,6
at,O,6
Iping,O,6
in,O,6
the,O,6
wintertime,O,6
was,O,6
an,O,6
unheard-of,O,6
piece,O,6
of,O,6
luck,O,6
",",O,6
let,O,6
alone,O,6
a,O,6
guest,O,6
who,O,6
was,O,6
no,O,6
and,O,6
she,O,6
was,O,6
resolved,O,6
to,O,6
show,O,6
herself,O,6
worthy,O,6
of,O,6
her,O,6
good,O,6
fortune,EVENT,6
.,O,6
As,O,7
soon,O,7
as,O,7
the,O,7
bacon,O,7
was,O,7
well,O,7
under,O,7
way,O,7
",",O,7
and,O,7
Millie,O,7
",",O,7
her,O,7
lymphatic,O,7
maid,O,7
",",O,7
had,O,7
been,O,7
brisked,EVENT,7
up,O,7
a,O,7
bit,O,7
by,O,7
a,O,7
few,O,7
deftly,O,7
chosen,EVENT,7
expressions,EVENT,7
of,O,7
contempt,O,7
",",O,7
she,O,7
carried,EVENT,7
the,O,7
cloth,O,7
",",O,7
plates,O,7
",",O,7
and,O,7
glasses,O,7
into,O,7
the,O,7
parlour,O,7
and,O,7
began,O,7
to,O,7
lay,EVENT,7
them,O,7
with,O,7
the,O,7
