token,label,sentence
CHAPTER,O,0
I,O,0
RAGGED,O,0
DICK,O,0
IS,O,0
INTRODUCED,EVENT,0
TO,O,0
THE,O,0
READER,O,0
said,EVENT,0
a,O,0
rough,O,0
voice,O,0
.,O,0
Ragged,O,1
Dick,O,1
opened,EVENT,1
his,O,1
eyes,O,1
slowly,O,1
",",O,1
and,O,1
stared,EVENT,1
stupidly,O,1
in,O,1
the,O,1
face,O,1
of,O,1
the,O,1
speaker,O,1
",",O,1
but,O,1
did,O,1
not,O,1
offer,O,1
to,O,1
get,O,1
up,O,1
.,O,1
said,EVENT,2
the,O,2
man,O,2
a,O,2
little,O,2
impatiently,O,2
;,O,2
asked,EVENT,2
Dick,O,2
.,O,2
asked,EVENT,3
the,O,3
man,O,3
",",O,3
who,O,3
was,O,3
a,O,3
porter,O,3
in,O,3
the,O,3
employ,O,3
of,O,3
a,O,3
firm,O,3
doing,O,3
business,O,3
on,O,3
Spruce,O,3
Street,O,3
.,O,3
said,EVENT,4
the,O,4
porter,O,4
significantly,O,4
.,O,4
said,EVENT,5
Dick,O,5
.,O,5
said,EVENT,6
Dick,O,6
.,O,6
and,O,7
the,O,7
rough,O,7
voice,O,7
sounded,O,7
gentler,O,7
than,O,7
at,O,7
first,O,7
.,O,7
While,O,8
this,O,8
conversation,EVENT,8
had,O,8
been,O,8
going,O,8
on,O,8
",",O,8
Dick,O,8
had,O,8
got,EVENT,8
up,O,8
.,O,8
His,O,9
bedchamber,O,9
had,O,9
been,O,9
a,O,9
wooden,O,9
box,O,9
half,O,9
full,O,9
of,O,9
straw,O,9
",",O,9
on,O,9
which,O,9
the,O,9
young,O,9
boot-black,O,9
had,O,9
reposed,EVENT,9
his,O,9
weary,O,9
limbs,O,9
",",O,9
and,O,9
slept,EVENT,9
as,O,9
soundly,O,9
as,O,9
if,O,9
it,O,9
had,O,9
been,O,9
a,O,9
bed,O,9
of,O,9
down,O,9
.,O,9
He,O,10
dumped,EVENT,10
down,O,10
into,O,10
the,O,10
straw,O,10
without,O,10
taking,O,10
the,O,10
trouble,O,10
of,O,10
undressing,O,10
.,O,10
Getting,EVENT,11
up,O,11
too,O,11
was,O,11
an,O,11
equally,O,11
short,O,11
process,O,11
.,O,11
He,O,12
jumped,EVENT,12
out,O,12
of,O,12
the,O,12
box,O,12
",",O,12
shook,EVENT,12
himself,O,12
",",O,12
picked,EVENT,12
out,O,12
one,O,12
or,O,12
two,O,12
straws,O,12
that,O,12
had,O,12
found,EVENT,12
their,O,12
way,O,12
into,O,12
rents,O,12
in,O,12
his,O,12
clothes,O,12
",",O,12
and,O,12
",",O,12
drawing,EVENT,12
a,O,12
well-worn,O,12
cap,O,12
over,O,12
his,O,12
uncombed,O,12
locks,O,12
",",O,12
he,O,12
was,O,12
all,O,12
ready,O,12
for,O,12
the,O,12
business,O,12
of,O,12
the,O,12
day,O,12
.,O,12
Dick,O,13
's,O,13
appearance,O,13
as,O,13
he,O,13
stood,O,13
beside,O,13
the,O,13
box,O,13
was,O,13
rather,O,13
peculiar,O,13
.,O,13
His,O,14
pants,O,14
were,O,14
torn,O,14
in,O,14
several,O,14
places,O,14
",",O,14
and,O,14
had,O,14
apparently,O,14
belonged,O,14
in,O,14
the,O,14
first,O,14
instance,O,14
to,O,14
a,O,14
boy,O,14
two,O,14
sizes,O,14
larger,O,14
than,O,14
himself,O,14
.,O,14
He,O,15
wore,O,15
a,O,15
vest,O,15
",",O,15
all,O,15
the,O,15
buttons,O,15
of,O,15
which,O,15
were,O,15
gone,O,15
except,O,15
two,O,15
",",O,15
out,O,15
of,O,15
which,O,15
peeped,O,15
a,O,15
shirt,O,15
which,O,15
looked,O,15
as,O,15
if,O,15
it,O,15
had,O,15
been,O,15
worn,O,15
a,O,15
month,O,15
.,O,15
To,O,16
complete,O,16
his,O,16
costume,O,16
he,O,16
wore,O,16
a,O,16
coat,O,16
too,O,16
long,O,16
for,O,16
him,O,16
