token,label,sentence
Book,O,0
I,O,0
I.,O,0
On,O,0
a,O,0
January,O,0
evening,O,0
of,O,0
the,O,0
early,O,0
seventies,O,0
",",O,0
Christine,O,0
Nilsson,O,0
was,O,0
singing,EVENT,0
in,O,0
Faust,O,0
at,O,0
the,O,0
Academy,O,0
of,O,0
Music,O,0
in,O,0
New,O,0
York,O,0
.,O,0
Though,O,1
there,O,1
was,O,1
already,O,1
talk,O,1
of,O,1
the,O,1
erection,O,1
",",O,1
in,O,1
remote,O,1
metropolitan,O,1
distances,O,1
of,O,1
a,O,1
new,O,1
Opera,O,1
House,O,1
which,O,1
should,O,1
compete,O,1
in,O,1
costliness,O,1
and,O,1
splendour,O,1
with,O,1
those,O,1
of,O,1
the,O,1
great,O,1
European,O,1
capitals,O,1
",",O,1
the,O,1
world,O,1
of,O,1
fashion,O,1
was,O,1
still,O,1
content,O,1
to,O,1
reassemble,O,1
every,O,1
winter,O,1
in,O,1
the,O,1
shabby,O,1
red,O,1
and,O,1
gold,O,1
boxes,O,1
of,O,1
the,O,1
sociable,O,1
old,O,1
Academy,O,1
.,O,1
Conservatives,O,2
cherished,O,2
it,O,2
for,O,2
being,O,2
small,O,2
and,O,2
inconvenient,O,2
",",O,2
and,O,2
thus,O,2
keeping,O,2
out,O,2
the,O,2
whom,O,2
New,O,2
York,O,2
was,O,2
beginning,O,2
to,O,2
dread,O,2
and,O,2
yet,O,2
be,O,2
drawn,O,2
to,O,2
;,O,2
and,O,2
the,O,2
sentimental,O,2
clung,O,2
to,O,2
it,O,2
for,O,2
its,O,2
historic,O,2
associations,O,2
",",O,2
and,O,2
the,O,2
musical,O,2
for,O,2
its,O,2
excellent,O,2
acoustics,O,2
",",O,2
always,O,2
so,O,2
problematic,O,2
a,O,2
quality,O,2
in,O,2
halls,O,2
built,O,2
for,O,2
the,O,2
hearing,O,2
of,O,2
music,O,2
.,O,2
It,O,3
was,O,3
Madame,O,3
Nilsson,O,3
's,O,3
first,O,3
appearance,EVENT,3
that,O,3
winter,O,3
",",O,3
and,O,3
what,O,3
the,O,3
daily,O,3
press,O,3
had,O,3
already,O,3
learned,O,3
to,O,3
describe,O,3
as,O,3
had,O,3
gathered,EVENT,3
to,O,3
hear,O,3
her,O,3
",",O,3
transported,EVENT,3
through,O,3
the,O,3
slippery,O,3
",",O,3
snowy,O,3
streets,O,3
in,O,3
private,O,3
broughams,O,3
",",O,3
in,O,3
the,O,3
spacious,O,3
family,O,3
landau,O,3
",",O,3
or,O,3
in,O,3
the,O,3
humbler,O,3
but,O,3
more,O,3
convenient,O,3
To,O,3
come,O,3
to,O,3
the,O,3
Opera,O,3
in,O,3
a,O,3
Brown,O,3
coupe,O,3
was,O,3
almost,O,3
as,O,3
honourable,O,3
a,O,3
way,O,3
of,O,3
arriving,O,3
as,O,3
in,O,3
one,O,3
's,O,3
own,O,3
carriage,O,3
;,O,3
and,O,3
departure,O,3
by,O,3
the,O,3
same,O,3
means,O,3
had,O,3
the,O,3
immense,O,3
advantage,O,3
of,O,3
enabling,O,3
one,O,3
(,O,3
with,O,3
a,O,3
playful,O,3
allusion,O,3
to,O,3
democratic,O,3
principles,O,3
),O,3
to,O,3
scramble,O,3
into,O,3
the,O,3
first,O,3
Brown,O,3
conveyance,O,3
in,O,3
the,O,3
line,O,3
",",O,3
instead,O,3
of,O,3
waiting,O,3
till,O,3
the,O,3
cold-and-gin,O,3
congested,O,3
nose,O,3
of,O,3
one,O,3
's,O,3
own,O,3
coachman,O,3
gleamed,O,3
under,O,3
the,O,3
portico,O,3
of,O,3
the,O,3
Academy,O,3
.,O,3
It,O,4
was,O,4
one,O,4
of,O,4
the,O,4
great,O,4
livery-stableman,O,4
's,O,4
most,O,4
masterly,O,4
intuitions,O,4
to,O,4
have,O,4
discovered,O,4
that,O,4
Americans,O,4
want,O,4
to,O,4
get,O,4
away,O,4
from,O,4
amusement,O,4
even,O,4
more,O,4
quickly,O,4
than,O,4
they,O,4
want,O,4
to,O,4
get,O,4
to,O,4
it,O,4
.,O,4
When,O,5
Newland,O,5
Archer,O,5
opened,EVENT,5
the,O,5
door,O,5
at,O,5
the,O,5
back,O,5
of,O,5
the,O,5
club,O,5
box,O,5
the,O,5
curtain,O,5
had,O,5
just,O,5
gone,EVENT,5
up,O,5
on,O,5
the,O,5
garden,O,5
scene,O,5
.,O,5
There,O,6
was,O,6
no,O,6
reason,O,6
why,O,6
the,O,6
young,O,6
man,O,6
should,O,6
not,O,6
have,O,6
come,O,6
earlier,O,6
",",O,6
for,O,6
he,O,6
had,O,6
dined,EVENT,6
at,O,6
seven,O,6
",",O,6
alone,O,6
with,O,6
his,O,6
mother,O,6
and,O,6
sister,O,6
",",O,6
and,O,6
had,O,6
lingered,EVENT,6
afterward,O,6
over,O,6
a,O,6
cigar,O,6
in,O,6
the,O,6
Gothic,O,6
library,O,6
with,O,6
glazed,O,6
black-walnut,O,6
bookcases,O,6
and,O,6
finial-topped,O,6
chairs,O,6
which,O,6
was,O,6
the,O,6
only,O,6
room,O,6
in,O,6
the,O,6
house,O,6
where,O,6
Mrs.,O,6
Archer,O,6
allowed,O,6
smoking,O,6
.,O,6
But,O,7
",",O,7
in,O,7
the,O,7
first,O,7
place,O,7
",",O,7
New,O,7
York,O,7
was,O,7
a,O,7
metropolis,O,7
",",O,7
and,O,7
perfectly,O,7
aware,O,7
that,O,7
in,O,7
metropolises,O,7
it,O,7
was,O,7
to,O,7
arrive,O,7
early,O,7
at,O,7
the,O,7
opera,O,7
;,O,7
and,O,7
what,O,7
was,O,7
or,O,7
was,O,7
not,O,7
played,O,7
a,O,7
part,O,7
as,O,7
important,O,7
in,O,7
Newland,O,7
Archer,O,7
's,O,7
New,O,7
York,O,7
as,O,7
the,O,7
inscrutable,O,7
totem,O,7
terrors,O,7
that,O,7
had,O,7
ruled,O,7
the,O,7
destinies,O,7
of,O,7
his,O,7
forefathers,O,7
thousands,O,7
of,O,7
years,O,7
ago,O,7
.,O,7
The,O,8
second,O,8
reason,O,8
for,O,8
his,O,8
delay,O,8
was,O,8
a,O,8
personal,O,8
one,O,8
.,O,8
He,O,9
had,O,9
dawdled,EVENT,9
over,O,9
his,O,9
cigar,O,9
because,O,9
he,O,9
was,O,9
at,O,9
heart,O,9
a,O,9
dilettante,O,9
",",O,9
and,O,9
thinking,O,9
over,O,9
a,O,9
pleasure,O,9
to,O,9
come,O,9
often,O,9
gave,O,9
him,O,9
a,O,9
subtler,O,9
satisfaction,O,9
than,O,9
its,O,9
realisation,O,9
.,O,9
This,O,10
was,O,10
especially,O,10
the,O,10
case,O,10
when,O,10
the,O,10
pleasure,O,10
was,O,10
a,O,10
delicate,O,10
one,O,10
",",O,10
as,O,10
his,O,10
pleasures,O,10
mostly,O,10
were,O,10
;,O,10
and,O,10
on,O,10
this,O,10
occasion,O,10
the,O,10
moment,O,10
he,O,10
looked,O,10
forward,O,10
to,O,10
was,O,10
so,O,10
rare,O,10
and,O,10
exquisite,O,10
in,O,10
quality,O,10
that,O,10
--,O,10
well,O,10
",",O,10
if,O,10
he,O,10
had,O,10
timed,O,10
his,O,10
arrival,O,10
in,O,10
accord,O,10
with,O,10
the,O,10
prima,O,10
donna,O,10
's,O,10
stage-manager,O,10
he,O,10
could,O,10
not,O,10
have,O,10
entered,O,10
the,O,10
Academy,O,10
at,O,10
a,O,10
more,O,10
significant,O,10
moment,O,10
than,O,10
just,O,10
as,O,10
she,O,10
was,O,10
singing,O,10
:,O,10
and,O,10
sprinkling,O,10
the,O,10
falling,O,10
daisy,O,10
petals,O,10
with,O,10
notes,O,10
as,O,10
clear,O,10
as,O,10
dew,O,10
.,O,10
She,O,11
sang,EVENT,11
",",O,11
of,O,11
course,O,11
",",O,11
and,O,11
not,O,11
since,O,11
an,O,11
unalterable,O,11
and,O,11
unquestioned,O,11
law,O,11
of,O,11
the,O,11
musical,O,11
world,O,11
required,O,11
that,O,11
the,O,11
German,O,11
text,O,11
of,O,11
French,O,11
operas,O,11
sung,O,11
by,O,11
Swedish,O,11
artists,O,11
should,O,11
be,O,11
translated,O,11
into,O,11
Italian,O,11
for,O,11
the,O,11
clearer,O,11
understanding,O,11
of,O,11
English-speaking,O,11
audiences,O,11
.,O,11
This,O,12
seemed,O,12
as,O,12
natural,O,12
to,O,12
Newland,O,12
Archer,O,12
as,O,12
all,O,12
the,O,12
other,O,12
conventions,O,12
on,O,12
which,O,12
his,O,12
life,O,12
was,O,12
moulded,O,12
:,O,12
such,O,12
as,O,12
the,O,12
duty,O,12
of,O,12
using,O,12
two,O,12
silver-backed,O,12
brushes,O,12
with,O,12
his,O,12
monogram,O,12
in,O,12
blue,O,12
enamel,O,12
to,O,12
part,O,12
his,O,12
hair,O,12
",",O,12
and,O,12
of,O,12
never,O,12
appearing,O,12
in,O,12
society,O,12
without,O,12
a,O,12
flower,O,12
(,O,12
preferably,O,12
a,O,12
gardenia,O,12
),O,12
in,O,12
his,O,12
buttonhole,O,12
.,O,12
the,O,13
prima,O,13
donna,O,13
sang,EVENT,13
",",O,13
and,O,13
",",O,13
with,O,13
a,O,13
final,O,13
burst,EVENT,13
of,O,13
love,O,13
