token,label,sentence
CHAPTER,O,0
I,O,0
I,O,0
ON,O,0
a,O,0
hill,O,0
by,O,0
the,O,0
Mississippi,O,0
where,O,0
Chippewas,O,0
camped,O,0
two,O,0
generations,O,0
ago,O,0
",",O,0
a,O,0
girl,O,0
stood,O,0
in,O,0
relief,O,0
against,O,0
the,O,0
cornflower,O,0
blue,O,0
of,O,0
Northern,O,0
sky,O,0
.,O,0
She,O,1
saw,O,1
no,O,1
Indians,O,1
now,O,1
;,O,1
she,O,1
saw,EVENT,1
flour-mills,O,1
and,O,1
the,O,1
blinking,EVENT,1
windows,O,1
of,O,1
skyscrapers,O,1
in,O,1
Minneapolis,O,1
and,O,1
St.,O,1
Paul,O,1
.,O,1
Nor,O,2
was,O,2
she,O,2
thinking,O,2
of,O,2
squaws,O,2
and,O,2
portages,O,2
",",O,2
and,O,2
the,O,2
Yankee,O,2
fur-traders,O,2
whose,O,2
shadows,O,2
were,O,2
all,O,2
about,O,2
her,O,2
.,O,2
She,O,3
was,O,3
meditating,EVENT,3
upon,O,3
walnut,O,3
fudge,O,3
",",O,3
the,O,3
plays,O,3
of,O,3
Brieux,O,3
",",O,3
the,O,3
reasons,O,3
why,O,3
heels,O,3
run,O,3
over,O,3
",",O,3
and,O,3
the,O,3
fact,O,3
that,O,3
the,O,3
chemistry,O,3
instructor,O,3
had,O,3
stared,EVENT,3
at,O,3
the,O,3
new,O,3
coiffure,O,3
which,O,3
concealed,O,3
her,O,3
ears,O,3
.,O,3
A,O,4
breeze,EVENT,4
which,O,4
had,O,4
crossed,O,4
a,O,4
thousand,O,4
miles,O,4
of,O,4
wheat-lands,O,4
bellied,EVENT,4
her,O,4
taffeta,O,4
skirt,O,4
in,O,4
a,O,4
line,O,4
so,O,4
graceful,O,4
",",O,4
so,O,4
full,O,4
of,O,4
animation,O,4
and,O,4
moving,O,4
beauty,O,4
",",O,4
that,O,4
the,O,4
heart,O,4
of,O,4
a,O,4
chance,O,4
watcher,O,4
on,O,4
the,O,4
lower,O,4
road,O,4
tightened,O,4
to,O,4
wistfulness,EVENT,4
over,O,4
her,O,4
quality,O,4
of,O,4
suspended,O,4
freedom,O,4
.,O,4
She,O,5
lifted,EVENT,5
her,O,5
arms,O,5
",",O,5
she,O,5
leaned,EVENT,5
back,O,5
against,O,5
the,O,5
wind,EVENT,5
",",O,5
her,O,5
skirt,O,5
dipped,EVENT,5
and,O,5
flared,EVENT,5
",",O,5
a,O,5
lock,O,5
blew,EVENT,5
wild,O,5
.,O,5
A,O,6
girl,O,6
on,O,6
a,O,6
hilltop,O,6
;,O,6
credulous,O,6
",",O,6
plastic,O,6
",",O,6
young,O,6
;,O,6
drinking,EVENT,6
the,O,6
air,O,6
as,O,6
she,O,6
longed,O,6
to,O,6
drink,O,6
life,O,6
.,O,6
The,O,7
eternal,O,7
aching,O,7
comedy,O,7
of,O,7
expectant,O,7
youth,O,7
.,O,7
It,O,8
is,O,8
Carol,O,8
Milford,O,8
",",O,8
fleeing,EVENT,8
for,O,8
an,O,8
hour,O,8
from,O,8
Blodgett,O,8
College,O,8
.,O,8
The,O,9
days,O,9
of,O,9
pioneering,O,9
",",O,9
of,O,9
lassies,O,9
in,O,9
sunbonnets,O,9
",",O,9
and,O,9
bears,O,9
killed,O,9
with,O,9
axes,O,9
in,O,9
piney,O,9
clearings,O,9
",",O,9
are,O,9
deader,O,9
now,O,9
than,O,9
Camelot,O,9
;,O,9
and,O,9
a,O,9
rebellious,O,9
girl,O,9
is,O,9
the,O,9
spirit,O,9
of,O,9
that,O,9
bewildered,O,9
empire,O,9
called,O,9
the,O,9
American,O,9
Middlewest,O,9
.,O,9
II,O,10
Blodgett,O,10
College,O,10
is,O,10
on,O,10
the,O,10
edge,O,10
of,O,10
Minneapolis,O,10
.,O,10
It,O,11
is,O,11
a,O,11
bulwark,O,11
of,O,11
sound,O,11
religion,O,11
.,O,11
It,O,12
is,O,12
still,O,12
