token,label,sentence
CHAPTER,O,0
I,O,0
In,O,0
the,O,0
days,O,0
when,O,0
the,O,0
spinning-wheels,O,0
hummed,O,0
busily,O,0
in,O,0
the,O,0
farmhouses,O,0
--,O,0
and,O,0
even,O,0
great,O,0
ladies,O,0
",",O,0
clothed,O,0
in,O,0
silk,O,0
and,O,0
thread-lace,O,0
",",O,0
had,O,0
their,O,0
toy,O,0
spinning-wheels,O,0
of,O,0
polished,O,0
oak,O,0
--,O,0
there,O,0
might,O,0
be,O,0
seen,O,0
in,O,0
districts,O,0
far,O,0
away,O,0
among,O,0
the,O,0
lanes,O,0
",",O,0
or,O,0
deep,O,0
in,O,0
the,O,0
bosom,O,0
of,O,0
the,O,0
hills,O,0
",",O,0
certain,O,0
pallid,O,0
undersized,O,0
men,O,0
",",O,0
who,O,0
",",O,0
by,O,0
the,O,0
side,O,0
of,O,0
the,O,0
brawny,O,0
country-folk,O,0
",",O,0
looked,O,0
like,O,0
the,O,0
remnants,O,0
of,O,0
a,O,0
disinherited,O,0
race,O,0
.,O,0
The,O,1
shepherd,O,1
's,O,1
dog,O,1
barked,O,1
fiercely,O,1
when,O,1
one,O,1
of,O,1
these,O,1
alien-looking,O,1
men,O,1
appeared,O,1
on,O,1
the,O,1
upland,O,1
",",O,1
dark,O,1
against,O,1
the,O,1
early,O,1
winter,O,1
sunset,O,1
;,O,1
for,O,1
what,O,1
dog,O,1
likes,O,1
a,O,1
figure,O,1
bent,O,1
under,O,1
a,O,1
heavy,O,1
bag,O,1
?,O,1
--,O,1
and,O,1
these,O,1
pale,O,1
men,O,1
rarely,O,1
stirred,O,1
abroad,O,1
without,O,1
that,O,1
mysterious,O,1
burden,O,1
.,O,1
The,O,2
shepherd,O,2
himself,O,2
",",O,2
though,O,2
he,O,2
had,O,2
good,O,2
reason,O,2
to,O,2
believe,O,2
that,O,2
the,O,2
bag,O,2
held,O,2
nothing,O,2
but,O,2
flaxen,O,2
thread,O,2
",",O,2
or,O,2
else,O,2
the,O,2
long,O,2
rolls,O,2
of,O,2
strong,O,2
linen,O,2
spun,O,2
from,O,2
that,O,2
thread,O,2
",",O,2
was,O,2
not,O,2
quite,O,2
sure,O,2
that,O,2
this,O,2
trade,O,2
of,O,2
weaving,O,2
",",O,2
indispensable,O,2
though,O,2
it,O,2
was,O,2
",",O,2
could,O,2
be,O,2
carried,O,2
on,O,2
entirely,O,2
without,O,2
the,O,2
help,O,2
of,O,2
the,O,2
Evil,O,2
One,O,2
.,O,2
In,O,3
that,O,3
far-off,O,3
time,O,3
superstition,O,3
clung,O,3
easily,O,3
round,O,3
every,O,3
person,O,3
or,O,3
thing,O,3
that,O,3
was,O,3
at,O,3
all,O,3
unwonted,O,3
",",O,3
or,O,3
even,O,3
intermittent,O,3
and,O,3
occasional,O,3
merely,O,3
",",O,3
like,O,3
the,O,3
visits,O,3
of,O,3
the,O,3
pedlar,O,3
or,O,3
the,O,3
knife-grinder,O,3
.,O,3
No,O,4
one,O,4
knew,O,4
where,O,4
wandering,O,4
men,O,4
had,O,4
their,O,4
homes,O,4
or,O,4
their,O,4
origin,O,4
;,O,4
and,O,4
how,O,4
was,O,4
a,O,4
man,O,4
to,O,4
be,O,4
explained,O,4
unless,O,4
you,O,4
at,O,4
least,O,4
knew,O,4
somebody,O,4
who,O,4
knew,O,4
his,O,4
father,O,4
and,O,4
mother,O,4
?,O,4
To,O,4
the,O,4
peasants,O,4
of,O,4
old,O,4
times,O,4
",",O,4
the,O,4
world,O,4
outside,O,4
their,O,4
own,O,4
direct,O,4
experience,O,4
was,O,4
a,O,4
region,O,4
of,O,4
vagueness,O,4
and,O,4
mystery,O,4
:,O,4
to,O,4
their,O,4
untravelled,O,4
thought,O,4
a,O,4
state,O,4
of,O,4
wandering,O,4
was,O,4
a,O,4
conception,O,4
as,O,4
dim,O,4
as,O,4
the,O,4
winter,O,4
life,O,4
of,O,4
the,O,4
swallows,O,4
