token,label,sentence
CHAPTER,O,0
I,O,0
Chiswick,O,0
Mall,O,0
While,O,0
the,O,0
present,O,0
century,O,0
was,O,0
in,O,0
its,O,0
teens,O,0
",",O,0
and,O,0
on,O,0
one,O,0
sunshiny,O,0
morning,O,0
in,O,0
June,O,0
",",O,0
there,O,0
drove,EVENT,0
up,O,0
to,O,0
the,O,0
great,O,0
iron,O,0
gate,O,0
of,O,0
Miss,O,0
Pinkerton,O,0
's,O,0
academy,O,0
for,O,0
young,O,0
ladies,O,0
",",O,0
on,O,0
Chiswick,O,0
Mall,O,0
",",O,0
a,O,0
large,O,0
family,O,0
coach,O,0
",",O,0
with,O,0
two,O,0
fat,O,0
horses,O,0
in,O,0
blazing,O,0
harness,O,0
",",O,0
driven,EVENT,0
by,O,0
a,O,0
fat,O,0
coachman,O,0
in,O,0
a,O,0
three-cornered,O,0
hat,O,0
and,O,0
wig,O,0
",",O,0
at,O,0
the,O,0
rate,O,0
of,O,0
four,O,0
miles,O,0
an,O,0
hour,O,0
.,O,0
A,O,1
black,O,1
servant,O,1
",",O,1
who,O,1
reposed,O,1
on,O,1
the,O,1
box,O,1
beside,O,1
the,O,1
fat,O,1
coachman,O,1
",",O,1
uncurled,EVENT,1
his,O,1
bandy,O,1
legs,O,1
as,O,1
soon,O,1
as,O,1
the,O,1
equipage,O,1
drew,EVENT,1
up,O,1
opposite,O,1
Miss,O,1
Pinkerton,O,1
's,O,1
shining,O,1
brass,O,1
plate,O,1
",",O,1
and,O,1
as,O,1
he,O,1
pulled,EVENT,1
the,O,1
bell,O,1
at,O,1
least,O,1
a,O,1
score,O,1
of,O,1
young,O,1
heads,O,1
were,O,1
seen,O,1
peering,EVENT,1
out,O,1
of,O,1
the,O,1
narrow,O,1
windows,O,1
of,O,1
the,O,1
stately,O,1
old,O,1
brick,O,1
house,O,1
.,O,1
Nay,O,2
",",O,2
the,O,2
acute,O,2
observer,O,2
might,O,2
have,O,2
recognized,O,2
the,O,2
little,O,2
red,O,2
nose,O,2
of,O,2
good-natured,O,2
Miss,O,2
Jemima,O,2
Pinkerton,O,2
herself,O,2
",",O,2
rising,EVENT,2
over,O,2
some,O,2
geranium,O,2
pots,O,2
in,O,2
the,O,2
window,O,2
of,O,2
that,O,2
lady,O,2
's,O,2
own,O,2
drawing-room,O,2
.,O,2
said,EVENT,3
Miss,O,3
Jemima,O,3
.,O,3
asked,EVENT,4
Miss,O,4
Pinkerton,O,4
herself,O,4
",",O,4
that,O,4
majestic,O,4
lady,O,4
;,O,4
the,O,4
Semiramis,O,4
of,O,4
Hammersmith,O,4
",",O,4
the,O,4
friend,O,4
of,O,4
Doctor,O,4
Johnson,O,4
",",O,4
the,O,4
correspondent,O,4
of,O,4
Mrs.,O,4
Chapone,O,4
herself,O,4
.,O,4
replied,EVENT,5
Miss,O,5
Jemima,O,5
;,O,5
In,O,5
Miss,O,5
Jemima,O,5
's,O,5
eyes,O,5
an,O,5
autograph,O,5
letter,O,5
of,O,5
her,O,5
sister,O,5
",",O,5
Miss,O,5
Pinkerton,O,5
",",O,5
was,O,5
an,O,5
object,O,5
of,O,5
as,O,5
deep,O,5
veneration,O,5
as,O,5
would,O,5
have,O,5
been,O,5
a,O,5
letter,O,5
from,O,5
a,O,5
sovereign,O,5
.,O,5
Only,O,6
when,O,6
her,O,6
pupils,O,6
quitted,O,6
the,O,6
establishment,O,6
",",O,6
or,O,6
when,O,6
they,O,6
were,O,6
about,O,6
to,O,6
be,O,6
married,O,6
",",O,6
and,O,6
once,O,6
",",O,6
when,O,6
poor,O,6
Miss,O,6
Birch,O,6
died,EVENT,6
of,O,6
the,O,6
scarlet,O,6
fever,O,6
",",O,6
was,O,6
Miss,O,6
Pinkerton,O,6
known,O,6
to,O,6
write,O,6
personally,O,6
to,O,6
the,O,6
parents,O,6
of,O,6
her,O,6
pupils,O,6
;,O,6
and,O,6
it,O,6
was,O,6
Jemima,O,6
